,Number_of_faculty-all_ranks_num,State_cat,Type_cat,Average_salary-full_professors_num,Average_salary-associate_professors_num,Average_salary-assistant_professors_num,Average_salary-all_ranks_num,Average_compensation-full_professors_num,Average_compensation-associate_professors_num,Average_compensation-assistant_professors_num,Average_compensation-all_ranks_num,Number_of_full_professors_num,Number_of_associate_professors_num,Number_of_assistant_professors_num,Number_of_instructors_num
132,261,DC,IIA,623.0,480.0,399.0,482,814.0,638.0,534.0,637,86,67,70,35
133,637,DC,I,729.0,542.0,447.0,610,874.0,653.0,536.0,733,316,175,134,12
134,528,DC,I,857.0,552.0,427.0,618,1080.0,710.0,546.0,785,192,157,154,25
135,891,DC,I,656.0,483.0,403.0,481,780.0,591.0,494.0,587,241,282,189,111
136,30,DC,IIB,,360.0,288.0,330,,453.0,364.0,413,3,10,17,0
137,47,DC,IIB,457.0,362.0,293.0,350,536.0,435.0,349.0,415,12,12,21,2
138,400,DC,IIA,559.0,476.0,390.0,491,686.0,586.0,482.0,604,184,113,95,8
139,183,DE,IIA,545.0,435.0,359.0,379,716.0,583.0,491.0,515,29,47,61,34
140,26,DE,IIB,492.0,405.0,,417,613.0,511.0,,528,8,14,3,1
141,953,DE,I,723.0,531.0,422.0,556,922.0,693.0,554.0,721,341,319,217,65
142,49,DE,IIB,448.0,373.0,334.0,376,565.0,449.0,396.0,456,14,12,22,1
143,215,FL,IIA,488.0,420.0,350.0,394,598.0,508.0,424.0,477,39,77,84,15
144,90,FL,IIA,438.0,482.0,351.0,403,520.0,570.0,421.0,480,23,22,37,4
145,299,FL,IIA,457.0,369.0,310.0,365,556.0,452.0,383.0,446,70,130,84,7
146,364,FL,IIA,524.0,426.0,359.0,424,661.0,543.0,460.0,540,103,123,111,27
147,528,FL,IIA,580.0,426.0,394.0,461,750.0,559.0,517.0,601,183,147,159,30
148,87,FL,IIB,534.0,424.0,357.0,436,676.0,547.0,472.0,563,32,18,37,0
149,96,FL,IIB,440.0,369.0,331.0,369,552.0,473.0,409.0,463,30,18,44,4
150,1038,FL,I,564.0,399.0,378.0,473,729.0,525.0,494.0,616,510,316,192,16
151,154,FL,IIA,542.0,420.0,321.0,457,678.0,519.0,378.0,564,78,43,26,7
152,185,FL,IIA,622.0,437.0,370.0,477,794.0,561.0,467.0,605,61,52,65,2
153,2261,FL,I,613.0,430.0,399.0,501,790.0,567.0,527.0,653,981,721,510,49
154,769,FL,I,693.0,510.0,408.0,513,895.0,654.0,514.0,659,291,200,147,20
155,1038,FL,I,571.0,418.0,369.0,455,735.0,547.0,483.0,591,387,319,239,45
156,127,FL,IIB,495.0,425.0,371.0,416,593.0,513.0,438.0,497,36,37,46,4
157,593,FL,IIA,560.0,420.0,369.0,435,698.0,527.0,465.0,545,176,207,162,42
158,221,FL,IIA,489.0,391.0,350.0,390,636.0,505.0,458.0,507,59,65,75,22
159,66,FL,IIB,413.0,369.0,333.0,348,491.0,451.0,390.0,412,11,14,28,13
160,767,FL,IIA,558.0,423.0,395.0,433,719.0,553.0,509.0,562,182,261,220,76
161,230,FL,IIB,498.0,405.0,343.0,408,663.0,544.0,462.0,547,73,81,57,19
162,66,GA,IIB,527.0,421.0,356.0,426,651.0,528.0,441.0,528,19,24,19,4
163,138,GA,IIB,444.0,395.0,335.0,371,578.0,519.0,437.0,484,38,24,68,8
164,201,GA,IIB,462.0,367.0,315.0,347,588.0,457.0,391.0,434,38,32,119,12
165,183,GA,IIA,503.0,409.0,336.0,383,645.0,520.0,431.0,489,40,43,79,21
166,92,GA,IIB,515.0,403.0,343.0,399,650.0,519.0,439.0,509,25,20,38,3
167,178,GA,IIA,456.0,375.0,333.0,396,588.0,491.0,437.0,515,75,50,51,2
168,549,GA,I,796.0,547.0,451.0,608,972.0,686.0,567.0,753,203,177,161,8
169,142,GA,IIB,471.0,382.0,339.0,379,596.0,490.0,439.0,487,37,39,49,17
170,626,GA,I,684.0,517.0,462.0,558,862.0,665.0,594.0,711,235,206,167,17
171,146,GA,IIB,457.0,386.0,360.0,398,587.0,496.0,460.0,511,44,58,40,4
172,603,GA,IIA,495.0,408.0,328.0,363,623.0,509.0,407.0,453,105,135,254,109
173,793,GA,I,666.0,474.0,390.0,502,817.0,594.0,493.0,624,258,254,241,40
174,350,GA,IIA,523.0,428.0,353.0,399,661.0,542.0,445.0,506,69,116,111,54
175,246,GA,IIA,555.0,423.0,351.0,433,686.0,538.0,435.0,540,76,78,81,11
176,44,GA,IIB,516.0,454.0,329.0,450,630.0,550.0,390.0,546,21,9,10,0
177,55,GA,IIB,370.0,308.0,294.0,317,439.0,368.0,355.0,379,16,17,17,5
178,1658,GA,I,619.0,444.0,378.0,489,768.0,553.0,464.0,607,650,552,391,64
179,311,GA,IIA,477.0,386.0,344.0,390,603.0,496.0,445.0,500,88,90,114,19
180,272,GA,IIA,466.0,391.0,353.0,392,595.0,502.0,454.0,502,98,50,97,27
181,179,GA,IIA,447.0,388.0,340.0,373,571.0,496.0,440.0,479,47,41,80,11
182,38,GA,IIB,429.0,371.0,312.0,388,519.0,492.0,390.0,484,19,12,6,1
183,1099,HI,I,713.0,532.0,458.0,570,887.0,677.0,587.0,719,442,285,272,100
184,20,HI,IIB,513.0,,396.0,449,654.0,,512.0,576,8,4,8,0
185,141,HI,IIB,576.0,461.0,414.0,467,731.0,591.0,534.0,598,43,47,37,14
186,60,IA,IIB,367.0,324.0,286.0,313,473.0,412.0,359.0,398,16,13,28,3
187,72,IA,IIB,484.0,416.0,339.0,382,606.0,522.0,440.0,486,20,12,30,10
188,89,IA,IIB,464.0,413.0,334.0,395,572.0,507.0,405.0,483,23,36,22,8
189,54,IA,IIB,436.0,361.0,312.0,338,512.0,445.0,379.0,407,11,10,25,8
190,73,IA,IIB,516.0,421.0,340.0,436,671.0,541.0,459.0,570,30,21,22,0
191,75,IA,IIB,578.0,426.0,368.0,468,693.0,534.0,463.0,574,31,22,17,5
192,72,IA,IIB,411.0,356.0,308.0,355,548.0,470.0,406.0,472,30,14,16,12
193,285,IA,IIA,601.0,458.0,409.0,481,762.0,578.0,496.0,600,101,61,107,16
194,70,IA,IIB,411.0,331.0,301.0,345,490.0,401.0,366.0,418,26,11,29,1
195,75,IA,IIB,385.0,320.0,295.0,329,481.0,405.0,377.0,416,22,31,20,2
196,139,IA,IIB,642.0,517.0,405.0,513,809.0,641.0,496.0,638,46,36,52,3
197,1188,IA,I,684.0,506.0,404.0,534,842.0,635.0,514.0,666,467,353,284,84
198,109,IA,IIB,419.0,363.0,314.0,363,531.0,438.0,378.0,445,37,35,31,6
199,155,IA,IIB,478.0,399.0,347.0,404,630.0,548.0,445.0,531,63,26,50,16
200,66,IA,IIB,389.0,331.0,303.0,341,495.0,414.0,365.0,425,20,29,16,1
201,63,IA,IIB,379.0,356.0,334.0,337,465.0,427.0,396.0,405,7,20,28,8
202,18,IA,IIA,,,,302,,,,373,0,0,0,0
203,58,IA,IIB,430.0,372.0,311.0,344,531.0,477.0,394.0,434,9,16,27,6
204,67,IA,IIB,491.0,377.0,339.0,394,645.0,473.0,434.0,504,25,11,17,14
205,98,IA,IIB,431.0,374.0,325.0,362,541.0,471.0,401.0,450,29,15,44,8
206,622,IA,IIA,586.0,469.0,390.0,447,730.0,591.0,491.0,561,155,152,226,89
207,58,IA,IIB,351.0,315.0,309.0,323,443.0,392.0,358.0,396,19,23,14,2
208,1064,IA,I,706.0,509.0,432.0,579,872.0,643.0,549.0,723,486,308,260,10
209,27,IA,IIB,,,287.0,303,,,348.0,366,4,5,6,12
210,89,IA,IIB,447.0,370.0,308.0,358,564.0,469.0,385.0,451,25,21,29,4
211,54,IA,IIB,,314.0,289.0,292,,388.0,355.0,359,5,13,22,14
212,45,IA,IIB,351.0,312.0,269.0,294,420.0,386.0,335.0,363,8,11,19,7
213,427,ID,IIA,448.0,391.0,354.0,391,566.0,498.0,453.0,498,157,111,100,7
214,56,ID,IIB,424.0,338.0,266.0,336,540.0,430.0,338.0,428,16,20,19,1
215,460,ID,IIA,466.0,382.0,337.0,368,588.0,487.0,433.0,471,128,99,113,120
216,110,ID,IIB,391.0,329.0,292.0,338,499.0,425.0,381.0,436,39,35,35,1
217,71,ID,IIB,,,,341,,,,448,0,0,0,0
218,546,ID,I,514.0,408.0,373.0,438,640.0,514.0,472.0,550,217,165,155,9
219,137,IL,IIB,527.0,425.0,362.0,418,648.0,523.0,449.0,517,41,28,50,18
220,69,IL,IIB,434.0,379.0,339.0,372,528.0,461.0,402.0,447,18,16,19,16
221,32,IL,IIB,507.0,405.0,333.0,402,599.0,473.0,394.0,474,9,9,14,0
222,23,IL,IIB,,,,312,,,,370,0,0,0,0
223,295,IL,IIA,570.0,464.0,378.0,442,679.0,562.0,449.0,529,75,88,100,30
224,50,IL,IIB,446.0,422.0,345.0,392,551.0,524.0,435.0,489,12,15,23,0
225,171,IL,IIB,,,,349,,,,446,0,0,0,0
226,78,IL,IIB,399.0,351.0,295.0,351,487.0,435.0,374.0,435,30,23,24,1
227,500,IL,IIA,702.0,543.0,427.0,524,857.0,681.0,527.0,648,120,173,152,55
228,560,IL,IIA,442.0,373.0,333.0,364,515.0,438.0,393.0,428,190,161,120,87
229,37,IL,IIB,,370.0,315.0,355,,458.0,390.0,438,5,16,16,0
230,57,IL,IIB,374.0,331.0,292.0,336,466.0,424.0,370.0,422,27,11,15,4
231,51,IL,IIB,522.0,424.0,347.0,424,621.0,503.0,410.0,502,16,18,14,3
232,287,IL,I,680.0,480.0,452.0,512,836.0,606.0,558.0,636,93,81,73,11
233,720,IL,I,548.0,436.0,373.0,460,638.0,514.0,445.0,541,289,187,244,0
234,331,IL,IIA,460.0,378.0,359.0,394,529.0,439.0,418.0,455,139,88,71,0
235,351,IL,IIA,446.0,369.0,320.0,345,509.0,425.0,371.0,399,120,65,77,14
236,129,IL,IIB,570.0,452.0,374.0,445,729.0,593.0,477.0,572,32,42,47,8
237,29,IL,IIB,400.0,358.0,305.0,358,486.0,445.0,366.0,438,10,12,6,1
238,19,IL,IIB,,357.0,,319,,423.0,,377,1,11,3,4
239,77,IL,IIB,508.0,414.0,342.0,432,650.0,518.0,416.0,544,35,17,20,5
240,81,IL,IIB,644.0,475.0,402.0,495,843.0,650.0,543.0,662,26,22,24,5
241,138,IL,IIA,467.0,392.0,330.0,357,561.0,481.0,407.0,437,37,20,29,52
242,563,IL,I,761.0,536.0,433.0,570,924.0,664.0,536.0,701,164,230,163,6
243,69,IL,IIB,324.0,263.0,250.0,262,393.0,334.0,307.0,318,13,9,16,31
244,47,IL,IIB,433.0,397.0,341.0,381,539.0,493.0,407.0,467,16,10,16,5
245,124,IL,IIB,478.0,409.0,313.0,386,583.0,501.0,383.0,472,34,38,46,6
246,44,IL,IIB,443.0,339.0,325.0,381,544.0,412.0,385.0,464,20,12,11,1
247,253,IL,IIA,490.0,405.0,337.0,348,566.0,472.0,394.0,405,20,51,120,23
248,97,IL,IIB,473.0,399.0,348.0,398,588.0,501.0,437.0,497,24,40,28,5
249,65,IL,IIB,415.0,337.0,285.0,339,540.0,426.0,352.0,431,23,18,18,2
250,944,IL,I,578.0,435.0,375.0,440,667.0,509.0,443.0,515,314,266,246,112
251,872,IL,I,860.0,596.0,496.0,712,1045.0,735.0,602.0,868,460,209,203,0
252,92,IL,IIA,391.0,335.0,278.0,320,476.0,412.0,346.0,395,26,22,36,8
253,49,IL,IIB,465.0,400.0,345.0,395,572.0,540.0,414.0,490,20,9,13,7
254,55,IL,IIB,372.0,371.0,285.0,345,459.0,462.0,351.0,427,18,21,14,2
255,152,IL,IIA,484.0,405.0,359.0,416,610.0,517.0,464.0,531,50,58,42,2
256,72,IL,IIB,448.0,378.0,377.0,382,543.0,479.0,454.0,468,10,25,34,3
257,977,IL,I,564.0,436.0,359.0,422,657.0,517.0,431.0,500,272,255,313,33
258,421,IL,IIA,531.0,442.0,389.0,453,616.0,520.0,462.0,531,168,126,95,24
259,91,IL,IIA,463.0,395.0,315.0,409,576.0,493.0,403.0,511,38,36,17,0
260,159,IL,IIA,551.0,452.0,388.0,439,667.0,548.0,471.0,531,22,78,53,6
261,31,IL,IIB,,346.0,291.0,320,,406.0,347.0,377,5,11,13,2
262,802,IL,I,894.0,586.0,515.0,742,1104.0,724.0,636.0,916,467,138,161,36
263,1868,IL,I,682.0,493.0,421.0,570,783.0,574.0,494.0,659,927,520,393,1
264,1135,IL,I,656.0,476.0,411.0,513,755.0,555.0,483.0,596,401,369,296,20
265,606,IL,IIA,506.0,427.0,350.0,421,587.0,500.0,414.0,493,241,171,123,62
266,156,IL,IIA,510.0,437.0,368.0,452,640.0,569.0,461.0,574,67,54,32,3
267,47,IL,IIB,576.0,540.0,396.0,487,694.0,660.0,480.0,591,15,12,16,4
268,163,IL,IIA,499.0,437.0,370.0,433,594.0,516.0,447.0,516,50,62,46,5
269,138,IN,IIB,415.0,340.0,316.0,347,532.0,427.0,389.0,437,43,45,36,14
270,965,IN,I,517.0,410.0,332.0,384,666.0,537.0,438.0,501,297,160,350,155
271,36,IN,IIB,,,285.0,295,,,363.0,376,5,4,26,1
272,220,IN,IIA,521.0,442.0,366.0,439,650.0,551.0,447.0,544,72,66,77,3
273,146,IN,IIB,540.0,433.0,361.0,452,695.0,570.0,465.0,587,51,57,38,0
274,79,IN,IIB,514.0,394.0,338.0,445,639.0,483.0,414.0,551,44,13,22,0
275,170,IN,IIA,500.0,415.0,351.0,414,602.0,505.0,415.0,496,57,43,58,4
276,60,IN,IIB,440.0,363.0,325.0,381,549.0,453.0,411.0,477,24,16,20,0
277,84,IN,IIB,388.0,341.0,291.0,345,479.0,410.0,344.0,418,37,19,28,0
278,31,IN,IIB,326.0,264.0,228.0,285,439.0,372.0,334.0,395,14,11,6,0
279,92,IN,IIB,555.0,437.0,377.0,432,682.0,539.0,455.0,524,28,16,35,13
280,38,IN,IIB,438.0,367.0,305.0,358,544.0,455.0,379.0,444,11,11,13,3
281,125,IN,IIA,487.0,408.0,358.0,382,620.0,515.0,433.0,469,16,38,52,19
282,181,IN,IIA,493.0,421.0,377.0,384,636.0,545.0,477.0,491,35,38,58,50
283,1361,IN,I,674.0,479.0,399.0,540,852.0,615.0,507.0,685,624,344,305,1
284,59,IN,IIB,,405.0,327.0,341,,529.0,424.0,443,5,12,24,0
285,303,IN,IIA,498.0,408.0,340.0,385,648.0,534.0,444.0,503,53,106,123,15
286,688,IN,IIA,643.0,469.0,405.0,469,820.0,604.0,514.0,599,170,217,215,1
287,81,IN,IIB,519.0,432.0,380.0,397,665.0,548.0,482.0,504,13,21,29,0
288,152,IN,IIA,544.0,446.0,355.0,410,694.0,575.0,449.0,522,25,63,33,0
289,175,IN,IIA,544.0,445.0,391.0,420,696.0,571.0,495.0,537,32,56,57,0
290,125,IN,IIA,529.0,408.0,369.0,422,679.0,526.0,470.0,540,41,24,42,0
291,74,IN,IIB,412.0,340.0,289.0,340,527.0,416.0,348.0,420,24,22,17,11
292,79,IN,IIB,420.0,329.0,303.0,330,520.0,411.0,379.0,411,15,23,34,5
293,81,IN,IIB,396.0,342.0,294.0,335,492.0,431.0,367.0,418,22,23,34,2
294,28,IN,IIB,,282.0,252.0,269,,340.0,314.0,328,3,11,10,4
