,year_zone_cat,year_cat,strip_num,pdk_num,damage_rankRJT_cat,damage_rankALL_cat,dry_or_irr_cat,zone_cat,GG_new_cat
49,8c,88,9.0,3.0,2,0,D,C,high
50,8c,88,10.0,1.0,3,3,O,C,high
51,8c,88,10.0,2.0,5,2,D,C,high
52,8c,88,10.0,4.0,4,3,D,C,high
53,9f,89,1.0,1.0,4,4,D,F,high
54,9f,89,1.0,2.0,5,5,D,F,veryhigh
55,9f,89,1.0,3.0,0,0,D,F,low
56,9f,89,1.0,4.0,2,4,D,F,veryhigh
57,9f,89,2.0,1.0,4,1,D,F,veryhigh
58,9f,89,2.0,2.0,2,1,D,F,veryhigh
59,9f,89,2.0,3.0,3,4,D,F,veryhigh
60,9f,89,3.0,1.0,1,1,D,F,average
61,9f,89,3.0,2.0,3,2,D,F,high
62,9f,89,3.0,3.0,4,4,D,F,veryhigh
63,9f,89,4.0,1.0,4,2,D,F,high
64,9f,89,4.0,2.0,1,4,D,F,average
65,9m,89,5.0,1.0,0,0,B,M,low
66,9m,89,5.0,2.0,3,4,D,M,veryhigh
67,9m,89,6.0,1.0,2,2,D,M,low
68,9m,89,6.0,2.0,4,4,D,M,low
69,9m,89,6.0,3.0,5,4,D,M,average
70,9m,89,7.0,1.0,0,2,B,M,average
71,9m,89,7.0,2.0,1,0,B,M,low
72,9c,89,9.0,1.0,1,2,D,C,low
73,9c,89,9.0,2.0,3,3,D,C,low
74,9c,89,9.0,3.0,2,1,D,C,high
75,9c,89,10.0,1.0,2,4,O,C,average
76,9c,89,10.0,2.0,2,1,D,C,low
77,9c,89,10.0,3.0,1,3,O,C,average
78,0f,90,1.0,1.0,5,5,D,F,high
79,0f,90,1.0,2.0,1,1,D,F,average
80,0f,90,1.0,3.0,1,1,D,F,average
81,0f,90,2.0,1.0,3,3,D,F,high
82,0f,90,2.0,2.0,2,2,D,F,high
83,0f,90,2.0,3.0,0,0,D,F,low
84,0f,90,3.0,1.0,1,1,O,F,average
85,0f,90,3.0,2.0,2,3,D,F,average
86,0f,90,3.0,3.0,4,4,D,F,high
87,0f,90,4.0,1.0,5,4,D,F,average
88,0f,90,4.0,2.0,3,3,D,F,average
89,0f,90,4.0,3.0,3,4,D,F,high
90,0m,90,5.0,1.0,0,0,B,M,low
91,0m,90,5.0,2.0,5,5,D,M,high
92,0m,90,5.0,3.0,1,1,B,M,high
93,0m,90,6.0,1.0,1,1,D,M,low
94,0m,90,6.0,2.0,2,1,D,M,low
95,0m,90,6.0,3.0,4,4,D,M,average
96,0m,90,7.0,1.0,0,0,B,M,low
97,0m,90,7.0,2.0,4,3,D,M,average
98,0c,90,9.0,1.0,4,2,D,C,high
99,0c,90,9.0,2.0,2,2,D,C,average
100,0c,90,9.0,3.0,4,4,D,C,average
101,0c,90,10.0,1.0,3,3,O,C,average
102,0c,90,10.0,2.0,4,4,D,C,high
103,0c,90,10.0,3.0,5,5,O,C,high
104,1f,91,1.0,1.0,1,1,D,F,high
105,1f,91,1.0,2.0,2,2,D,F,average
106,1f,91,1.0,3.0,5,4,D,F,veryhigh
107,1f,91,2.0,1.0,3,3,D,F,high
108,1f,91,2.0,2.0,1,1,D,F,average
109,1f,91,2.0,3.0,2,1,D,F,low
110,1f,91,3.0,1.0,2,2,D,F,average
111,1f,91,3.0,2.0,0,0,D,F,average
112,1f,91,4.0,1.0,3,2,D,F,low
113,1f,91,4.0,2.0,1,2,D,F,average
114,1f,91,4.0,3.0,1,1,D,F,low
115,1m,91,5.0,1.0,0,1,B,M,low
116,1m,91,5.0,2.0,2,2,B,M,low
117,1m,91,5.0,3.0,2,2,B,M,low
118,1m,91,6.0,1.0,5,5,D,M,average
119,1m,91,6.0,2.0,2,1,B,M,low
120,1m,91,6.0,3.0,3,2,D,M,low
121,1m,91,7.0,1.0,0,0,B,M,low
122,1m,91,7.0,2.0,3,0,D,M,average
123,1c,91,9.0,1.0,3,2,D,C,high
124,1c,91,9.0,2.0,3,3,D,C,low
125,1c,91,9.0,3.0,3,2,B,C,average
126,1c,91,10.0,1.0,5,4,D,C,high
127,1c,91,10.0,2.0,3,3,O,C,average
128,1c,91,10.0,3.0,2,1,O,C,average
129,2f,92,1.0,1.0,1,1,D,F,veryhigh
130,2f,92,1.0,2.0,0,0,D,F,average
131,2f,92,1.0,3.0,3,3,D,F,low
132,2f,92,1.0,4.0,3,3,D,F,veryhigh
133,2f,92,2.0,1.0,1,1,D,F,average
134,2f,92,2.0,2.0,2,2,D,F,low
135,2f,92,2.0,3.0,4,4,D,F,average
136,2f,92,3.0,1.0,3,3,D,F,high
137,2f,92,3.0,2.0,2,2,D,F,average
138,2f,92,3.0,3.0,1,1,O,F,high
139,2f,92,4.0,1.0,3,3,D,F,average
140,2f,92,4.0,2.0,4,4,D,F,veryhigh
141,2f,92,4.0,3.0,1,1,D,F,low
142,2m,92,6.0,1.0,0,0,B,M,low
143,2m,92,6.0,2.0,2,2,D,M,low
144,2m,92,6.0,3.0,4,4,D,M,high
145,2m,92,7.0,1.0,2,1,B,M,average
146,2m,92,7.0,2.0,5,4,D,M,high
147,2m,92,7.0,3.0,3,3,D,M,high
148,2c,92,9.0,1.0,1,2,D,C,veryhigh
149,2c,92,9.0,2.0,4,4,D,C,high
150,2c,92,9.0,4.0,1,1,B,C,average
151,2c,92,10.0,1.0,3,3,O,C,high
152,2c,92,10.0,2.0,1,1,D,C,average
153,2c,92,10.0,3.0,2,2,O,C,average
154,2c,92,10.0,4.0,3,3,D,C,high
