,binaryClass_cat,country_code_num,year_num,strike_volume_num,unemployment_num,inflation_num,parliamentary_representation_num
56,N,2.0,1972.0,6.0,1.1,6.4,50.8
57,N,2.0,1973.0,61.0,1.0,7.5,50.8
58,N,2.0,1974.0,3.0,1.1,9.5,50.8
59,N,2.0,1975.0,2.0,1.7,8.5,50.8
60,N,2.0,1976.0,0.0,1.7,7.3,50.8
61,N,2.0,1977.0,0.0,1.6,5.5,50.8
62,N,2.0,1978.0,4.0,1.8,3.6,50.8
63,N,2.0,1979.0,0.0,1.7,3.7,51.9
64,N,2.0,1980.0,6.0,1.6,6.3,51.9
65,N,2.0,1981.0,1.0,2.1,6.8,51.9
66,N,2.0,1982.0,0.0,3.1,5.4,51.9
67,N,2.0,1983.0,0.0,3.8,3.3,49.2
68,N,2.0,1984.0,0.0,3.9,5.7,49.2
69,N,2.0,1985.0,8.0,4.1,3.2,49.2
70,N,3.0,1951.0,242.0,4.5,9.6,39.6
71,N,3.0,1952.0,356.0,5.2,0.9,39.6
72,N,3.0,1953.0,170.0,5.5,-0.3,39.6
73,N,3.0,1954.0,182.0,5.2,1.3,42.5
74,N,3.0,1955.0,403.0,4.0,-0.5,42.5
75,N,3.0,1956.0,372.0,2.9,2.8,42.5
76,N,3.0,1957.0,1453.0,2.4,3.2,42.5
77,N,3.0,1958.0,114.0,3.4,1.3,40.6
78,N,3.0,1959.0,383.0,4.1,1.2,40.6
79,N,3.0,1960.0,129.0,3.4,0.3,40.6
80,N,3.0,1961.0,35.0,2.7,1.0,42.0
81,N,3.0,1962.0,100.0,2.1,1.4,42.0
82,N,3.0,1963.0,90.0,1.7,2.2,42.0
83,N,3.0,1964.0,157.0,1.5,4.2,42.0
84,N,3.0,1965.0,25.0,1.7,4.1,33.0
85,N,3.0,1966.0,189.0,1.8,4.2,33.0
86,N,3.0,1967.0,64.0,2.5,2.9,33.0
87,N,3.0,1968.0,129.0,2.9,2.7,30.2
88,N,3.0,1969.0,56.0,2.3,3.8,30.2
89,N,3.0,1970.0,483.0,1.9,3.9,30.2
90,N,3.0,1971.0,410.0,1.8,4.3,30.2
91,N,3.0,1972.0,117.0,2.3,5.5,31.1
92,N,3.0,1973.0,282.0,2.3,7.0,31.1
93,N,3.0,1974.0,184.0,2.4,12.7,29.7
94,N,3.0,1975.0,196.0,4.4,12.8,29.7
95,N,3.0,1976.0,291.0,5.8,9.2,29.7
96,N,3.0,1977.0,216.0,6.6,7.1,30.2
97,N,3.0,1978.0,325.0,7.1,4.5,30.2
98,N,3.0,1979.0,197.0,7.3,4.5,29.3
99,N,3.0,1980.0,69.0,7.7,6.7,29.3
100,P,4.0,1951.0,242.0,2.4,10.4,78.7
101,P,4.0,1952.0,5918.0,2.9,2.5,78.7
102,P,4.0,1953.0,335.0,2.9,-0.9,73.5
103,P,4.0,1954.0,372.0,4.5,0.6,73.5
104,P,4.0,1955.0,454.0,4.3,0.2,73.5
105,P,4.0,1956.0,284.0,3.3,1.4,73.5
106,P,4.0,1957.0,325.0,4.5,3.2,49.0
107,P,4.0,1958.0,618.0,6.9,2.6,21.5
108,P,4.0,1959.0,470.0,5.9,1.1,21.5
109,P,4.0,1960.0,153.0,6.9,1.3,21.5
110,P,4.0,1961.0,28.0,7.1,0.9,21.5
111,P,4.0,1962.0,279.0,5.4,1.2,44.9
112,P,4.0,1963.0,175.0,5.1,1.8,55.1
113,P,4.0,1964.0,289.0,4.3,1.8,55.1
114,P,4.0,1965.0,408.0,3.6,2.5,57.3
115,P,4.0,1966.0,849.0,3.3,3.7,57.3
116,P,4.0,1967.0,612.0,3.8,3.6,57.3
117,P,4.0,1968.0,762.0,4.4,4.1,67.0
118,P,4.0,1969.0,1125.0,4.4,4.5,67.0
119,P,4.0,1970.0,934.0,5.6,3.4,67.0
120,P,4.0,1971.0,399.0,6.1,2.8,67.0
121,P,4.0,1972.0,1041.0,6.2,4.8,53.0
122,P,4.0,1973.0,732.0,5.5,7.6,53.0
123,P,4.0,1974.0,1121.0,5.3,10.9,59.0
124,P,4.0,1975.0,1303.0,6.9,10.8,59.0
125,P,4.0,1976.0,1359.0,7.1,7.5,59.0
126,P,4.0,1977.0,381.0,8.0,8.0,59.0
127,P,4.0,1978.0,826.0,8.3,8.9,59.0
128,P,4.0,1979.0,841.0,7.4,9.1,49.6
129,P,4.0,1980.0,930.0,7.4,10.2,63.4
130,P,4.0,1981.0,894.0,7.5,12.5,63.4
131,P,4.0,1982.0,605.0,10.9,10.8,63.4
132,P,4.0,1983.0,462.0,11.8,5.8,63.4
133,P,4.0,1984.0,393.0,11.2,4.3,24.8
134,P,4.0,1985.0,315.0,10.4,4.0,24.8
135,N,5.0,1951.0,3.0,9.7,10.5,44.6
136,N,5.0,1952.0,3.0,12.5,3.8,44.6
137,N,5.0,1953.0,2.0,9.2,0.9,45.6
138,N,5.0,1954.0,17.0,9.0,0.0,46.9
139,N,5.0,1955.0,7.0,9.7,5.5,46.9
140,N,5.0,1956.0,789.0,11.1,6.0,46.9
141,N,5.0,1957.0,5.0,9.9,2.7,43.4
142,N,5.0,1958.0,6.0,9.2,0.7,43.4
143,N,5.0,1959.0,12.0,5.9,1.7,43.4
144,N,5.0,1960.0,41.0,4.2,1.3,43.4
145,N,5.0,1961.0,1486.0,3.3,3.5,49.7
146,N,5.0,1962.0,9.0,1.8,7.4,49.7
147,N,5.0,1963.0,15.0,2.0,6.1,49.7
148,N,5.0,1964.0,11.0,1.4,3.1,49.7
149,N,5.0,1965.0,143.0,1.2,5.5,49.1
150,N,5.0,1966.0,9.0,1.4,7.1,50.9
151,N,5.0,1967.0,6.0,1.2,8.2,50.9
152,N,5.0,1968.0,19.0,1.2,8.0,44.0
153,N,5.0,1969.0,31.0,1.1,3.5,44.0
154,N,5.0,1970.0,56.0,0.7,6.5,44.0
155,N,5.0,1971.0,11.0,1.1,5.9,44.0
156,N,5.0,1972.0,11.0,0.9,6.6,49.7
157,N,5.0,1973.0,2001.0,0.9,9.3,49.7
158,N,5.0,1974.0,94.0,3.5,15.3,36.0
159,N,5.0,1975.0,52.0,4.9,9.6,41.7
160,N,5.0,1976.0,107.0,6.3,9.0,41.7
161,N,5.0,1977.0,115.0,7.3,11.1,48.0
162,N,5.0,1978.0,64.0,8.3,10.0,48.0
163,N,5.0,1979.0,84.0,6.0,9.6,48.0
164,N,5.0,1980.0,90.0,6.5,12.3,48.6
165,N,5.0,1981.0,319.0,10.3,11.7,48.6
166,N,5.0,1982.0,45.0,11.0,10.1,48.0
167,N,5.0,1983.0,38.0,11.4,6.9,48.0
168,N,5.0,1984.0,62.0,8.5,6.3,46.9
169,N,5.0,1985.0,1056.0,7.3,4.7,46.9
170,N,6.0,1951.0,288.0,0.1,16.3,26.5
171,N,6.0,1952.0,47.0,0.1,1.0,26.5
172,N,6.0,1953.0,54.0,0.3,2.0,26.5
173,N,6.0,1954.0,96.0,0.1,0.0,27.0
174,N,6.0,1955.0,281.0,0.1,-2.9,27.0
175,N,6.0,1956.0,5568.0,0.1,11.0,27.0
176,N,6.0,1957.0,174.0,0.3,11.3,27.0
177,N,6.0,1958.0,35.0,0.4,6.6,27.0
178,N,6.0,1959.0,323.0,2.3,1.5,25.5
179,N,6.0,1960.0,71.0,1.5,3.2,25.5
180,N,6.0,1961.0,30.0,1.2,1.8,25.5
181,N,6.0,1962.0,23.0,1.3,4.5,20.0
182,N,6.0,1963.0,961.0,1.5,4.9,20.0
183,N,6.0,1964.0,39.0,1.5,10.4,20.0
184,N,6.0,1965.0,11.0,1.4,4.8,20.0
185,N,6.0,1966.0,80.0,1.5,3.9,31.0
186,N,6.0,1967.0,211.0,2.9,5.6,31.0
187,N,6.0,1968.0,186.0,3.8,9.2,31.0
188,N,6.0,1969.0,104.0,2.8,2.2,31.0
189,N,6.0,1970.0,100.0,1.9,2.7,26.0
190,N,6.0,1971.0,143.0,2.2,6.5,26.0
191,N,6.0,1972.0,1632.0,2.5,7.1,27.5
192,N,6.0,1973.0,272.0,2.3,11.0,27.5
193,N,6.0,1974.0,239.0,1.7,16.7,27.5
194,N,6.0,1975.0,155.0,2.2,17.8,27.5
195,N,6.0,1976.0,684.0,3.8,14.4,27.0
196,N,6.0,1977.0,1310.0,5.8,12.7,27.0
197,N,6.0,1978.0,73.0,7.2,7.8,27.0
198,N,6.0,1979.0,131.0,5.9,7.5,26.0
199,N,6.0,1980.0,836.0,4.6,11.6,26.0
200,N,6.0,1981.0,337.0,5.1,12.0,26.0
201,N,6.0,1982.0,105.0,5.8,9.6,26.0
202,N,6.0,1983.0,361.0,6.1,8.4,28.5
203,N,6.0,1984.0,754.0,4.9,7.1,28.5
204,N,6.0,1985.0,84.0,4.8,5.9,28.5
205,P,7.0,1951.0,299.0,0.6,17.7,49.3
206,P,7.0,1952.0,146.0,0.7,12.0,49.3
207,P,7.0,1953.0,807.0,0.9,-1.9,49.3
208,P,7.0,1954.0,119.0,1.6,0.4,49.3
209,P,7.0,1955.0,251.0,1.5,1.0,49.3
210,P,7.0,1956.0,114.0,1.1,4.3,56.6
211,P,7.0,1957.0,324.0,0.8,-0.8,56.6
212,P,7.0,1958.0,88.0,0.9,15.3,56.6
213,P,7.0,1959.0,151.0,1.3,5.7,16.6
214,P,7.0,1960.0,82.0,1.2,4.2,16.6
215,P,7.0,1961.0,198.0,1.1,2.4,16.6
216,P,7.0,1962.0,142.0,1.1,5.2,16.6
217,P,7.0,1963.0,434.0,1.2,5.1,32.4
218,P,7.0,1964.0,176.0,0.9,3.2,32.4
219,P,7.0,1965.0,69.0,1.2,2.7,32.4
220,P,7.0,1966.0,174.0,1.2,2.6,32.4
221,P,7.0,1967.0,282.0,1.6,2.8,41.0
222,P,7.0,1968.0,7000.0,2.6,4.6,19.1
223,P,7.0,1969.0,143.0,2.3,6.1,19.1
224,P,7.0,1970.0,109.0,2.4,5.9,19.1
225,P,7.0,1971.0,271.0,2.6,5.5,19.1
226,P,7.0,1972.0,228.0,2.7,6.2,19.1
227,P,7.0,1973.0,232.0,2.6,7.3,36.9
228,P,7.0,1974.0,197.0,2.8,13.7,36.9
229,P,7.0,1975.0,227.0,4.1,11.8,36.9
230,P,7.0,1976.0,235.0,4.4,9.6,36.9
231,P,7.0,1977.0,139.0,4.9,9.4,36.9
232,P,7.0,1978.0,118.0,5.2,9.1,41.7
233,P,7.0,1979.0,179.0,5.9,10.8,41.7
234,P,7.0,1980.0,86.0,6.3,13.3,41.7
235,P,7.0,1981.0,82.0,7.4,13.4,68.4
236,P,7.0,1982.0,127.0,8.1,11.8,68.4
237,P,7.0,1983.0,74.0,8.3,9.6,68.4
238,P,7.0,1984.0,75.0,9.7,7.4,68.4
239,P,7.0,1985.0,41.0,10.2,5.8,68.4
240,P,8.0,1951.0,112.0,6.4,7.7,36.3
241,P,8.0,1952.0,29.0,6.1,2.1,36.3
242,P,8.0,1953.0,95.0,5.5,-1.9,36.3
243,P,8.0,1954.0,98.0,5.2,0.2,31.0
244,P,8.0,1955.0,50.0,3.9,1.7,31.0
245,P,8.0,1956.0,89.0,3.1,2.6,31.0
246,P,8.0,1957.0,59.0,2.7,2.1,31.0
247,P,8.0,1958.0,43.0,2.7,2.1,34.0
248,P,8.0,1959.0,3.0,1.9,1.0,34.0
249,P,8.0,1960.0,2.0,0.9,1.5,34.0
250,P,8.0,1961.0,3.0,0.6,2.3,34.0
251,P,8.0,1962.0,22.0,0.6,2.9,38.1
252,P,8.0,1963.0,88.0,0.7,3.0,38.1
253,P,8.0,1964.0,1.0,0.6,2.4,38.1
254,P,8.0,1965.0,2.0,0.5,3.2,38.1
255,P,8.0,1966.0,1.0,0.6,3.6,40.7
256,P,8.0,1967.0,19.0,1.7,1.6,40.7
257,P,8.0,1968.0,1.0,1.2,1.6,40.7
258,P,8.0,1969.0,12.0,0.7,1.9,40.7
259,P,8.0,1970.0,4.0,0.6,3.4,45.2
260,P,8.0,1971.0,203.0,0.7,5.2,45.2
261,P,8.0,1972.0,3.0,0.9,5.5,45.2
262,P,8.0,1973.0,25.0,1.0,7.0,46.4
263,P,8.0,1974.0,48.0,2.1,7.0,46.4
264,P,8.0,1975.0,3.0,4.0,5.9,46.4
265,P,8.0,1976.0,25.0,4.0,4.3,46.4
266,P,8.0,1977.0,1.0,3.9,3.7,43.2
267,P,8.0,1978.0,197.0,3.7,2.7,43.2
268,P,8.0,1979.0,22.0,3.3,4.1,43.2
269,P,8.0,1980.0,6.0,3.3,5.4,43.2
270,P,8.0,1981.0,3.0,4.6,6.3,43.9
271,P,8.0,1982.0,1.0,6.7,5.3,43.9
272,P,8.0,1983.0,2.0,8.2,3.3,38.8
273,P,8.0,1984.0,260.0,8.2,2.4,38.8
274,P,8.0,1985.0,2.0,8.3,2.2,38.8
275,N,9.0,1951.0,773.0,7.3,7.9,10.88
276,N,9.0,1952.0,752.0,9.1,9.2,10.88
277,N,9.0,1953.0,117.0,9.6,5.0,10.88
278,N,9.0,1954.0,95.0,8.1,0.0,12.92
279,N,9.0,1955.0,336.0,6.8,2.6,12.92
280,N,9.0,1956.0,70.0,7.7,4.3,12.92
281,N,9.0,1957.0,135.0,9.2,4.1,8.16
282,N,9.0,1958.0,187.0,8.6,4.5,8.16
283,N,9.0,1959.0,181.0,8.0,0.0,8.16
284,N,9.0,1960.0,115.0,6.7,0.4,8.16
285,N,9.0,1961.0,589.0,5.7,2.7,11.11
286,N,9.0,1962.0,160.0,5.7,4.2,11.11
287,N,9.0,1963.0,354.0,6.1,2.5,11.11
288,N,9.0,1964.0,794.0,4.7,6.7,11.11
289,N,9.0,1965.0,796.0,4.6,5.0,15.27
290,N,9.0,1966.0,1129.0,4.7,3.1,15.27
291,N,9.0,1967.0,262.0,5.0,3.2,15.27
292,N,9.0,1968.0,574.0,5.3,4.7,15.27
293,N,9.0,1969.0,1304.0,5.0,7.4,12.5
294,N,9.0,1970.0,1405.0,5.8,8.2,12.5
295,N,9.0,1971.0,379.0,5.5,9.0,12.5
296,N,9.0,1972.0,284.0,6.2,8.7,12.5
297,N,9.0,1973.0,277.0,5.7,11.4,13.19
298,N,9.0,1974.0,720.0,5.3,17.0,13.19
299,N,9.0,1975.0,390.0,7.3,20.9,13.19
300,N,9.0,1976.0,1032.0,9.0,18.0,13.19
301,N,9.0,1977.0,571.0,8.8,13.6,11.48
302,N,9.0,1978.0,765.0,8.2,7.6,11.48
303,N,9.0,1979.0,1752.0,7.1,13.2,11.48
304,N,9.0,1980.0,480.0,7.3,18.2,11.48
305,N,9.0,1981.0,503.0,9.9,20.4,9.04
306,N,9.0,1982.0,504.0,11.4,17.1,9.04
307,N,9.0,1983.0,382.0,14.0,10.5,9.64
308,N,9.0,1984.0,472.0,15.6,8.6,9.64
309,N,9.0,1985.0,521.0,17.0,5.4,9.64
310,P,10.0,1951.0,437.0,8.8,14.3,37.5
311,P,10.0,1952.0,337.0,9.5,1.9,37.5
312,P,10.0,1953.0,545.0,10.0,1.4,40.2
313,P,10.0,1954.0,493.0,8.7,2.4,40.2
314,P,10.0,1955.0,511.0,7.5,2.3,40.2
315,P,10.0,1956.0,372.0,9.3,3.4,40.2
316,P,10.0,1957.0,407.0,7.4,1.1,40.2
317,P,10.0,1958.0,363.0,6.4,3.2,41.4
318,P,10.0,1959.0,792.0,5.4,0.0,41.4
319,P,10.0,1960.0,483.0,4.0,2.1,41.4
320,P,10.0,1961.0,803.0,3.4,2.0,41.4
321,P,10.0,1962.0,1799.0,4.4,5.0,41.4
322,P,10.0,1963.0,888.0,3.8,6.7,40.2
323,P,10.0,1964.0,1256.0,4.2,6.3,40.2
324,P,10.0,1965.0,557.0,5.3,4.2,40.2
325,P,10.0,1966.0,1163.0,5.7,2.4,40.2
326,P,10.0,1967.0,675.0,5.3,1.3,40.2
327,P,10.0,1968.0,719.0,5.6,1.2,42.5
328,P,10.0,1969.0,2875.0,5.6,2.6,42.5
329,P,10.0,1970.0,1566.0,5.3,5.0,42.5
330,P,10.0,1971.0,1098.0,5.3,4.9,42.5
331,P,10.0,1972.0,1437.0,6.3,5.7,42.7
332,P,10.0,1973.0,1698.0,6.2,10.8,42.7
333,P,10.0,1974.0,1381.0,5.3,19.1,42.7
334,P,10.0,1975.0,1918.0,5.8,17.0,42.7
335,P,10.0,1976.0,1774.0,6.6,16.7,48.6
336,P,10.0,1977.0,1149.0,7.0,18.5,48.6
337,P,10.0,1978.0,702.0,7.1,12.0,48.6
338,P,10.0,1979.0,1870.0,7.6,14.8,48.6
339,P,10.0,1980.0,1108.0,7.5,21.3,48.6
340,P,10.0,1981.0,705.0,7.8,19.5,48.6
341,P,10.0,1982.0,1245.0,8.4,16.5,48.6
342,P,10.0,1983.0,945.0,9.3,14.6,47.8
343,P,10.0,1984.0,591.0,9.7,10.8,47.8
344,P,10.0,1985.0,257.0,9.9,9.2,47.8
345,P,11.0,1951.0,439.0,1.1,16.5,17.8
346,P,11.0,1952.0,1061.0,1.2,5.0,23.6
347,P,11.0,1953.0,286.0,1.3,6.6,29.8
348,P,11.0,1954.0,249.0,1.7,6.5,29.8
349,P,11.0,1955.0,215.0,1.8,-1.0,34.1
350,P,11.0,1956.0,262.0,1.7,0.0,34.1
351,P,11.0,1957.0,300.0,1.4,3.3,34.1
352,P,11.0,1958.0,306.0,1.4,-0.4,35.8
353,P,11.0,1959.0,279.0,1.5,1.0,35.8
354,P,11.0,1960.0,216.0,1.1,3.6,35.3
355,P,11.0,1961.0,259.0,1.0,5.4,35.3
356,P,11.0,1962.0,216.0,1.3,6.8,35.3
357,P,11.0,1963.0,105.0,1.2,7.7,36.8
358,P,11.0,1964.0,115.0,1.2,3.8,36.8
359,P,11.0,1965.0,197.0,1.2,6.6,36.8
360,P,11.0,1966.0,9.0,1.3,5.1,36.8
361,P,11.0,1967.0,60.0,1.3,4.0,36.0
362,P,11.0,1968.0,90.0,1.2,5.4,36.0
363,P,11.0,1969.0,114.0,1.1,5.2,27.8
364,P,11.0,1970.0,118.0,1.1,7.7,27.8
365,P,11.0,1971.0,177.0,1.2,6.3,27.8
366,P,11.0,1972.0,149.0,1.4,4.9,35.6
367,P,11.0,1973.0,127.0,1.3,11.6,35.6
368,P,11.0,1974.0,266.0,1.4,23.2,35.6
369,P,11.0,1975.0,220.0,1.9,11.8,35.6
370,P,11.0,1976.0,88.0,2.0,9.4,33.1
371,P,11.0,1977.0,40.0,2.0,8.2,33.1
372,P,11.0,1978.0,36.0,2.2,4.2,33.1
373,P,11.0,1979.0,24.0,2.1,3.7,35.3
374,P,11.0,1980.0,25.0,2.0,7.7,32.9
375,P,11.0,1981.0,14.0,2.2,5.0,32.9
376,P,11.0,1982.0,13.0,2.4,2.7,32.9
377,P,11.0,1983.0,12.0,2.6,1.9,34.1
378,P,11.0,1984.0,8.0,2.7,2.3,34.1
379,P,11.0,1985.0,6.0,2.6,2.0,34.1
380,N,12.0,1951.0,24.0,2.4,11.9,35.0
381,N,12.0,1952.0,11.0,3.5,0.0,36.0
382,N,12.0,1953.0,10.0,2.5,0.0,36.0
383,N,12.0,1954.0,20.0,1.8,4.0,36.0
384,N,12.0,1955.0,44.0,1.3,1.9,36.0
385,N,12.0,1956.0,68.0,0.9,1.9,38.0
386,N,12.0,1957.0,2.0,1.2,6.1,38.0
387,N,12.0,1958.0,12.0,2.3,2.2,35.3
388,N,12.0,1959.0,4.0,1.8,1.1,35.3
389,N,12.0,1960.0,142.0,1.1,2.3,35.3
390,N,12.0,1961.0,7.0,0.8,1.3,35.3
391,N,12.0,1962.0,3.0,0.5,2.3,35.3
392,N,12.0,1963.0,11.0,0.6,3.3,34.0
393,N,12.0,1964.0,12.0,0.5,5.8,34.0
394,N,12.0,1965.0,15.0,0.5,5.8,34.0
395,N,12.0,1966.0,3.0,0.8,5.8,34.0
396,N,12.0,1967.0,2.0,1.6,3.5,30.7
397,N,12.0,1968.0,4.0,1.4,3.7,30.7
398,N,12.0,1969.0,6.0,1.0,7.4,30.7
399,N,12.0,1970.0,66.0,1.0,3.7,30.7
400,N,12.0,1971.0,25.0,1.3,7.5,31.3
401,N,12.0,1972.0,33.0,2.2,7.8,31.3
402,N,12.0,1973.0,141.0,2.2,8.0,34.7
403,N,12.0,1974.0,2.0,2.7,9.6,34.7
404,N,12.0,1975.0,0.0,5.2,10.2,34.7
405,N,12.0,1976.0,3.0,5.5,9.1,34.7
406,N,12.0,1977.0,57.0,5.3,6.5,37.3
407,N,12.0,1978.0,1.0,5.3,4.1,37.3
408,N,12.0,1979.0,68.0,5.4,4.2,37.3
409,N,12.0,1980.0,13.0,6.0,6.5,37.3
410,N,12.0,1981.0,5.0,8.6,6.8,33.3
411,N,12.0,1982.0,49.0,11.4,5.9,33.3
412,N,12.0,1983.0,26.0,13.7,2.8,35.3
413,N,12.0,1984.0,6.0,14.1,3.3,35.3
414,N,12.0,1985.0,19.0,12.8,2.2,35.3
415,P,13.0,1951.0,2462.0,0.0,11.1,37.5
416,P,13.0,1952.0,58.0,0.0,7.8,37.5
417,P,13.0,1953.0,38.0,0.0,4.8,37.5
418,P,13.0,1954.0,39.0,0.1,4.5,43.8
419,P,13.0,1955.0,97.0,0.0,2.6,43.8
420,P,13.0,1956.0,43.0,0.1,3.5,43.8
421,P,13.0,1957.0,49.0,0.4,2.0,51.2
422,P,13.0,1958.0,32.0,0.4,4.4,51.2
423,P,13.0,1959.0,49.0,1.2,3.7,51.2
424,P,13.0,1960.0,58.0,0.6,0.8,42.5
425,P,13.0,1961.0,59.0,0.3,1.8,42.5
426,P,13.0,1962.0,141.0,0.1,2.7,42.5
427,P,13.0,1963.0,80.0,0.1,1.9,43.8
428,P,13.0,1964.0,93.0,0.1,3.4,43.8
429,P,13.0,1965.0,29.0,0.1,3.4,43.8
430,P,13.0,1966.0,128.0,0.1,2.8,43.8
431,P,13.0,1967.0,174.0,0.1,6.1,43.8
432,P,13.0,1968.0,166.0,0.8,4.3,43.8
433,P,13.0,1969.0,171.0,0.3,4.9,46.4
434,P,13.0,1970.0,327.0,0.2,6.6,46.4
435,P,13.0,1971.0,191.0,0.2,10.5,46.4
436,P,13.0,1972.0,152.0,0.4,6.9,63.2
437,P,13.0,1973.0,300.0,0.2,8.1,63.2
438,P,13.0,1974.0,198.0,0.1,11.1,63.2
439,P,13.0,1975.0,225.0,0.2,14.6,36.8
440,P,13.0,1976.0,501.0,0.4,17.0,36.8
441,P,13.0,1977.0,437.0,0.3,14.4,36.8
442,P,13.0,1978.0,372.0,1.7,12.0,43.5
443,P,13.0,1979.0,373.0,1.9,13.7,43.5
444,P,13.0,1980.0,362.0,2.2,17.2,43.5
445,P,13.0,1981.0,354.0,3.6,15.4,46.7
446,P,13.0,1982.0,294.0,3.5,16.2,46.7
447,P,13.0,1983.0,324.0,5.6,7.4,46.7
448,P,13.0,1984.0,363.0,5.7,6.2,59.0
449,P,13.0,1985.0,632.0,4.1,15.4,59.0
450,N,14.0,1951.0,37.0,0.8,16.1,56.7
451,N,14.0,1952.0,127.0,1.0,8.8,56.7
452,N,14.0,1953.0,41.0,0.9,1.9,56.7
453,N,14.0,1954.0,104.0,0.8,4.6,53.3
454,N,14.0,1955.0,106.0,0.9,1.1,53.3
455,N,14.0,1956.0,946.0,1.0,3.6,53.3
456,N,14.0,1957.0,26.0,1.6,2.8,53.3
457,N,14.0,1958.0,59.0,1.5,4.9,52.7
458,N,14.0,1959.0,46.0,1.1,2.2,52.7
459,N,14.0,1960.0,2.0,0.9,0.4,52.7
460,N,14.0,1961.0,400.0,1.0,2.5,52.7
461,N,14.0,1962.0,76.0,1.0,5.3,50.7
462,N,14.0,1963.0,210.0,1.2,2.6,50.7
463,N,14.0,1964.0,1.0,1.1,5.7,50.7
464,N,14.0,1965.0,8.0,0.9,4.3,50.7
465,N,14.0,1966.0,5.0,0.8,3.3,46.7
466,N,14.0,1967.0,4.0,0.7,4.4,46.7
467,N,14.0,1968.0,12.0,1.1,3.5,46.7
468,N,14.0,1969.0,19.0,1.0,3.1,46.7
469,N,14.0,1970.0,39.0,0.8,10.6,49.3
470,N,14.0,1971.0,7.0,0.8,6.3,49.3
471,N,14.0,1972.0,9.0,1.7,7.2,49.3
472,N,14.0,1973.0,8.0,1.5,7.4,49.3
473,N,14.0,1974.0,227.0,1.5,9.4,52.0
474,N,14.0,1975.0,9.0,2.3,11.7,52.0
475,N,14.0,1976.0,90.0,1.8,9.2,52.0
476,N,14.0,1977.0,16.0,1.5,9.0,52.0
