,surgery_cat,Age_cat,rectal_temperature_num,pulse_num,respiratory_rate_num,temperature_of_extremities_cat,peripheral_pulse_cat,mucous_membranes_cat,capillary_refill_time_cat,pain_cat,peristalsis_cat,abdominal_distension_cat,nasogastric_tube_cat,nasogastric_reflux_cat,nasogastric_reflux_PH_num,rectal_examination_-_feces_cat,abdomen_cat,packed_cell_volume_num,total_protein_num,abdominocentesis_appearance_cat,abdomcentesis_total_protein_num,outcome_cat,surgical_lesion_cat,site_of_lesion_cat,type_of_lesion_cat,subtype_of_lesion_cat,pathology_cp_data_cat
24,1,1,38.1,60.0,12.0,3,3,3,1,,4,3,3,2,2.0,,,51.0,65.0,,,1,1,3111,0,0,2
25,2,1,37.8,60.0,42.0,,,,1,,,,,,,,,,,,,1,2,0,0,0,2
26,1,1,38.3,72.0,30.0,4,3,3,2,3,3,3,2,1,,3,5,43.0,7.0,2,3.9,1,1,3111,0,0,1
27,1,1,37.8,48.0,12.0,3,1,1,1,,3,2,1,1,,1,3,37.0,5.5,2,1.3,1,2,4122,0,0,1
28,1,1,,,,,,,,,,,,,,,,,,,,2,2,4300,0,0,2
29,2,1,37.7,48.0,,2,1,1,1,1,1,1,1,1,,,,45.0,76.0,,,1,2,0,0,0,2
30,2,1,37.7,96.0,30.0,3,3,4,2,5,4,4,3,2,4.0,4,5,66.0,7.5,,,2,1,4205,0,0,2
31,2,1,37.2,108.0,12.0,3,3,4,2,2,4,2,,3,6.0,3,3,52.0,8.2,3,7.4,3,1,2207,0,0,1
32,1,1,37.2,60.0,,2,1,1,1,3,3,3,2,1,,4,5,43.0,6.6,,,1,1,2209,0,0,2
33,1,1,38.2,64.0,28.0,1,1,1,1,3,1,,,,,4,4,49.0,8.6,2,6.6,1,1,2208,0,0,1
34,1,1,,100.0,30.0,3,3,4,2,5,4,4,3,3,,4,4,52.0,6.6,,,1,1,1124,0,0,2
35,2,1,,104.0,24.0,4,3,3,2,4,4,3,,3,,,2,73.0,8.4,,,3,1,7111,0,0,2
36,2,1,38.3,112.0,16.0,,3,5,2,,,1,1,2,,,5,51.0,6.0,2,1.0,3,2,5205,0,0,1
37,1,1,37.8,72.0,,,3,,1,5,3,1,,1,,1,1,56.0,80.0,1,2.0,1,1,3111,0,0,2
38,2,1,38.6,52.0,,1,1,1,1,3,3,2,1,1,,1,3,32.0,6.6,1,5.0,1,2,0,0,0,1
39,1,9,39.2,146.0,96.0,,,,,,,,,,,,,,,,,2,1,2113,0,0,2
40,1,1,,88.0,,3,3,6,2,5,3,3,1,3,,4,5,63.0,6.5,3,,2,1,4205,0,0,2
41,2,9,39.0,150.0,72.0,,,,,,,,,,,,,47.0,8.5,,0.1,1,1,9400,0,0,1
42,2,1,38.0,60.0,12.0,3,1,3,1,3,3,1,1,1,,2,2,47.0,7.0,,,1,2,3111,0,0,2
43,1,1,,120.0,,3,4,4,1,4,4,4,1,1,,,5,52.0,67.0,2,2.0,3,1,3205,0,0,2
44,1,1,35.4,140.0,24.0,3,3,4,2,4,4,,2,1,,,5,57.0,69.0,3,2.0,3,1,3205,0,0,2
45,2,1,,120.0,,4,3,4,2,5,4,4,1,1,,4,5,60.0,6.5,3,,2,1,3205,0,0,2
46,1,1,37.9,60.0,15.0,3,,4,2,5,4,4,2,2,,4,5,65.0,7.5,,,1,1,2305,0,0,1
47,2,1,37.5,48.0,16.0,1,1,1,1,1,1,1,1,1,,1,,37.0,6.5,,,1,2,0,0,0,2
48,1,1,38.9,80.0,44.0,3,3,3,2,2,3,3,2,2,7.0,3,1,54.0,6.5,3,,2,1,7111,0,0,2
49,2,1,37.2,84.0,48.0,3,3,5,2,4,1,2,1,2,,2,1,73.0,5.5,2,4.1,2,2,4300,0,0,1
50,2,1,38.6,46.0,,1,1,2,1,1,3,2,1,1,,,2,49.0,9.1,1,1.6,1,2,3111,0,0,1
51,1,1,37.4,84.0,36.0,1,,3,2,3,3,2,,,,4,5,,,3,,2,1,7209,0,0,1
52,2,1,,,,1,1,3,1,1,3,1,,,,2,2,43.0,7.7,,,1,2,3111,0,0,2
53,2,1,38.6,40.0,20.0,,,,1,,,,,,,,,41.0,6.4,,,1,2,3111,0,0,1
54,2,1,40.3,114.0,36.0,3,3,1,2,2,3,3,2,1,7.0,1,5,57.0,8.1,3,4.5,3,1,7400,0,0,1
55,1,9,38.6,160.0,20.0,3,,5,1,3,3,4,3,,,4,,38.0,,2,,2,1,7111,0,0,1
56,1,1,,,,,,,,,,,,,,,,24.0,6.7,,,1,1,3112,0,0,2
57,1,1,,64.0,36.0,2,,2,1,5,3,3,2,2,,,,42.0,7.7,,,2,1,3209,0,0,2
58,1,1,,,20.0,4,3,3,,5,4,3,2,,,4,4,53.0,5.9,3,,2,1,3205,0,0,1
59,2,1,,96.0,,3,3,3,2,5,4,4,1,2,,4,5,60.0,,,,2,1,4205,0,0,2
60,2,1,37.8,48.0,32.0,1,1,3,1,2,1,,1,1,,4,5,37.0,6.7,,,1,2,2124,0,0,2
61,2,1,38.5,60.0,,2,2,1,1,1,2,2,2,1,,1,1,44.0,7.7,,,1,2,0,0,0,2
62,1,1,37.8,88.0,22.0,2,1,2,1,3,,,2,,,4,,64.0,8.0,1,6.0,2,1,3205,0,0,1
63,2,1,38.2,130.0,16.0,4,3,4,2,2,4,4,1,1,,,,65.0,82.0,2,2.0,3,2,2209,1400,0,2
64,1,1,39.0,64.0,36.0,3,1,4,2,3,3,2,1,2,7.0,4,5,44.0,7.5,3,5.0,1,1,2113,0,0,1
65,1,1,,60.0,36.0,3,1,3,1,3,3,2,1,1,,3,4,26.0,72.0,2,1.0,1,1,2208,0,0,2
66,2,1,37.9,72.0,,1,1,5,2,3,3,1,1,3,2.0,3,4,58.0,74.0,1,2.0,1,1,2322,0,0,2
67,2,1,38.4,54.0,24.0,1,1,1,1,1,3,1,2,1,,3,2,49.0,7.2,1,,1,2,3111,0,0,1
68,2,1,,52.0,16.0,1,,3,1,,,,2,3,5.5,,,55.0,7.2,,,1,2,2124,0,0,2
69,2,1,38.0,48.0,12.0,1,1,1,1,1,3,,1,1,,3,2,42.0,6.3,2,4.1,1,2,3111,0,0,1
70,2,1,37.0,60.0,20.0,3,,,1,3,,3,2,2,4.5,4,4,43.0,7.6,,,3,1,2209,0,0,1
71,1,1,37.8,48.0,28.0,1,1,1,1,1,2,1,2,,,1,1,46.0,5.9,2,7.0,1,2,0,0,0,1
72,1,1,37.7,56.0,,,,,,,,,,,,,,,,,,2,1,2113,0,0,2
73,1,1,38.1,52.0,24.0,1,1,5,1,4,3,1,2,3,7.0,1,,54.0,7.5,2,2.6,2,1,2112,0,0,1
74,1,9,,,,,,,,,,,,,,,,37.0,4.9,,,2,1,11124,0,0,2
75,1,9,39.7,100.0,,3,3,5,2,2,3,,,,,,,48.0,57.0,2,2.0,3,1,1400,0,0,2
76,1,1,37.6,38.0,20.0,3,3,1,1,3,3,2,,,,3,,37.0,68.0,,,1,1,3205,0,0,2
77,2,1,38.7,52.0,20.0,2,,1,1,1,1,1,1,1,,1,1,33.0,77.0,,,1,2,0,0,0,2
78,1,1,,,,3,3,3,3,5,3,3,3,2,,4,5,46.0,5.9,,,2,1,3025,0,0,2
79,1,1,37.5,96.0,18.0,1,3,6,2,3,4,2,2,3,5.0,,4,69.0,8.9,3,,1,1,2208,0,0,1
80,1,1,36.4,98.0,35.0,3,3,4,1,4,3,2,,,,4,4,47.0,6.4,3,3.6,2,1,2205,0,0,1
81,1,1,37.3,40.0,,,3,1,1,2,3,2,3,1,,3,5,36.0,,3,2.0,1,1,3111,0,0,2
82,1,9,38.1,100.0,80.0,3,1,2,1,3,4,1,,,,1,,36.0,5.7,,,1,1,3111,0,0,2
83,1,1,38.0,,24.0,3,3,6,2,5,,4,1,1,,,,68.0,7.8,,,2,1,3205,0,0,2
84,1,1,37.8,60.0,80.0,1,3,2,2,2,3,3,,2,5.5,4,,40.0,4.5,2,,1,1,5206,0,0,1
85,2,1,38.0,54.0,30.0,2,3,3,3,3,1,2,2,2,,,4,45.0,6.2,,,1,2,400,0,0,2
86,1,1,,88.0,40.0,3,3,4,2,5,4,3,3,,,4,5,50.0,7.7,3,1.4,2,1,4205,0,0,1
87,2,1,,40.0,16.0,,,,1,,,,,,,,,50.0,7.0,2,3.9,3,1,2208,0,0,1
88,2,1,39.0,64.0,40.0,1,1,5,1,3,3,2,2,1,,3,3,42.0,7.5,2,2.3,1,2,5000,0,0,1
89,2,1,38.3,42.0,10.0,1,1,1,1,1,1,1,,,,,,38.0,61.0,,,1,2,0,0,0,2
90,2,1,38.0,52.0,16.0,,,,,2,,,,3,1.0,1,1,53.0,86.0,,,1,1,2322,0,0,2
91,2,1,40.3,114.0,36.0,3,3,1,2,2,3,3,2,1,7.0,1,5,57.0,8.1,3,4.5,2,1,3205,0,0,1
92,2,1,38.8,50.0,20.0,3,1,1,1,1,1,1,2,1,,3,1,42.0,6.2,,,1,2,0,0,0,2
93,2,1,,,,3,3,1,1,5,3,3,1,1,,4,5,38.0,6.5,,,2,1,3205,0,0,2
94,2,1,37.5,48.0,30.0,4,1,3,1,,2,1,1,1,,1,1,48.0,8.6,,,1,2,0,0,0,2
95,1,1,37.3,48.0,20.0,,1,2,1,3,3,3,2,1,,3,5,41.0,69.0,,,1,1,3205,0,0,2
96,2,1,,84.0,36.0,,,3,1,,3,1,2,1,,3,2,44.0,8.5,,,1,1,3111,0,0,2
97,1,1,38.1,88.0,32.0,3,3,4,1,2,3,3,,3,1.0,4,5,55.0,60.0,,,3,2,3205,0,0,2
98,2,1,37.7,44.0,40.0,2,1,3,1,1,3,2,1,1,,1,5,41.0,60.0,,,1,2,0,0,0,2
99,2,1,39.6,108.0,51.0,3,3,6,2,2,4,3,1,2,,3,5,59.0,8.0,2,2.6,1,2,4300,0,0,1
100,1,1,38.2,40.0,16.0,3,3,1,1,1,3,,,,,1,1,34.0,66.0,,,1,2,0,0,0,2
101,1,1,,60.0,20.0,4,3,4,2,5,4,,,1,,4,5,,,,,3,1,3205,0,0,2
102,2,1,38.3,40.0,16.0,3,,1,1,2,,,,,,,,37.0,57.0,,,1,2,0,0,0,2
103,1,9,38.0,140.0,68.0,1,1,1,1,3,3,2,,,,2,1,39.0,5.3,,,1,1,7111,0,0,2
104,1,1,37.8,52.0,24.0,1,3,3,1,4,4,1,2,3,5.7,2,5,48.0,6.6,1,3.7,2,1,5400,0,0,2
105,1,1,,70.0,36.0,1,,3,2,2,3,2,2,,,4,5,36.0,7.3,,,1,1,31110,0,0,2
106,1,1,38.3,52.0,96.0,,3,3,1,,,,1,1,,1,,43.0,6.1,,,1,1,3209,0,0,1
107,2,1,37.3,50.0,32.0,1,1,3,1,1,3,2,,,,1,,44.0,7.0,,,1,2,0,0,0,2
108,1,1,38.7,60.0,32.0,4,3,2,2,4,4,4,,,,4,5,53.0,64.0,3,2.0,3,1,3205,0,0,2
109,1,9,38.4,84.0,40.0,3,3,2,1,3,3,3,1,1,,,,36.0,6.6,2,2.8,2,1,2205,0,0,1
110,1,1,,70.0,16.0,3,4,5,2,2,3,2,2,1,,4,5,60.0,7.5,,,2,1,2112,0,0,2
111,1,1,38.3,40.0,16.0,3,,,1,1,3,2,,,,,,38.0,58.0,1,2.0,1,1,3111,7111,0,2
112,1,1,,40.0,,2,1,1,1,1,3,1,1,1,,,5,39.0,56.0,,,1,1,3111,0,0,2
113,1,1,36.8,60.0,28.0,,,,,,,,,,,,,,,,10.0,2,1,3205,0,0,1
114,1,1,38.4,44.0,24.0,3,,4,,5,4,3,2,1,,4,5,50.0,77.0,,,1,1,3205,0,0,2
115,2,1,,,40.0,3,1,1,1,3,3,2,,,,,,45.0,70.0,,,1,2,0,0,0,2
116,1,1,38.0,44.0,12.0,1,1,1,1,3,3,3,2,1,,4,5,42.0,65.0,,,1,1,3205,3111,0,2
117,2,1,39.5,,,3,3,4,2,3,4,3,,3,5.5,4,5,,6.7,1,,3,1,4205,0,0,2
118,1,1,36.5,78.0,30.0,1,,1,1,5,3,1,,1,,,,34.0,75.0,2,1.0,1,1,3112,6112,0,2
119,2,1,38.1,56.0,20.0,2,1,2,1,1,3,1,1,1,,,,46.0,70.0,,,1,2,0,0,0,2
120,1,1,39.4,54.0,66.0,1,1,2,1,2,3,2,1,1,,3,4,39.0,6.0,2,,1,1,2206,0,0,1
121,1,1,38.3,80.0,40.0,,,6,2,4,3,1,,2,,1,4,67.0,10.2,2,1.0,3,1,2208,0,0,2
122,2,1,38.7,40.0,28.0,2,1,1,1,3,1,1,,,,1,,39.0,62.0,1,1.0,1,2,0,0,0,2
123,1,1,38.2,64.0,24.0,1,1,3,1,4,4,3,2,1,,4,4,45.0,7.5,1,2.0,2,1,3205,0,0,1
124,2,1,37.6,48.0,20.0,3,1,4,1,1,1,3,2,1,,1,1,37.0,5.5,,,3,1,2205,0,0,2
125,1,1,38.0,42.0,68.0,4,1,1,1,3,3,2,2,2,,4,4,41.0,7.6,,,1,1,2205,0,0,2
126,1,1,38.7,,,3,1,3,1,5,4,2,,,,,,33.0,6.5,2,,1,1,31110,0,0,2
127,1,1,37.4,50.0,32.0,3,3,,1,4,4,1,2,1,,1,,45.0,7.9,2,1.0,1,1,2208,0,0,1
128,1,1,37.4,84.0,20.0,,,3,1,2,3,3,,,,,,31.0,61.0,,1.0,3,2,2208,0,0,2
129,1,1,38.4,49.0,,,,1,1,,,1,2,1,,,,44.0,7.6,,,1,1,2206,0,0,2
130,1,1,37.8,30.0,12.0,,,,,,,,,,,,,,,,,2,1,2113,0,0,2
131,2,1,37.6,88.0,36.0,3,1,1,1,3,3,2,1,3,1.5,,,44.0,6.0,,,2,1,1400,0,0,2
132,,1,38.0,48.0,20.0,3,1,3,1,4,3,1,2,1,,3,5,43.0,73.0,2,1.0,,1,3111,0,0,2
133,2,1,37.9,40.0,24.0,1,1,1,1,2,3,1,,,,,3,40.0,5.7,,,1,1,400,0,0,2
134,1,1,,100.0,,3,,4,2,5,4,,2,,,2,,59.0,6.3,,,2,1,4205,0,0,2
135,1,9,38.1,136.0,48.0,3,3,3,1,5,1,3,2,2,4.4,2,,33.0,4.9,2,2.9,2,1,2205,0,0,1
136,1,1,,,,3,3,3,2,5,3,3,3,2,,4,5,46.0,5.9,,,2,1,3025,0,0,2
137,1,1,38.0,48.0,,1,1,1,1,1,2,4,2,2,,4,5,,,,,1,1,3111,0,0,2
138,2,1,38.0,56.0,,1,2,3,1,1,1,1,1,1,,1,1,42.0,71.0,,,1,2,0,0,0,2
139,2,1,38.0,60.0,32.0,1,1,,1,3,3,,1,1,,,,50.0,7.0,1,1.0,1,2,0,0,0,2
140,1,1,38.1,44.0,9.0,3,1,1,1,2,2,1,1,1,,4,5,31.0,7.3,,,1,2,5124,0,0,2
141,2,1,36.0,42.0,30.0,,,5,1,,,,,,,,,64.0,6.8,,,2,2,1400,0,0,2
142,1,1,,120.0,,4,3,6,2,5,4,4,,,,4,5,57.0,4.5,3,3.9,2,1,3205,0,0,1
143,1,1,37.8,48.0,28.0,1,1,1,2,1,2,1,2,,,1,1,46.0,5.9,2,7.0,1,2,0,0,0,1
144,1,1,37.1,84.0,40.0,3,3,6,1,2,4,4,3,2,2.0,4,5,75.0,81.0,,,3,2,1400,0,0,2
145,2,1,,80.0,32.0,3,3,2,1,2,3,3,2,1,,3,,50.0,80.0,,,1,1,0,0,0,2
146,1,1,38.2,48.0,,1,3,3,1,3,4,4,1,3,2.0,4,5,42.0,71.0,,,1,1,3111,0,0,2
147,2,1,38.0,44.0,12.0,2,1,3,1,3,4,3,1,2,6.5,1,4,33.0,6.5,,,2,1,2209,0,0,2
148,1,1,38.3,132.0,,,3,6,2,2,4,2,2,3,6.2,4,4,57.0,8.0,,5.2,1,1,2112,0,0,1
149,2,1,38.7,48.0,24.0,,,,,1,1,,1,1,,1,,34.0,63.0,,,1,2,0,0,0,2
150,2,1,38.9,44.0,14.0,3,1,1,1,2,3,2,,,,,2,33.0,64.0,,,1,2,0,0,0,2
151,1,1,39.3,,,4,3,6,2,4,4,2,1,3,4.0,4,4,75.0,,3,4.3,2,1,2207,0,0,1
152,1,1,,100.0,,3,3,4,2,,4,4,2,1,2.0,,,68.0,64.0,3,2.0,1,1,2209,0,0,2
153,2,1,38.6,48.0,20.0,3,1,1,1,1,3,2,2,1,,3,2,50.0,7.3,1,,1,2,3111,0,0,1
154,2,1,38.8,48.0,40.0,1,1,3,1,3,3,4,2,,,,5,41.0,65.0,,,1,1,4124,0,0,2
155,2,1,38.0,48.0,20.0,3,3,4,1,1,4,2,2,,5.0,,2,49.0,8.3,1,,1,2,400,0,0,1
156,2,1,38.6,52.0,20.0,1,1,1,1,3,3,2,1,1,,1,3,36.0,6.6,1,5.0,1,2,0,0,0,1
157,1,1,37.8,60.0,24.0,1,,3,2,,4,4,2,3,2.0,,5,52.0,75.0,,,3,1,2205,0,0,2
158,2,1,38.0,42.0,40.0,3,1,1,1,3,3,1,,,,,,,,,,1,2,3111,0,0,2
159,2,1,,,12.0,1,1,2,1,2,1,2,3,1,,1,3,44.0,7.5,2,,1,2,0,0,0,1
160,1,1,,,,,,,,4,,,1,1,,,5,35.0,58.0,2,1.0,1,1,4205,0,0,2
161,1,1,38.3,42.0,24.0,,,,1,,,,,,,,,40.0,8.5,,,2,1,7113,0,0,2
162,2,1,39.5,60.0,10.0,3,,,2,3,3,2,2,1,,3,,38.0,56.0,1,,1,2,0,0,0,2
163,1,1,38.0,66.0,20.0,1,3,3,1,5,3,1,1,1,,3,,46.0,46.0,3,2.0,3,1,6209,0,0,2
164,1,1,38.7,76.0,,1,1,5,2,3,3,2,2,2,,4,4,50.0,8.0,,,1,1,2208,0,0,1
165,1,1,39.4,120.0,48.0,,,5,1,,3,3,1,,,4,,56.0,64.0,1,2.0,3,2,1400,0,0,2
166,1,1,38.3,40.0,18.0,1,1,1,1,3,1,1,,,,2,1,43.0,5.9,1,,1,2,0,0,0,1
167,2,1,,44.0,24.0,1,1,1,1,3,3,1,2,1,,,1,,6.3,,,1,2,3111,0,0,2
168,1,1,38.4,104.0,40.0,1,1,3,1,2,4,2,2,3,6.5,,4,55.0,8.5,,,1,1,2124,0,0,2
169,1,1,,65.0,24.0,,,,2,5,,4,3,1,,,5,,,,,3,1,3205,0,0,2
170,2,1,37.5,44.0,20.0,1,1,3,1,,1,1,,,,1,,35.0,7.2,,,1,2,0,0,0,2
171,2,1,39.0,86.0,16.0,3,3,5,,3,3,3,,2,,,,68.0,5.8,3,6.0,2,1,5400,0,0,1
172,1,1,38.5,129.0,48.0,3,3,3,1,2,4,3,1,3,2.0,,,57.0,66.0,3,2.0,1,1,2206,0,0,2
173,1,1,,104.0,,3,3,5,2,2,4,3,,3,,4,4,69.0,8.6,2,3.4,2,1,2207,0,0,1
174,2,1,,,,3,4,6,,4,,4,,,,,,,,,,2,1,3400,0,0,1
175,1,1,,,,,,,,,,,,,,,,,,,,1,1,2208,0,0,2
176,1,1,38.2,60.0,30.0,1,1,3,1,3,3,1,2,1,,3,2,48.0,66.0,,,1,1,6112,0,0,2
177,1,1,,68.0,14.0,,,4,1,4,,,,1,4.3,,,,,2,2.8,2,1,4205,0,0,1
178,1,1,,60.0,30.0,3,3,4,2,5,4,4,1,1,,4,,45.0,70.0,3,2.0,1,1,6111,3111,0,2
179,2,1,38.5,100.0,,3,3,5,2,4,3,4,2,1,,4,5,,,,,3,2,1111,0,0,1
180,1,1,38.4,84.0,30.0,3,1,5,2,4,3,3,2,3,6.5,4,4,47.0,7.5,3,,2,1,2300,0,0,2
181,2,1,37.8,48.0,14.0,,,1,1,3,,2,1,3,5.3,1,,35.0,7.5,,,1,2,3111,0,0,1
182,1,1,38.0,,24.0,3,3,6,2,5,,4,1,1,,,,68.0,7.8,,,2,1,2205,0,0,2
183,2,1,37.8,56.0,16.0,1,1,2,1,2,1,1,2,1,,1,,44.0,68.0,1,1.0,1,2,0,0,0,2
184,2,1,38.2,68.0,32.0,2,2,2,1,1,1,1,3,1,,1,1,43.0,65.0,,,1,2,0,0,0,2
185,1,1,38.5,120.0,60.0,4,3,6,2,,3,,,,,,,54.0,,,,1,1,5400,0,0,2
186,1,1,39.3,64.0,90.0,2,3,1,1,,3,1,1,2,,,,39.0,6.7,,,1,1,21110,0,0,2
187,1,1,38.4,80.0,30.0,4,3,1,1,3,3,3,3,3,,4,5,32.0,6.1,3,4.3,1,1,7209,0,0,1
188,1,1,38.5,60.0,,1,1,,1,,1,1,,,,,,33.0,53.0,1,,1,1,4111,0,0,2
189,1,1,38.3,60.0,16.0,3,1,1,1,2,1,1,2,2,3.0,1,4,30.0,6.0,1,3.0,1,1,31110,0,0,2
190,1,1,37.1,40.0,8.0,,1,4,1,3,3,1,1,1,,3,3,23.0,6.7,3,,1,1,3133,0,0,1
191,2,9,,100.0,44.0,2,1,1,1,4,1,1,,,,1,,37.0,4.7,,,1,2,7111,0,0,2
192,1,1,38.2,48.0,18.0,1,1,1,1,3,3,3,1,2,,4,,48.0,74.0,1,2.0,1,1,5111,0,0,2
193,1,1,,60.0,48.0,3,3,4,2,4,3,4,,,,,,58.0,7.6,,,2,1,3205,0,0,2
194,2,1,37.9,88.0,24.0,1,1,2,1,2,2,1,,,,4,1,37.0,56.0,,,1,2,0,0,0,2
195,2,1,38.0,44.0,12.0,3,1,1,,,1,2,,,,1,,42.0,64.0,,,1,2,0,0,0,2
196,2,1,38.5,60.0,20.0,1,1,5,2,2,2,1,2,1,,2,3,63.0,7.5,2,2.3,3,2,300,0,0,1
197,2,1,38.5,96.0,36.0,3,3,,2,2,4,2,1,2,,4,5,70.0,8.5,,,2,1,1400,0,0,1
198,2,1,38.3,60.0,20.0,1,1,1,2,1,3,1,,,,3,,34.0,66.0,,,1,2,0,0,0,2
199,2,1,38.5,60.0,40.0,3,1,2,1,2,1,2,,,,3,2,49.0,59.0,,,1,2,0,0,0,2
200,1,1,37.3,48.0,12.0,1,,3,1,3,1,3,2,1,,3,3,40.0,6.6,2,,1,1,3205,0,0,1
201,1,1,38.5,86.0,,1,1,3,1,4,4,3,2,1,,3,5,45.0,7.4,1,3.4,2,1,3209,0,0,1
202,1,1,37.5,48.0,40.0,,,,,,,,1,1,,,5,41.0,55.0,3,2.0,3,1,2208,0,0,2
203,2,1,37.2,36.0,9.0,1,1,1,1,2,3,1,2,1,,4,1,35.0,5.7,,,1,2,31110,0,0,2
204,1,1,39.2,,23.0,3,1,3,1,4,4,2,2,,,,,36.0,6.6,1,3.0,1,1,3115,0,0,1
205,2,1,38.5,100.0,,3,3,5,2,4,3,4,2,1,,4,5,,,,,3,2,4124,0,0,2
206,1,1,38.5,96.0,30.0,2,3,4,2,4,4,3,2,1,,3,5,50.0,65.0,,,1,1,6111,3112,0,2
207,1,1,,,,,,,,,,,,,,,,45.0,8.7,,,2,1,2208,0,0,2
208,1,1,37.8,88.0,80.0,3,3,5,2,,3,3,2,3,,4,5,64.0,89.0,,,3,1,3205,0,0,2
209,2,1,37.5,44.0,10.0,3,1,1,1,3,1,2,2,,,3,3,43.0,51.0,1,1.0,1,2,0,0,0,2
210,1,1,37.9,68.0,20.0,,1,2,1,2,4,2,,,,1,5,45.0,4.0,3,2.8,2,1,5400,0,0,1
211,1,1,38.0,86.0,24.0,4,3,4,1,2,4,4,1,1,,4,5,45.0,5.5,1,10.1,2,1,3111,0,0,1
212,1,9,38.9,120.0,30.0,1,3,2,2,3,3,3,3,1,3.0,,,47.0,6.3,1,,1,2,2124,0,0,2
213,1,1,37.6,45.0,12.0,3,1,3,1,,2,2,2,1,,1,4,39.0,7.0,2,1.5,1,1,2112,0,0,1
214,2,1,38.6,56.0,32.0,2,1,1,1,1,1,1,2,,,2,,40.0,7.0,2,2.1,1,2,0,0,0,1
215,1,1,37.8,40.0,12.0,1,1,1,1,1,2,1,2,1,,1,2,38.0,7.0,,,1,1,3111,0,0,2
216,2,1,,,,,,,,,,,,,,,,,,,,1,2,0,0,0,2
217,1,1,38.0,76.0,18.0,,,,2,,,,,,,,,71.0,11.0,,,1,1,2209,0,0,1
218,1,1,38.1,40.0,36.0,1,2,2,1,2,2,,,,,,,,,,,3,1,3112,0,0,2
219,1,1,,52.0,28.0,3,3,4,1,3,4,3,2,1,,4,4,37.0,8.1,,,1,1,2111,0,0,2
