,events_num,group_cat,conc_num,age_num,at.risk_num
151,1,12,65,62.5,404
152,1,12,65,67.5,299
153,0,12,65,72.5,197
154,2,12,65,77.5,103
155,0,12,65,82.5,98
156,0,13,73,22.5,2394
157,0,13,73,27.5,1360
158,0,13,73,32.5,1183
159,0,13,73,37.5,1209
160,0,13,73,42.5,1261
161,0,13,73,47.5,1046
162,0,13,73,52.5,853
163,0,13,73,57.5,725
164,0,13,73,62.5,671
165,0,13,73,67.5,546
166,0,13,73,72.5,355
167,0,13,73,77.5,192
168,0,13,73,82.5,142
169,0,14,80,22.5,2149
170,0,14,80,27.5,1318
171,0,14,80,32.5,1018
172,0,14,80,37.5,857
173,0,14,80,42.5,988
174,0,14,80,47.5,1018
175,0,14,80,52.5,879
176,0,14,80,57.5,709
177,1,14,80,62.5,483
178,0,14,80,67.5,417
179,0,14,80,72.5,220
180,1,14,80,77.5,137
181,0,14,80,82.5,139
182,0,15,100,22.5,1439
183,0,15,100,27.5,744
184,0,15,100,32.5,415
185,0,15,100,37.5,510
186,0,15,100,42.5,564
187,0,15,100,47.5,573
188,0,15,100,52.5,467
189,0,15,100,57.5,402
190,0,15,100,62.5,385
191,0,15,100,67.5,335
192,0,15,100,72.5,254
193,0,15,100,77.5,168
194,1,15,100,82.5,136
195,0,16,110,22.5,1110
196,0,16,110,27.5,586
197,1,16,110,32.5,477
198,0,16,110,37.5,502
199,0,16,110,42.5,575
200,0,16,110,47.5,521
201,2,16,110,52.5,447
202,0,16,110,57.5,392
203,0,16,110,62.5,302
204,2,16,110,67.5,195
205,0,16,110,72.5,101
206,0,16,110,77.5,65
207,0,16,110,82.5,37
208,0,17,110,22.5,718
209,0,17,110,27.5,449
210,0,17,110,32.5,290
211,0,17,110,37.5,329
212,0,17,110,42.5,397
213,1,17,110,47.5,401
214,0,17,110,52.5,333
215,0,17,110,57.5,251
216,1,17,110,62.5,203
217,0,17,110,67.5,175
218,0,17,110,72.5,156
219,0,17,110,77.5,62
220,0,17,110,82.5,69
221,0,18,123,22.5,674
222,0,18,123,27.5,436
223,0,18,123,32.5,360
224,0,18,123,37.5,440
225,0,18,123,42.5,385
226,0,18,123,47.5,396
227,0,18,123,52.5,363
228,1,18,123,57.5,313
229,0,18,123,62.5,280
230,0,18,123,67.5,272
231,1,18,123,72.5,210
232,0,18,123,77.5,113
233,0,18,123,82.5,49
234,0,19,126,22.5,1196
235,0,19,126,27.5,501
236,0,19,126,32.5,443
237,0,19,126,37.5,510
238,0,19,126,42.5,609
239,0,19,126,47.5,610
240,1,19,126,52.5,544
241,0,19,126,57.5,453
242,0,19,126,62.5,408
243,0,19,126,67.5,295
244,0,19,126,72.5,226
245,0,19,126,77.5,142
246,1,19,126,82.5,89
247,0,20,256,22.5,1949
248,0,20,256,27.5,981
249,0,20,256,32.5,755
250,0,20,256,37.5,787
251,0,20,256,42.5,912
252,1,20,256,47.5,872
253,0,20,256,52.5,759
254,0,20,256,57.5,540
255,0,20,256,62.5,464
256,0,20,256,67.5,352
257,0,20,256,72.5,262
258,0,20,256,77.5,111
259,0,20,256,82.5,125
260,0,21,256,22.5,686
261,0,21,256,27.5,240
262,0,21,256,32.5,277
263,0,21,256,37.5,254
264,0,21,256,42.5,234
265,0,21,256,47.5,376
266,0,21,256,52.5,362
267,0,21,256,57.5,241
268,1,21,256,62.5,285
269,0,21,256,67.5,188
270,1,21,256,72.5,165
271,0,21,256,77.5,61
272,0,21,256,82.5,43
273,0,22,259,22.5,1100
274,0,22,259,27.5,572
275,0,22,259,32.5,401
276,0,22,259,37.5,365
277,1,22,259,42.5,521
278,0,22,259,47.5,453
279,0,22,259,52.5,480
280,1,22,259,57.5,389
281,0,22,259,62.5,289
282,1,22,259,67.5,193
283,0,22,259,72.5,131
284,1,22,259,77.5,101
285,0,22,259,82.5,84
286,0,23,307,22.5,547
287,0,23,307,27.5,320
288,0,23,307,32.5,164
289,0,23,307,37.5,196
290,0,23,307,42.5,266
291,1,23,307,47.5,299
292,0,23,307,52.5,271
293,1,23,307,57.5,196
294,0,23,307,62.5,153
295,0,23,307,67.5,122
296,1,23,307,72.5,94
297,0,23,307,77.5,56
298,0,23,307,82.5,74
299,0,24,307,22.5,793
300,0,24,307,27.5,466
301,0,24,307,32.5,356
302,0,24,307,37.5,490
303,0,24,307,42.5,556
304,0,24,307,47.5,520
305,0,24,307,52.5,388
306,0,24,307,57.5,268
307,0,24,307,62.5,237
308,0,24,307,67.5,188
309,0,24,307,72.5,127
310,0,24,307,77.5,60
311,1,24,307,82.5,56
312,0,25,350,22.5,659
313,0,25,350,27.5,346
314,0,25,350,32.5,273
315,0,25,350,37.5,283
316,1,25,350,42.5,385
317,0,25,350,47.5,390
318,0,25,350,52.5,292
319,0,25,350,57.5,262
320,0,25,350,62.5,243
321,0,25,350,67.5,236
322,0,25,350,72.5,102
323,0,25,350,77.5,68
324,0,25,350,82.5,47
325,0,26,398,22.5,538
326,0,26,398,27.5,272
327,0,26,398,32.5,211
328,0,26,398,37.5,232
329,0,26,398,42.5,274
330,0,26,398,47.5,321
331,0,26,398,52.5,292
332,0,26,398,57.5,175
333,0,26,398,62.5,153
334,1,26,398,67.5,122
335,0,26,398,72.5,96
336,0,26,398,77.5,23
337,0,26,398,82.5,14
338,0,27,406,22.5,770
339,0,27,406,27.5,315
340,0,27,406,32.5,239
341,0,27,406,37.5,355
342,0,27,406,42.5,412
343,0,27,406,47.5,420
344,0,27,406,52.5,367
345,0,27,406,57.5,331
346,0,27,406,62.5,284
347,0,27,406,67.5,209
348,1,27,406,72.5,114
349,0,27,406,77.5,47
350,0,27,406,82.5,23
351,0,28,448,22.5,1043
352,0,28,448,27.5,457
353,0,28,448,32.5,241
354,0,28,448,37.5,331
355,0,28,448,42.5,404
356,0,28,448,47.5,423
357,0,28,448,52.5,387
358,0,28,448,57.5,312
359,2,28,448,62.5,252
360,1,28,448,67.5,202
361,0,28,448,72.5,130
362,0,28,448,77.5,49
363,0,28,448,82.5,28
364,0,29,467,22.5,1114
365,0,29,467,27.5,720
366,0,29,467,32.5,632
367,0,29,467,37.5,566
368,0,29,467,42.5,523
369,0,29,467,47.5,487
370,0,29,467,52.5,447
371,1,29,467,57.5,315
372,0,29,467,62.5,212
373,0,29,467,67.5,133
374,0,29,467,72.5,72
375,0,29,467,77.5,45
376,0,29,467,82.5,32
377,0,30,504,22.5,1029
378,0,30,504,27.5,406
379,0,30,504,32.5,384
380,0,30,504,37.5,499
381,0,30,504,42.5,654
382,0,30,504,47.5,585
383,0,30,504,52.5,460
384,0,30,504,57.5,397
385,1,30,504,62.5,330
386,0,30,504,67.5,235
387,0,30,504,72.5,171
388,0,30,504,77.5,152
389,0,30,504,82.5,95
390,0,31,520,22.5,905
391,0,31,520,27.5,364
392,0,31,520,32.5,263
393,0,31,520,37.5,342
394,1,31,520,42.5,442
395,1,31,520,47.5,497
396,0,31,520,52.5,444
397,1,31,520,57.5,344
398,1,31,520,62.5,276
399,0,31,520,67.5,193
400,1,31,520,72.5,130
401,0,31,520,77.5,68
402,0,31,520,82.5,45
403,0,32,520,22.5,841
404,0,32,520,27.5,541
405,0,32,520,32.5,401
406,0,32,520,37.5,321
407,0,32,520,42.5,440
408,0,32,520,47.5,420
409,1,32,520,52.5,391
410,1,32,520,57.5,315
411,0,32,520,62.5,293
412,3,32,520,67.5,174
413,0,32,520,72.5,134
414,0,32,520,77.5,78
415,0,32,520,82.5,83
416,0,33,529,22.5,1971
417,0,33,529,27.5,842
418,0,33,529,32.5,693
419,0,33,529,37.5,840
420,0,33,529,42.5,899
421,0,33,529,47.5,934
422,0,33,529,52.5,705
423,1,33,529,57.5,535
424,0,33,529,62.5,448
425,0,33,529,67.5,361
426,3,33,529,72.5,261
427,1,33,529,77.5,138
428,0,33,529,82.5,62
429,0,34,538,22.5,851
430,0,34,538,27.5,383
431,0,34,538,32.5,318
432,0,34,538,37.5,330
433,1,34,538,42.5,306
434,0,34,538,47.5,328
435,0,34,538,52.5,328
436,0,34,538,57.5,297
437,0,34,538,62.5,230
438,1,34,538,67.5,121
439,0,34,538,72.5,87
440,1,34,538,77.5,52
441,1,34,538,82.5,36
442,0,35,544,22.5,719
443,0,35,544,27.5,338
444,0,35,544,32.5,194
445,0,35,544,37.5,228
446,0,35,544,42.5,328
447,0,35,544,47.5,340
448,0,35,544,52.5,304
449,0,35,544,57.5,260
450,0,35,544,62.5,209
451,0,35,544,67.5,146
452,0,35,544,72.5,136
453,0,35,544,77.5,104
454,0,35,544,82.5,107
455,0,36,599,22.5,1351
456,0,36,599,27.5,930
457,0,36,599,32.5,776
458,0,36,599,37.5,746
459,0,36,599,42.5,885
460,1,36,599,47.5,701
461,3,36,599,52.5,632
462,1,36,599,57.5,609
463,0,36,599,62.5,412
464,0,36,599,67.5,383
465,0,36,599,72.5,253
466,0,36,599,77.5,214
467,0,36,599,82.5,85
468,0,37,650,22.5,408
469,0,37,650,27.5,215
470,0,37,650,32.5,133
471,0,37,650,37.5,157
472,0,37,650,42.5,220
473,0,37,650,47.5,261
474,1,37,650,52.5,222
475,0,37,650,57.5,156
476,1,37,650,62.5,104
477,0,37,650,67.5,82
478,0,37,650,72.5,74
479,0,37,650,77.5,51
480,0,37,650,82.5,25
481,0,38,683,22.5,674
482,0,38,683,27.5,276
483,0,38,683,32.5,199
484,0,38,683,37.5,278
485,0,38,683,42.5,335
486,1,38,683,47.5,351
487,0,38,683,52.5,301
488,1,38,683,57.5,214
489,0,38,683,62.5,162
490,0,38,683,67.5,102
491,0,38,683,72.5,45
492,0,38,683,77.5,19
493,0,38,683,82.5,27
494,0,39,693,22.5,2378
495,0,39,693,27.5,1562
496,0,39,693,32.5,1415
497,0,39,693,37.5,1063
498,0,39,693,42.5,1059
499,0,39,693,47.5,1118
500,0,39,693,52.5,893
501,1,39,693,57.5,687
502,1,39,693,62.5,455
503,0,39,693,67.5,352
504,1,39,693,72.5,177
505,1,39,693,77.5,45
506,0,39,693,82.5,59
507,0,40,694,22.5,1197
508,0,40,694,27.5,531
509,0,40,694,32.5,467
510,1,40,694,37.5,620
511,1,40,694,42.5,720
512,1,40,694,47.5,654
513,2,40,694,52.5,509
514,1,40,694,57.5,386
515,2,40,694,62.5,293
516,1,40,694,67.5,177
517,0,40,694,72.5,89
518,0,40,694,77.5,60
519,0,40,694,82.5,17
520,0,41,698,22.5,798
521,0,41,698,27.5,385
522,0,41,698,32.5,279
523,0,41,698,37.5,351
524,0,41,698,42.5,434
525,1,41,698,47.5,398
526,1,41,698,52.5,355
527,2,41,698,57.5,272
528,1,41,698,62.5,175
529,1,41,698,67.5,84
530,0,41,698,72.5,26
531,0,41,698,77.5,9
532,1,41,698,82.5,10
533,0,42,717,22.5,1126
534,0,42,717,27.5,590
535,0,42,717,32.5,379
536,0,42,717,37.5,384
537,0,42,717,42.5,488
538,1,42,717,47.5,517
539,0,42,717,52.5,434
540,2,42,717,57.5,312
541,1,42,717,62.5,210
542,0,42,717,67.5,168
543,0,42,717,72.5,131
544,0,42,717,77.5,98
545,0,42,717,82.5,40
546,0,43,934,22.5,1861
547,0,43,934,27.5,987
548,0,43,934,32.5,928
549,0,43,934,37.5,759
550,0,43,934,42.5,758
551,0,43,934,47.5,815
552,1,43,934,52.5,798
553,4,43,934,57.5,544
554,3,43,934,62.5,401
555,1,43,934,67.5,236
556,1,43,934,72.5,126
557,0,43,934,77.5,70
558,0,43,934,82.5,59
