,binaryClass_cat,Married_cat,Age_num,Years_of_education_num,Male_cat,Religious_cat,Sex_partners_num,Income_num,Drug_use_cat,Same_sex_relations_cat
43,N,0,41.0,16.0,0,1,0.0,27500.0,0,0
44,P,1,40.0,14.0,1,1,2.0,85000.0,0,0
45,P,0,36.0,12.0,0,1,1.0,27500.0,0,0
46,P,1,36.0,16.0,1,0,1.0,55000.0,0,0
47,P,1,52.0,12.0,1,0,1.0,45000.0,0,0
48,P,0,39.0,13.0,0,1,5.0,27500.0,0,1
49,P,1,34.0,14.0,1,1,1.0,21250.0,0,0
50,P,0,32.0,12.0,1,1,2.0,16250.0,0,0
51,P,0,40.0,12.0,0,1,5.0,18750.0,0,0
52,P,0,42.0,16.0,0,1,4.0,23750.0,0,1
53,P,1,48.0,12.0,1,1,1.0,32500.0,0,0
54,P,0,26.0,12.0,1,1,12.0,37500.0,0,0
55,P,0,24.0,13.0,1,1,20.0,13750.0,0,0
56,P,1,77.0,20.0,1,1,2.0,32500.0,0,0
57,N,1,27.0,14.0,1,1,3.0,37500.0,0,0
58,P,1,25.0,12.0,1,1,1.0,16250.0,1,0
59,N,1,65.0,12.0,1,0,0.0,55000.0,0,0
60,P,1,35.0,12.0,0,1,1.0,16250.0,0,0
61,P,1,27.0,16.0,0,1,1.0,32500.0,0,0
62,P,1,23.0,12.0,1,1,15.0,23750.0,0,0
63,P,1,68.0,13.0,1,1,1.0,,0,0
64,N,1,36.0,18.0,0,1,1.0,16250.0,0,0
65,N,1,37.0,16.0,1,1,1.0,32500.0,0,0
66,N,0,27.0,16.0,0,1,7.0,5500.0,0,0
67,P,1,39.0,12.0,0,1,1.0,2000.0,0,0
68,P,1,42.0,16.0,1,1,1.0,32500.0,0,0
69,N,1,37.0,9.0,0,1,2.0,5500.0,0,1
70,P,1,38.0,14.0,1,1,1.0,23750.0,0,0
71,P,0,58.0,20.0,0,1,2.0,32500.0,0,0
72,P,1,50.0,14.0,1,1,1.0,37500.0,0,0
73,P,0,56.0,11.0,0,1,0.0,11250.0,0,0
74,P,1,40.0,18.0,1,1,1.0,45000.0,0,0
75,P,0,37.0,13.0,0,1,1.0,6500.0,0,0
76,N,0,32.0,18.0,0,1,6.0,11250.0,0,0
77,N,1,29.0,12.0,0,1,2.0,18750.0,0,0
78,P,1,32.0,12.0,1,1,4.0,45000.0,0,0
79,N,0,42.0,12.0,0,1,0.0,27500.0,0,0
80,P,0,30.0,12.0,1,1,5.0,16250.0,1,0
81,P,0,38.0,12.0,0,1,1.0,13750.0,0,0
82,P,0,32.0,12.0,0,1,1.0,37500.0,0,0
83,P,0,57.0,15.0,1,1,2.0,9000.0,0,0
84,N,1,31.0,14.0,0,1,3.0,16250.0,0,0
85,P,1,28.0,12.0,1,1,1.0,9000.0,0,0
86,P,1,35.0,14.0,1,1,1.0,11250.0,0,0
87,P,1,35.0,9.0,1,1,15.0,9000.0,0,0
88,P,0,38.0,13.0,0,1,3.0,16250.0,0,0
89,P,0,45.0,13.0,1,1,14.0,9000.0,1,0
90,P,0,25.0,16.0,1,1,3.0,27500.0,0,0
91,P,1,40.0,12.0,1,1,1.0,9000.0,0,0
92,P,1,55.0,10.0,1,1,1.0,,0,0
93,P,1,76.0,8.0,0,1,0.0,4500.0,0,0
94,P,1,54.0,13.0,0,1,1.0,18750.0,0,0
95,P,1,46.0,8.0,1,1,1.0,18750.0,0,0
96,N,0,40.0,12.0,1,1,10.0,32500.0,0,0
97,P,1,30.0,14.0,0,1,1.0,11250.0,0,0
98,P,0,33.0,17.0,0,1,0.0,27500.0,0,0
99,P,0,36.0,14.0,0,1,1.0,27500.0,0,0
100,P,0,44.0,11.0,1,1,4.0,500.0,0,0
101,P,1,38.0,14.0,1,1,1.0,37500.0,0,0
102,P,1,62.0,14.0,1,1,1.0,55000.0,0,0
103,P,0,39.0,16.0,1,1,2.0,37500.0,0,0
104,P,0,54.0,10.0,1,1,1.0,16250.0,0,0
105,P,1,51.0,16.0,1,1,1.0,32500.0,0,0
106,P,1,59.0,14.0,0,1,1.0,18750.0,0,0
107,P,0,44.0,18.0,0,1,0.0,45000.0,0,0
108,N,1,40.0,16.0,1,1,1.0,55000.0,0,0
109,N,1,61.0,17.0,1,1,1.0,45000.0,0,0
110,P,1,38.0,13.0,0,1,1.0,9000.0,0,0
111,N,1,64.0,12.0,1,0,1.0,55000.0,0,0
112,N,1,38.0,12.0,1,1,1.0,27500.0,1,0
113,N,1,55.0,18.0,1,1,1.0,67500.0,0,0
114,P,0,35.0,14.0,1,1,1.0,32500.0,0,0
115,P,0,45.0,12.0,1,1,4.0,21250.0,0,0
116,P,1,44.0,11.0,0,1,1.0,9000.0,0,0
117,N,0,34.0,14.0,0,1,2.0,18750.0,0,0
118,P,0,43.0,18.0,1,1,3.0,18750.0,0,0
119,N,1,35.0,16.0,0,0,1.0,,0,0
120,P,1,35.0,12.0,0,1,1.0,11250.0,0,0
121,N,0,37.0,15.0,1,0,20.0,32500.0,0,1
122,P,1,43.0,15.0,0,1,1.0,16250.0,0,0
123,P,1,44.0,12.0,1,1,1.0,45000.0,0,0
124,P,1,62.0,8.0,1,1,1.0,32500.0,0,0
125,P,1,29.0,12.0,0,1,1.0,5500.0,0,0
126,P,1,53.0,12.0,1,1,0.0,32500.0,0,0
127,P,1,39.0,13.0,1,1,1.0,55000.0,0,0
128,P,0,26.0,14.0,1,1,1.0,13750.0,0,0
129,P,0,39.0,12.0,1,1,1.0,23750.0,0,0
130,P,0,33.0,14.0,0,1,3.0,2000.0,0,0
131,P,1,38.0,16.0,1,1,1.0,18750.0,0,0
132,P,1,25.0,16.0,1,1,7.0,13750.0,0,0
133,P,1,32.0,10.0,1,1,1.0,16250.0,0,0
134,P,1,31.0,17.0,0,1,1.0,500.0,0,0
135,P,0,29.0,12.0,0,1,2.0,500.0,0,0
136,P,0,51.0,8.0,1,1,1.0,9000.0,0,0
137,P,0,61.0,12.0,0,1,0.0,23750.0,0,0
138,P,1,24.0,13.0,0,1,1.0,16250.0,0,0
139,P,1,48.0,12.0,0,1,1.0,500.0,0,0
140,P,1,36.0,14.0,1,1,1.0,32500.0,0,0
141,P,0,41.0,12.0,0,1,1.0,37500.0,0,0
142,N,0,34.0,12.0,0,1,3.0,11250.0,0,0
143,P,1,41.0,12.0,0,1,2.0,4500.0,0,0
144,P,1,36.0,14.0,1,1,5.0,13750.0,0,0
145,P,0,43.0,14.0,1,1,5.0,16250.0,0,0
146,P,1,34.0,12.0,0,1,1.0,16250.0,0,0
147,P,0,27.0,17.0,0,1,7.0,27500.0,1,0
148,P,0,32.0,12.0,0,1,2.0,4500.0,0,0
149,P,1,32.0,12.0,0,1,1.0,3500.0,0,0
150,P,1,57.0,12.0,0,1,1.0,9000.0,0,0
151,P,0,27.0,19.0,1,1,6.0,11250.0,0,0
152,P,1,36.0,12.0,0,1,1.0,16250.0,0,0
153,N,1,27.0,12.0,1,1,7.0,11250.0,0,0
154,P,1,41.0,19.0,1,0,1.0,27500.0,0,0
155,P,1,29.0,14.0,0,1,1.0,27500.0,0,0
156,P,0,45.0,12.0,1,1,1.0,16250.0,0,0
157,P,1,35.0,12.0,1,1,1.0,55000.0,0,0
158,N,1,47.0,12.0,0,1,1.0,500.0,0,0
