,X9_cat,X1a_cat,X1b_cat,X1c_cat,X1d_cat,X1e_cat,X1f_cat,X1g_cat,X1h_cat,X1i_cat,X1j_cat,X1k_cat,X1l_cat,X1m_cat,X1n_cat,X1o_cat,X2a_cat,X2b_cat,X2c_cat,X2d_cat,X2e_cat,X2f_cat,X2g_cat,X2h_cat,X2i_cat,X2j_cat,X2k_cat,X2l_cat,X2m_cat,X3a_cat,X3b_cat,X3c_cat,X5_cat
32,3,4,4,4,4,4,4,5,4,5,1,4,2,5,5,5,3,5,4,4,4,3,4,5,2,3,3,2,2,2,3,3,1
33,3,4,5,5,4,4,4,4,4,4,3,4,4,5,5,3,3,5,2,3,4,3,3,2,3,3,5,2,3,3,3,3,2
34,3,4,4,4,3,2,4,3,2,3,1,2,2,4,4,3,2,4,3,2,4,3,2,2,5,3,4,1,1,3,4,3,2
35,3,5,5,3,4,4,4,4,3,3,1,3,2,2,3,3,2,4,2,3,4,2,3,4,2,4,2,2,,4,4,3,2
36,3,3,3,4,3,2,3,4,3,4,2,2,2,2,5,1,1,4,4,4,4,4,3,4,5,5,4,2,2,1,1,1,1
37,3,4,4,4,3,4,4,4,4,4,3,3,3,4,4,2,1,4,4,4,4,3,3,4,3,3,1,1,1,3,3,3,2
38,3,4,4,5,4,4,4,4,4,5,2,2,3,3,5,1,2,5,4,4,5,4,4,5,3,3,,1,2,3,4,4,3
39,3,5,5,5,5,3,5,3,5,3,2,2,2,5,3,4,3,5,2,5,3,2,2,4,2,5,,1,1,3,3,3,2
40,3,5,4,4,4,4,3,3,4,4,3,4,4,4,5,3,3,5,3,4,5,3,2,4,5,3,4,1,1,3,5,3,2
41,3,5,5,4,5,5,1,4,5,4,1,4,5,3,4,2,3,3,1,2,2,4,2,2,2,2,4,1,1,,,,2
42,3,3,2,5,4,2,2,4,1,5,1,4,3,2,5,2,5,4,2,3,4,2,2,2,5,5,3,3,1,2,2,2,1
43,3,5,5,5,5,5,5,5,4,5,3,5,1,5,5,3,2,5,5,4,5,3,4,5,5,4,2,,,,3,,3
44,3,5,3,4,4,3,4,5,5,5,3,5,2,5,5,3,5,4,3,,5,3,5,3,2,1,,2,2,2,3,3,2
45,3,4,5,4,4,3,3,4,2,5,1,3,3,5,4,1,2,4,3,3,4,4,4,3,5,4,4,1,2,3,3,3,2
46,3,5,5,5,4,3,2,4,3,3,4,3,2,3,5,1,2,5,3,3,4,1,2,3,5,3,4,1,1,3,5,3,2
47,3,5,4,5,3,4,4,5,3,4,2,1,3,3,5,3,1,5,3,2,4,1,2,3,5,4,4,1,1,3,5,2,2
48,3,5,5,5,5,5,4,5,3,5,4,5,2,5,4,1,2,4,3,3,5,4,2,2,5,2,3,1,1,4,4,3,2
49,3,5,4,5,3,1,3,3,2,5,1,3,3,1,5,1,4,3,1,3,2,3,3,1,4,5,3,1,3,3,4,4,1
50,3,4,3,5,5,4,3,5,4,4,3,5,2,4,5,3,3,5,4,4,4,4,3,2,4,1,3,1,1,1,3,1,2
51,3,3,4,5,4,5,2,5,3,5,,,4,5,5,1,4,5,3,4,3,2,2,,5,3,4,1,1,3,2,,1
52,3,5,5,5,4,3,3,4,3,4,2,3,2,4,4,2,3,4,3,3,4,5,3,3,5,3,3,1,1,3,3,3,2
53,3,5,5,5,5,5,3,3,3,4,4,4,4,5,5,4,4,4,3,4,4,3,2,3,5,2,1,3,3,2,1,5,1
54,3,4,4,3,4,2,3,3,3,3,1,4,1,4,3,3,3,4,3,4,3,2,2,3,4,3,3,1,2,4,2,3,
55,3,5,3,2,4,4,3,1,5,5,3,4,1,5,2,1,1,2,3,4,2,1,3,5,3,1,1,1,1,5,5,5,
56,3,5,5,5,3,3,2,4,3,3,1,4,2,2,5,1,1,4,3,3,4,3,2,2,5,2,4,1,1,2,2,3,3
57,3,2,5,5,4,2,5,4,2,5,1,3,1,5,5,1,3,5,4,3,5,1,3,2,5,2,3,1,1,2,1,4,2
58,3,4,4,4,4,4,3,3,4,4,3,4,4,4,5,4,4,4,4,4,3,3,4,3,5,3,3,1,1,3,3,4,1
59,3,5,5,4,3,3,3,4,4,4,1,3,3,4,5,3,3,5,4,4,5,5,4,3,5,3,4,1,1,5,4,4,2
60,3,5,5,5,5,3,5,4,3,5,2,5,5,5,4,1,4,5,4,5,5,5,4,5,5,4,2,2,1,4,4,4,1
61,3,4,4,3,4,3,4,4,4,4,2,3,2,5,5,3,4,4,4,4,4,4,3,3,4,2,3,1,1,3,2,3,2
62,3,5,5,4,4,4,4,5,4,4,1,3,3,4,3,1,4,5,3,3,4,4,4,3,4,3,1,2,2,3,4,2,2
63,3,5,4,4,4,3,3,3,4,4,1,4,2,4,5,1,2,4,4,3,4,2,2,4,4,3,3,1,1,3,4,3,1
64,3,5,5,5,5,5,4,5,3,4,2,5,1,5,3,4,2,5,5,3,5,2,3,3,5,3,4,1,1,3,3,3,2
65,3,5,4,4,4,3,3,4,3,3,3,5,4,3,4,3,2,4,3,4,4,3,2,2,4,4,4,3,2,4,4,4,3
66,4,2,4,3,4,3,5,5,1,1,1,1,1,2,5,1,2,5,3,1,3,4,1,2,5,4,4,1,1,,3,,2
67,4,4,4,3,4,3,5,2,5,4,1,3,1,3,4,1,2,5,3,4,3,5,3,4,5,1,1,1,1,3,3,3,2
68,4,3,5,4,4,2,3,5,5,3,3,3,2,3,3,2,1,5,3,3,4,5,3,3,5,3,3,1,1,3,3,4,2
69,4,5,4,4,4,3,4,3,2,2,1,4,1,5,5,1,3,5,4,4,4,3,3,3,5,3,2,1,2,4,4,4,2
70,4,5,5,5,5,5,2,4,1,1,1,5,5,2,5,3,2,5,5,5,3,3,4,4,5,4,,1,1,3,3,3,1
71,4,4,4,5,3,3,4,4,3,3,4,3,4,4,5,3,4,4,4,3,4,2,3,3,4,3,4,1,1,3,,,1
72,4,4,4,4,3,3,4,4,4,4,3,4,4,5,5,4,3,5,4,5,5,4,4,,3,4,3,2,2,4,4,4,1
73,4,5,4,3,4,4,2,2,3,4,2,4,3,4,4,3,2,4,3,3,4,2,2,2,4,2,3,1,1,3,3,3,2
74,4,4,5,4,4,3,3,2,2,4,2,3,2,4,4,2,4,4,4,4,3,2,2,4,4,4,3,3,3,2,2,2,1
75,4,4,4,4,4,4,4,4,4,4,2,3,2,4,5,4,2,5,4,3,3,2,3,4,5,3,3,2,2,2,4,2,2
76,4,4,5,5,5,4,4,3,3,4,4,4,3,4,4,2,3,4,4,4,5,3,2,4,5,2,4,2,2,3,3,4,2
77,4,5,5,5,4,4,3,4,3,4,4,4,3,4,5,4,3,5,5,5,3,2,3,5,5,3,3,2,2,3,3,3,1
78,4,5,5,4,3,1,3,3,4,4,3,4,3,4,4,2,2,4,3,2,4,2,2,3,4,2,5,1,2,4,4,3,2
79,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4,3,3,3,4,3,3,3,4,4,3,3,3,3,4,3,3,2
80,5,4,4,5,4,4,3,2,1,5,1,3,3,3,5,2,4,4,4,4,4,3,2,3,5,4,3,1,1,2,2,1,1
81,5,4,4,4,4,3,3,2,4,4,1,4,1,2,4,2,3,3,3,4,4,3,2,,5,4,3,1,1,3,4,4,2
82,5,4,4,5,4,3,5,4,3,5,3,4,3,4,5,2,2,4,3,4,5,4,3,5,2,3,1,1,2,4,5,4,2
83,5,3,4,5,3,2,4,4,3,4,2,3,3,3,5,2,3,5,3,4,3,4,4,3,5,3,3,1,1,3,3,3,1
84,5,1,5,1,1,1,1,5,5,5,1,1,1,5,5,1,5,5,5,1,5,1,1,5,5,1,1,1,1,1,1,1,3
85,,4,5,5,3,3,5,2,3,4,3,4,4,4,5,3,5,5,2,4,5,3,2,2,5,2,3,2,3,2,3,3,1
86,,5,4,1,2,2,4,5,2,4,1,3,2,2,5,1,2,4,3,3,1,3,2,1,5,4,3,1,1,,,,1
87,,5,4,3,3,3,2,3,3,2,,,2,2,5,4,2,5,3,3,4,3,3,3,5,2,3,1,1,,,,2
88,1,5,5,5,5,5,3,4,4,4,4,4,4,4,4,3,1,3,2,1,3,3,3,1,4,3,5,1,1,3,3,3,2
89,1,5,4,4,5,5,4,3,3,4,3,4,4,4,5,4,3,5,3,4,5,3,3,4,4,5,5,5,5,4,4,4,1
90,1,5,4,5,5,5,5,4,5,3,3,2,3,4,5,3,4,5,5,5,5,4,3,4,5,3,5,1,1,3,3,3,1
91,1,5,5,5,5,5,5,3,5,4,5,5,2,5,5,1,2,2,1,1,3,2,1,2,5,5,4,2,2,2,1,1,2
92,1,4,4,5,1,1,5,4,2,5,2,4,2,3,4,1,4,3,4,5,4,3,2,2,3,4,4,5,5,3,3,3,3
93,1,4,4,4,5,5,5,5,4,4,1,3,3,4,4,2,3,4,4,3,4,,3,4,3,2,5,1,1,3,5,3,2
94,1,5,5,5,4,4,5,4,5,5,2,5,1,5,5,1,2,4,3,3,4,2,2,2,5,1,5,1,1,4,5,4,2
95,1,5,5,5,5,4,4,5,3,4,1,5,4,4,5,1,3,3,3,2,4,2,3,3,3,3,5,1,1,3,5,3,2
96,1,5,5,5,5,5,3,4,1,3,1,4,4,4,5,5,2,5,5,4,5,3,3,3,5,3,3,2,2,3,3,3,1
97,1,5,5,5,5,5,5,5,5,5,1,5,1,5,5,1,4,5,3,4,4,4,4,3,5,3,3,1,1,3,3,3,1
98,1,5,5,5,5,4,5,3,3,4,2,3,1,4,3,1,4,5,2,3,5,3,4,3,5,4,5,1,1,1,1,1,1
99,1,5,5,5,4,4,2,4,4,4,1,3,2,4,5,2,3,5,3,3,4,3,3,3,5,3,3,1,1,2,2,3,2
100,1,5,5,4,5,5,3,2,3,5,1,4,1,5,5,2,3,3,3,4,4,3,3,3,5,1,1,1,1,3,3,4,2
101,1,5,4,2,4,3,4,4,3,3,1,2,1,4,4,1,1,3,2,4,3,1,1,4,5,2,4,1,1,2,3,3,2
102,1,5,5,5,4,4,3,4,5,5,3,4,2,5,5,1,4,5,5,3,3,3,3,3,4,3,3,1,1,2,2,2,1
103,1,1,5,4,5,5,3,2,1,1,2,3,4,4,4,2,5,2,2,3,2,4,2,4,4,4,4,2,3,3,4,2,1
104,1,5,5,4,5,4,4,4,4,5,2,3,3,4,4,2,2,4,3,3,5,4,4,3,5,2,4,1,1,3,2,2,2
105,1,5,5,4,5,5,2,4,5,3,1,4,1,4,5,1,1,4,5,4,5,3,3,3,4,1,1,1,1,3,3,3,2
106,1,4,5,5,5,3,5,2,3,3,1,5,2,5,5,1,2,5,5,3,4,3,1,4,5,2,1,1,1,3,3,3,2
107,1,3,3,4,2,4,4,2,5,5,1,5,2,4,5,1,4,5,5,5,5,4,4,5,5,5,3,2,2,3,3,3,2
108,1,4,4,4,5,5,5,3,4,4,1,3,1,5,5,3,3,5,3,4,4,3,2,2,5,3,4,1,3,3,3,3,2
109,1,5,4,4,5,5,5,5,4,4,3,5,3,5,5,2,2,5,5,4,5,3,3,5,4,3,2,1,1,3,3,4,2
110,1,5,5,5,5,3,2,3,3,4,2,4,1,5,4,1,2,5,3,3,5,2,2,3,5,3,4,1,1,3,3,2,2
111,1,5,5,5,4,4,3,3,5,5,3,3,3,4,4,2,1,4,4,1,4,2,2,1,3,1,5,1,1,1,1,1,2
112,1,1,1,4,3,3,1,2,1,1,1,1,1,4,5,1,1,4,4,3,4,3,3,3,4,2,3,1,1,2,3,4,2
113,1,5,5,4,4,4,5,5,5,5,1,1,1,5,5,1,1,2,2,1,4,1,1,1,5,4,5,1,1,3,3,3,2
114,1,5,5,5,4,3,5,5,4,4,1,4,3,5,5,1,4,4,4,4,4,3,1,3,5,1,2,1,1,,3,,2
115,1,3,2,3,5,5,4,4,1,3,1,1,1,1,5,2,5,4,3,4,4,3,3,3,5,3,3,4,3,3,3,3,1
116,1,4,5,4,5,5,5,3,3,5,4,4,3,5,5,3,2,5,4,4,5,4,3,3,5,3,4,3,3,3,3,4,2
117,1,4,4,3,3,3,4,4,4,3,1,2,1,4,4,1,3,5,5,3,5,2,3,3,5,3,4,2,2,4,3,3,3
118,1,5,3,3,2,2,3,4,4,5,1,2,1,4,5,1,5,5,4,5,4,3,2,3,5,4,2,1,1,2,1,3,1
119,1,4,4,5,4,4,3,3,2,4,1,4,3,2,5,1,2,5,3,3,3,4,3,3,5,2,4,1,1,3,3,3,1
120,1,5,5,4,5,5,2,5,1,1,1,4,1,5,5,2,4,5,5,5,5,5,5,5,5,4,1,1,1,2,2,2,2
121,1,5,5,5,5,5,5,3,3,5,3,1,1,1,3,3,3,4,2,2,5,4,3,2,5,3,4,1,3,4,3,3,2
122,1,2,3,4,2,3,4,2,2,4,1,3,1,3,5,2,5,5,3,4,4,3,1,3,4,3,1,4,3,2,2,2,1
123,1,4,5,3,2,2,4,3,3,3,1,2,2,4,3,1,1,3,2,2,3,,3,3,4,2,3,1,1,,3,,2
124,1,5,5,4,2,2,2,4,2,2,2,4,4,3,4,2,4,4,3,3,4,3,3,2,5,2,3,1,1,3,2,2,2
125,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,4,2,2,2,2,2,5,3,5,3,3,5,5,5,3
126,1,5,4,3,3,3,3,3,4,3,2,4,1,5,5,3,3,5,5,4,5,3,2,4,4,1,2,3,3,5,5,4,3
127,1,2,5,3,5,5,2,5,5,3,1,1,1,1,5,1,1,5,2,2,3,3,3,4,4,3,5,1,1,3,3,3,2
128,1,5,5,5,4,3,3,4,4,4,1,5,1,5,5,3,5,5,5,5,5,4,2,3,4,3,4,1,1,3,3,4,2
129,1,4,5,4,5,4,3,3,4,4,4,3,3,4,4,5,3,4,4,3,3,3,3,4,5,3,5,1,1,2,3,3,2
130,1,5,5,5,4,4,5,4,1,5,1,1,1,5,3,5,2,5,4,2,4,3,2,2,5,3,3,1,1,3,3,3,2
131,1,5,4,5,3,2,4,4,3,5,2,5,2,4,5,2,4,5,3,4,4,3,3,3,4,4,3,1,3,3,4,3,2
132,1,5,4,4,3,2,4,5,4,5,1,4,2,5,5,2,3,5,3,3,4,3,3,3,4,4,2,3,4,3,3,4,1
133,1,5,3,4,3,1,3,3,2,2,1,2,2,5,5,1,5,5,4,3,5,4,5,4,5,2,4,1,1,4,4,2,2
134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
135,1,4,5,4,3,2,1,5,4,4,5,4,1,5,2,4,2,5,3,4,3,3,3,3,5,3,3,5,3,3,3,3,1
136,1,3,3,4,4,4,5,2,4,4,1,4,3,3,5,1,3,5,2,3,5,2,2,3,4,3,4,4,2,3,3,2,1
137,1,5,5,5,5,5,5,5,5,5,,5,3,5,5,4,2,5,5,3,3,3,3,5,4,1,,1,1,3,5,5,2
138,1,2,3,4,3,4,3,4,1,5,1,2,3,4,2,1,4,4,3,3,4,2,3,1,4,2,3,1,1,3,3,3,3
139,1,4,4,5,4,2,4,2,3,4,1,5,4,5,5,1,4,4,4,5,4,3,3,4,2,2,2,2,1,2,2,2,2
140,1,5,5,5,5,5,5,4,4,5,4,5,4,4,5,4,5,5,4,4,5,4,4,4,5,3,3,2,2,3,4,4,3
141,2,5,5,3,3,3,3,4,2,3,1,3,3,3,3,1,3,4,3,3,4,3,3,2,4,3,3,1,1,2,2,3,1
142,2,5,4,5,5,3,4,5,3,4,1,4,2,4,5,1,2,5,1,2,4,3,1,2,4,1,4,1,1,4,3,3,2
143,2,4,2,2,3,3,2,3,3,3,4,4,3,3,2,2,1,2,3,4,4,4,4,3,3,4,3,3,4,3,3,3,3
144,2,5,5,5,5,3,5,3,3,3,2,2,1,4,4,1,2,5,3,5,4,1,3,3,5,1,4,1,1,3,3,3,2
145,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
146,2,4,3,5,2,2,,5,4,4,3,4,3,4,3,2,5,5,5,3,4,3,3,4,5,3,3,1,1,3,3,4,3
147,2,4,4,4,3,4,3,4,3,4,1,4,1,4,5,4,4,5,4,4,4,3,2,4,5,5,4,4,5,4,4,4,1
148,2,4,5,4,5,4,4,3,4,4,1,5,3,5,5,3,3,5,4,4,4,4,3,4,5,4,2,2,2,4,4,4,1
149,2,5,5,5,5,5,5,5,4,4,3,4,4,4,5,2,5,5,4,4,3,3,3,4,4,4,3,2,2,3,2,2,1
150,2,5,3,5,2,2,5,5,3,5,1,3,2,4,5,2,5,5,5,4,3,5,3,4,5,3,2,3,3,3,1,3,1
151,2,5,5,5,4,3,4,3,4,4,2,3,4,4,4,3,3,5,5,5,5,3,3,4,5,3,3,1,2,1,1,1,2
152,2,3,4,4,4,4,4,3,4,3,3,2,2,3,5,2,4,5,4,3,3,2,3,4,5,3,1,1,1,2,2,2,2
153,2,5,5,5,5,5,5,4,3,5,4,2,1,3,3,5,3,5,3,2,4,1,1,1,5,2,5,1,1,4,3,3,3
154,2,4,5,5,5,5,5,5,5,5,1,3,1,5,5,1,1,4,3,3,4,2,3,3,4,2,5,1,4,3,3,3,2
155,2,5,5,5,5,5,4,4,2,4,1,3,3,4,4,1,3,4,3,3,3,3,3,3,4,2,3,1,1,2,2,3,2
156,2,4,3,4,2,2,3,4,4,4,3,3,2,4,5,4,2,4,4,3,2,2,2,3,4,3,5,1,1,2,2,2,2
157,2,5,4,3,3,2,2,2,2,3,2,1,1,3,3,5,2,5,4,4,5,2,3,2,4,3,2,1,1,1,3,2,3
158,2,5,3,4,3,2,4,2,2,4,2,3,3,4,3,3,3,5,3,4,5,3,3,3,5,1,3,1,1,4,4,2,2
159,2,5,4,5,3,4,3,3,5,5,3,5,2,4,5,2,5,4,4,5,4,3,3,4,5,3,2,2,2,3,3,3,1
160,2,4,4,3,4,3,2,3,2,4,1,2,1,5,5,5,3,2,4,3,4,3,3,4,5,3,3,1,1,3,3,3,2
161,2,5,5,5,5,5,5,2,5,4,3,4,3,5,5,2,1,5,3,2,5,4,3,4,5,2,5,1,1,4,5,3,1
162,2,4,3,5,3,3,4,4,1,5,2,5,3,3,4,1,4,5,3,4,5,3,1,2,5,3,2,1,1,2,2,2,1
163,2,5,4,3,3,3,3,2,4,3,2,4,2,5,3,1,2,4,3,3,4,2,2,4,4,2,3,1,1,3,3,3,2
164,2,5,5,4,4,4,3,3,2,2,2,4,2,5,4,3,2,5,3,3,4,2,2,3,5,2,4,2,1,3,4,2,2
165,2,3,5,1,4,4,5,5,5,5,1,5,1,5,5,1,5,5,5,2,3,1,3,1,5,3,5,1,1,2,1,2,1
166,2,5,5,5,5,5,3,4,4,4,1,5,3,2,5,1,3,5,4,4,4,4,2,3,5,3,2,3,3,4,3,2,1
167,2,5,4,4,3,3,4,4,2,5,2,4,3,4,5,3,5,5,4,3,4,3,3,3,4,3,2,1,1,1,2,2,1
168,2,4,5,5,4,4,3,3,2,1,1,3,2,3,4,2,5,5,5,4,4,2,2,5,2,2,5,3,4,2,2,2,1
169,2,4,5,4,4,4,3,4,3,4,3,4,3,4,5,4,1,5,5,3,5,2,2,4,4,3,4,3,2,3,3,2,1
170,2,5,5,4,4,3,4,3,2,4,1,4,4,4,4,2,3,5,2,4,4,3,3,2,4,3,3,2,2,1,1,1,1
171,2,5,5,5,4,4,2,3,4,2,2,3,3,3,5,1,5,5,4,4,5,2,4,4,5,3,3,1,1,3,3,3,3
172,2,5,5,5,5,5,5,4,4,4,4,4,3,5,5,4,3,4,3,4,4,3,3,3,4,3,4,2,2,3,4,3,2
173,2,5,4,4,4,5,5,5,2,3,1,2,1,1,5,3,2,4,3,3,4,2,4,4,3,2,5,4,3,3,3,3,1
174,2,5,4,4,2,2,3,3,5,3,1,3,3,4,4,2,1,5,3,3,4,3,4,5,4,4,5,1,1,3,5,3,2
175,2,4,4,5,3,1,3,3,5,4,1,4,1,5,5,1,4,4,4,3,4,2,1,4,4,2,3,1,1,3,1,2,1
176,2,5,5,5,5,5,4,1,3,3,1,1,1,4,4,3,3,5,2,2,5,2,3,2,5,2,4,1,1,3,3,3,2
177,2,5,5,4,3,3,3,3,3,3,3,4,3,4,4,4,3,4,3,3,4,3,3,4,4,4,3,3,3,3,2,3,2
178,2,5,5,3,5,5,2,1,3,3,1,2,5,5,5,4,2,5,4,4,3,1,3,3,5,1,3,1,1,3,4,3,2
179,2,5,5,4,5,3,4,2,4,4,2,5,1,5,3,5,1,3,2,2,3,2,1,2,4,1,5,1,1,2,3,3,2
180,2,4,4,4,3,3,4,4,4,4,2,2,2,4,4,3,4,4,3,3,4,4,3,3,4,3,3,1,1,1,2,2,2
181,2,5,4,5,5,5,4,4,4,4,1,2,1,5,5,2,3,4,4,4,5,5,5,5,5,5,1,2,1,3,3,3,3
182,2,5,5,5,5,4,4,4,4,4,4,4,2,3,4,3,3,4,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2
183,2,5,4,4,4,4,3,3,4,4,1,4,2,4,5,1,3,4,4,4,3,4,3,4,4,5,2,1,1,3,3,3,1
184,3,5,4,4,4,3,4,4,4,4,2,3,3,4,5,2,4,4,3,4,3,2,2,3,4,3,3,2,2,2,2,3,1
185,3,4,3,3,4,3,3,4,3,4,2,4,2,4,5,4,3,4,3,3,4,4,3,3,4,4,2,4,3,4,4,5,1
186,3,5,5,5,5,3,5,5,3,5,1,4,3,5,5,2,3,5,3,3,4,3,3,3,5,3,3,2,2,3,4,3,1
187,3,5,5,5,5,4,4,4,5,5,3,4,2,4,5,1,3,5,3,3,4,3,2,3,5,3,4,3,3,4,4,4,1
188,3,4,4,5,5,3,2,3,3,3,1,4,3,3,5,3,2,5,5,4,4,3,3,3,5,3,3,1,1,3,5,1,2
189,3,5,3,5,4,3,3,4,4,4,3,,4,3,4,5,3,5,5,3,4,3,3,3,4,4,3,4,4,3,3,3,2
190,3,4,5,5,5,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,3,2,5,4,4,2
191,3,5,4,3,3,3,3,2,3,3,1,3,2,2,3,2,2,4,4,2,4,3,3,4,3,2,4,1,1,2,1,3,2
192,3,5,4,5,4,4,4,3,4,4,4,5,3,5,4,3,2,5,2,4,5,4,3,3,4,2,4,1,1,3,4,3,3
193,3,4,5,3,1,1,1,1,1,1,1,1,1,1,5,4,4,4,4,2,4,2,3,2,4,1,4,1,1,4,3,3,2
194,3,4,4,4,4,4,4,5,4,4,4,4,4,5,4,1,4,5,4,3,5,5,3,4,5,1,3,1,1,2,3,3,2
195,3,3,4,5,4,4,3,3,3,3,4,3,3,4,5,3,1,5,5,4,5,3,3,5,5,2,3,1,1,3,4,4,2
196,3,3,4,5,5,5,1,3,4,5,1,3,2,5,5,1,2,5,4,3,5,3,3,3,5,5,5,1,1,,,,1
197,3,4,4,4,4,4,5,2,3,4,4,1,2,2,4,4,4,5,4,4,5,3,4,4,5,5,5,1,1,4,5,5,2
198,3,4,5,4,4,4,3,3,2,3,2,4,3,3,4,4,5,5,4,5,4,3,2,4,4,4,4,2,2,3,3,3,1
