,history_num,session_num,user_cat
42,42,elm lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> lpq -Pmsl23 cancel -u <2> cancel -uclin <1> lpq -Pmsl22 lpq -Pmsl23 cancel -u cancel -u <1> man <1> ls lpq -Pmsl23 cancel <2> cd <1> ls vi <1> ls lwpages <1> lwinfo <1> lwinfo <1> lwpages ls vi <1> lp -dmsl21 <1> cd <1> ls ll ll <1> more <1> vi <1> ll <1> vi <1> lwinfo <1> ls lwinfo <1> vi <1> lwinfo <1> back back lp -dmsl21 <1> back lp -dmsl21 <1> back lwpages ls rm <1> rm <1> lp -dmsl21 -n9 <1> lpq -Pmsl21 lwinfo <1> lpq -Pmsl21 lpq -Pmsl22 finger <1> cls ls cd <1> ls cd <1> ls mv <2> vi <1> ls fg lwinfo <1> lwpages back cd <1> ls lp -dmsl21 -n2 <1> fg,USER0
43,43,setenv <2> ls cd <1> maker ls ls ls ls vi <1>,USER0
44,44,finger <1> finger <1> ls vi <1> jarman jarman finger <1> exit,USER0
45,45,jarman elm finger <1> cd <1> ls dodo ls vi <1> vi <1> diff <2> ls mv <2> fg cd <1> cd <1> ls cd <1> cd <1> ls cd <1> cd <1> ls cd <1> ls cd <1> cd <1> ls <1> cd <1> cd <1> ls cd cd <1> cd fg log,USER0
46,46,vi <1> finger <1> | more exit,USER0
47,47,elm finger <1> logout,USER0
48,48,elm,USER0
49,49,elm logout,USER0
50,50,elm fg finger <1> finger <1> finger <1> fg finger <1> rloign <1> rlogin <1> ls ll <1> rm <1> rm <1> ls more <1> rm <1> fg ext exit,USER0
51,51,finger <1> finger <1> ftp <1> finger <1> finger <1> finger <1> exit,USER0
52,52,exit,USER0
53,53,elm exit,USER0
54,54,elm exit,USER0
55,55,elm exit,USER0
56,56,more <1> more <1> finger <1> cd <1> ls cp <2> emacs <1> <GENSYM:0>/vi <1> exit,USER0
57,57,elm r <1> exit,USER0
58,58,elm logout,USER0
59,59,elm,USER0
60,60,elm ls cd <1> ls vi <1> <GENSYM:0>/vi <1> dodo <GENSYM:0>/vi <1> ls more <1> ls fg elm logout,USER0
61,61,elm r <1> exit,USER0
62,62,elm,USER0
63,63,cd <1> ls lwinfo <1> lp -dmsl23 <1> lpq -Pmsl23 lp -dmsl21 <1> lpq -Pmsl23 lpq -Pmsl21 ftp <1> ruptime uptime ruptime | more wc <1> more <1>,USER0
64,64,lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> lwpages quit exit,USER0
65,65,elm elm vi <1> finger <1> finger <1> elm elm uptime uptime uptime uptime vi <1> exit,USER0
66,66,uptime elm elm ls rm <1> cd <1> ls vi <1>,USER0
67,67,elm finger <1> ps -ef | grep <1> ps -aux | grep <1> kill <1> kill <1> kill <1> finger <1> elm rm <1> elm cd <1> ls more <1> cd fg,USER0
68,68,elm rm <1> elm,USER0
69,69,ls alias <1> alias <1> alias alias | more lwinfo <1> enscript_msl21 <1> alias <1> rm <1> rm <1> ruptime ruptime | more finger <1> finger <1> ls,USER0
70,70,elm ls rm <1> rm <1> vi <1> ls rm <2> ls finger <1> mail <1> finger <1> rlogin <1> elm finger <1> date last <1> r <1> cd <1> ls vi <1> ls vi <1> fg vi <1> ls ll cp <2> vi <1> exit fg finger <1> finger <1> exit,USER0
71,71,ping <1> mail <1> date finger <1> exit,USER0
72,72,elm cd <1> ls vi <1> finger <1> finger <1> exit,USER0
73,73,elm exit,USER0
74,74,ping <1> rlogin <1> finger <1> finger <1> exit,USER0
75,75,elm exit,USER0
76,76,elm vi <1> rm <1> fg finger <1> fg r <1> exit,USER0
77,77,finger <1> rlogin <1> exit,USER0
78,78,elm finger <1> exit,USER0
79,79,setenv <2> ls cd <1> ls cd <1> ls vi <1> vi <1> & more <1> maker exit,USER0
80,80,finger <1> exit,USER0
81,81,elm cd <1> ls vi <1> exit,USER0
82,82,cd <1> ls lp -d <1> lp -d <2>,USER0
83,83,setenv <2> cd <1> ls vi <1> exit,USER0
84,84,elm exit,USER0
85,85,rlogin <1>,USER0
86,86,elm cd <1> ls vi <1> vi <1> fg,USER0
87,87,elm rlogin <1> fg rlogin <1> fg finger <1> date exit,USER0
88,88,elm elm finger <1> exit,USER0
89,89,elm,USER0
90,90,elm cd <1> ls vi <1> fg exit,USER0
91,91,ls cd <1> ls vi <1> ls vi <1> exit,USER0
92,92,finger <1> finger <1> finger <1> logout,USER0
93,93,finger <1> elm exit,USER0
94,94,ls cd <1> ls vi <1> exit,USER0
95,95,cd <1> ls more <1> exit,USER0
96,96,elm exit,USER0
97,97,elm exit,USER0
98,98,ls cd <1> ls vi <1> exit,USER0
99,99,elm finger <1> exit,USER0
100,100,r <1> elm lwinfo <1> fg,USER0
101,101,elm exit,USER0
102,102,elm exit,USER0
103,103,rlogin <1> exit,USER0
104,104,exit,USER0
105,105,elm exit,USER0
106,106,exit,USER0
107,107,elm exit,USER0
108,108,elm man <1> vacatin vacation vacation rm <1> vacation rm <1> elm fg ls exit,USER0
109,109,elm finger <1> exit,USER0
110,110,elm elm finger <1> finger <1> finger <1> finger <1> inger <1> r -l <2> exit,USER0
111,111,elm elm logout,USER0
112,112,elm exit,USER0
113,113,elm finger <1> fg,USER0
114,114,elm exit,USER0
115,115,elm exit,USER0
116,116,cd <1> ls more <1>,USER0
117,117,elm logout,USER0
118,118,elm finger <1> exit,USER0
119,119,cd <1> ls cp <2> vi <1> exit,USER0
120,120,elm exit,USER0
121,121,elm,USER0
122,122,vi <1> vi <1> vi <1> ph <2> finger <1> finger <1> finger <1> finger <1> finger <1> lname <2> lname <1> | grep <1> finger <1> finger <1> ping <1> finger <1> finger <1> finger <1> date exit,USER0
123,123,ls cd cd <1> pwd alias source <1> cd source <1> exit,USER0
124,124,elm finger <1> g fg exit,USER0
125,125,source <1> source <1> source <1> elm ls cd <1> vi <1> chmod <2> vi <1> cd terran_data $PATH terran_data vi <1> <GENSYM:2>/terran_data ll <1> ll cd <1> ls vi <1> rm -f <1> rm -f <1> mv <2> mkdir <1> cd <1> tar <3> ls cd <1> ls unrm -l unrm <1> unrm -l | more ls cd <1> ls fg exit,USER0
126,126,source <1> source <1> cd <1> ls unrm -l unrm -l | more cd elm,USER0
127,127,source <1> source <1> unrm -l ls <1> ls <1> exit,USER0
128,128,source <1> source <1> source <1> elm exit,USER0
129,129,source <1> source <1> ls cd <1> ls vi <1> cp <2> ls <GENSYM:0>/winnow <GENSYM:0>/vi <1> setenv <2> maker ls mv <2> cat <1> cd elm,USER0
130,130,source <1> source <1> elm finger <1> fg finger <1> finger <1> fg cd <1> ls vi <1> vi <1> fg exit,USER0
131,131,source <1> source <1> elm elm finger <1> exit,USER0
132,132,source <1> source <1> elm finger <1> finger <1> finger <1> fg ls cd <1> ls <GENSYM:0>/vi <1> fg,USER0
133,133,source <1> source <1> ps -aux | grep <1> kill -9 <1> kill -9 <1> elm rm <1> elm,USER0
134,134,elm rlogin <1> lm elm exit,USER0
135,135,source <1> source <1> ls cd <1> ls vi <1> ls more <1> more <1> <GENSYM:0>/vi <1> exit,USER0
136,136,source <1> source <1> elm date elm ls cd <1> ls fg cd fg exit,USER0
137,137,source <1> source <1> elm cd <1> ls <GENSYM:0>/vi <1> setenv <2> maker ls cat <1> <GENSYM:0>/vi <1> exit,USER0
138,138,source <1> source <1> elm finger <1> finger <1> finger <1> r <1> exit,USER0
139,139,source <1> source <1> elm date finger <1> finger <1> exit,USER0
140,140,ls env vi <1> logout,USER0
141,141,source <1> more <1> source <1> ls vi <1> logout,USER0
142,142,logout,USER0
143,143,logout,USER0
144,144,logout,USER0
145,145,logout,USER0
146,146,logout,USER0
147,147,elm cls lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> lwpages mail <1> rm <1> unrm <1> ls cd <1> ls cd quota -v more <1> rm <1> ls more <1> rm <1> ls finger <1> r <1> exit,USER0
148,148,elm finger <1> vi <1> elm elm exit,USER0
149,149,finger <1> date finger <1> finger <1> elm exit,USER0
150,150,elm cd <1> ls cp <2> vi <1> cd finger <1> fg exit,USER0
151,151,elm,USER0
152,152,elm finger <1> fg finger <1> fg finger <1> finger <1> finger <1> fg ping <1> fg cd <1> vi <1> <GENSYM:0>/vi <1> <GENSYM:0>/vi <1> fg exit,USER0
153,153,finger <1> elm finger <1> r <1> exit,USER0
154,154,elm ping <1> finger <1> finger <1> finger <1> rlogin <1> cls fg cd <1> ls vi <1> exit,USER0
155,155,elm,USER0
156,156,ping <1> elm finger <1> rloin -l <2> rlogin -l <2> fg rlogin -l <2> g fg finger <1> fg finger <1> fg,USER0
157,157,elm ps -aux | grep <1> kill -9 <1> rm <1> elm finger <1> finger <1> finger <1> fg finger <1> fg ls rm -ri <1> rm -rf <1> rm <1> findfile findfile <1> cd <1> more <1> ls cd <1> cd <1> ls ll <1> cd <1> cd ls,USER0
158,158,finger <1> exit,USER0
159,159,ls cd <1> ls more <1> cd more <1> rm <1> ls more <1> ls exit,USER0
160,160,elm ls cd <1> ls vi <1> cd fg fg elm weather fg exit,USER0
161,161,elm cd <1> <GENSYM:0>/vi <1> cd <1> ls more <1> cd fg back ls vi <1> exit,USER0
162,162,elm,USER0
163,163,ls finger <1> mail <2> finger <1> finger <1> finger <1> finger <1> finger <1> finger <1> exit,USER0
164,164,mail <1> exit,USER0
165,165,f <1> f <1> elm,USER0
166,166,elm ls alias alias | more fg cd <1> ls more <1> finger <1> finger <1> fg ls vi <1> setenv <2> vi <1> man <1> man <1> man <1> man <1> man -k <1> man -k man <1> cd fg,USER0
167,167,elm exit,USER0
168,168,elm cp <2> cd <1> ls ll ll ls cd elm fg elm finger <1> finger <1> finger <1> fg finger <1> finger <1> finger <1> fg finger <1> fg finger <1> ls fg finger <1> fg r -l <2> exit,USER0
169,169,elm,USER0
170,170,ps -ef | grep <1> ps -aux | grep <1> finger <1> r <1> ls elm fg finger <1> elm rm <1> finger <1> elm finger <1> fg elm finger <1> fg finger <1> finger <1> finger <1> ph <2> fg finger <1> finger <1> rlogin <1> fg rlogin -l <2> fg finger <1> fg cd <1> ls vi <1> fg,USER0
171,171,rlogin -l <2> exit,USER0
172,172,elm finger <1> finger <1> ph <2> ph <1> finger <1> fg ls mkdir <1> cp <2> ls <1> ls cd <1> ls <GENSYM:0>/vi <1> terran_data pwd finger <1> date finger <1> cd ls ll cd <1> ls cd <1> cp <2> cat <1> rm -f <1> rm -f <1> rm -f <1> rm -rf <1> mv <2> mkdir <1> cd <1> tar <3> cd uuencode <2> > <1> ls cd <1> ls <GENSYM:0>/vi <1> cd ls cp <2> terran_data ls <GENSYM:0>/vi <1> <GENSYM:0>/vi <1> cat <1> finger <1> cat <1> pwd rm -f <1> rm -f <1> rm -rf <1> mv <2> mkdir <1> cd <1> tar <3> cd uuencode <2> > <1> cd <1> ll cd cp <2> ls <1> cat <1> rm -f <1> rm -f <1> rm -rf <1> mv <2> mkdir <1> ls <1> cd <1> tar <3> cd uuencode <2> > <1> ll <1> mailx -s <2> < <1> ls ls -a ls -al rm -rf <1> ls <1> ls <1> ls rm -rf <1> fg finger <1> fg cd <1> ls vi <1> ls fg finger <1> finger <1> finger <1> fg finger <1> fg finger <1> finger <1> finger <1> date fg elm elm finger <1> fg finger <1> fg ls cp <2> vi <1> exit,USER0
173,173,elm quota -v ll ftp <1> rm <1> quota -v ls quota -v fg elm rlogin <1> f ps -aux | grep <1> exit,USER0
174,174,elm exit,USER0
175,175,quota -v ls elm rlogin <1> fg date at <1> at <1> fg cls ls exit,USER0
176,178,elm date exit,USER0
177,179,elm log,USER0
178,180,elm,USER0
179,181,finger <1> elm lpq lpq -o lpq -Pmsl2 lpq -Pmsl20 lpq -Pmsl2 fg finger finger <1> date ps -ef | ps -ef | grep <1> ps -aux | grep <1> cls fg exit,USER0
180,182,elm exit,USER0
181,183,setenv <2> maker maker exit,USER0
182,184,ls exit,USER0
183,185,which <1> alias <1> alias <GENSYM:3>/talk <1> <GENSYM:3>/talk <1> vi <1> <GENSYM:0>/vi <1> elm finger <1> finger <1> fg elm exit,USER0
184,186,setenv <2> maker finger <1> ls uptime who finger <1> cd <1> ls cd <1> ls <GENSYM:0>/vi <1> <GENSYM:0>/vi <1> <GENSYM:0>/vi <1> <GENSYM:0>/vi <1> ls mkdir <1> cd <1> ls ls unalias <1> vi <1> vi <1> ls mv <3> ls mv <2> ls vi <1>,USER0
185,187,elm finger <1> finger <1> finger <1> fg finger <1> finger <1> finger <1> fg finger <1> talk <1> j %1 finger <1> finger <1> finger <1> j % %2 talk <1> fg finger <1> fg finger <1> fg rlogin <1> ping <1> fg rlogin <1> finger <1> j fg finger <1> finger <1> finger <1> fg finger <1> finger <1> finger <1> fg finger <1> finger <1> finger <1> finger <1> fg finger <1> r <1> fg finger <1> fg finger <1> finger <1> finger <1> fg finger <1> finger <1> fg talk <1> rlogin -l <2> fg fg exit,USER0
186,188,talk <1> exit,USER0
187,189,rlogin -l <2> exit,USER0
188,190,elm ls cd <1> ls finger ftp <1> ls mv <2> mv <2> vi <1> ls vi <1> ls vi <1> ls vi <1> ftp <1> ls cp <2> vi <1> vi <1> ls vi <1> ls rm <1> unrm -l date finger <1> fg ftp <1> finger <1> ftp <1> ftp <1> cd fg rlogin <1>,USER0
189,191,cd <1> ls cat <1> ls exit,USER0
190,193,vi <1> exit,USER0
191,194,rlogin <1>,USER0
192,195,elm,USER0
193,196,source <1> source <1> cls finger <1> finger <1> finger <1> finger <1> cls xlock ls vi <1> xlock passwd passwd rlogin <1> exit,USER0
194,197,source <1> source <1> ls rm <2> quota -v cd <1> ls cd <1> ls cd <1> ls maker cd cd <1> ls ghostview <1> finger <1> cls date finger <1> finger <1> finger <1> finer <1> finger <1> ls cdls cd ls cd <1> ls rm <1> vi <1> ls ls quota -v ls cd ls cd <1> ls cd <1> ls man <1> man <1> ls gzip <1> gzip <1> cd <1> ls tar <3> cd <1> ls -l chown <2> ls ls -l chgrp <1> newgrp <1> cd <1> ls cd <1> ls rm <1> rm <1> chgrp <2> gzip <1> ls gzip <1> & cd <1> ls cd <1> ls ls rm -rf <1> rm -rf <1> & cd <1> ls ll <1> newgrp <1> ls cd <1> ls cd cd <1> ls cd <1> ls ls ls -l rm -rf <1> cd <1> ls -l cd <1> ls rm <1> cd <1> ls rmdir <1> rlogin <1> ls ls ls -l mkdir <1> cp <2> mv <2> newgrp <1> cd exit,USER0
195,198,source <1> source <1> source <1> ls ls -l chown <2> vi <1> ls -l mv <2> cp <2> ls -l rm <1> mv <2> cp <2> ls ls -l rm <1> rm <1> ls ls -l mv <2> cp <2> rm <1> ls -l mv <2> cp <2> ls -l rm <1> mv <2> cp <2> ls -l cp <2> mv <2> ls ls -l mv <2> cp <2> rm <1> ls ls -l cd <1> ls ls -l | more mv <2> cp <2> rm <1> ls -l chown <2> cp <2> ls -l rm <1> mv <2> ls ls -l ls -l | more cd <1> cd <1> tar <3> ls cd <1> ls gzip <1> ls -l <1> man <1> ls more <1> l ls more <1> ls cp <2> gzip <1> ls rm <1> gzip <1> & cd <1> ls rm <1> j kill -9 <1> ls exit,USER0
196,199,chown <2> source <1> source <1> source <1> ls ls -l | more chown <2> mv <2> cp <2> ls -l | more mkdir <1> cd <1> ls ls -l cp <2> cd <1> ls ll back ls rm <1> cd <1> rmdir <1> ls ls -l | more chmod <2> ls -l | more chown <2> chown <2> date cp <2> mv <2> ls -l <1> ls -l cp <2> mv <2> cp <2> mv <2> cp <2> mv <2> cp <2> mv <2> cp <2> mv <2> cp <2> ; mv <2> rm <1> ls -l cp <2> ; mv <2> rlogin <1> ls rm <1> ls -l | more cp <2> ; mv <2> cp <2> ; mv <2> cp <2> ; mv <2> cp <2> ; mv <2> ls -l | more chown <1> chown <2> chown <2> ls -l <1> cd <1> ls cd <1> ls ls -l rm <1> cd <1> rm <1> cd <1> rmdir <1> ls cd <1> ls rm <1> cd <1> ls rm <1> ls -l cd <1> ls rm <1> ls -l newgrp <1> exit,USER0
197,200,rlogin -l <2> pwd exit,USER0
198,201,pwd rm <1> ls -l rm <1> exit,USER0
199,202,rlogin -l <2> exit,USER0
200,203,pwd mv <2> ls -l cd <1> source <1> source <1> source <1> ls ls ls -l rm <1> LS LS ls ls -l rlogin -l <2> exit,USER0
201,204,rlogin -l <2> ls quota -v cd <1> ls cd <1> mv <2> ls cd <1> ls cd <1> ls mv <2> cd <1> ls rmdir <1> ls cd <1> ls ls ls -l ls -l rm -rf <1> rm -rf <1> ls ls -l l cd <1> ls -l rm <1> ls cd <1> ls cd <1> ls -l rm -rf <1> cd <1> ls quota -v exit,USER0
202,205,rlogin -l <2> exit,USER0
203,206,source <1> source <1> netscape &,USER0
204,207,source <1> source <1> xlock ls cd <1> ls ghostview <1> date,USER0
205,208,elm exit,USER0
206,209,rlogin <1>,USER0
207,210,elm exit,USER0
208,211,source <1> source <1> lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> ls xlock lwinfo <1> lwinfo <1> xlock rlogin -l <2> cls lwinfo <1> lwinfo ` <1>,USER0
209,212,source <1> source <1> xhost <1> rlogin <1> exit,USER0
210,213,rlogin <1> exit,USER0
211,214,maker maker source <1> source <1> ls lwinfo <1> xlock xlock lwinfo <1> ls cd <1> ls cd <1> ls ghostview <1> rm <1> ls ll <1> date ftp <1> linc xlock exit,USER0
212,215,rlogin <1> exit,USER0
213,216,rlogin <1> exit,USER0
214,217,ls elm elm finger <1> finger <1> finger <1> fg exit,USER0
215,218,ls cd <1> ls rm <1> quota -v cd <1> ls cd finger <1> elm finger <1> ftp <1> fg cd <1> ls cd <1> ls mv <2> vi <1> ls lwinfo <1> fg ls diff <2> vi <1> vi <1> diff <2> ls mv <2> fg exit,USER0
216,219,rlogin <1> rlogin <1> rlogin -l <2> exit,USER0
217,220,elm quota -v ls cd <1> ls cd <1> ls ll <1> ls -R <1> ls -R <1> ls -R | grep <1> cd <1> ls cd <1> ls cd <1> ls ll cd <1> ll cd <1> cd <1> ls cd <1> cd <1> ls cd ls ll <1> ll <1> cd ls rm <1> quota -v quota -v cd <1> ls vi <1> quota -v ls <1> uptime rutime ruptime finger <1> finger <1> finger <1> quota -v cd cd <1> ls cd <1> ls rm -rf <1> rm -rf <1> quota -v cd <1> ls cd <1> ls cd <1> ls cd <1> ls ls -l ls cd <1> ls cd <1> ls cd <1> ll cd <1> ls cd <1> ls cd <1> ls more <1> ls more <1> ls cd <1> ls cd <1> ls cd <1> ls cd <1> cd <1> ls cd fg exit,USER0
218,221,netscape & lwinfo <1> lwinfo <1> exit,USER0
219,222,rlogin <1> exit,USER0
220,223,maker xlock xlock source <1> source <1> ls cd <1> ls ls cd <1> ls rm <1> rm <1> ls <1> ll <1> ghostview <1> ftp <1> rlogin -l <2> ls <1> ghostview <1> rlogin <1> uptime ls ghostview <1> vi <1> exit,USER0
221,224,rlogin <1> exit,USER0
222,225,rlogin <1> exit,USER0
223,226,ls cd <1> ls cd <1> ls cd <1> ls lp -d <2> lp -d <2> lp -d <2> lp -d <2> elm finger <1> cls cd ls finger <1> date exit,USER0
224,227,elm finger <1> mail <1> exit,USER0
225,228,elm cd <1> ls more <1> fg,USER0
226,229,ls elm fg finger <1> finger <1> mail exit,USER0
227,230,elm exit,USER0
228,231,exit,USER0
229,232,elm elm ls rm <1> fg exit,USER0
230,233,rlogin <1> exit,USER0
231,234,elm exit,USER0
232,235,source <1> source <1> xhost <1> finger <1> xlock cd <1> ls vi <1> ls cp <2> vi <1> finger <1> exit,USER0
233,236,rlogin <1> exit,USER0
234,237,rlogin <1>,USER0
235,238,rlogin <1>,USER0
236,239,ftp <1> elm cd <1> ls vi <1> cd <1> <GENSYM:4>/terran_data ls <1> ls <1> date cat <1> ll <1> uuencode <2> > <1> ll <1> mailx -s <2> < <1> vi <1> fg ls cat <1> cd <1> rm <1> tar <3> cd uuencode <2> > <1> mailx -s <2> < <1> vi <1> fg cd <1> ls vi <1> fg vi <1> fg ls cd cd <1> ls mv <2> vi <1> ls -l ls -a vi <1> ls ls -a cd <1> ls more <1> more <1> ls cd <1> ls -a vi <1> s elm fg fg <GENSYM:5>/pagecount <1> ls mv <2> finger <1> finger <1> exit fg exit,USER0
237,240,elm exit,USER0
238,241,elm exit,USER0
239,242,elm elm cd <1> ls vi <1> fg,USER0
240,243,elm exit,USER0
241,244,elm exit,USER0
242,245,elm cd <1> ls vi <1> finger <1> talk <1> talk <1> finger <1> fg,USER0
243,246,elm exit,USER0
244,247,exit,USER0
245,248,elm exit,USER0
246,249,cd <1> ls cd <1> vi <1> cd elm exit,USER0
247,250,elm exit,USER0
248,251,elm ls cd <1> ls mv <2> vi <1> exit,USER0
249,252,cd <1> ls lwinfo <1> lp -d <2> exit,USER0
250,253,finger <1> talk <1> finger <1> finger <1> exit,USER0
251,254,finger <1> mail <1> elm finger <1> talk <1> exit,USER0
252,255,elm exit,USER0
253,256,ls cd <1> ls vi <1> mail <1> ls cp <2> finger <1> rlogin <1> exit,USER0
254,257,elm rlogin <1> ping <1> ssinfo fg exit,USER0
255,258,elm ls cd <1> ls rm <1> cd <1> ls cd <1> ls vi <1> cd fg rlogin <1> fg,USER0
256,259,ls finger <1> ping <1> finger <1> whereis <1> <GENSYM:6>/ping <1> <GENSYM:6>/ping <1> rlogin <1> finger <1> finger <1> finger <1> finger <1> rlogin <1> elm exit,USER0
257,260,uptime who elm elm exit,USER0
258,261,elm fg exit,USER0
259,262,date elm elm,USER0
260,263,elm date fg ftp  <1> ftp  <1> ftp <1> elm fg exit,USER0
261,264,elm talk <1> talk <1> finger <1> elm f ftp <1> fg finger <1> finger <1> fg elm exit,USER0
262,265,elm rlogin <1> fg finger <1> exit,USER0
263,266,elm elm ftp <1> elm fg finger <1> finger <1> mail <1> fg rlogin <1> fg finger <1> fg finger <1> fg,USER0
264,267,setenv <2> netscape & who uptime uptime ls ftp <1> ls rm <1> rm <1> ls more <1> rm <1> finger <1> finger <1> fg,USER0
265,268,elm finger <1> cd <1> cd <1> cd <1> ls <1> cd <1> ls cd <1> ls <1> cd <1> cd <1> ls <1> cd <1> cd <1> ls <1> cd <1> cd <1> ls ls <1> cd <1> cd <1> ls more <1> cd cls finger <1> exit,USER0
266,269,elm date exit,USER0
267,270,elm finger <1> quit exit,USER0
268,271,elm finger <1> r <1> exit,USER0
269,272,elm elm ls cd <1> ls vi <1>,USER0
270,273,elm rm <1> elm elm cd <1> ls vi <1> cd fg j elm finger <1> exit,USER0
271,274,finger <1> elm finger <1> finger <1> mail <1> finger <1> rlogin <1> ftp <1> ping <1> ping <1> elm fg elm exit,USER0
272,275,finger <1> finger <1> finger <1> finger <1> elm talk <1> talk <1> fg fg finger <1> finger <1> finger <1> finger <1> finger <1>,USER0
273,276,finger <1> ps -ef | grep <1> ps -aux | grep <1> kill -9 <1> elm rm <1> elm elm cp <2> elm ls cd <1> ls rm <1> cd <1> ls rm <1> vi <1> ls quota -v more <1> rm <1> ls cd <1> ls cd <1> cd <1> cd <1> ls cd <1> ls cd <1> ls cd <1> rmdir <1> cd <1> ls cd <1> ls cd <1> ls rlogin <1>,USER0
274,277,elm ls ps -aux | grep <1> kill -9 <1> ps -aux | grep <1> elm rm <1> elm fg exit,USER0
275,278,elm exit,USER0
276,279,elm,USER0
277,280,elm,USER0
278,281,finger <1> exit,USER0
