,binaryClass_cat,year_num,field_goals_num
83,N,86.0,7.0
84,N,86.0,5.0
85,N,86.0,11.0
86,N,86.0,9.0
87,N,86.0,6.0
88,N,86.0,7.0
89,N,86.0,9.0
90,P,86.0,1.0
91,N,86.0,9.0
92,N,86.0,10.0
93,N,86.0,11.0
94,P,86.0,6.0
95,N,86.0,9.0
96,P,86.0,5.0
97,N,86.0,9.0
98,N,86.0,10.0
99,N,86.0,6.0
100,N,86.0,12.0
101,P,86.0,4.0
102,N,86.0,7.0
103,N,86.0,7.0
104,P,86.0,5.0
105,N,86.0,10.0
106,P,86.0,3.0
107,N,86.0,6.0
108,N,86.0,7.0
109,N,86.0,5.0
110,N,86.0,5.0
111,P,86.0,3.0
112,N,86.0,8.0
113,N,86.0,8.0
114,N,86.0,10.0
115,N,86.0,8.0
116,N,86.0,7.0
117,P,86.0,3.0
118,N,86.0,3.0
119,P,86.0,8.0
120,N,86.0,7.0
121,N,86.0,8.0
122,P,86.0,6.0
123,P,86.0,3.0
124,N,86.0,11.0
125,N,86.0,9.0
126,N,86.0,10.0
127,N,86.0,8.0
128,N,86.0,6.0
129,P,86.0,2.0
130,N,86.0,5.0
131,N,86.0,6.0
132,P,86.0,4.0
133,P,86.0,4.0
134,N,86.0,7.0
135,P,86.0,1.0
136,N,86.0,13.0
137,N,86.0,7.0
138,N,86.0,10.0
139,N,86.0,8.0
140,P,86.0,4.0
141,P,86.0,2.0
142,N,86.0,12.0
143,P,86.0,3.0
144,N,86.0,6.0
145,N,86.0,7.0
146,P,86.0,3.0
147,N,86.0,7.0
148,N,86.0,15.0
149,P,86.0,3.0
150,N,86.0,9.0
151,N,86.0,10.0
152,N,86.0,7.0
153,P,86.0,4.0
154,N,86.0,7.0
155,N,86.0,7.0
156,N,86.0,7.0
157,N,86.0,9.0
158,N,86.0,6.0
159,N,86.0,7.0
160,N,86.0,4.0
161,N,86.0,6.0
162,N,86.0,6.0
163,N,86.0,8.0
164,N,86.0,5.0
165,N,86.0,6.0
166,P,86.0,2.0
167,P,86.0,2.0
168,N,86.0,6.0
169,N,86.0,7.0
170,P,86.0,7.0
171,N,86.0,6.0
172,N,86.0,12.0
173,N,86.0,8.0
174,N,86.0,9.0
175,P,86.0,5.0
176,N,87.0,6.0
177,N,87.0,6.0
178,N,87.0,5.0
179,N,87.0,13.0
180,N,87.0,6.0
181,N,87.0,9.0
182,N,87.0,9.0
183,P,87.0,2.0
184,N,87.0,9.0
185,N,87.0,8.0
186,P,87.0,6.0
187,N,87.0,4.0
188,N,87.0,9.0
189,P,87.0,6.0
190,N,87.0,7.0
191,P,87.0,4.0
192,P,87.0,0.0
193,P,87.0,5.0
194,P,87.0,2.0
195,P,87.0,4.0
196,P,87.0,3.0
197,P,87.0,1.0
198,P,87.0,2.0
199,P,87.0,3.0
200,N,87.0,12.0
201,N,87.0,7.0
202,N,87.0,4.0
203,N,87.0,8.0
204,N,87.0,9.0
205,P,87.0,3.0
206,N,87.0,10.0
207,P,87.0,6.0
208,N,87.0,8.0
209,P,87.0,3.0
210,N,87.0,9.0
211,N,87.0,7.0
212,N,87.0,9.0
213,P,87.0,1.0
214,P,87.0,2.0
215,P,87.0,2.0
216,P,87.0,0.0
217,N,87.0,7.0
218,N,87.0,5.0
219,P,87.0,5.0
220,P,87.0,4.0
221,P,87.0,2.0
222,N,87.0,10.0
223,N,87.0,5.0
224,P,87.0,1.0
225,N,87.0,7.0
226,N,87.0,6.0
227,P,87.0,3.0
228,P,87.0,0.0
229,N,87.0,8.0
230,P,87.0,3.0
231,P,87.0,5.0
232,P,87.0,0.0
233,P,87.0,6.0
234,P,87.0,3.0
235,N,87.0,6.0
236,P,87.0,3.0
237,N,87.0,7.0
238,P,87.0,5.0
239,P,87.0,4.0
240,P,87.0,1.0
241,P,87.0,0.0
242,P,87.0,1.0
243,N,87.0,9.0
244,P,87.0,5.0
245,N,87.0,7.0
246,P,87.0,4.0
247,P,87.0,3.0
248,P,87.0,4.0
249,P,87.0,6.0
250,P,87.0,4.0
251,P,87.0,7.0
252,P,87.0,6.0
253,P,87.0,7.0
254,P,87.0,6.0
255,P,87.0,4.0
256,N,87.0,8.0
257,N,87.0,9.0
258,P,87.0,0.0
259,P,87.0,2.0
260,P,87.0,3.0
261,P,87.0,3.0
262,P,87.0,4.0
263,N,87.0,4.0
264,P,87.0,2.0
265,N,87.0,9.0
266,P,87.0,7.0
267,P,87.0,3.0
268,P,87.0,5.0
269,N,87.0,9.0
270,P,87.0,5.0
271,P,87.0,1.0
272,P,87.0,0.0
273,N,87.0,10.0
274,P,87.0,7.0
275,N,87.0,3.0
276,P,87.0,3.0
277,P,87.0,6.0
278,N,87.0,8.0
279,P,87.0,2.0
280,N,87.0,5.0
281,P,88.0,4.0
282,P,88.0,1.0
283,N,88.0,8.0
284,P,88.0,7.0
285,P,88.0,3.0
286,P,88.0,1.0
287,P,88.0,3.0
288,P,88.0,2.0
289,P,88.0,2.0
290,N,88.0,6.0
291,P,88.0,6.0
292,P,88.0,4.0
293,N,88.0,8.0
294,N,88.0,5.0
295,P,88.0,5.0
296,P,88.0,1.0
297,N,88.0,7.0
298,P,88.0,0.0
299,P,88.0,4.0
300,P,88.0,3.0
301,P,88.0,2.0
302,P,88.0,3.0
303,N,88.0,7.0
304,N,88.0,9.0
305,N,88.0,8.0
306,N,88.0,5.0
307,P,88.0,2.0
308,N,88.0,9.0
309,N,88.0,9.0
310,P,88.0,4.0
311,P,88.0,2.0
312,N,88.0,7.0
313,P,88.0,5.0
314,P,88.0,7.0
315,P,88.0,7.0
316,P,88.0,7.0
317,N,88.0,9.0
318,N,88.0,8.0
319,N,88.0,10.0
320,N,88.0,10.0
321,N,88.0,4.0
322,N,88.0,9.0
323,N,88.0,10.0
324,N,88.0,9.0
325,P,88.0,4.0
326,N,88.0,8.0
327,P,88.0,1.0
328,N,88.0,9.0
329,N,88.0,9.0
330,P,88.0,3.0
331,P,88.0,3.0
332,P,88.0,3.0
333,N,88.0,13.0
334,P,88.0,6.0
335,P,88.0,7.0
336,P,88.0,4.0
337,P,88.0,4.0
338,P,88.0,3.0
339,P,88.0,4.0
340,P,88.0,9.0
341,N,88.0,12.0
342,N,88.0,6.0
343,P,88.0,0.0
344,P,88.0,2.0
345,P,88.0,5.0
346,N,88.0,4.0
347,P,88.0,0.0
348,N,88.0,10.0
349,P,88.0,1.0
350,N,88.0,10.0
351,N,88.0,4.0
352,N,88.0,6.0
353,N,88.0,11.0
354,N,88.0,9.0
355,P,88.0,7.0
356,N,88.0,13.0
357,P,88.0,3.0
358,P,88.0,5.0
359,P,88.0,4.0
360,N,88.0,7.0
361,P,88.0,1.0
362,N,88.0,10.0
363,P,88.0,1.0
364,P,88.0,5.0
365,N,88.0,10.0
366,P,88.0,5.0
367,N,88.0,7.0
368,P,88.0,5.0
369,P,88.0,1.0
370,P,88.0,3.0
371,P,88.0,4.0
372,N,88.0,6.0
373,P,88.0,3.0
374,N,88.0,8.0
375,N,88.0,3.0
376,N,88.0,9.0
377,N,88.0,8.0
378,P,88.0,8.0
379,P,88.0,5.0
