,binaryClass_cat,sv_cat,ag_cat,tl_num,ae_num,wt_num,bh_num,hl_num,fl_num,tt_num,sk_num
45,P,2,1,160.0,249.0,26.0,31.4,0.726,0.689,1.097,0.602
46,N,2,1,161.0,250.0,27.1,31.6,0.737,0.711,1.12,0.631
47,P,2,1,162.0,248.0,25.1,31.9,0.744,0.722,1.154,0.591
48,N,2,1,165.0,252.0,26.0,32.3,0.726,0.71,1.145,0.609
49,P,2,1,161.0,243.0,25.6,32.5,0.709,0.707,1.122,0.607
50,N,2,1,161.0,244.0,25.0,31.3,0.702,0.685,1.082,0.595
51,P,2,1,162.0,248.0,24.6,31.0,0.713,0.7,1.086,0.59
52,P,2,1,164.0,244.0,25.0,31.2,0.703,0.69,1.074,0.608
53,P,2,1,158.0,247.0,26.0,32.0,0.729,0.71,1.145,0.607
54,N,2,1,162.0,253.0,28.3,31.8,0.752,0.718,1.152,0.6
55,P,2,1,156.0,239.0,24.6,30.5,0.659,0.658,1.042,0.57
56,P,2,1,166.0,251.0,27.5,31.5,0.72,0.691,1.118,0.612
57,N,2,1,165.0,253.0,31.0,32.4,0.765,0.75,1.183,0.613
58,N,2,1,166.0,250.0,28.3,32.4,0.754,0.718,1.179,0.607
59,P,1,2,156.0,246.0,24.6,32.0,0.744,0.735,1.167,0.592
60,P,1,2,156.0,245.0,25.5,32.1,0.761,0.717,1.147,0.62
61,N,1,2,163.0,248.0,24.8,32.2,0.742,0.733,1.165,0.606
62,P,1,2,163.0,248.0,26.3,33.0,0.736,0.704,1.148,0.609
63,N,1,2,160.0,250.0,24.4,31.5,0.746,0.715,1.173,0.604
64,P,1,2,156.0,237.0,23.3,30.6,0.692,0.664,1.011,0.588
65,N,1,2,162.0,253.0,26.7,32.0,0.759,0.734,1.197,0.63
66,N,1,2,163.0,254.0,26.4,32.0,0.766,0.75,1.165,0.605
67,N,1,2,164.0,251.0,26.9,32.0,0.755,0.742,1.171,0.62
68,N,1,2,163.0,244.0,24.3,31.3,0.718,0.68,1.082,0.61
69,P,1,2,160.0,247.0,27.0,31.5,0.764,0.732,1.177,0.617
70,P,1,2,160.0,250.0,26.8,32.5,0.764,0.729,1.123,0.635
71,N,1,2,158.0,247.0,24.9,32.4,0.745,0.724,1.139,0.588
72,P,1,2,158.0,249.0,26.1,32.2,0.742,0.736,1.148,0.602
73,N,1,2,158.0,243.0,26.6,32.4,0.747,0.711,1.163,0.612
74,P,1,2,155.0,237.0,23.3,30.2,0.685,0.653,1.011,0.587
75,P,2,2,160.0,249.0,24.0,30.4,0.74,0.717,1.13,0.62
76,P,2,2,156.0,236.0,26.8,30.2,0.69,0.671,1.067,0.563
77,P,2,2,158.0,240.0,23.5,31.0,0.715,0.702,1.113,0.595
78,P,2,2,166.0,245.0,26.9,31.7,0.715,0.695,1.107,0.601
79,N,2,2,165.0,255.0,28.6,31.5,0.766,0.744,1.175,0.613
80,P,2,2,157.0,238.0,24.7,31.2,0.68,0.677,1.156,0.599
81,N,2,2,164.0,250.0,27.3,31.8,0.764,0.726,1.171,0.588
82,N,2,2,166.0,256.0,25.7,31.7,0.752,0.751,1.187,0.595
83,N,2,2,167.0,255.0,29.0,32.2,0.765,0.745,1.197,0.638
84,P,2,2,161.0,246.0,25.0,31.5,0.739,0.707,1.123,0.587
85,N,2,2,166.0,254.0,27.5,31.4,0.76,0.742,1.124,0.604
86,P,2,2,161.0,251.0,26.0,31.5,0.731,0.707,1.122,0.589
