,Wildcat_strikes_num,Grievances_num,Rotate_cat,Union_cat,Workforce_num,Log_workforce_num
107,2,22,1,1,472,6.15698
108,2,8,1,1,365,5.8999
109,2,50,1,1,450,6.10925
110,2,8,1,1,106,4.66344
111,2,5,0,1,76,4.33073
112,2,15,0,1,107,4.67283
113,2,2,1,1,93,4.5326
114,2,8,0,1,113,4.72739
115,2,19,1,1,691,6.53814
116,3,6,1,1,196,5.27811
117,3,2,1,1,367,5.90536
118,3,7,1,1,409,6.01372
119,3,7,1,1,429,6.06146
120,3,25,1,1,347,5.84932
121,3,40,1,1,282,5.64191
122,3,8,1,1,132,4.8828
123,3,6,0,1,320,5.76832
124,4,4,1,1,408,6.01127
125,4,5,1,1,457,6.12468
126,4,2,0,1,148,4.99721
127,4,10,0,1,342,5.83481
128,4,36,0,1,296,5.69036
129,5,10,0,1,319,5.76519
130,5,101,0,1,574,6.35263
131,5,1,1,1,461,6.1334
132,5,16,1,1,530,6.27288
133,5,2,1,1,83,4.41884
134,5,40,1,1,830,6.72143
135,6,43,1,1,424,6.04973
136,6,74,1,1,555,6.31897
137,6,0,0,0,189,5.24175
138,6,50,0,1,59,4.07754
139,7,77,1,1,599,6.39526
140,7,6,0,1,305,5.72031
141,7,21,0,1,357,5.87774
142,7,5,0,1,82,4.40672
143,8,53,1,1,388,5.96101
144,8,45,1,1,579,6.3613
145,8,52,1,1,608,6.41017
146,8,8,0,1,82,4.40672
147,9,67,1,1,624,6.43615
148,10,67,1,1,620,6.42972
149,10,14,0,1,80,4.38203
150,10,10,0,1,126,4.83628
151,10,11,0,1,60,4.09434
152,11,68,1,1,850,6.74524
153,11,5,0,1,427,6.05678
154,12,28,0,1,87,4.46591
155,12,2,0,1,78,4.35671
156,13,22,0,1,352,5.86363
157,13,33,0,1,51,3.93183
158,13,22,0,1,45,3.80666
159,13,23,0,1,524,6.26149
160,14,155,1,1,890,6.79122
161,15,20,0,1,509,6.23245
162,22,40,0,1,84,4.43082
