,vertical_ocean_shear_num
553,-2.97262
554,-3.03726
555,-3.12881
556,-3.16871
557,-3.23471
558,-3.32475
559,-3.38892
560,-3.4224
561,-3.4602
562,-3.49355
563,-3.55594
564,-3.59183
565,-3.66103
566,-3.72047
567,-3.82636
568,-3.86699
569,-3.927
570,-4.0311
571,-4.08789
572,-4.06579
573,-4.07718
574,-4.09556
575,-4.13035
576,-4.12498
577,-4.17199
578,-4.16581
579,-4.14864
580,-4.17154
581,-4.17329
582,-4.19649
583,-4.19335
584,-4.18218
585,-4.23362
586,-4.19706
587,-4.19203
588,-4.20546
589,-4.21053
590,-4.20651
591,-4.21536
592,-4.15674
593,-4.15562
594,-4.13826
595,-4.11399
596,-4.11437
597,-4.0939
598,-4.06933
599,-4.00926
600,-3.99601
601,-3.94266
602,-3.9172
603,-3.85665
604,-3.84044
605,-3.80655
606,-3.75746
607,-3.7913
608,-3.80264
609,-3.78259
610,-3.73116
611,-3.69952
612,-3.70043
613,-3.71235
614,-3.69684
615,-3.65772
616,-3.62445
617,-3.57876
618,-3.57872
619,-3.57881
620,-3.56711
621,-3.5672
622,-3.59189
623,-3.63014
624,-3.65209
625,-3.65099
626,-3.66231
627,-3.70837
628,-3.80023
629,-3.8278
630,-3.84136
631,-3.8727
632,-3.89499
633,-3.93597
634,-3.98466
635,-3.95781
636,-3.97248
637,-3.98514
638,-3.9717
639,-3.91146
640,-3.83419
641,-3.80537
642,-3.7735
643,-3.7272
644,-3.73304
645,-3.75797
646,-3.72714
647,-3.68377
648,-3.67616
649,-3.6308
650,-3.60082
651,-3.57142
652,-3.58684
653,-3.54183
654,-3.46685
655,-3.39383
656,-3.33755
657,-3.27932
658,-3.22274
659,-3.16244
660,-3.14109
661,-3.16509
662,-3.14445
663,-3.11672
664,-3.11695
665,-3.09332
666,-3.04451
667,-2.96232
668,-2.90268
669,-2.85818
670,-2.80773
671,-2.73978
672,-2.75119
673,-2.7487
674,-2.70532
675,-2.68202
676,-2.72024
677,-2.71863
678,-2.73763
679,-2.73014
680,-2.71916
681,-2.70385
682,-2.69199
683,-2.69512
684,-2.71171
685,-2.64449
686,-2.68328
687,-2.68942
688,-2.69712
689,-2.68317
690,-2.68721
691,-2.69607
692,-2.74499
693,-2.77407
694,-2.79271
695,-2.83307
696,-2.87357
697,-2.9011
698,-2.9607
699,-2.99334
700,-3.00847
701,-3.02656
702,-3.02539
703,-3.05609
704,-3.04648
705,-3.07854
706,-3.09293
707,-3.0232
708,-2.99762
709,-3.00152
710,-3.00392
711,-2.99824
712,-3.01375
713,-3.00468
714,-2.95563
715,-2.94903
716,-2.98001
717,-2.98957
718,-2.98071
719,-2.9931
720,-3.05918
721,-3.01674
722,-2.99951
723,-3.01011
724,-3.0063
725,-2.96862
726,-2.88893
727,-2.85776
728,-2.85548
729,-2.84458
730,-2.75688
731,-2.68157
732,-2.64665
733,-2.60194
734,-2.54013
735,-2.49308
736,-2.41267
737,-2.32765
738,-2.34762
739,-2.3558
740,-2.38381
741,-2.32197
742,-2.29578
743,-2.29708
744,-2.26079
745,-2.2245
746,-2.22504
747,-2.27425
748,-2.30906
749,-2.3969
750,-2.4168
751,-2.40365
752,-2.42245
753,-2.48236
754,-2.50104
755,-2.5175
756,-2.58323
757,-2.56089
758,-2.56753
759,-2.66598
760,-2.66725
761,-2.62091
762,-2.60958
763,-2.61789
764,-2.63345
765,-2.64417
766,-2.63196
767,-2.62736
768,-2.64844
769,-2.64385
770,-2.60572
771,-2.6089
772,-2.61586
773,-2.58798
774,-2.56363
775,-2.54814
776,-2.56104
777,-2.55059
778,-2.53439
779,-2.47872
780,-2.42254
781,-2.38658
782,-2.33165
783,-2.26045
784,-2.21899
785,-2.30394
786,-2.24799
787,-2.20686
788,-2.16872
789,-2.195
790,-2.10651
791,-2.01047
792,-2.08061
793,-2.12074
794,-2.05657
795,-1.97413
796,-1.86531
797,-1.76523
798,-1.72285
799,-1.65936
800,-1.59084
801,-1.53147
802,-1.58967
803,-1.60849
804,-1.5679
805,-1.52889
806,-1.53772
807,-1.4836
808,-1.45593
809,-1.48212
810,-1.44011
811,-1.42009
812,-1.3524
813,-1.32549
814,-1.30768
815,-1.2886
816,-1.2507
817,-1.1828
818,-1.18003
819,-1.14854
820,-1.06432
821,-1.06612
822,-1.05606
823,-1.02205
824,-0.987244
825,-0.953589
826,-1.00671
827,-0.977453
828,-0.893303
829,-0.84545
830,-0.843602
831,-0.854617
832,-0.779238
833,-0.723618
834,-0.718365
835,-0.689745
836,-0.694299
837,-0.707456
838,-0.676469
839,-0.647641
840,-0.628671
841,-0.65254
842,-0.634415
843,-0.573289
844,-0.537863
845,-0.506871
846,-0.468061
847,-0.42586
848,-0.385609
849,-0.310752
850,-0.274387
851,-0.305468
852,-0.271584
853,-0.189456
854,-0.157548
855,-0.0944033
856,0.00109151
857,-0.0247732
858,-0.00191554
859,0.0863269
860,0.142831
861,0.172053
862,0.197266
863,0.241409
864,0.244794
865,0.243472
866,0.206938
867,0.162824
868,0.165557
869,0.0674516
870,-0.0695586
871,-0.144885
872,-0.234949
873,-0.262222
874,-0.353306
875,-0.415526
876,-0.422968
877,-0.452796
878,-0.505976
879,-0.597698
880,-0.631783
881,-0.676411
882,-0.710098
883,-0.778835
884,-0.797619
885,-0.734933
886,-0.789607
887,-0.880979
888,-0.950318
889,-0.943492
890,-1.01854
891,-1.11734
892,-1.05969
893,-0.978633
894,-1.04292
895,-1.16005
896,-1.3671
897,-1.45859
898,-1.43184
899,-1.57134
900,-1.64104
901,-1.71386
902,-1.64077
903,-1.59064
904,-1.65805
905,-1.8297
906,-1.90663
907,-1.99147
908,-2.05745
909,-2.07113
910,-2.13157
911,-2.0986
912,-2.27205
913,-2.34144
914,-2.28848
915,-2.27051
916,-2.32824
917,-2.41422
918,-2.44848
919,-2.45173
920,-2.5087
921,-2.54375
922,-2.65078
923,-2.74009
924,-2.71782
925,-2.66875
926,-2.75817
927,-2.72787
928,-2.68524
929,-2.71623
930,-2.76466
931,-2.75246
932,-2.93552
933,-3.09861
934,-3.12342
935,-3.17058
936,-3.00968
937,-2.96057
938,-2.94425
939,-2.91518
940,-2.94351
941,-2.9853
942,-2.92589
943,-3.00808
944,-3.12396
945,-3.20087
946,-3.16222
947,-3.17384
948,-3.1478
949,-3.20644
950,-3.17834
951,-3.13001
952,-3.23581
953,-3.43484
954,-3.52289
955,-3.55538
956,-3.5902
957,-3.61564
958,-3.60468
959,-3.5548
960,-3.6011
961,-3.62535
962,-3.73388
963,-3.78654
964,-3.80862
965,-3.75452
966,-3.74455
967,-3.74712
968,-3.74872
969,-3.6414
970,-3.4873
971,-3.46713
972,-3.3453
973,-3.23031
974,-3.05894
975,-2.93976
976,-2.89324
977,-2.83116
978,-2.75967
979,-2.70912
980,-2.70682
981,-2.69443
982,-2.7049
983,-2.65564
984,-2.63855
985,-2.66635
986,-2.65559
987,-2.49741
988,-2.44857
989,-2.42966
990,-2.40115
991,-2.33401
992,-2.27602
993,-2.31126
994,-2.28655
995,-2.20821
996,-2.06261
997,-2.09268
998,-2.14433
999,-2.05074
1000,-2.0053
1001,-1.94537
1002,-1.8791
1003,-1.85112
1004,-1.78948
1005,-1.69256
1006,-1.60607
1007,-1.56216
1008,-1.53291
1009,-1.44313
1010,-1.37035
1011,-1.44205
1012,-1.2993
1013,-1.23805
1014,-1.25541
1015,-1.24338
1016,-1.12798
1017,-1.09943
1018,-1.09438
1019,-1.10693
1020,-1.07667
1021,-1.11577
1022,-1.04954
1023,-0.985628
1024,-1.0491
1025,-1.16079
1026,-1.1112
1027,-1.20484
1028,-1.26096
1029,-1.10307
1030,-0.866623
1031,-0.790493
1032,-0.692823
1033,-0.684198
1034,-0.700163
1035,-0.702905
1036,-0.827616
1037,-0.874174
1038,-0.928704
1039,-1.03484
1040,-1.05712
1041,-1.10836
1042,-1.30411
1043,-1.27856
1044,-1.17134
1045,-1.10422
1046,-1.06821
1047,-1.00714
1048,-0.98777
1049,-0.907812
1050,-0.949423
1051,-0.955314
1052,-0.81276
1053,-0.550729
1054,-0.429951
1055,-0.394677
1056,-0.35452
1057,-0.391246
1058,-0.457875
1059,-0.543907
1060,-0.553337
1061,-0.571279
1062,-0.602927
1063,-0.600874
1064,-0.442165
1065,-0.399329
1066,-0.353672
1067,-0.385737
1068,-0.416104
1069,-0.363041
1070,-0.216364
1071,0.0717096
1072,0.131921
1073,0.0838272
1074,-0.0372075
1075,-0.12085
1076,-0.12183
1077,-0.128955
1078,-0.166086
1079,-0.176696
1080,-0.171874
1081,-0.15287
1082,-0.172336
1083,-0.226882
1084,-0.263128
1085,-0.185925
1086,-0.230657
1087,-0.403231
1088,-0.476622
1089,-0.504945
1090,-0.543258
1091,-0.563107
1092,-0.558316
1093,-0.532221
1094,-0.486954
1095,-0.419038
1096,-0.390404
1097,-0.296097
1098,-0.222979
1099,-0.190155
1100,-0.169521
1101,-0.232316
1102,-0.24059
1103,-0.205544
1104,-0.323712
1105,-0.244889
1106,-0.142408
1107,-0.176208
1108,-0.237984
1109,-0.27487
1110,-0.268616
1111,-0.187715
1112,-0.203181
1113,-0.136762
1114,-0.112984
1115,-0.108221
1116,-0.199042
1117,-0.326005
1118,-0.29148
1119,-0.225607
1120,-0.13321
1121,-0.0161022
1122,0.0561945
1123,0.138648
1124,0.203817
1125,0.258941
1126,0.255271
1127,0.356691
1128,0.367972
1129,0.220115
1130,0.0315122
1131,-0.0561282
1132,-0.0192225
1133,0.0576332
1134,0.119156
1135,0.183678
1136,0.188741
1137,0.175853
1138,0.190946
1139,0.238536
1140,0.264239
1141,0.394104
1142,0.463764
1143,0.536516
1144,0.580519
1145,0.580142
1146,0.490993
1147,0.490794
1148,0.487625
1149,0.498961
1150,0.600535
1151,0.528625
1152,0.490876
1153,0.437295
1154,0.387264
1155,0.397064
1156,0.356217
1157,0.459008
1158,0.552064
1159,0.604944
1160,0.620662
1161,0.649893
1162,0.788201
1163,0.938243
1164,0.891877
1165,0.769618
1166,0.757621
1167,0.899181
1168,0.978168
1169,0.94598
1170,0.774488
1171,0.489914
1172,0.404792
1173,0.478032
1174,0.533688
1175,0.569097
1176,0.575849
1177,0.552167
1178,0.615307
1179,0.626279
1180,0.645819
1181,0.645408
1182,0.701823
1183,0.755414
1184,0.814782
1185,0.800571
1186,0.896533
1187,0.980113
1188,1.10612
1189,1.21123
1190,1.27053
1191,1.22256
1192,1.20593
1193,1.27008
1194,1.32226
1195,1.27588
1196,1.30044
1197,1.24681
1198,1.22014
1199,1.2265
1200,1.23997
1201,1.34216
1202,1.44561
1203,1.36508
1204,1.4241
1205,1.35695
1206,1.24263
1207,1.229
1208,1.36026
1209,1.53781
1210,1.57646
1211,1.50599
1212,1.45941
1213,1.40818
1214,1.31142
1215,1.26842
1216,1.31063
1217,1.5112
1218,1.59128
1219,1.53542
1220,1.48771
1221,1.53226
1222,1.55699
1223,1.53311
1224,1.50845
1225,1.48211
1226,1.54759
1227,1.50709
1228,1.47453
1229,1.46249
1230,1.50014
1231,1.48608
1232,1.5268
1233,1.56401
1234,1.50559
1235,1.40495
1236,1.29728
1237,1.26272
1238,1.25343
1239,1.24861
1240,1.27555
1241,1.2421
1242,1.2651
1243,1.17302
1244,1.07791
1245,1.05734
1246,1.04885
1247,0.977147
1248,0.905959
1249,0.851571
1250,0.708333
1251,0.685397
1252,0.652649
1253,0.652756
1254,0.612618
1255,0.487795
1256,0.471012
1257,0.437164
1258,0.327159
1259,0.325897
1260,0.260973
1261,0.168744
1262,0.0995986
1263,-0.0474781
1264,-0.141928
1265,-0.108702
1266,-0.127277
1267,-0.212213
1268,-0.270439
1269,-0.314423
1270,-0.353058
1271,-0.321689
1272,-0.3264
1273,-0.456529
1274,-0.507917
1275,-0.53884
1276,-0.539927
1277,-0.526964
1278,-0.553394
1279,-0.591216
1280,-0.626418
1281,-0.63455
1282,-0.661483
1283,-0.6906
1284,-0.720451
1285,-0.738721
1286,-0.778482
1287,-0.80101
1288,-0.836627
1289,-0.887056
1290,-0.924667
1291,-0.875918
1292,-0.888805
1293,-0.95693
1294,-1.04442
1295,-1.08567
1296,-1.12034
1297,-1.09395
1298,-1.1116
1299,-1.16254
1300,-1.21517
1301,-1.32355
1302,-1.51773
1303,-1.5109
1304,-1.47551
1305,-1.45537
1306,-1.446
1307,-1.44604
1308,-1.53038
1309,-1.72624
1310,-1.80767
1311,-1.79463
1312,-1.71895
1313,-1.75413
1314,-1.74237
1315,-1.75095
1316,-1.76733
1317,-1.87397
1318,-1.96109
1319,-1.98306
1320,-2.06431
1321,-2.17238
1322,-2.26322
1323,-2.3373
1324,-2.40293
1325,-2.42592
1326,-2.47613
1327,-2.55341
1328,-2.59665
1329,-2.64374
1330,-2.73645
1331,-2.82325
1332,-2.93313
1333,-3.04873
1334,-3.07249
1335,-3.09134
1336,-3.11677
1337,-3.15
1338,-3.17854
1339,-3.24962
1340,-3.29507
1341,-3.33058
1342,-3.35948
1343,-3.37413
1344,-3.40932
1345,-3.45691
1346,-3.51296
1347,-3.54464
1348,-3.59808
1349,-3.62059
1350,-3.61576
1351,-3.64875
1352,-3.74135
1353,-3.85792
1354,-3.8711
1355,-3.84194
1356,-3.86695
1357,-3.92716
1358,-3.91621
1359,-4.05017
1360,-4.06563
1361,-4.08757
1362,-4.1224
1363,-4.16151
1364,-4.15928
1365,-4.1856
1366,-4.24134
1367,-4.27997
1368,-4.33767
1369,-4.41375
1370,-4.42241
1371,-4.45157
1372,-4.46425
1373,-4.52961
1374,-4.57829
1375,-4.57474
1376,-4.63218
1377,-4.66707
1378,-4.74506
1379,-4.74051
1380,-4.78281
1381,-4.82763
1382,-4.91626
1383,-4.97249
1384,-4.98635
1385,-5.01678
1386,-5.06463
1387,-5.08018
1388,-5.11578
1389,-5.17776
1390,-5.19807
1391,-5.23554
1392,-5.24592
1393,-5.23643
1394,-5.27281
1395,-5.28301
1396,-5.32778
1397,-5.34498
1398,-5.34548
1399,-5.3306
1400,-5.38792
1401,-5.40471
1402,-5.39774
1403,-5.43818
1404,-5.52103
1405,-5.51393
1406,-5.52417
1407,-5.57171
1408,-5.59938
1409,-5.63121
1410,-5.68845
1411,-5.70919
1412,-5.73507
1413,-5.74369
1414,-5.78434
1415,-5.7862
1416,-5.79602
1417,-5.80276
1418,-5.80529
1419,-5.77959
1420,-5.73815
1421,-5.71439
1422,-5.7007
1423,-5.64902
1424,-5.60386
1425,-5.61687
1426,-5.58458
1427,-5.54322
1428,-5.50271
1429,-5.45708
1430,-5.42404
1431,-5.35364
1432,-5.29552
1433,-5.1816
1434,-5.14766
1435,-5.10532
1436,-5.07348
1437,-5.0267
1438,-4.98578
1439,-4.89735
1440,-4.82966
1441,-4.80092
1442,-4.74762
1443,-4.73389
1444,-4.69086
1445,-4.6642
1446,-4.61448
1447,-4.57028
1448,-4.49669
1449,-4.46087
1450,-4.43343
1451,-4.38279
1452,-4.28942
1453,-4.19987
1454,-4.18224
1455,-4.12908
1456,-4.06024
1457,-3.98868
1458,-3.92013
1459,-3.78442
1460,-3.71489
1461,-3.65047
1462,-3.57102
1463,-3.48324
1464,-3.43763
1465,-3.36673
1466,-3.30446
1467,-3.258
1468,-3.17522
1469,-3.08703
1470,-3.03993
1471,-3.0126
1472,-3.00245
1473,-2.93856
1474,-2.8736
1475,-2.86932
1476,-2.82445
1477,-2.7904
1478,-2.72866
1479,-2.698
1480,-2.664
1481,-2.62226
1482,-2.54945
1483,-2.50967
1484,-2.49407
1485,-2.50452
1486,-2.45418
1487,-2.42055
1488,-2.40055
1489,-2.3482
1490,-2.3378
1491,-2.3227
1492,-2.28737
1493,-2.33011
1494,-2.32251
1495,-2.29812
1496,-2.26935
1497,-2.26044
1498,-2.25948
1499,-2.23006
1500,-2.18873
1501,-2.15254
1502,-2.11956
1503,-2.09948
1504,-2.02669
1505,-2.04046
1506,-2.0022
1507,-1.93688
1508,-1.87998
1509,-1.80676
1510,-1.71736
1511,-1.70358
1512,-1.68668
1513,-1.64448
1514,-1.57966
1515,-1.56362
1516,-1.50436
1517,-1.45206
1518,-1.42451
1519,-1.43397
1520,-1.43927
1521,-1.43842
1522,-1.40297
1523,-1.38908
1524,-1.36764
1525,-1.31245
1526,-1.32146
1527,-1.29945
1528,-1.26305
1529,-1.20855
1530,-1.18247
1531,-1.14274
1532,-1.09597
1533,-1.06091
1534,-1.03138
1535,-0.970069
1536,-0.89739
1537,-0.787463
1538,-0.734955
1539,-0.690711
1540,-0.651979
1541,-0.599782
1542,-0.53818
1543,-0.475491
1544,-0.444319
1545,-0.383542
1546,-0.331052
1547,-0.290954
1548,-0.230504
1549,-0.234361
1550,-0.201071
1551,-0.135644
1552,-0.14477
1553,-0.14138
1554,-0.0860476
1555,-0.0571271
1556,-0.11101
1557,-0.127118
1558,-0.105522
1559,-0.0969878
1560,-0.104298
1561,-0.102233
1562,-0.0883158
1563,-0.101292
1564,-0.124191
1565,-0.143373
1566,-0.18687
1567,-0.20588
1568,-0.196807
1569,-0.21352
1570,-0.184181
1571,-0.16501
1572,-0.166317
1573,-0.197489
1574,-0.254759
1575,-0.274424
1576,-0.239011
1577,-0.215915
1578,-0.229099
1579,-0.300149
1580,-0.351365
1581,-0.353909
1582,-0.327762
1583,-0.330514
1584,-0.340702
1585,-0.302842
1586,-0.312381
1587,-0.304712
1588,-0.306577
1589,-0.31512
1590,-0.296487
1591,-0.297805
1592,-0.289708
1593,-0.233042
1594,-0.237056
1595,-0.246303
1596,-0.241795
1597,-0.233072
1598,-0.206388
1599,-0.212525
1600,-0.163175
1601,-0.11831
1602,-0.10674
1603,-0.0800951
1604,-0.0638643
1605,-0.0291644
1606,-0.0266881
1607,-0.0107525
1608,-0.0117365
1609,0.0101974
1610,-0.00494001
1611,0.0123297
1612,0.0143688
1613,-0.00053905
1614,-0.00466825
1615,-0.0130183
1616,-0.0187173
1617,-0.0203405
1618,-0.0216384
1619,0.00622505
1620,0.00961581
1621,0.0446574
1622,0.0489698
1623,0.0492416
1624,0.0669549
1625,0.0981065
1626,0.131985
1627,0.129507
1628,0.130271
1629,0.134741
1630,0.134952
1631,0.149399
1632,0.0975545
1633,0.0651036
1634,0.0767398
1635,0.0645267
1636,0.0396908
1637,-0.0188939
1638,-0.0236613
1639,-0.0155014
1640,-0.0161956
1641,-0.0101517
1642,-0.0614653
1643,-0.0594306
1644,-0.0370042
1645,-0.0275908
1646,-0.0506805
1647,-0.059409
1648,-0.0735712
1649,-0.018027
1650,-0.0279996
1651,-0.00120392
1652,0.0355773
1653,0.055571
1654,0.0387099
1655,0.0328836
1656,0.0805453
1657,0.0799241
1658,0.0788406
1659,0.0801929
1660,0.0842339
1661,0.102421
1662,0.0969829
1663,0.101924
1664,0.114921
1665,0.101946
1666,0.14627
1667,0.152235
1668,0.190201
1669,0.217462
1670,0.188278
1671,0.184909
1672,0.204951
1673,0.252578
1674,0.318841
1675,0.389185
1676,0.368424
1677,0.385066
1678,0.415442
1679,0.489417
1680,0.556834
1681,0.603929
1682,0.588155
1683,0.638753
1684,0.65785
1685,0.692737
1686,0.748263
1687,0.777959
1688,0.836845
1689,0.847032
1690,0.868566
1691,0.906555
1692,0.922386
1693,0.958573
1694,1.01685
1695,1.0535
1696,1.0697
1697,1.09001
1698,1.11556
1699,1.10986
1700,1.12062
1701,1.12852
1702,1.12177
1703,1.12787
1704,1.11938
1705,1.13618
1706,1.11937
1707,1.1024
1708,1.0685
1709,1.07229
1710,1.06951
1711,1.11374
1712,1.14155
1713,1.16564
