,binaryClass_cat,OBS._num,TOWN_cat,TOWN_ID_num,TRACT_num,LON_num,LAT_num,MEDV_num,CMEDV_num,CRIM_num,ZN_num,INDUS_num,CHAS_cat,NOX_num,RM_num,AGE_num,DIS_num,RAD_cat,TAX_num,PTRATIO_num,B_num
27,N,28.0,Lynn,4.0,2065.0,-70.9597,42.2825,14.8,14.8,0.95577,0.0,8.14,0,0.538,6.047,88.8,4.4534,4,307.0,21.0,306.38
28,N,29.0,Lynn,4.0,2066.0,-70.957,42.28,18.4,18.4,0.77299,0.0,8.14,0,0.538,6.495,94.4,4.4547,4,307.0,21.0,387.94
29,P,30.0,Lynn,4.0,2067.0,-70.951,42.278,21.0,21.0,1.00245,0.0,8.14,0,0.538,6.674,87.3,4.239,4,307.0,21.0,380.23
30,N,31.0,Lynn,4.0,2068.0,-70.967,42.279,12.7,12.7,1.13081,0.0,8.14,0,0.538,5.713,94.1,4.233,4,307.0,21.0,360.17
31,N,32.0,Lynn,4.0,2069.0,-70.964,42.2765,14.5,14.5,1.35472,0.0,8.14,0,0.538,6.072,100.0,4.175,4,307.0,21.0,376.73
32,N,33.0,Lynn,4.0,2070.0,-70.972,42.2765,13.2,13.2,1.38799,0.0,8.14,0,0.538,5.95,82.0,3.99,4,307.0,21.0,232.6
33,N,34.0,Lynn,4.0,2071.0,-70.9795,42.276,13.1,13.1,1.15172,0.0,8.14,0,0.538,5.701,95.0,3.7872,4,307.0,21.0,358.77
34,N,35.0,Lynn,4.0,2072.0,-70.9775,42.272,13.5,13.5,1.61282,0.0,8.14,0,0.538,6.096,96.9,3.7598,4,307.0,21.0,248.31
35,P,36.0,Sargus,5.0,2081.0,-71.0,42.27,18.9,18.9,0.06417,0.0,5.96,0,0.499,5.933,68.2,3.3603,5,279.0,19.2,396.9
36,P,37.0,Sargus,5.0,2082.0,-71.008,42.2745,20.0,20.0,0.09744,0.0,5.96,0,0.499,5.841,61.4,3.3779,5,279.0,19.2,377.56
37,P,38.0,Sargus,5.0,2083.0,-71.004,42.2865,21.0,21.0,0.08014,0.0,5.96,0,0.499,5.85,41.5,3.9342,5,279.0,19.2,396.9
38,P,39.0,Sargus,5.0,2084.0,-71.02,42.2875,24.7,24.2,0.17505,0.0,5.96,0,0.499,5.966,30.2,3.8473,5,279.0,19.2,393.43
39,P,40.0,Lynnfield,6.0,2091.0,-71.013,42.313,30.8,30.8,0.02763,75.0,2.95,0,0.428,6.595,21.8,5.4011,3,252.0,18.3,395.63
40,P,41.0,Lynnfield,6.0,2092.0,-71.03,42.324,34.9,34.9,0.03359,75.0,2.95,0,0.428,7.024,15.8,5.4011,3,252.0,18.3,395.62
41,P,42.0,Peabody,7.0,2101.0,-71.004,42.335,26.6,26.6,0.12744,0.0,6.91,0,0.448,6.77,2.9,5.7209,3,233.0,17.9,385.41
42,P,43.0,Peabody,7.0,2102.0,-71.003,42.3235,25.3,25.3,0.1415,0.0,6.91,0,0.448,6.169,6.6,5.7209,3,233.0,17.9,383.37
43,P,44.0,Peabody,7.0,2103.0,-70.9775,42.3237,24.7,24.7,0.15936,0.0,6.91,0,0.448,6.211,6.5,5.7209,3,233.0,17.9,394.46
44,P,45.0,Peabody,7.0,2104.0,-70.9675,42.317,21.2,21.2,0.12269,0.0,6.91,0,0.448,6.069,40.0,5.7209,3,233.0,17.9,389.39
45,P,46.0,Peabody,7.0,2105.0,-70.9725,42.3075,19.3,19.3,0.17142,0.0,6.91,0,0.448,5.682,33.8,5.1004,3,233.0,17.9,396.9
46,N,47.0,Peabody,7.0,2106.0,-70.965,42.3075,20.0,20.0,0.18836,0.0,6.91,0,0.448,5.786,33.3,5.1004,3,233.0,17.9,396.9
47,N,48.0,Peabody,7.0,2107.0,-70.956,42.3125,16.6,16.6,0.22927,0.0,6.91,0,0.448,6.03,85.5,5.6894,3,233.0,17.9,392.74
48,N,49.0,Peabody,7.0,2108.0,-70.955,42.3165,14.4,14.4,0.25387,0.0,6.91,0,0.448,5.399,95.3,5.87,3,233.0,17.9,396.9
49,N,50.0,Peabody,7.0,2109.0,-70.9525,42.3208,19.4,19.4,0.21977,0.0,6.91,0,0.448,5.602,62.0,6.0877,3,233.0,17.9,396.9
50,N,51.0,Danvers,8.0,2111.0,-70.951,42.334,19.7,19.7,0.08873,21.0,5.64,0,0.439,5.963,45.7,6.8147,4,243.0,16.8,395.56
51,P,52.0,Danvers,8.0,2112.0,-70.963,42.3382,20.5,20.5,0.04337,21.0,5.64,0,0.439,6.115,63.0,6.8147,4,243.0,16.8,393.97
52,P,53.0,Danvers,8.0,2113.0,-70.958,42.346,25.0,25.0,0.0536,21.0,5.64,0,0.439,6.511,21.1,6.8147,4,243.0,16.8,396.9
53,P,54.0,Danvers,8.0,2114.0,-70.978,42.3425,23.4,23.4,0.04981,21.0,5.64,0,0.439,5.998,21.4,6.8147,4,243.0,16.8,396.9
54,N,55.0,Middleton,9.0,2121.0,-71.0175,42.3715,18.9,18.9,0.0136,75.0,4.0,0,0.41,5.888,47.6,7.3197,3,469.0,21.1,396.9
55,P,56.0,Topsfield,10.0,2141.0,-70.9625,42.381,35.4,35.4,0.01311,90.0,1.22,0,0.403,7.249,21.9,8.6966,5,226.0,17.9,395.93
56,P,57.0,Hamilton,11.0,2151.0,-70.93,42.374,24.7,24.7,0.02055,85.0,0.74,0,0.41,6.383,35.7,9.1876,2,313.0,17.3,396.9
57,P,58.0,Wenham,12.0,2161.0,-70.9295,42.3715,31.6,31.6,0.01432,100.0,1.32,0,0.411,6.816,40.5,8.3248,5,256.0,15.1,392.9
58,P,59.0,Beverly,13.0,2171.0,-70.9385,42.346,23.3,23.3,0.15445,25.0,5.13,0,0.453,6.145,29.2,7.8148,8,284.0,19.7,390.68
59,P,60.0,Beverly,13.0,2172.0,-70.94,42.332,19.6,19.6,0.10328,25.0,5.13,0,0.453,5.927,47.2,6.932,8,284.0,19.7,396.9
60,N,61.0,Beverly,13.0,2173.0,-70.93,42.337,18.7,18.7,0.14932,25.0,5.13,0,0.453,5.741,66.2,7.2254,8,284.0,19.7,395.11
61,N,62.0,Beverly,13.0,2174.0,-70.93,42.3275,16.0,16.0,0.17171,25.0,5.13,0,0.453,5.966,93.4,6.8185,8,284.0,19.7,378.08
62,P,63.0,Beverly,13.0,2175.0,-70.9215,42.332,22.2,22.2,0.11027,25.0,5.13,0,0.453,6.456,67.8,7.2255,8,284.0,19.7,396.9
63,P,64.0,Beverly,13.0,2176.0,-70.9075,42.339,25.0,25.0,0.1265,25.0,5.13,0,0.453,6.762,43.4,7.9809,8,284.0,19.7,395.58
64,P,65.0,Manchester,14.0,2181.0,-70.86,42.345,33.0,33.0,0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216.0,18.6,393.24
65,P,66.0,North_Reading,15.0,3301.0,-71.045,42.345,23.5,23.5,0.03584,80.0,3.37,0,0.398,6.29,17.8,6.6115,4,337.0,16.1,396.9
66,P,67.0,North_Reading,15.0,3302.0,-71.069,42.3525,19.4,19.4,0.04379,80.0,3.37,0,0.398,5.787,31.1,6.6115,4,337.0,16.1,396.9
67,P,68.0,Wilmington,16.0,3311.0,-71.09,42.3362,22.0,22.0,0.05789,12.5,6.07,0,0.409,5.878,21.4,6.498,4,345.0,18.9,396.21
68,N,69.0,Wilmington,16.0,3312.0,-71.108,42.34,17.4,17.4,0.13554,12.5,6.07,0,0.409,5.594,36.8,6.498,4,345.0,18.9,396.9
69,P,70.0,Wilmington,16.0,3313.0,-71.111,42.327,20.9,20.9,0.12816,12.5,6.07,0,0.409,5.885,33.0,6.498,4,345.0,18.9,396.9
70,P,71.0,Burlington,17.0,3321.0,-71.121,42.316,24.2,24.2,0.08826,0.0,10.81,0,0.413,6.417,6.6,5.2873,4,305.0,19.2,383.73
71,P,72.0,Burlington,17.0,3322.0,-71.1095,42.3008,21.7,21.7,0.15876,0.0,10.81,0,0.413,5.961,17.5,5.2873,4,305.0,19.2,376.94
72,P,73.0,Burlington,17.0,3323.0,-71.13,42.305,22.8,22.8,0.09164,0.0,10.81,0,0.413,6.065,7.8,5.2873,4,305.0,19.2,390.91
73,P,74.0,Burlington,17.0,3324.0,-71.123,42.292,23.4,23.4,0.19539,0.0,10.81,0,0.413,6.245,6.2,5.2873,4,305.0,19.2,377.17
74,P,75.0,Woburn,18.0,3331.0,-71.1105,42.289,24.1,24.1,0.07896,0.0,12.83,0,0.437,6.273,6.0,4.2515,5,398.0,18.7,394.92
75,P,76.0,Woburn,18.0,3332.0,-71.1,42.2875,21.4,21.4,0.09512,0.0,12.83,0,0.437,6.286,45.0,4.5026,5,398.0,18.7,383.23
76,P,77.0,Woburn,18.0,3333.0,-71.09,42.2835,20.0,20.0,0.10153,0.0,12.83,0,0.437,6.279,74.5,4.0522,5,398.0,18.7,373.66
77,P,78.0,Woburn,18.0,3334.0,-71.076,42.2895,20.8,20.8,0.08707,0.0,12.83,0,0.437,6.14,45.8,4.0905,5,398.0,18.7,386.96
78,P,79.0,Woburn,18.0,3335.0,-71.0905,42.295,21.2,21.2,0.05646,0.0,12.83,0,0.437,6.232,53.7,5.0141,5,398.0,18.7,386.4
79,P,80.0,Woburn,18.0,3336.0,-71.091,42.305,20.3,20.3,0.08387,0.0,12.83,0,0.437,5.874,36.6,4.5026,5,398.0,18.7,396.06
80,P,81.0,Reading,19.0,3341.0,-71.0685,42.308,28.0,28.0,0.04113,25.0,4.86,0,0.426,6.727,33.5,5.4007,4,281.0,19.0,396.9
81,P,82.0,Reading,19.0,3342.0,-71.069,42.315,23.9,23.9,0.04462,25.0,4.86,0,0.426,6.619,70.4,5.4007,4,281.0,19.0,395.63
82,P,83.0,Reading,19.0,3343.0,-71.0675,42.326,24.8,24.8,0.03659,25.0,4.86,0,0.426,6.302,32.2,5.4007,4,281.0,19.0,396.9
83,P,84.0,Reading,19.0,3344.0,-71.0575,42.317,22.9,22.9,0.03551,25.0,4.86,0,0.426,6.167,46.7,5.4007,4,281.0,19.0,390.64
84,P,85.0,Wakefield,20.0,3351.0,-71.043,42.3075,23.9,23.9,0.05059,0.0,4.49,0,0.449,6.389,48.0,4.7794,3,247.0,18.5,396.9
85,P,86.0,Wakefield,20.0,3352.0,-71.05,42.3,26.6,26.6,0.05735,0.0,4.49,0,0.449,6.63,56.1,4.4377,3,247.0,18.5,392.3
86,N,87.0,Wakefield,20.0,3353.0,-71.033,42.305,22.5,22.5,0.05188,0.0,4.49,0,0.449,6.015,45.1,4.4272,3,247.0,18.5,395.99
87,P,88.0,Wakefield,20.0,3354.0,-71.039,42.2885,22.2,22.2,0.07151,0.0,4.49,0,0.449,6.121,56.8,3.7476,3,247.0,18.5,395.15
88,P,89.0,Melrose,21.0,3361.0,-71.042,42.2796,23.6,23.6,0.0566,0.0,3.41,0,0.489,7.007,86.3,3.4217,2,270.0,17.8,396.9
89,P,90.0,Melrose,21.0,3362.0,-71.0345,42.2785,28.7,28.7,0.05302,0.0,3.41,0,0.489,7.079,63.1,3.4145,2,270.0,17.8,396.06
90,P,91.0,Melrose,21.0,3363.0,-71.03,42.272,22.6,22.6,0.04684,0.0,3.41,0,0.489,6.417,66.1,3.0923,2,270.0,17.8,392.18
91,P,92.0,Melrose,21.0,3364.0,-71.0425,42.2715,22.0,22.0,0.03932,0.0,3.41,0,0.489,6.405,73.9,3.0921,2,270.0,17.8,393.55
92,P,93.0,Stoneham,22.0,3371.0,-71.053,42.283,22.9,22.9,0.04203,28.0,15.04,0,0.464,6.442,53.6,3.6659,4,270.0,18.2,395.01
93,P,94.0,Stoneham,22.0,3372.0,-71.062,42.296,25.0,25.0,0.02875,28.0,15.04,0,0.464,6.211,28.9,3.6659,4,270.0,18.2,396.33
94,P,95.0,Stoneham,22.0,3373.0,-71.0615,42.284,20.6,20.6,0.04294,28.0,15.04,0,0.464,6.249,77.3,3.615,4,270.0,18.2,396.9
95,P,96.0,Winchester,23.0,3381.0,-71.076,42.2775,28.4,28.4,0.12204,0.0,2.89,0,0.445,6.625,57.8,3.4952,2,276.0,18.0,357.98
96,P,97.0,Winchester,23.0,3382.0,-71.085,42.2775,21.4,21.4,0.11504,0.0,2.89,0,0.445,6.163,69.6,3.4952,2,276.0,18.0,391.83
97,P,98.0,Winchester,23.0,3383.0,-71.089,42.2715,38.7,38.7,0.12083,0.0,2.89,0,0.445,8.069,76.0,3.4952,2,276.0,18.0,396.9
98,P,99.0,Winchester,23.0,3384.0,-71.0982,42.2685,43.8,43.8,0.08187,0.0,2.89,0,0.445,7.82,36.9,3.4952,2,276.0,18.0,393.53
99,P,100.0,Winchester,23.0,3385.0,-71.08,42.268,33.2,33.2,0.0686,0.0,2.89,0,0.445,7.416,62.5,3.4952,2,276.0,18.0,396.9
100,P,101.0,Medford,24.0,3391.0,-71.0668,42.2545,27.5,27.5,0.14866,0.0,8.56,0,0.52,6.727,79.9,2.7778,5,384.0,20.9,394.76
101,P,102.0,Medford,24.0,3392.0,-71.081,42.245,26.5,26.5,0.11432,0.0,8.56,0,0.52,6.781,71.3,2.8561,5,384.0,20.9,395.58
102,P,103.0,Medford,24.0,3393.0,-71.0812,42.2515,18.6,18.6,0.22876,0.0,8.56,0,0.52,6.405,85.4,2.7147,5,384.0,20.9,70.8
103,N,104.0,Medford,24.0,3394.0,-71.077,42.249,19.3,19.3,0.21161,0.0,8.56,0,0.52,6.137,87.4,2.7147,5,384.0,20.9,394.47
104,P,105.0,Medford,24.0,3395.0,-71.069,42.248,20.1,20.1,0.1396,0.0,8.56,0,0.52,6.167,90.0,2.421,5,384.0,20.9,392.69
105,N,106.0,Medford,24.0,3396.0,-71.0662,42.2425,19.5,19.5,0.13262,0.0,8.56,0,0.52,5.851,96.7,2.1069,5,384.0,20.9,394.05
106,N,107.0,Medford,24.0,3397.0,-71.0622,42.2431,19.5,19.5,0.1712,0.0,8.56,0,0.52,5.836,91.9,2.211,5,384.0,20.9,395.67
107,N,108.0,Medford,24.0,3398.0,-71.0553,42.2465,20.4,20.4,0.13117,0.0,8.56,0,0.52,6.127,85.2,2.1224,5,384.0,20.9,387.69
108,P,109.0,Medford,24.0,3399.0,-71.055,42.2505,19.8,19.8,0.12802,0.0,8.56,0,0.52,6.474,97.1,2.4329,5,384.0,20.9,395.24
109,N,110.0,Medford,24.0,3400.0,-71.06,42.254,19.4,19.4,0.26363,0.0,8.56,0,0.52,6.229,91.2,2.5451,5,384.0,20.9,391.23
110,N,111.0,Medford,24.0,3401.0,-71.056,42.2605,21.7,21.7,0.10793,0.0,8.56,0,0.52,6.195,54.4,2.7778,5,384.0,20.9,393.49
111,P,112.0,Malden,25.0,3411.0,-71.0475,42.261,22.8,22.8,0.10084,0.0,10.01,0,0.547,6.715,81.6,2.6775,6,432.0,17.8,395.59
112,N,113.0,Malden,25.0,3412.0,-71.049,42.253,18.8,18.8,0.12329,0.0,10.01,0,0.547,5.913,92.9,2.3534,6,432.0,17.8,394.95
113,N,114.0,Malden,25.0,3413.0,-71.0428,42.258,18.7,18.7,0.22212,0.0,10.01,0,0.547,6.092,95.4,2.548,6,432.0,17.8,396.9
114,P,115.0,Malden,25.0,3414.0,-71.0396,42.2512,18.5,18.5,0.14231,0.0,10.01,0,0.547,6.254,84.2,2.2565,6,432.0,17.8,388.74
115,N,116.0,Malden,25.0,3415.0,-71.0355,42.2545,18.3,18.3,0.17134,0.0,10.01,0,0.547,5.928,88.2,2.4631,6,432.0,17.8,344.91
116,P,117.0,Malden,25.0,3416.0,-71.036,42.2608,21.2,21.2,0.13158,0.0,10.01,0,0.547,6.176,72.5,2.7301,6,432.0,17.8,393.3
117,P,118.0,Malden,25.0,3417.0,-71.0285,42.262,19.2,19.2,0.15098,0.0,10.01,0,0.547,6.021,82.6,2.7474,6,432.0,17.8,394.51
118,N,119.0,Malden,25.0,3418.0,-71.0285,42.258,20.4,20.4,0.13058,0.0,10.01,0,0.547,5.872,73.1,2.4775,6,432.0,17.8,338.63
119,N,120.0,Malden,25.0,3419.0,-71.019,42.2605,19.3,19.3,0.14476,0.0,10.01,0,0.547,5.731,65.2,2.7592,6,432.0,17.8,391.5
120,N,121.0,Everett,26.0,3421.0,-71.0243,42.2483,22.0,22.0,0.06899,0.0,25.65,0,0.581,5.87,69.7,2.2577,2,188.0,19.1,389.15
121,N,122.0,Everett,26.0,3422.0,-71.0312,42.2505,20.3,20.3,0.07165,0.0,25.65,0,0.581,6.004,84.1,2.1974,2,188.0,19.1,377.67
122,N,123.0,Everett,26.0,3423.0,-71.0377,42.247,20.5,20.5,0.09299,0.0,25.65,0,0.581,5.961,92.9,2.0869,2,188.0,19.1,378.09
123,N,124.0,Everett,26.0,3424.0,-71.037,42.2435,17.3,17.3,0.15038,0.0,25.65,0,0.581,5.856,97.0,1.9444,2,188.0,19.1,370.31
124,N,125.0,Everett,26.0,3425.0,-71.0308,42.245,18.8,18.8,0.09849,0.0,25.65,0,0.581,5.879,95.8,2.0063,2,188.0,19.1,379.38
125,N,126.0,Everett,26.0,3426.0,-71.0262,42.2431,21.4,21.4,0.16902,0.0,25.65,0,0.581,5.986,88.4,1.9929,2,188.0,19.1,385.02
126,N,127.0,Everett,26.0,3427.0,-71.0333,42.2395,15.7,15.7,0.38735,0.0,25.65,0,0.581,5.613,95.6,1.7572,2,188.0,19.1,359.29
127,N,128.0,Somerville,27.0,3501.0,-71.053,42.2355,16.2,16.2,0.25915,0.0,21.89,0,0.624,5.693,96.0,1.7883,4,437.0,21.2,392.11
128,N,129.0,Somerville,27.0,3502.0,-71.058,42.235,18.0,18.0,0.32543,0.0,21.89,0,0.624,6.431,98.8,1.8125,4,437.0,21.2,396.9
129,N,130.0,Somerville,27.0,3503.0,-71.0638,42.2368,14.3,14.3,0.88125,0.0,21.89,0,0.624,5.637,94.7,1.9799,4,437.0,21.2,396.9
130,P,131.0,Somerville,27.0,3504.0,-71.0692,42.239,19.2,19.2,0.34006,0.0,21.89,0,0.624,6.458,98.9,2.1185,4,437.0,21.2,395.04
131,P,132.0,Somerville,27.0,3505.0,-71.075,42.24,19.6,19.6,1.19294,0.0,21.89,0,0.624,6.326,97.7,2.271,4,437.0,21.2,396.9
132,P,133.0,Somerville,27.0,3506.0,-71.0745,42.2405,23.0,23.0,0.59005,0.0,21.89,0,0.624,6.372,97.9,2.3274,4,437.0,21.2,385.76
133,N,134.0,Somerville,27.0,3507.0,-71.079,42.245,18.4,18.4,0.32982,0.0,21.89,0,0.624,5.822,95.4,2.4699,4,437.0,21.2,388.69
134,N,135.0,Somerville,27.0,3508.0,-71.076,42.2405,15.6,15.6,0.97617,0.0,21.89,0,0.624,5.757,98.4,2.346,4,437.0,21.2,262.76
135,N,136.0,Somerville,27.0,3509.0,-71.075,42.2362,18.1,18.1,0.55778,0.0,21.89,0,0.624,6.335,98.2,2.1107,4,437.0,21.2,394.67
136,N,137.0,Somerville,27.0,3510.0,-71.0677,42.2335,17.4,17.4,0.32264,0.0,21.89,0,0.624,5.942,93.5,1.9669,4,437.0,21.2,378.25
137,N,138.0,Somerville,27.0,3511.0,-71.063,42.2325,17.1,17.1,0.35233,0.0,21.89,0,0.624,6.454,98.4,1.8498,4,437.0,21.2,394.08
138,N,139.0,Somerville,27.0,3512.0,-71.062,42.2275,13.3,13.3,0.2498,0.0,21.89,0,0.624,5.857,98.2,1.6686,4,437.0,21.2,392.04
139,N,140.0,Somerville,27.0,3513.0,-71.0568,42.23,17.8,17.8,0.54452,0.0,21.89,0,0.624,6.151,97.9,1.6687,4,437.0,21.2,396.9
140,N,141.0,Somerville,27.0,3514.0,-71.0518,42.2312,14.0,14.0,0.2909,0.0,21.89,0,0.624,6.174,93.6,1.6119,4,437.0,21.2,388.08
141,N,142.0,Somerville,27.0,3515.0,-71.0543,42.2265,14.4,14.4,1.62864,0.0,21.89,0,0.624,5.019,100.0,1.4394,4,437.0,21.2,396.9
142,N,143.0,Cambridge,28.0,3521.0,-71.048,42.2222,13.4,13.4,3.32105,0.0,19.58,1,0.871,5.403,100.0,1.3216,5,403.0,14.7,396.9
143,N,144.0,Cambridge,28.0,3522.0,-71.0519,42.223,15.6,15.6,4.0974,0.0,19.58,0,0.871,5.468,100.0,1.4118,5,403.0,14.7,396.9
144,N,145.0,Cambridge,28.0,3523.0,-71.051,42.2205,11.8,11.8,2.77974,0.0,19.58,0,0.871,4.903,97.8,1.3459,5,403.0,14.7,396.9
145,N,146.0,Cambridge,28.0,3524.0,-71.054,42.219,13.8,13.8,2.37934,0.0,19.58,0,0.871,6.13,100.0,1.4191,5,403.0,14.7,172.91
146,N,147.0,Cambridge,28.0,3525.0,-71.059,42.221,15.6,15.6,2.15505,0.0,19.58,0,0.871,5.628,100.0,1.5166,5,403.0,14.7,169.27
147,N,148.0,Cambridge,28.0,3526.0,-71.0555,42.2222,14.6,14.6,2.36862,0.0,19.58,0,0.871,4.926,95.7,1.4608,5,403.0,14.7,391.71
148,N,149.0,Cambridge,28.0,3527.0,-71.0567,42.224,17.8,17.8,2.33099,0.0,19.58,0,0.871,5.186,93.8,1.5296,5,403.0,14.7,356.99
149,N,150.0,Cambridge,28.0,3528.0,-71.058,42.223,15.4,15.4,2.73397,0.0,19.58,0,0.871,5.597,94.9,1.5257,5,403.0,14.7,351.85
150,N,151.0,Cambridge,28.0,3529.0,-71.062,42.2236,21.5,21.5,1.6566,0.0,19.58,0,0.871,6.122,97.3,1.618,5,403.0,14.7,372.8
151,N,152.0,Cambridge,28.0,3530.0,-71.0622,42.2205,19.6,19.6,1.49632,0.0,19.58,0,0.871,5.404,100.0,1.5916,5,403.0,14.7,341.6
152,P,153.0,Cambridge,28.0,3531.0,-71.059,42.217,15.3,15.3,1.12658,0.0,19.58,1,0.871,5.012,88.0,1.6102,5,403.0,14.7,343.28
153,N,154.0,Cambridge,28.0,3532.0,-71.0645,42.215,19.4,19.4,2.14918,0.0,19.58,0,0.871,5.709,98.5,1.6232,5,403.0,14.7,261.95
154,N,155.0,Cambridge,28.0,3533.0,-71.0662,42.2162,17.0,17.0,1.41385,0.0,19.58,1,0.871,6.129,96.0,1.7494,5,403.0,14.7,321.02
155,N,156.0,Cambridge,28.0,3534.0,-71.068,42.215,15.6,15.6,3.53501,0.0,19.58,1,0.871,6.152,82.6,1.7455,5,403.0,14.7,88.01
156,N,157.0,Cambridge,28.0,3535.0,-71.0667,42.22,13.1,13.1,2.44668,0.0,19.58,0,0.871,5.272,94.0,1.7364,5,403.0,14.7,88.63
157,P,158.0,Cambridge,28.0,3536.0,-71.069,42.2285,41.3,41.3,1.22358,0.0,19.58,0,0.605,6.943,97.4,1.8773,5,403.0,14.7,363.43
158,P,159.0,Cambridge,28.0,3537.0,-71.067,42.2245,24.3,24.3,1.34284,0.0,19.58,0,0.605,6.066,100.0,1.7573,5,403.0,14.7,353.89
