,binaryClass_cat,climbRate_num,Altitude_num,RollRate_num,curRoll_num,diffClb_num,diffDiffClb_num
36,P,-3.0,-10.0,-0.0056,0.007,-0.2,0.0
37,P,-1.5,-10.0,-0.0064,-0.013,0.2,0.0
38,N,5.5,-10.0,-0.0014,-0.022,0.3,0.0
39,N,9.2,10.0,0.0038,-0.018,0.0,0.01
40,P,-4.4,40.0,-0.0088,-0.009,-0.1,0.0
41,N,4.6,40.0,0.0086,-0.008,0.1,0.0
42,P,-4.6,10.0,0.0036,-0.003,-0.1,0.0
43,N,7.7,20.0,0.0043,-0.007,0.1,0.0
44,P,-8.9,10.0,-0.0047,-0.008,0.0,0.0
45,N,-1.2,-30.0,0.0063,0.014,0.1,0.0
46,N,-2.5,-40.0,0.0019,0.027,-0.1,0.0
47,P,-4.0,-50.0,-0.0052,0.023,0.0,-0.01
48,P,-3.4,-60.0,-0.0071,0.009,0.0,0.01
49,N,6.2,-50.0,0.0002,-0.014,0.2,0.0
50,N,8.8,-30.0,0.0036,-0.01,0.1,0.0
51,N,6.4,10.0,-0.0001,0.004,-0.1,0.0
52,N,1.8,20.0,0.0007,-0.017,0.1,0.0
53,P,-5.2,10.0,-0.0033,0.001,0.0,0.0
54,N,1.4,-10.0,0.0039,0.01,0.1,0.0
55,P,-1.7,-10.0,-0.0029,0.015,-0.1,0.0
56,N,6.0,10.0,0.0057,-0.001,0.1,0.0
57,N,5.4,20.0,0.0047,0.01,-0.1,0.0
58,P,-0.3,30.0,-0.0078,0.002,-0.1,0.0
59,N,5.3,50.0,0.0072,-0.011,0.1,0.0
60,P,-8.3,50.0,-0.0046,0.015,-0.2,0.0
61,P,-5.0,-20.0,0.0021,-0.009,0.1,0.0
62,P,-2.9,-30.0,0.0016,-0.001,0.0,0.0
63,N,6.6,-20.0,-0.0015,-0.003,0.1,0.0
64,N,8.0,10.0,-0.0021,-0.009,0.0,0.0
65,N,3.2,60.0,0.001,0.002,-0.1,0.0
66,P,-6.3,50.0,-0.0028,-0.005,-0.2,0.0
67,P,-6.1,30.0,-0.0001,-0.014,0.1,0.0
68,N,-1.5,10.0,0.0048,-0.007,0.2,0.0
69,N,5.9,40.0,0.0079,-0.004,0.0,0.0
70,P,-4.8,50.0,-0.0037,0.013,-0.2,0.0
71,N,-1.2,20.0,0.0055,0.013,0.1,0.0
72,N,6.2,60.0,0.0042,-0.013,0.1,0.0
73,N,5.8,80.0,0.0094,0.008,0.0,0.0
74,P,-7.6,70.0,-0.0038,0.025,-0.2,0.0
75,P,-8.8,40.0,-0.0042,0.009,0.1,0.0
76,N,4.2,50.0,0.0051,-0.006,0.0,0.0
77,N,2.9,10.0,0.0036,-0.006,0.1,0.0
78,N,4.3,90.0,0.002,0.019,-0.1,0.0
79,P,-2.0,90.0,-0.0062,0.007,-0.1,0.0
80,N,0.2,80.0,0.0073,-0.004,0.0,0.0
81,P,-5.6,70.0,0.0052,0.02,-0.2,0.0
82,P,-8.5,30.0,-0.0038,0.026,0.0,0.0
83,P,-7.0,10.0,-0.0077,0.007,0.1,0.0
84,N,2.9,0.0,-0.0021,-0.02,0.2,0.0
85,N,5.8,0.0,0.0006,-0.021,0.1,0.01
86,N,7.1,20.0,0.0036,-0.017,0.0,0.0
87,P,-4.0,-20.0,-0.0112,-0.009,0.0,0.0
88,P,1.3,-20.0,0.0065,-0.006,0.0,0.0
89,N,2.1,-20.0,0.0045,0.01,0.0,0.0
90,P,-1.4,-20.0,-0.0064,0.007,0.0,0.02
91,N,3.1,-10.0,-0.0016,-0.016,0.1,0.0
92,P,-1.6,0.0,0.0027,-0.013,-0.2,0.0
93,P,-2.8,-10.0,-0.0036,-0.01,-0.1,0.0
94,N,2.7,-10.0,0.0019,-0.014,0.2,0.0
95,N,3.0,0.0,0.0051,-0.005,-0.1,0.0
96,P,-4.6,0.0,0.0024,0.01,-0.3,0.0
97,N,1.7,-30.0,0.0052,-0.005,0.2,0.0
98,P,0.4,-20.0,0.008,0.026,-0.1,-0.01
99,P,1.9,-20.0,-0.0077,0.022,0.0,0.0
100,N,4.3,0.0,-0.0009,-0.009,0.0,0.0
101,N,-1.1,10.0,0.0063,0.012,-0.1,0.0
102,N,-3.1,0.0,0.0044,0.03,0.0,0.0
103,P,-4.8,-10.0,-0.0004,0.036,-0.1,0.0
104,N,8.2,0.0,0.0,-0.009,0.1,0.0
105,P,6.9,20.0,0.0025,-0.007,-0.2,0.02
106,P,-4.5,30.0,-0.0046,-0.007,-0.3,0.0
107,P,-7.1,10.0,-0.0033,-0.019,0.0,0.0
108,P,-5.9,0.0,-0.0007,-0.024,0.1,0.0
109,N,6.9,0.0,0.005,-0.011,0.2,0.0
110,P,-2.9,30.0,0.0018,0.03,-0.2,0.0
111,P,-5.5,0.0,-0.005,0.016,0.0,0.0
112,N,3.0,-10.0,0.001,-0.001,0.1,0.0
113,N,3.2,0.0,0.0045,-0.006,0.0,0.0
114,P,-4.6,0.0,-0.0021,-0.008,-0.1,0.0
115,P,-5.6,-10.0,-0.0014,-0.011,0.0,-0.01
116,N,4.0,-20.0,-0.0018,0.005,0.1,0.0
117,P,-2.5,-10.0,0.0007,-0.023,-0.1,0.0
118,N,1.3,-20.0,-0.0072,0.009,0.1,0.0
119,N,6.2,-10.0,-0.0027,-0.009,0.1,0.0
120,P,-3.7,10.0,0.0051,0.015,-0.2,0.0
121,P,-5.2,-10.0,0.0004,0.03,0.0,0.0
122,N,0.0,-30.0,-0.0054,0.02,0.2,0.0
123,N,7.7,-10.0,0.0023,0.011,0.1,0.0
124,N,10.1,10.0,0.003,0.017,0.1,0.0
125,N,9.1,30.0,0.0011,0.021,-0.1,0.01
126,P,-1.6,50.0,-0.0037,0.016,-0.3,0.0
127,P,-6.2,40.0,-0.0056,0.004,-0.1,0.0
128,N,2.2,0.0,0.007,-0.005,0.1,0.0
129,P,-4.6,0.0,-0.0014,0.025,-0.1,0.0
130,N,-1.0,-20.0,-0.0075,-0.013,0.1,0.0
131,N,2.0,-20.0,0.0059,-0.026,0.0,0.0
132,P,-2.0,-10.0,0.01,-0.007,-0.4,0.02
133,P,-11.1,-40.0,0.0057,0.025,-0.1,0.0
134,N,9.8,-60.0,-0.0033,0.022,0.5,0.0
135,N,14.9,-40.0,-0.0024,0.017,0.2,0.02
136,P,7.5,10.0,-0.0059,0.005,-0.6,0.02
137,P,-3.6,10.0,-0.0048,-0.006,-0.5,0.0
138,P,-7.1,-20.0,0.0046,-0.013,0.1,0.0
139,N,4.9,-20.0,0.0004,0.037,0.1,0.0
140,N,5.3,10.0,-0.0013,0.013,0.0,0.0
141,P,-7.7,20.0,-0.0003,0.012,-0.4,0.0
142,P,-12.5,0.0,0.0003,0.011,-0.2,-0.02
143,P,-9.1,-40.0,0.0013,0.015,0.2,0.0
144,N,9.2,-40.0,0.0023,0.023,0.5,0.0
145,P,1.2,0.0,-0.0048,0.021,-0.5,0.0
146,N,0.4,0.0,-0.0054,-0.002,0.1,0.0
147,P,-7.8,-10.0,0.0008,0.002,-0.3,0.0
148,P,-8.5,-20.0,-0.0005,0.002,0.1,-0.01
149,N,5.8,-40.0,-0.0014,-0.005,0.3,0.0
150,N,8.4,-20.0,-0.0016,-0.007,0.1,0.02
151,P,-2.4,-10.0,-0.0006,-0.014,-0.4,0.01
152,N,1.8,-20.0,0.0065,-0.002,0.2,0.0
153,P,-2.9,-10.0,0.0012,0.026,-0.2,0.0
154,P,-3.6,-20.0,-0.0019,0.026,0.1,-0.02
155,N,1.1,-20.0,-0.0075,0.014,0.2,0.0
156,N,3.9,-20.0,-0.0072,0.003,0.2,0.01
157,P,-3.2,-10.0,0.0022,-0.011,-0.3,0.01
158,N,5.7,-10.0,0.0049,0.014,0.3,0.0
159,P,-0.5,10.0,-0.0084,0.005,-0.2,0.0
160,N,2.5,10.0,-0.0064,-0.023,0.2,0.0
161,P,-1.8,20.0,0.0056,-0.026,-0.3,0.0
162,P,-8.3,0.0,0.007,-0.006,-0.2,0.0
163,P,-8.3,-20.0,0.0046,0.011,0.1,0.0
164,N,8.4,-30.0,-0.0024,0.017,0.3,0.0
165,N,5.8,10.0,-0.0046,-0.002,-0.1,0.0
166,P,-6.1,0.0,0.0026,0.001,-0.1,0.0
167,N,2.7,-40.0,-0.0026,-0.011,0.3,-0.01
168,N,8.4,-10.0,0.0033,-0.01,0.1,0.0
169,P,-3.9,0.0,0.0002,0.006,-0.4,0.0
170,P,-6.9,-10.0,-0.005,0.0,0.0,-0.01
171,N,-0.9,-20.0,-0.0023,-0.011,0.3,0.0
172,N,3.5,-20.0,0.0012,-0.012,0.2,0.0
173,P,-4.6,-10.0,-0.0001,0.007,-0.2,0.0
174,N,3.5,-40.0,0.0,0.003,0.3,0.01
175,N,9.3,-10.0,0.0035,0.01,0.1,0.0
176,P,-1.8,10.0,-0.0036,0.013,-0.4,0.0
177,N,-1.8,0.0,-0.0096,-0.011,0.1,0.0
178,N,3.1,0.0,0.0004,-0.041,0.2,0.0
179,P,-5.6,0.0,0.0094,-0.018,-0.3,0.0
180,P,-5.7,-20.0,0.0101,0.027,0.1,0.0
181,N,-0.6,-30.0,0.0023,0.046,0.2,0.0
182,N,2.6,-30.0,-0.0075,0.041,0.1,0.0
183,N,4.1,-20.0,-0.0061,0.006,0.0,0.0
184,N,1.4,-10.0,-0.0001,-0.001,-0.2,-0.01
185,P,-6.0,-20.0,0.0053,0.009,-0.2,0.0
186,P,-8.5,-40.0,0.0024,0.026,-0.1,0.0
187,P,-7.4,-60.0,-0.0009,0.027,0.1,-0.02
188,N,-3.5,-70.0,-0.0062,0.019,0.2,0.0
189,N,6.9,-60.0,-0.001,-0.007,0.2,0.0
190,P,0.7,-40.0,0.0009,-0.005,-0.2,0.0
191,N,8.9,-20.0,0.0064,0.013,0.2,0.0
192,N,7.2,10.0,-0.0018,0.023,-0.1,0.0
193,N,-0.9,20.0,-0.0089,0.009,-0.4,0.0
194,P,-7.6,10.0,-0.01,-0.004,-0.5,0.01
195,N,-1.9,-30.0,0.0101,0.0,0.1,0.0
196,P,0.1,-30.0,0.0105,0.023,0.1,0.0
197,N,5.2,-20.0,0.0011,0.044,0.2,0.0
198,N,7.3,-20.0,-0.006,0.041,0.1,0.0
199,N,9.4,0.0,-0.0099,0.025,0.2,0.0
200,N,6.7,30.0,-0.0052,-0.008,-0.1,0.0
201,P,-0.9,40.0,-0.0008,-0.015,-0.4,0.0
202,N,1.9,30.0,0.0006,-0.001,0.1,0.0
203,P,-2.8,30.0,-0.0038,-0.006,-0.3,-0.01
204,P,-10.4,10.0,-0.0035,-0.018,-0.2,0.0
205,N,1.8,-30.0,0.0066,0.012,0.2,0.0
206,P,-2.5,-30.0,-0.0024,0.02,-0.2,0.0
207,N,0.7,-30.0,-0.0072,0.006,0.3,0.01
208,N,7.5,10.0,0.0064,-0.006,0.0,0.0
209,N,6.6,30.0,-0.0021,-0.008,0.3,0.0
210,N,9.7,50.0,0.0029,-0.008,0.1,0.02
211,P,-10.8,40.0,-0.0054,0.016,-0.2,0.0
212,P,-10.3,10.0,-0.0023,0.004,0.1,0.0
213,P,-6.3,0.0,0.0006,0.003,0.3,-0.01
214,N,0.7,-10.0,0.0012,0.005,0.3,0.0
215,P,-4.7,-10.0,-0.0007,0.008,-0.2,0.0
216,N,5.5,-10.0,-0.0001,0.002,0.1,0.0
217,N,7.0,0.0,0.0,0.002,0.0,0.0
218,P,-7.8,10.0,-0.0011,-0.001,-0.4,0.0
219,N,7.5,-20.0,0.0016,0.001,0.2,0.0
220,P,-3.6,10.0,-0.0005,0.006,-0.2,0.0
221,N,4.4,10.0,0.0002,0.005,0.0,0.0
222,N,0.2,-10.0,-0.0076,-0.014,0.0,0.0
223,P,-3.5,-20.0,0.0044,-0.004,-0.1,0.0
224,P,-4.3,-30.0,-0.0003,0.002,0.0,0.0
225,N,4.7,-30.0,-0.0001,-0.009,0.3,0.0
226,N,-1.2,-10.0,-0.006,0.004,0.0,0.0
227,P,-2.6,-20.0,-0.0052,-0.012,-0.1,0.0
228,N,4.4,-20.0,0.0037,0.0,0.1,0.0
229,P,-3.0,-10.0,-0.0029,-0.002,-0.1,0.0
230,N,4.0,-10.0,0.0014,-0.005,0.1,0.0
231,P,-3.8,0.0,0.0002,0.007,-0.1,0.0
232,N,2.9,-10.0,-0.0001,0.007,0.1,0.0
233,N,4.0,0.0,-0.0004,0.006,0.0,0.0
234,P,-2.3,0.0,0.0,0.007,-0.1,0.0
235,N,5.6,-20.0,0.0007,0.003,0.1,0.0
236,P,-3.0,0.0,-0.0003,0.003,-0.1,0.0
237,P,-3.6,-10.0,-0.0003,0.002,0.0,0.0
238,N,5.1,-10.0,0.0007,0.003,0.2,0.0
239,N,6.2,20.0,0.0008,0.006,0.0,0.0
240,P,-6.5,20.0,-0.0011,0.001,-0.1,0.0
241,P,-7.1,0.0,-0.0005,-0.002,0.0,0.0
242,N,5.7,-10.0,0.0016,0.002,0.2,0.0
243,N,2.2,20.0,-0.0024,0.0,0.1,0.0
244,N,2.6,20.0,-0.0016,-0.005,0.0,0.0
245,P,-5.7,20.0,-0.0003,-0.01,-0.2,0.0
246,P,-10.0,-20.0,0.0048,0.003,-0.1,0.0
247,P,-3.7,-50.0,0.0043,0.023,0.2,0.0
248,N,4.6,-50.0,-0.0011,0.031,0.2,0.0
249,N,7.9,-20.0,-0.0083,0.013,0.0,0.0
250,N,7.1,0.0,-0.011,-0.012,-0.1,0.0
251,N,2.3,30.0,0.0093,-0.038,0.0,0.0
252,P,-5.9,0.0,-0.0089,-0.015,-0.1,0.0
253,N,-2.3,-20.0,0.006,-0.019,0.1,0.0
254,P,-1.3,-20.0,0.008,-0.003,0.0,0.0
255,N,-0.2,-20.0,0.0088,0.012,0.1,-0.01
256,P,-1.5,-20.0,0.0025,0.033,-0.1,0.0
257,N,2.4,-20.0,-0.0055,0.026,0.1,0.0
258,P,0.5,-20.0,-0.0068,0.003,-0.1,0.0
259,P,-3.7,-30.0,0.002,-0.015,-0.1,0.0
260,P,-3.4,-40.0,0.0002,-0.009,0.0,0.0
261,N,6.4,0.0,0.0011,-0.01,0.0,0.0
262,P,-4.4,10.0,-0.0023,-0.009,-0.2,0.0
263,P,-6.9,0.0,-0.002,-0.016,-0.1,0.0
264,N,-2.7,-20.0,0.0022,-0.016,0.2,0.01
265,P,-2.4,-10.0,-0.0004,-0.007,-0.1,0.0
266,P,-2.1,-10.0,0.0029,-0.004,-0.1,0.0
267,N,2.1,-30.0,0.0053,0.019,0.0,-0.01
268,N,5.2,-20.0,-0.0065,0.006,0.2,0.0
269,P,4.5,0.0,-0.0061,-0.01,-0.1,0.0
270,P,-4.2,0.0,0.0019,-0.021,-0.2,0.0
271,P,-7.3,-10.0,0.0055,-0.013,-0.1,0.0
272,P,-6.8,-40.0,0.0068,0.005,0.1,0.0
273,N,7.4,-40.0,-0.0007,0.022,0.2,0.0
274,P,-3.3,10.0,-0.0037,0.017,-0.3,0.0
275,P,-4.3,0.0,-0.0033,0.009,0.1,-0.02
276,N,1.7,-10.0,-0.0032,-0.001,0.2,0.0
277,N,5.5,0.0,-0.001,-0.005,0.2,0.0
278,N,6.0,10.0,0.0014,-0.005,0.0,-0.01
279,P,-5.9,20.0,0.0049,0.012,-0.3,0.0
280,P,-8.8,0.0,0.0054,0.024,-0.1,0.0
281,P,-6.8,-30.0,-0.0038,0.032,0.1,0.0
282,N,-3.5,-50.0,-0.0099,0.013,0.2,0.0
283,P,-3.3,-50.0,-0.0094,-0.01,-0.1,0.02
284,N,6.6,-50.0,0.0041,-0.022,0.3,0.0
285,P,-0.4,-10.0,0.002,0.023,-0.2,0.0
286,P,-2.1,-10.0,-0.0003,0.024,-0.1,-0.01
287,N,6.4,-10.0,-0.0012,0.006,0.2,0.0
288,P,-8.3,0.0,0.0004,0.01,-0.3,0.0
289,P,-8.6,-30.0,-0.0015,0.008,0.1,-0.01
290,N,9.1,-30.0,0.0041,0.01,0.4,0.0
291,P,-2.8,10.0,-0.0007,0.033,-0.4,0.0
292,P,-5.2,-20.0,-0.0013,0.012,0.0,0.0
293,N,7.3,-10.0,-0.0033,-0.011,0.1,0.0
294,N,8.9,0.0,-0.0012,-0.015,0.1,0.01
295,N,8.4,20.0,0.0016,-0.015,-0.2,0.02
296,P,-7.0,20.0,0.0032,0.008,-0.3,0.0
297,N,3.3,-20.0,-0.0035,0.001,0.2,0.0
298,P,-4.1,-10.0,0.0017,0.004,-0.2,0.0
299,P,-3.5,-30.0,0.0022,0.01,0.1,0.0
300,N,5.3,-20.0,-0.0031,0.006,0.1,0.0
301,N,7.5,0.0,-0.0016,-0.002,0.1,0.0
302,P,-2.0,20.0,-0.0007,-0.009,-0.2,0.0
303,P,-3.4,10.0,-0.004,-0.006,-0.1,0.0
304,N,-3.6,0.0,-0.0044,-0.012,0.1,-0.01
305,P,-3.9,0.0,-0.0031,0.01,-0.1,0.0
306,N,2.9,-10.0,-0.0041,-0.006,0.2,0.0
307,N,1.1,20.0,0.0055,-0.002,0.0,0.0
308,P,-5.0,10.0,0.0022,0.013,-0.2,0.0
309,P,-6.3,0.0,-0.0012,0.014,0.0,0.0
310,N,4.2,-10.0,0.003,0.003,0.2,0.0
311,N,3.8,0.0,0.0062,0.012,-0.1,0.02
312,N,2.0,0.0,-0.0008,0.031,0.1,0.0
313,P,-5.9,0.0,-0.0089,0.005,-0.2,0.0
314,N,9.3,-10.0,0.0055,-0.013,0.3,0.01
315,N,9.7,50.0,0.0087,0.029,-0.1,0.0
316,N,4.9,60.0,0.004,0.046,-0.2,0.0
317,P,-2.0,70.0,-0.0029,0.048,-0.4,0.0
318,P,-7.7,60.0,-0.0045,0.04,-0.3,-0.01
319,P,-10.2,30.0,-0.0004,0.031,0.0,0.0
320,P,-4.4,-10.0,-0.0037,0.028,-0.2,0.0
321,N,5.3,-10.0,-0.0003,0.014,0.4,0.0
322,N,5.5,10.0,0.0024,0.02,-0.1,0.0
323,P,-3.5,20.0,0.002,0.029,-0.3,0.0
324,P,-5.6,0.0,-0.0035,0.026,0.0,0.0
325,N,3.6,-10.0,-0.0042,0.011,0.3,0.0
326,P,-5.9,0.0,0.0021,-0.001,-0.2,0.0
327,N,4.7,-20.0,-0.0078,-0.012,0.1,0.0
328,P,-2.4,0.0,0.0088,-0.018,-0.1,-0.01
329,N,6.3,-10.0,-0.0053,-0.026,0.3,-0.01
330,P,-3.6,10.0,0.0063,0.004,-0.2,-0.01
331,N,0.2,0.0,-0.0069,0.005,0.0,0.0
332,P,-3.5,0.0,-0.0088,-0.034,-0.1,0.0
333,N,0.1,-10.0,0.0077,-0.041,0.1,0.0
334,N,1.8,-10.0,0.0119,-0.006,0.0,0.0
335,P,-8.6,-20.0,-0.0007,0.019,-0.4,0.01
336,N,-6.7,-60.0,0.0006,0.01,0.3,-0.01
337,N,5.9,-60.0,-0.0016,0.011,0.4,0.0
338,N,8.3,-40.0,-0.0041,0.005,0.0,0.0
339,N,7.0,-30.0,-0.0042,-0.004,-0.1,0.0
340,P,-2.7,-10.0,0.0019,-0.013,-0.2,0.0
341,N,2.6,-20.0,0.0084,0.014,0.1,0.0
342,P,-2.4,-10.0,-0.001,0.043,-0.1,0.0
343,N,1.1,-20.0,-0.0086,0.001,0.1,0.0
344,N,2.5,-20.0,-0.0049,-0.013,0.1,0.0
345,N,-0.3,-20.0,0.0059,-0.011,0.1,0.01
346,N,0.8,-10.0,0.0071,0.013,0.0,0.0
347,N,3.4,-20.0,-0.0076,0.021,0.2,0.0
348,P,1.2,-10.0,-0.0098,-0.002,-0.2,-0.01
349,P,-2.2,-10.0,-0.0052,-0.029,-0.1,0.0
350,N,0.7,-20.0,-0.0055,0.013,0.1,0.0
351,N,0.7,0.0,0.0052,-0.008,0.0,0.0
352,P,-2.7,-10.0,0.0047,0.012,-0.1,0.0
353,N,5.8,-10.0,-0.0011,-0.005,0.1,0.0
354,N,6.5,10.0,-0.0001,-0.006,0.0,0.0
355,P,-4.0,20.0,-0.0022,-0.009,-0.2,0.0
356,N,-1.3,0.0,0.0039,-0.009,0.1,0.0
357,N,-2.9,0.0,-0.0054,-0.007,-0.1,0.0
358,P,-4.2,-10.0,-0.0052,-0.016,-0.1,0.01
359,P,-5.4,-20.0,0.0008,-0.021,0.0,0.0
360,P,-3.1,-30.0,0.0062,-0.014,0.1,0.01
361,N,-0.1,-30.0,0.0089,-0.003,0.3,-0.01
362,N,2.6,-30.0,0.0091,0.013,0.1,0.01
363,N,2.6,-30.0,0.0054,0.025,-0.1,0.01
364,N,4.4,-20.0,-0.0034,0.0,0.1,0.0
365,N,5.8,10.0,0.0015,-0.003,0.0,0.0
366,P,-3.7,20.0,0.0001,0.005,-0.1,0.0
367,N,5.8,20.0,-0.0001,0.003,0.1,0.0
368,P,-4.6,40.0,-0.001,0.0,-0.2,0.0
369,N,7.6,60.0,-0.0013,0.023,0.1,0.0
370,N,6.2,70.0,-0.0047,0.018,-0.2,0.02
371,P,-0.5,80.0,-0.0088,0.004,-0.4,0.0
372,P,-7.7,70.0,-0.0088,-0.014,-0.3,0.0
373,P,-9.3,50.0,-0.004,-0.028,0.0,-0.01
374,N,-4.8,30.0,0.0075,-0.024,0.2,0.0
375,N,-1.3,20.0,0.01,0.002,0.1,0.0
376,P,-6.9,10.0,0.0038,0.029,-0.3,0.0
377,N,-5.5,-20.0,-0.005,0.024,0.1,0.0
378,N,11.6,-10.0,0.0041,0.016,0.3,0.0
379,N,12.8,40.0,0.0029,0.032,0.0,0.0
380,P,-0.9,70.0,-0.0036,0.033,-0.5,0.0
381,P,-8.9,60.0,-0.008,0.02,-0.3,0.0
382,P,-9.1,10.0,-0.0042,-0.015,0.0,0.0
383,N,-1.8,-10.0,0.0069,-0.011,0.3,0.0
384,N,1.8,0.0,-0.0001,-0.013,0.1,0.0
385,P,-7.7,-10.0,0.0028,0.004,-0.3,0.0
386,P,-9.8,-30.0,0.001,0.007,0.0,0.01
387,N,5.3,-40.0,-0.0073,-0.017,0.0,0.0
388,N,2.7,-30.0,-0.0057,-0.031,-0.2,0.01
389,P,-1.1,-30.0,-0.0032,-0.037,-0.3,0.01
390,P,-5.2,-40.0,0.006,-0.032,-0.1,0.0
391,N,-3.3,-50.0,0.0105,-0.016,0.2,0.02
392,P,-0.5,-50.0,0.0102,-0.001,0.1,0.0
393,N,6.8,-40.0,-0.0027,0.014,0.2,0.0
394,N,7.9,-30.0,-0.0069,0.007,-0.1,0.01
395,N,6.1,-10.0,-0.0053,-0.014,-0.1,0.01
396,P,-1.3,0.0,0.001,-0.022,-0.2,0.0
397,N,4.2,0.0,0.0047,-0.005,0.2,0.0
398,N,-2.4,20.0,-0.0054,0.005,0.0,-0.01
399,P,-4.7,10.0,-0.0026,-0.007,-0.1,0.0
400,P,-5.6,0.0,-0.0016,-0.01,-0.1,0.0
401,N,-3.0,-20.0,0.0053,-0.007,0.1,0.0
402,P,-3.2,-20.0,0.0039,0.012,-0.1,0.0
403,N,5.0,-20.0,-0.0026,0.017,0.2,0.0
404,P,-4.7,-10.0,-0.0071,-0.015,-0.3,0.0
405,N,-6.1,-40.0,-0.0029,-0.034,0.1,0.0
406,P,-5.3,-50.0,0.0021,-0.035,0.0,0.0
407,N,-1.7,-60.0,0.0055,-0.02,0.0,0.01
408,P,-1.4,-60.0,0.0004,-0.014,0.0,0.0
409,N,9.0,-50.0,0.0009,-0.017,0.3,0.0
410,N,6.6,-10.0,0.0021,-0.01,-0.1,0.0
411,P,-2.1,0.0,0.0019,-0.005,-0.4,0.0
412,N,1.8,-20.0,-0.004,0.005,0.0,0.0
413,N,2.5,-20.0,0.0046,-0.007,0.1,0.0
414,N,4.7,0.0,0.003,0.011,0.0,0.0
415,P,-3.7,0.0,-0.0044,0.009,-0.3,0.0
416,N,1.3,-10.0,0.0011,-0.008,0.2,0.0
417,P,-2.0,0.0,0.0041,0.02,-0.3,0.01
418,N,4.7,0.0,-0.0023,-0.005,0.0,0.0
419,N,0.3,10.0,-0.003,-0.011,-0.3,-0.01
420,P,-5.6,0.0,-0.0012,-0.015,-0.3,0.0
421,N,-4.9,-30.0,0.0049,-0.007,0.1,0.0
422,P,-4.8,-40.0,0.0002,0.003,0.0,0.0
423,P,-3.0,-50.0,-0.0031,0.0,0.2,-0.01
424,N,4.7,-50.0,-0.0019,-0.008,0.4,0.0
425,P,-2.3,-10.0,0.0027,-0.034,-0.1,0.0
426,P,-2.9,-20.0,0.0058,-0.024,0.0,0.0
427,N,0.7,-20.0,0.0077,-0.006,0.2,0.0
428,N,4.6,-20.0,0.0057,0.012,0.1,0.0
429,N,5.3,-10.0,0.0025,0.019,0.0,0.01
430,N,3.3,30.0,-0.0027,-0.036,0.1,0.0
431,P,-7.3,30.0,-0.0048,-0.012,-0.1,0.0
432,P,-4.8,-30.0,0.0066,0.0,0.0,0.0
433,N,-1.1,-40.0,0.0063,0.016,0.2,0.01
434,N,3.6,-40.0,0.0021,0.028,0.2,0.0
435,P,2.3,-20.0,-0.0059,0.02,-0.1,0.0
436,P,3.7,-10.0,-0.0068,-0.013,0.0,0.0
437,N,4.9,0.0,-0.0041,-0.025,0.1,0.0
438,P,-6.2,0.0,0.0002,0.002,0.0,0.0
439,N,6.2,0.0,-0.0016,-0.005,0.2,0.0
440,P,6.4,20.0,-0.0017,-0.01,0.0,0.0
441,P,-11.7,0.0,0.0015,-0.004,-0.2,0.0
