,Particulates_num,Total_Mortality_num,Respiratory_Mortality_num,Cardiovascular_Mortality_num,Temperature_num,Relative_Humidity_num,Carbon_Monoxide_num,Sulfur_Dioxideglm.LAshumway_num,Nitrogen_Dioxide_num,Hydrocarbons_num,Ozone_num
19,59.49,186.94,10.28,99.06,89.79,50.7,9.53,5.91,18.28,63.8,19.94
20,48.25,164.5,9.08,81.0,80.19,65.85,7.55,3.69,12.51,37.49,12.46
21,51.73,174.94,5.46,93.18,87.58,55.12,8.61,4.3,12.39,61.25,16.88
22,44.21,164.87,5.35,86.86,81.76,62.04,6.73,3.97,10.5,42.74,13.82
23,59.59,169.54,5.64,89.35,86.79,48.99,9.78,4.98,13.77,59.4,17.95
24,60.82,173.96,7.83,87.13,87.46,55.93,9.28,5.64,16.05,65.62,20.04
25,55.01,171.35,9.2,88.39,88.21,55.28,9.08,3.99,10.5,60.37,14.63
26,50.59,163.97,5.81,85.38,83.4,62.76,7.5,4.2,12.23,48.91,14.56
27,55.05,165.43,6.75,83.96,86.1,55.66,9.8,4.48,14.95,75.04,15.25
28,48.0,173.21,8.33,84.95,82.16,58.61,8.93,3.96,13.82,59.35,17.4
29,55.37,171.31,8.41,86.81,81.31,64.73,9.81,3.65,12.62,58.82,13.97
30,64.44,166.96,6.53,85.25,78.99,60.08,12.34,4.91,18.51,86.87,16.19
31,75.0,181.75,8.21,94.72,92.56,28.69,16.32,4.26,16.52,75.19,11.55
32,61.46,174.04,7.75,90.96,84.5,55.63,13.61,4.02,18.61,83.38,13.75
33,50.04,168.36,7.76,87.73,76.44,58.0,11.64,2.95,12.91,58.92,9.44
34,49.9,172.41,7.16,92.58,73.97,75.34,10.19,3.73,12.97,64.79,13.38
35,51.14,167.55,7.47,87.02,69.63,65.55,9.76,2.02,7.86,47.9,3.53
36,77.88,175.63,9.63,92.68,81.05,36.88,22.19,4.98,23.97,100.12,11.43
37,46.71,176.4,7.56,97.95,69.57,76.52,11.02,3.05,12.81,65.56,5.08
38,73.86,182.88,6.93,94.19,78.05,37.25,19.36,3.73,17.52,78.06,6.32
39,76.87,180.92,6.78,93.95,70.61,62.42,20.55,3.53,19.35,81.84,7.9
40,39.85,170.0,5.53,92.29,60.95,70.8,10.82,2.24,7.55,52.42,2.97
41,71.52,180.78,10.51,93.48,67.74,60.77,20.05,3.03,11.19,85.3,3.85
42,63.87,179.58,8.32,97.41,68.5,48.97,18.6,2.81,10.94,72.77,4.16
43,48.81,184.82,9.18,96.98,54.84,76.25,11.9,2.0,6.69,56.24,2.36
44,68.82,189.37,8.79,106.6,60.58,58.66,16.83,2.27,9.43,68.28,2.3
45,64.39,200.23,8.31,112.41,62.14,51.86,14.66,2.9,12.78,64.06,3.07
46,81.76,212.24,12.39,118.59,51.26,51.46,13.6,3.31,7.84,71.53,2.0
47,73.55,203.75,12.42,107.9,72.55,58.51,20.29,3.44,17.34,83.08,5.61
48,67.99,202.2,14.08,111.82,64.42,70.89,14.13,3.13,14.38,75.71,8.05
49,75.37,188.99,13.93,102.78,78.25,41.46,22.39,4.42,23.2,82.09,5.7
50,65.23,190.97,12.15,100.63,59.17,72.19,11.15,3.6,16.54,66.85,6.32
51,69.91,206.97,12.63,106.54,80.89,42.12,19.96,4.86,24.01,84.11,10.17
52,44.34,186.71,11.03,105.39,58.63,65.19,8.41,1.79,7.51,47.3,3.24
53,40.8,192.81,10.84,104.99,62.5,39.24,7.36,2.95,7.94,47.77,4.86
54,55.09,196.23,9.26,102.72,67.52,36.0,11.45,3.64,11.79,71.76,4.64
55,38.44,185.62,11.78,104.67,63.56,62.52,6.63,2.79,8.11,56.8,5.05
56,53.54,202.41,16.05,103.3,74.87,49.33,10.11,3.77,13.22,73.64,7.79
57,42.46,182.37,12.12,98.46,64.98,76.15,6.23,3.25,11.36,53.83,8.63
58,53.22,188.66,10.05,100.78,82.7,36.28,11.15,4.78,15.95,66.88,11.03
59,44.41,174.09,8.38,94.43,72.63,55.55,7.92,3.37,11.16,60.33,10.83
60,31.29,166.78,6.94,92.16,65.36,64.93,5.38,2.24,7.83,42.39,5.91
61,31.1,167.18,8.32,92.13,63.33,53.69,5.63,2.0,7.32,42.35,5.09
62,35.92,175.92,6.66,95.04,66.1,65.67,5.72,2.78,8.96,40.36,6.87
63,37.73,161.66,7.78,86.88,64.85,67.61,6.41,2.38,8.22,45.93,5.12
64,35.0,175.37,6.94,95.29,76.37,62.44,6.27,3.27,10.72,51.42,10.16
65,36.25,165.55,6.75,85.39,75.27,49.66,6.35,2.82,10.58,49.76,8.72
66,22.75,169.82,6.56,92.63,65.15,71.13,3.4,2.23,6.7,35.06,4.2
67,32.26,179.47,6.12,88.72,69.62,63.79,4.7,1.95,9.06,46.43,8.26
68,34.77,170.36,6.81,87.09,72.81,68.47,5.09,2.57,10.39,44.46,8.59
69,52.73,170.16,6.45,83.92,85.57,55.88,7.92,4.94,20.36,70.03,18.67
70,36.59,167.49,6.81,89.01,78.58,65.65,5.1,3.45,11.32,38.0,11.29
71,30.04,163.16,7.1,78.14,77.32,65.21,4.73,2.83,9.61,40.57,10.67
72,49.91,175.13,7.46,92.84,87.27,50.89,7.96,4.75,18.09,61.38,16.52
73,42.6,171.64,7.37,88.65,86.29,57.09,6.28,3.49,14.36,52.93,11.74
74,35.89,163.77,6.54,86.66,83.55,64.87,5.46,3.84,11.35,38.63,13.85
75,41.76,166.97,7.87,82.04,88.57,56.99,6.88,4.08,14.7,50.95,13.23
76,47.03,192.59,9.19,105.15,95.34,46.56,8.86,6.49,18.2,60.06,16.8
77,36.62,175.17,7.8,94.19,88.18,59.09,6.37,4.05,11.12,48.86,11.17
78,31.4,160.42,6.94,83.99,82.71,66.41,4.64,3.12,7.87,36.23,11.6
79,46.76,172.59,6.14,88.22,89.8,49.83,9.06,4.83,13.42,63.33,15.61
80,30.6,166.43,7.38,85.59,81.63,63.94,4.92,3.35,9.16,49.68,11.08
81,60.58,184.67,8.03,99.21,98.95,43.45,12.41,6.53,21.15,79.61,19.37
82,33.3,168.71,8.77,87.77,82.58,66.54,5.63,3.1,9.58,41.3,8.72
83,50.08,170.79,4.57,90.39,79.74,56.69,9.57,3.53,12.77,60.38,10.67
84,46.99,165.98,8.89,82.25,77.31,46.55,9.21,2.34,9.86,44.48,5.2
85,73.07,187.1,9.25,102.92,99.88,29.94,17.13,6.57,23.1,88.8,16.91
86,50.28,164.1,8.19,86.84,69.19,64.1,7.22,4.07,11.63,40.95,6.36
87,71.6,183.75,9.11,97.22,76.29,50.73,13.53,3.62,14.5,72.73,7.61
88,50.09,174.68,9.03,94.97,64.28,44.22,8.43,1.92,6.9,43.4,2.77
89,82.85,189.7,9.18,104.86,78.61,51.21,16.81,6.04,22.79,78.48,8.39
90,58.36,163.23,6.87,80.53,65.87,65.85,9.9,3.92,15.76,55.68,4.47
91,62.63,174.79,7.3,102.47,68.18,45.62,14.13,3.11,10.0,59.88,3.03
92,71.27,177.87,6.11,97.8,65.98,74.52,13.42,3.77,18.71,72.49,5.71
93,50.85,180.78,6.83,95.28,63.95,44.66,9.76,3.05,7.95,47.26,1.59
94,65.13,187.53,9.82,105.64,57.65,49.77,11.27,2.84,9.12,50.55,2.29
95,74.74,187.38,9.13,106.44,64.27,43.5,15.63,4.19,12.37,67.52,2.12
96,39.59,199.58,12.09,110.65,55.18,93.01,7.79,1.93,5.64,39.03,1.46
97,69.67,212.96,13.59,114.41,63.52,45.42,12.95,3.36,9.08,59.88,2.64
98,84.23,206.97,13.19,115.98,63.95,55.25,16.95,5.92,15.92,77.36,3.13
99,84.96,205.0,15.44,112.72,69.91,54.59,19.75,5.49,21.9,86.99,3.07
100,67.68,208.26,13.57,115.99,58.9,76.87,10.55,4.97,15.58,63.41,3.92
101,58.62,193.27,16.41,104.14,65.25,44.82,13.33,2.53,8.94,61.86,3.43
102,57.02,196.53,11.27,109.3,62.79,54.94,11.42,3.98,12.4,63.13,3.35
103,64.58,200.71,13.52,111.47,71.43,47.33,13.62,3.15,14.74,69.46,5.78
104,63.25,193.93,14.86,102.67,68.72,69.03,12.02,5.44,19.2,72.74,7.8
105,56.92,182.12,9.24,101.34,66.96,69.19,10.46,4.92,14.04,71.28,8.76
106,46.59,176.6,9.18,94.97,75.68,61.63,7.81,4.9,15.5,61.84,8.17
107,49.2,167.46,7.93,90.48,68.57,77.31,8.25,4.82,15.19,57.08,9.73
108,48.55,177.2,9.75,93.7,68.62,76.62,6.46,4.48,13.1,45.89,11.59
109,39.16,161.35,8.47,81.87,69.61,61.01,7.51,3.89,10.54,51.25,7.83
110,43.59,166.63,7.62,91.12,71.89,50.68,7.85,3.75,11.38,55.7,8.35
111,43.26,164.15,7.57,90.55,73.66,63.97,8.41,4.02,14.24,64.06,8.47
112,35.86,163.9,5.49,89.62,70.67,44.01,6.53,2.78,7.59,45.08,5.45
113,40.4,172.55,7.15,91.63,69.9,56.93,7.49,2.64,10.6,49.33,8.44
114,44.84,171.58,7.65,89.22,80.23,53.68,7.42,4.97,14.11,57.4,12.14
115,28.72,163.03,8.36,84.81,67.16,65.61,3.89,2.46,5.95,38.91,5.67
116,44.4,177.76,7.52,95.0,81.71,58.17,7.99,4.57,13.24,59.88,14.4
117,24.24,159.69,7.35,83.77,66.2,61.68,3.68,1.97,5.57,33.71,5.23
118,37.13,186.44,6.39,98.26,80.79,57.93,6.98,2.49,9.15,51.39,8.98
119,38.01,161.11,5.86,82.87,84.12,62.31,5.23,3.49,11.03,43.1,15.48
120,32.22,166.05,7.49,85.51,75.52,69.24,5.53,2.53,8.18,46.2,7.58
121,32.86,159.73,5.23,84.67,81.55,61.7,5.22,3.32,9.95,44.08,12.35
122,25.83,165.15,7.32,84.45,75.88,64.71,4.69,2.26,6.89,46.01,5.77
123,37.95,174.23,6.46,93.96,82.45,64.22,5.42,4.78,10.88,52.66,15.01
124,36.93,167.55,7.89,82.47,84.86,55.85,6.44,5.33,11.46,62.06,13.24
125,34.03,168.97,7.24,89.18,84.93,63.05,5.47,3.46,9.54,40.58,13.72
126,27.68,172.84,9.08,87.33,79.73,57.14,4.92,2.85,6.94,40.17,8.52
127,52.62,182.28,6.49,92.67,97.2,37.78,10.07,5.08,18.95,68.88,17.8
128,36.51,179.8,10.2,93.83,85.97,56.74,5.57,3.65,10.95,45.65,11.15
129,33.53,162.85,6.72,86.65,82.0,67.52,4.74,2.86,9.38,39.35,9.83
130,39.94,163.88,5.89,89.35,81.95,55.27,6.59,2.75,10.62,48.63,10.11
131,36.85,157.88,5.28,77.97,83.56,60.24,6.22,3.05,11.05,47.56,9.81
132,38.93,164.12,8.17,86.06,86.14,62.28,6.53,3.15,11.35,48.4,10.94
133,24.55,161.41,5.71,83.34,77.63,68.02,4.4,2.44,6.09,38.19,5.32
134,48.89,164.72,5.57,87.35,77.19,60.77,7.67,3.87,12.43,63.1,11.3
135,48.69,166.39,6.03,90.58,82.16,53.1,8.39,2.59,12.67,49.32,9.47
136,42.71,160.66,4.56,84.72,78.57,65.92,7.42,3.72,10.57,58.27,8.34
137,42.34,160.69,7.56,88.32,78.92,52.9,8.1,2.67,10.27,48.86,5.39
138,50.98,157.7,4.82,82.62,74.47,59.72,9.12,1.98,9.18,53.6,3.71
139,56.67,172.85,8.11,92.52,71.01,69.58,10.04,4.3,11.61,54.02,7.06
140,61.51,164.79,6.77,86.73,72.2,51.77,10.56,2.95,9.81,56.86,4.42
141,73.11,181.14,8.75,99.54,72.59,52.47,14.36,3.96,16.99,66.42,7.25
142,57.48,176.93,6.72,95.5,65.8,61.4,9.08,2.82,8.29,49.52,2.13
143,56.63,171.27,7.97,92.34,64.16,73.12,10.55,2.66,7.88,43.11,2.96
144,67.47,183.24,8.07,97.49,73.18,39.77,13.84,3.22,14.46,62.87,4.24
145,71.64,182.28,9.14,97.9,74.71,48.32,16.64,3.6,16.98,68.35,3.98
146,54.52,178.82,6.12,97.54,50.91,59.89,8.04,1.92,7.13,36.16,1.85
147,74.98,187.84,10.72,103.78,66.46,33.42,12.8,3.05,11.46,57.54,2.12
148,74.95,201.02,11.74,110.17,75.48,57.07,17.6,3.32,16.64,76.33,3.94
149,57.3,197.38,13.76,116.04,67.78,28.5,10.18,3.42,7.89,51.98,2.68
150,71.59,222.56,17.78,132.04,56.68,50.04,11.13,2.24,7.41,48.34,2.73
151,69.8,229.32,26.24,126.95,70.08,68.59,14.21,3.51,14.94,62.29,3.28
152,47.92,231.73,30.43,121.11,58.58,57.42,8.14,1.93,6.27,41.72,2.46
153,63.78,216.67,22.95,119.3,67.7,44.68,11.7,2.97,10.83,53.87,2.81
154,59.76,213.9,22.99,118.2,63.88,61.23,10.32,2.02,8.75,44.98,2.36
155,40.04,181.94,13.11,102.36,59.07,88.31,6.63,2.2,6.91,37.78,2.56
156,47.44,175.47,10.74,98.44,68.55,50.32,9.27,2.73,9.3,49.08,3.23
157,42.77,181.35,10.38,97.87,68.35,64.49,7.46,2.14,8.89,43.6,3.25
158,41.51,160.02,7.42,92.98,65.6,70.99,7.64,2.11,8.73,43.89,4.28
159,31.86,172.3,5.76,96.16,58.75,73.58,5.41,1.79,6.32,33.93,2.71
160,41.68,161.41,9.07,86.83,65.67,51.0,7.08,2.43,7.07,47.42,4.21
161,29.07,166.95,6.17,91.09,59.85,68.02,5.21,2.08,6.38,40.06,3.92
162,30.83,166.68,6.06,92.5,63.95,52.48,5.18,2.25,5.62,39.44,3.85
163,44.48,173.35,7.83,90.64,77.14,33.34,7.57,2.16,10.66,44.2,6.91
164,38.35,142.13,6.18,80.69,66.59,69.43,5.26,3.28,9.76,44.12,6.91
165,30.98,181.07,8.58,99.91,72.86,41.21,5.67,2.22,7.01,37.9,4.85
166,37.46,157.49,7.41,89.09,67.87,69.82,4.71,3.06,10.46,37.36,7.69
167,39.57,166.52,7.36,94.25,73.61,52.8,5.75,2.41,9.89,43.9,7.3
168,40.28,166.77,6.97,93.33,71.45,70.46,5.41,3.41,12.46,44.78,11.09
169,31.64,149.87,5.54,84.08,69.97,74.58,4.0,2.43,8.56,31.43,7.84
170,36.16,156.98,5.9,86.37,78.49,57.91,5.65,3.76,11.35,41.72,11.1
171,26.97,158.29,5.27,86.61,72.52,68.79,3.69,2.48,6.68,33.15,5.85
172,45.76,160.15,6.19,82.47,84.84,58.96,6.96,4.27,16.06,48.32,15.64
173,28.17,155.78,5.18,82.73,72.97,64.96,4.33,1.7,5.83,32.45,6.95
174,47.48,176.36,8.56,98.29,96.23,39.19,8.23,4.72,16.94,59.28,19.59
175,37.47,160.9,6.51,87.02,81.68,65.75,4.89,4.93,11.12,42.78,14.28
176,38.23,167.1,6.32,91.13,83.17,62.19,5.33,4.57,11.18,46.66,12.95
177,30.47,152.2,5.84,80.23,79.42,66.0,3.46,3.2,7.87,32.73,10.3
178,32.5,155.68,6.65,81.36,78.64,65.55,5.14,4.24,10.3,40.27,11.84
179,42.1,163.24,7.74,82.8,86.44,58.69,6.21,4.73,13.23,53.67,14.65
180,33.92,164.6,6.56,87.24,82.08,66.84,4.78,4.1,10.7,36.3,10.91
181,30.54,155.52,5.67,79.37,80.73,64.82,4.28,3.75,9.42,34.62,12.88
182,45.7,160.35,7.74,86.83,87.68,60.07,7.36,5.91,14.58,53.63,12.96
183,37.03,151.29,5.46,82.0,81.44,54.82,5.76,3.85,10.05,42.89,9.62
184,30.5,150.07,5.42,77.96,77.34,66.31,3.88,2.78,7.93,40.86,8.79
185,33.47,152.14,5.62,79.69,75.18,69.87,4.2,2.6,8.71,41.74,9.79
186,36.95,158.47,6.85,87.32,75.85,67.6,4.9,3.23,8.74,36.99,11.51
187,41.08,163.5,5.47,85.33,74.24,71.33,6.1,4.05,10.92,47.0,10.6
188,56.16,171.61,7.8,92.02,87.78,42.37,11.14,3.95,13.35,56.06,12.33
189,41.31,157.08,8.44,84.03,69.09,72.85,5.59,3.46,9.79,48.77,8.14
190,66.01,163.18,7.06,83.45,82.08,45.7,13.21,4.43,16.0,65.38,10.83
191,56.46,160.43,7.89,82.35,79.84,58.57,10.39,3.85,16.38,62.37,7.65
192,62.06,165.24,8.6,89.17,82.8,44.41,13.33,4.01,18.25,62.73,7.91
193,54.2,161.72,8.19,82.24,73.56,46.87,10.34,2.93,13.32,51.96,5.1
194,73.04,173.22,6.53,93.35,73.74,60.27,13.51,5.65,19.54,69.76,9.62
195,45.54,161.88,5.89,89.16,63.94,71.51,7.89,1.86,6.39,43.94,2.51
196,53.33,167.39,8.1,95.13,63.08,55.28,8.88,2.92,7.63,45.21,2.97
197,67.77,167.56,7.25,89.1,64.79,56.91,12.47,3.44,10.82,57.07,2.65
198,75.61,181.65,7.38,100.32,75.45,35.76,16.17,3.3,13.98,69.89,3.23
199,71.46,167.28,5.58,95.61,67.12,67.01,13.99,3.64,15.89,60.49,3.81
200,63.29,177.09,9.02,99.61,69.12,38.88,11.82,3.1,11.76,53.8,2.89
201,62.04,183.34,7.33,105.82,61.56,71.8,8.9,2.25,11.18,51.29,2.63
202,38.94,184.83,7.12,104.2,51.22,71.04,5.07,1.1,4.99,31.75,2.1
203,63.31,173.11,7.98,95.45,64.28,67.31,11.93,2.39,9.7,55.13,2.74
204,67.74,164.21,10.38,90.48,65.41,80.37,11.94,2.76,15.61,56.13,3.37
205,73.76,164.73,6.33,93.58,65.45,47.16,13.15,3.26,12.01,53.14,2.8
206,70.13,170.84,8.8,91.71,65.68,63.68,12.8,3.26,16.22,59.32,4.99
207,65.87,178.25,8.01,95.29,72.25,27.82,11.26,2.79,11.88,54.52,4.23
208,53.98,170.86,8.76,94.69,63.18,66.25,9.4,3.2,11.71,54.74,4.68
209,52.55,179.93,7.26,102.5,71.55,36.56,8.58,2.15,9.49,49.21,4.14
210,47.86,171.46,7.67,98.58,67.3,60.87,8.16,2.71,10.99,47.75,5.47
211,46.35,186.67,6.32,107.12,59.64,70.03,7.12,2.0,7.26,43.43,4.33
212,63.72,176.96,7.58,99.29,73.43,70.3,11.0,3.7,16.36,65.56,12.98
213,30.78,173.23,8.82,96.85,61.91,73.68,3.95,1.51,5.09,39.7,3.88
214,30.02,158.69,5.77,89.02,64.85,75.98,4.66,2.24,6.52,39.72,4.01
215,38.49,171.68,6.22,96.27,74.43,44.97,5.81,1.94,8.91,53.21,9.01
216,42.06,173.06,9.07,97.55,74.39,53.31,5.96,2.3,11.31,63.38,9.76
217,37.61,161.24,6.11,85.16,70.8,58.94,5.46,2.49,9.51,41.42,9.18
218,40.2,171.54,6.09,94.77,72.49,53.43,4.53,2.48,9.0,38.05,8.01
219,29.69,161.77,6.46,85.45,70.06,67.04,3.69,2.2,7.75,32.85,7.32
220,29.53,174.47,6.37,97.46,70.25,73.88,3.64,2.26,7.7,31.73,9.42
221,25.86,158.66,4.54,83.31,66.51,60.44,3.26,1.85,6.11,28.69,4.11
222,38.95,163.65,6.39,91.41,83.11,54.4,5.48,2.76,12.65,50.9,12.73
223,25.7,159.23,5.39,88.84,71.29,69.35,3.38,2.26,6.15,31.49,7.59
224,27.84,159.86,5.23,86.44,75.49,70.83,3.46,2.57,6.72,33.2,9.99
225,35.82,160.61,6.67,82.08,80.98,58.4,4.77,2.55,10.41,39.95,14.72
226,35.45,157.46,5.23,83.63,83.52,50.77,5.28,4.26,11.0,43.78,9.71
227,42.62,168.85,8.52,95.22,88.27,46.79,6.79,3.84,13.8,47.74,16.03
228,25.63,149.94,5.2,80.28,77.88,63.29,2.9,1.79,6.1,34.51,8.82
229,33.96,162.14,5.91,85.59,82.23,57.97,5.08,2.55,9.92,44.71,11.76
230,42.15,161.36,7.02,84.68,90.75,48.17,6.1,3.02,13.62,58.59,15.25
231,37.38,156.82,7.07,81.53,86.58,61.21,4.88,2.53,10.0,46.65,11.02
232,30.58,165.19,7.66,89.2,84.8,65.69,4.55,2.49,8.64,34.53,10.82
233,23.68,143.54,5.15,74.51,80.32,67.11,3.04,1.86,6.86,31.78,11.2
234,33.1,156.63,4.8,81.85,80.23,60.69,4.88,2.22,8.65,42.6,12.64
235,36.67,153.04,6.82,81.97,82.88,65.35,4.71,2.9,10.45,41.32,15.6
236,38.6,162.56,6.73,85.01,85.0,53.94,6.54,3.39,13.26,50.48,14.86
237,45.79,162.78,7.33,86.98,88.96,59.43,7.71,3.83,13.73,48.3,16.1
238,33.46,156.23,6.99,81.67,78.11,68.5,5.41,2.7,8.34,37.68,10.52
239,50.93,161.4,6.49,91.11,85.06,60.55,9.29,4.59,16.7,58.03,16.15
240,41.47,158.36,5.78,83.38,76.39,69.7,6.08,2.49,9.33,42.05,10.16
241,28.15,163.81,7.75,86.18,74.23,65.6,6.38,2.33,8.83,41.2,7.11
242,54.62,166.34,6.22,89.93,76.42,65.73,9.17,2.46,11.98,46.91,8.31
243,59.46,167.58,7.8,91.82,83.68,50.48,12.72,3.9,20.02,62.75,10.7
244,35.47,166.71,6.31,92.27,67.62,71.4,6.84,1.97,7.44,41.51,3.85
245,52.77,164.25,7.13,89.29,64.36,67.37,9.72,2.44,10.53,48.43,3.74
246,65.32,161.82,6.28,85.41,81.7,29.86,12.82,2.47,12.26,50.42,5.62
247,66.49,172.43,8.47,96.78,72.67,63.46,14.0,3.75,19.19,61.67,7.54
248,62.46,163.31,5.79,83.6,73.59,49.41,10.95,3.46,12.2,51.33,4.67
249,60.38,178.76,7.0,98.63,69.09,51.04,15.21,4.54,16.35,66.99,4.0
250,72.83,169.35,7.52,90.86,66.75,59.66,13.18,2.89,13.03,50.91,2.44
251,53.78,173.25,7.34,94.36,70.03,47.46,13.7,3.68,15.5,57.13,4.63
252,81.09,181.39,8.06,97.52,69.53,41.95,19.4,4.21,21.74,72.64,4.1
253,44.05,194.52,8.44,108.68,55.33,48.75,5.92,1.81,4.55,35.23,1.89
254,65.68,191.33,10.2,107.23,63.17,44.3,13.0,3.18,11.18,54.4,2.56
255,45.98,195.64,13.49,107.08,66.0,55.24,10.2,2.76,7.99,43.84,2.42
256,77.13,205.55,14.61,113.39,80.86,33.44,19.76,4.66,22.2,72.79,6.99
257,69.77,194.36,16.61,105.51,69.57,47.86,15.12,4.65,17.77,70.65,6.34
258,51.34,203.44,17.08,111.9,54.85,68.34,8.72,1.85,6.26,37.88,2.07
259,43.97,206.26,19.86,110.44,64.21,81.89,10.06,3.22,8.47,47.48,2.57
260,45.11,182.67,15.3,95.42,62.12,66.44,9.13,2.8,8.6,48.17,4.08
261,49.49,179.82,11.78,97.78,66.21,39.27,9.0,2.43,8.6,46.78,3.55
262,68.46,165.7,10.13,90.38,69.77,71.45,13.78,6.06,18.02,73.26,11.35
263,32.69,168.03,9.59,86.89,60.84,83.86,6.19,1.85,5.29,35.12,2.78
264,35.97,169.43,8.91,91.59,59.44,65.11,8.0,2.16,7.11,43.26,4.69
265,40.71,163.16,7.91,85.51,65.65,69.7,7.33,2.7,8.53,40.38,6.46
266,27.56,164.59,7.9,88.16,64.09,38.15,5.23,2.05,5.56,35.99,4.16
267,38.52,171.27,9.17,87.03,60.63,70.83,7.59,2.0,6.96,38.54,4.15
268,24.95,159.94,7.87,88.61,60.19,71.07,4.46,1.5,5.26,36.72,3.57
269,28.94,169.98,6.96,96.96,63.92,68.34,5.71,2.72,6.38,40.83,5.81
270,27.64,151.73,5.99,80.03,66.83,61.45,4.82,2.19,7.18,42.55,5.47
271,34.4,154.42,7.05,80.53,69.48,63.2,5.09,2.51,8.33,39.92,7.81
272,38.51,158.4,6.78,76.46,74.17,57.49,6.37,3.09,9.7,54.81,9.44
273,27.59,150.37,5.41,78.85,69.29,76.46,4.07,2.15,6.2,31.16,7.94
274,27.26,165.24,9.05,87.03,70.86,66.39,5.14,2.45,7.69,42.34,8.22
275,30.53,150.85,6.91,82.27,75.34,72.85,4.0,2.68,7.25,29.43,12.2
276,28.93,155.81,6.34,78.92,72.66,73.15,4.7,2.28,7.43,34.31,9.5
277,31.07,142.41,5.15,72.75,74.91,72.83,4.27,2.35,7.55,31.55,13.16
278,21.8,155.73,5.94,77.75,70.17,68.24,4.34,1.73,5.17,36.52,6.14
279,39.47,160.0,5.81,83.79,81.41,56.24,6.47,3.27,11.15,45.38,13.29
280,32.09,158.61,4.44,82.13,82.03,57.83,5.44,2.39,9.77,44.36,13.13
281,38.39,153.84,8.85,76.42,85.76,59.42,5.0,3.43,11.48,42.42,15.24
282,24.72,144.75,6.96,74.58,78.54,70.95,3.02,1.88,6.29,27.95,11.73
283,36.54,159.76,5.88,79.61,84.44,66.0,4.64,3.34,10.0,38.48,15.13
284,33.27,151.92,6.56,76.52,82.87,62.88,4.35,2.76,9.66,36.46,12.28
285,42.32,157.76,6.66,79.27,86.52,59.81,6.5,4.28,14.47,49.34,14.58
286,24.6,150.55,5.39,74.7,77.5,68.73,2.84,2.41,6.5,28.2,10.0
287,34.57,146.25,6.04,75.49,81.72,62.93,5.43,2.88,10.43,45.12,8.93
288,42.28,156.21,6.0,82.82,82.61,55.83,6.4,3.06,12.72,58.16,14.46
289,42.04,154.28,6.95,80.29,83.09,64.45,5.99,4.01,13.15,55.23,12.83
290,32.93,154.24,4.15,80.05,75.74,76.55,5.01,2.23,7.79,36.84,11.47
291,55.42,162.17,6.65,78.64,92.27,46.07,9.58,3.52,17.19,59.38,14.22
292,47.8,156.94,7.34,79.4,86.41,50.98,7.11,3.13,13.51,43.54,14.3
293,49.69,153.86,6.71,71.02,83.03,66.06,7.47,3.86,16.36,47.55,15.56
294,32.25,146.37,7.89,73.55,73.16,62.66,5.38,1.72,6.05,39.68,4.28
295,62.39,157.9,5.15,79.6,78.82,55.61,10.7,2.76,15.83,56.46,10.2
296,39.47,162.33,7.42,85.08,70.51,49.52,6.12,1.77,6.99,38.45,4.61
297,71.81,167.82,6.62,90.14,76.06,61.41,13.51,3.88,19.27,74.32,7.81
