,binaryClass_cat,symboling_num,normalized-losses_num,make_cat,fuel-type_cat,aspiration_cat,num-of-doors_num,body-style_cat,drive-wheels_cat,engine-location_cat,wheel-base_num,length_num,width_num,height_num,curb-weight_num,engine-type_cat,num-of-cylinders_num,engine-size_num,fuel-system_cat,bore_num,stroke_num,compression-ratio_num,peak-rpm_num,city-mpg_num,highway-mpg_num,price_num
15,N,0.0,,bmw,gas,std,4.0,sedan,rwd,front,103.5,189.0,66.9,55.7,3230.0,ohc,6.0,209.0,mpfi,3.62,3.39,8.0,5400.0,16.0,22.0,30760.0
16,N,0.0,,bmw,gas,std,2.0,sedan,rwd,front,103.5,193.8,67.9,53.7,3380.0,ohc,6.0,209.0,mpfi,3.62,3.39,8.0,5400.0,16.0,22.0,41315.0
17,N,0.0,,bmw,gas,std,4.0,sedan,rwd,front,110.0,197.0,70.9,56.3,3505.0,ohc,6.0,209.0,mpfi,3.62,3.39,8.0,5400.0,15.0,20.0,36880.0
18,P,2.0,121.0,chevrolet,gas,std,2.0,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488.0,l,3.0,61.0,2bbl,2.91,3.03,9.5,5100.0,47.0,53.0,5151.0
19,P,1.0,98.0,chevrolet,gas,std,2.0,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874.0,ohc,4.0,90.0,2bbl,3.03,3.11,9.6,5400.0,38.0,43.0,6295.0
20,P,0.0,81.0,chevrolet,gas,std,4.0,sedan,fwd,front,94.5,158.8,63.6,52.0,1909.0,ohc,4.0,90.0,2bbl,3.03,3.11,9.6,5400.0,38.0,43.0,6575.0
21,P,1.0,118.0,dodge,gas,std,2.0,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876.0,ohc,4.0,90.0,2bbl,2.97,3.23,9.41,5500.0,37.0,41.0,5572.0
22,P,1.0,118.0,dodge,gas,std,2.0,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876.0,ohc,4.0,90.0,2bbl,2.97,3.23,9.4,5500.0,31.0,38.0,6377.0
23,P,1.0,118.0,dodge,gas,turbo,2.0,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128.0,ohc,4.0,98.0,mpfi,3.03,3.39,7.6,5500.0,24.0,30.0,7957.0
24,P,1.0,148.0,dodge,gas,std,4.0,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967.0,ohc,4.0,90.0,2bbl,2.97,3.23,9.4,5500.0,31.0,38.0,6229.0
25,P,1.0,148.0,dodge,gas,std,4.0,sedan,fwd,front,93.7,157.3,63.8,50.6,1989.0,ohc,4.0,90.0,2bbl,2.97,3.23,9.4,5500.0,31.0,38.0,6692.0
26,P,1.0,148.0,dodge,gas,std,4.0,sedan,fwd,front,93.7,157.3,63.8,50.6,1989.0,ohc,4.0,90.0,2bbl,2.97,3.23,9.4,5500.0,31.0,38.0,7609.0
27,P,1.0,148.0,dodge,gas,turbo,,sedan,fwd,front,93.7,157.3,63.8,50.6,2191.0,ohc,4.0,98.0,mpfi,3.03,3.39,7.6,5500.0,24.0,30.0,8558.0
28,P,-1.0,110.0,dodge,gas,std,4.0,wagon,fwd,front,103.3,174.6,64.6,59.8,2535.0,ohc,4.0,122.0,2bbl,3.34,3.46,8.5,5000.0,24.0,30.0,8921.0
29,N,3.0,145.0,dodge,gas,turbo,2.0,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811.0,ohc,4.0,156.0,mfi,3.6,3.9,7.0,5000.0,19.0,24.0,12964.0
30,P,2.0,137.0,honda,gas,std,2.0,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713.0,ohc,4.0,92.0,1bbl,2.91,3.41,9.6,4800.0,49.0,54.0,6479.0
31,P,2.0,137.0,honda,gas,std,2.0,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819.0,ohc,4.0,92.0,1bbl,2.91,3.41,9.2,6000.0,31.0,38.0,6855.0
32,P,1.0,101.0,honda,gas,std,2.0,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837.0,ohc,4.0,79.0,1bbl,2.91,3.07,10.1,5500.0,38.0,42.0,5399.0
33,P,1.0,101.0,honda,gas,std,2.0,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940.0,ohc,4.0,92.0,1bbl,2.91,3.41,9.2,6000.0,30.0,34.0,6529.0
34,P,1.0,101.0,honda,gas,std,2.0,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956.0,ohc,4.0,92.0,1bbl,2.91,3.41,9.2,6000.0,30.0,34.0,7129.0
35,P,0.0,110.0,honda,gas,std,4.0,sedan,fwd,front,96.5,163.4,64.0,54.5,2010.0,ohc,4.0,92.0,1bbl,2.91,3.41,9.2,6000.0,30.0,34.0,7295.0
36,P,0.0,78.0,honda,gas,std,4.0,wagon,fwd,front,96.5,157.1,63.9,58.3,2024.0,ohc,4.0,92.0,1bbl,2.92,3.41,9.2,6000.0,30.0,34.0,7295.0
37,P,0.0,106.0,honda,gas,std,2.0,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236.0,ohc,4.0,110.0,1bbl,3.15,3.58,9.0,5800.0,27.0,33.0,7895.0
38,P,0.0,106.0,honda,gas,std,2.0,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289.0,ohc,4.0,110.0,1bbl,3.15,3.58,9.0,5800.0,27.0,33.0,9095.0
39,P,0.0,85.0,honda,gas,std,4.0,sedan,fwd,front,96.5,175.4,65.2,54.1,2304.0,ohc,4.0,110.0,1bbl,3.15,3.58,9.0,5800.0,27.0,33.0,8845.0
40,P,0.0,85.0,honda,gas,std,4.0,sedan,fwd,front,96.5,175.4,62.5,54.1,2372.0,ohc,4.0,110.0,1bbl,3.15,3.58,9.0,5800.0,27.0,33.0,10295.0
41,P,0.0,85.0,honda,gas,std,4.0,sedan,fwd,front,96.5,175.4,65.2,54.1,2465.0,ohc,4.0,110.0,mpfi,3.15,3.58,9.0,5800.0,24.0,28.0,12945.0
42,P,1.0,107.0,honda,gas,std,2.0,sedan,fwd,front,96.5,169.1,66.0,51.0,2293.0,ohc,4.0,110.0,2bbl,3.15,3.58,9.1,5500.0,25.0,31.0,10345.0
43,P,0.0,,isuzu,gas,std,4.0,sedan,rwd,front,94.3,170.7,61.8,53.5,2337.0,ohc,4.0,111.0,2bbl,3.31,3.23,8.5,4800.0,24.0,29.0,6785.0
44,P,1.0,,isuzu,gas,std,2.0,sedan,fwd,front,94.5,155.9,63.6,52.0,1874.0,ohc,4.0,90.0,2bbl,3.03,3.11,9.6,5400.0,38.0,43.0,
45,P,0.0,,isuzu,gas,std,4.0,sedan,fwd,front,94.5,155.9,63.6,52.0,1909.0,ohc,4.0,90.0,2bbl,3.03,3.11,9.6,5400.0,38.0,43.0,
46,P,2.0,,isuzu,gas,std,2.0,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734.0,ohc,4.0,119.0,spfi,3.43,3.23,9.2,5000.0,24.0,29.0,11048.0
47,N,0.0,145.0,jaguar,gas,std,4.0,sedan,rwd,front,113.0,199.6,69.6,52.8,4066.0,dohc,6.0,258.0,mpfi,3.63,4.17,8.1,4750.0,15.0,19.0,32250.0
48,N,0.0,,jaguar,gas,std,4.0,sedan,rwd,front,113.0,199.6,69.6,52.8,4066.0,dohc,6.0,258.0,mpfi,3.63,4.17,8.1,4750.0,15.0,19.0,35550.0
49,N,0.0,,jaguar,gas,std,2.0,sedan,rwd,front,102.0,191.7,70.6,47.8,3950.0,ohcv,12.0,326.0,mpfi,3.54,2.76,11.5,5000.0,13.0,17.0,36000.0
50,P,1.0,104.0,mazda,gas,std,2.0,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890.0,ohc,4.0,91.0,2bbl,3.03,3.15,9.0,5000.0,30.0,31.0,5195.0
51,P,1.0,104.0,mazda,gas,std,2.0,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900.0,ohc,4.0,91.0,2bbl,3.03,3.15,9.0,5000.0,31.0,38.0,6095.0
52,P,1.0,104.0,mazda,gas,std,2.0,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905.0,ohc,4.0,91.0,2bbl,3.03,3.15,9.0,5000.0,31.0,38.0,6795.0
53,P,1.0,113.0,mazda,gas,std,4.0,sedan,fwd,front,93.1,166.8,64.2,54.1,1945.0,ohc,4.0,91.0,2bbl,3.03,3.15,9.0,5000.0,31.0,38.0,6695.0
54,P,1.0,113.0,mazda,gas,std,4.0,sedan,fwd,front,93.1,166.8,64.2,54.1,1950.0,ohc,4.0,91.0,2bbl,3.08,3.15,9.0,5000.0,31.0,38.0,7395.0
55,P,3.0,150.0,mazda,gas,std,2.0,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380.0,rotor,2.0,70.0,4bbl,,,9.4,6000.0,17.0,23.0,10945.0
56,P,3.0,150.0,mazda,gas,std,2.0,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380.0,rotor,2.0,70.0,4bbl,,,9.4,6000.0,17.0,23.0,11845.0
57,P,3.0,150.0,mazda,gas,std,2.0,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385.0,rotor,2.0,70.0,4bbl,,,9.4,6000.0,17.0,23.0,13645.0
58,N,3.0,150.0,mazda,gas,std,2.0,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500.0,rotor,2.0,80.0,mpfi,,,9.4,6000.0,16.0,23.0,15645.0
59,P,1.0,129.0,mazda,gas,std,2.0,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385.0,ohc,4.0,122.0,2bbl,3.39,3.39,8.6,4800.0,26.0,32.0,8845.0
60,P,0.0,115.0,mazda,gas,std,4.0,sedan,fwd,front,98.8,177.8,66.5,55.5,2410.0,ohc,4.0,122.0,2bbl,3.39,3.39,8.6,4800.0,26.0,32.0,8495.0
61,P,1.0,129.0,mazda,gas,std,2.0,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385.0,ohc,4.0,122.0,2bbl,3.39,3.39,8.6,4800.0,26.0,32.0,10595.0
62,P,0.0,115.0,mazda,gas,std,4.0,sedan,fwd,front,98.8,177.8,66.5,55.5,2410.0,ohc,4.0,122.0,2bbl,3.39,3.39,8.6,4800.0,26.0,32.0,10245.0
63,P,0.0,,mazda,diesel,std,,sedan,fwd,front,98.8,177.8,66.5,55.5,2443.0,ohc,4.0,122.0,idi,3.39,3.39,22.7,4650.0,36.0,42.0,10795.0
64,P,0.0,115.0,mazda,gas,std,4.0,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425.0,ohc,4.0,122.0,2bbl,3.39,3.39,8.6,4800.0,26.0,32.0,11245.0
65,N,0.0,118.0,mazda,gas,std,4.0,sedan,rwd,front,104.9,175.0,66.1,54.4,2670.0,ohc,4.0,140.0,mpfi,3.76,3.16,8.0,5000.0,19.0,27.0,18280.0
66,P,0.0,,mazda,diesel,std,4.0,sedan,rwd,front,104.9,175.0,66.1,54.4,2700.0,ohc,4.0,134.0,idi,3.43,3.64,22.0,4200.0,31.0,39.0,18344.0
67,N,-1.0,93.0,mercedes-benz,diesel,turbo,4.0,sedan,rwd,front,110.0,190.9,70.3,56.5,3515.0,ohc,5.0,183.0,idi,3.58,3.64,21.5,4350.0,22.0,25.0,25552.0
68,N,-1.0,93.0,mercedes-benz,diesel,turbo,4.0,wagon,rwd,front,110.0,190.9,70.3,58.7,3750.0,ohc,5.0,183.0,idi,3.58,3.64,21.5,4350.0,22.0,25.0,28248.0
69,N,0.0,93.0,mercedes-benz,diesel,turbo,2.0,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495.0,ohc,5.0,183.0,idi,3.58,3.64,21.5,4350.0,22.0,25.0,28176.0
70,N,-1.0,93.0,mercedes-benz,diesel,turbo,4.0,sedan,rwd,front,115.6,202.6,71.7,56.3,3770.0,ohc,5.0,183.0,idi,3.58,3.64,21.5,4350.0,22.0,25.0,31600.0
71,N,-1.0,,mercedes-benz,gas,std,4.0,sedan,rwd,front,115.6,202.6,71.7,56.5,3740.0,ohcv,8.0,234.0,mpfi,3.46,3.1,8.3,4750.0,16.0,18.0,34184.0
72,N,3.0,142.0,mercedes-benz,gas,std,2.0,convertible,rwd,front,96.6,180.3,70.5,50.8,3685.0,ohcv,8.0,234.0,mpfi,3.46,3.1,8.3,4750.0,16.0,18.0,35056.0
73,N,0.0,,mercedes-benz,gas,std,4.0,sedan,rwd,front,120.9,208.1,71.7,56.7,3900.0,ohcv,8.0,308.0,mpfi,3.8,3.35,8.0,4500.0,14.0,16.0,40960.0
74,N,1.0,,mercedes-benz,gas,std,2.0,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715.0,ohcv,8.0,304.0,mpfi,3.8,3.35,8.0,4500.0,14.0,16.0,45400.0
75,N,1.0,,mercury,gas,turbo,2.0,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910.0,ohc,4.0,140.0,mpfi,3.78,3.12,8.0,5000.0,19.0,24.0,16503.0
76,P,2.0,161.0,mitsubishi,gas,std,2.0,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918.0,ohc,4.0,92.0,2bbl,2.97,3.23,9.4,5500.0,37.0,41.0,5389.0
77,P,2.0,161.0,mitsubishi,gas,std,2.0,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944.0,ohc,4.0,92.0,2bbl,2.97,3.23,9.4,5500.0,31.0,38.0,6189.0
78,P,2.0,161.0,mitsubishi,gas,std,2.0,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004.0,ohc,4.0,92.0,2bbl,2.97,3.23,9.4,5500.0,31.0,38.0,6669.0
79,P,1.0,161.0,mitsubishi,gas,turbo,2.0,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145.0,ohc,4.0,98.0,spdi,3.03,3.39,7.6,5500.0,24.0,30.0,7689.0
80,N,3.0,153.0,mitsubishi,gas,turbo,2.0,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370.0,ohc,4.0,110.0,spdi,3.17,3.46,7.5,5500.0,23.0,30.0,9959.0
81,P,3.0,153.0,mitsubishi,gas,std,2.0,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328.0,ohc,4.0,122.0,2bbl,3.35,3.46,8.5,5000.0,25.0,32.0,8499.0
82,N,3.0,,mitsubishi,gas,turbo,2.0,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833.0,ohc,4.0,156.0,spdi,3.58,3.86,7.0,5000.0,19.0,24.0,12629.0
83,N,3.0,,mitsubishi,gas,turbo,2.0,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921.0,ohc,4.0,156.0,spdi,3.59,3.86,7.0,5000.0,19.0,24.0,14869.0
84,N,3.0,,mitsubishi,gas,turbo,2.0,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926.0,ohc,4.0,156.0,spdi,3.59,3.86,7.0,5000.0,19.0,24.0,14489.0
85,P,1.0,125.0,mitsubishi,gas,std,4.0,sedan,fwd,front,96.3,172.4,65.4,51.6,2365.0,ohc,4.0,122.0,2bbl,3.35,3.46,8.5,5000.0,25.0,32.0,6989.0
86,P,1.0,125.0,mitsubishi,gas,std,4.0,sedan,fwd,front,96.3,172.4,65.4,51.6,2405.0,ohc,4.0,122.0,2bbl,3.35,3.46,8.5,5000.0,25.0,32.0,8189.0
87,N,1.0,125.0,mitsubishi,gas,turbo,4.0,sedan,fwd,front,96.3,172.4,65.4,51.6,2403.0,ohc,4.0,110.0,spdi,3.17,3.46,7.5,5500.0,23.0,30.0,9279.0
88,N,-1.0,137.0,mitsubishi,gas,std,4.0,sedan,fwd,front,96.3,172.4,65.4,51.6,2403.0,ohc,4.0,110.0,spdi,3.17,3.46,7.5,5500.0,23.0,30.0,9279.0
89,P,1.0,128.0,nissan,gas,std,2.0,sedan,fwd,front,94.5,165.3,63.8,54.5,1889.0,ohc,4.0,97.0,2bbl,3.15,3.29,9.4,5200.0,31.0,37.0,5499.0
90,P,1.0,128.0,nissan,diesel,std,2.0,sedan,fwd,front,94.5,165.3,63.8,54.5,2017.0,ohc,4.0,103.0,idi,2.99,3.47,21.9,4800.0,45.0,50.0,7099.0
91,P,1.0,128.0,nissan,gas,std,2.0,sedan,fwd,front,94.5,165.3,63.8,54.5,1918.0,ohc,4.0,97.0,2bbl,3.15,3.29,9.4,5200.0,31.0,37.0,6649.0
92,P,1.0,122.0,nissan,gas,std,4.0,sedan,fwd,front,94.5,165.3,63.8,54.5,1938.0,ohc,4.0,97.0,2bbl,3.15,3.29,9.4,5200.0,31.0,37.0,6849.0
93,P,1.0,103.0,nissan,gas,std,4.0,wagon,fwd,front,94.5,170.2,63.8,53.5,2024.0,ohc,4.0,97.0,2bbl,3.15,3.29,9.4,5200.0,31.0,37.0,7349.0
94,P,1.0,128.0,nissan,gas,std,2.0,sedan,fwd,front,94.5,165.3,63.8,54.5,1951.0,ohc,4.0,97.0,2bbl,3.15,3.29,9.4,5200.0,31.0,37.0,7299.0
95,P,1.0,128.0,nissan,gas,std,2.0,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028.0,ohc,4.0,97.0,2bbl,3.15,3.29,9.4,5200.0,31.0,37.0,7799.0
96,P,1.0,122.0,nissan,gas,std,4.0,sedan,fwd,front,94.5,165.3,63.8,54.5,1971.0,ohc,4.0,97.0,2bbl,3.15,3.29,9.4,5200.0,31.0,37.0,7499.0
97,P,1.0,103.0,nissan,gas,std,4.0,wagon,fwd,front,94.5,170.2,63.8,53.5,2037.0,ohc,4.0,97.0,2bbl,3.15,3.29,9.4,5200.0,31.0,37.0,7999.0
98,P,2.0,168.0,nissan,gas,std,2.0,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008.0,ohc,4.0,97.0,2bbl,3.15,3.29,9.4,5200.0,31.0,37.0,8249.0
99,P,0.0,106.0,nissan,gas,std,4.0,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324.0,ohc,4.0,120.0,2bbl,3.33,3.47,8.5,5200.0,27.0,34.0,8949.0
100,P,0.0,106.0,nissan,gas,std,4.0,sedan,fwd,front,97.2,173.4,65.2,54.7,2302.0,ohc,4.0,120.0,2bbl,3.33,3.47,8.5,5200.0,27.0,34.0,9549.0
101,N,0.0,128.0,nissan,gas,std,4.0,sedan,fwd,front,100.4,181.7,66.5,55.1,3095.0,ohcv,6.0,181.0,mpfi,3.43,3.27,9.0,5200.0,17.0,22.0,13499.0
102,N,0.0,108.0,nissan,gas,std,4.0,wagon,fwd,front,100.4,184.6,66.5,56.1,3296.0,ohcv,6.0,181.0,mpfi,3.43,3.27,9.0,5200.0,17.0,22.0,14399.0
103,N,0.0,108.0,nissan,gas,std,4.0,sedan,fwd,front,100.4,184.6,66.5,55.1,3060.0,ohcv,6.0,181.0,mpfi,3.43,3.27,9.0,5200.0,19.0,25.0,13499.0
104,N,3.0,194.0,nissan,gas,std,2.0,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071.0,ohcv,6.0,181.0,mpfi,3.43,3.27,9.0,5200.0,19.0,25.0,17199.0
105,N,3.0,194.0,nissan,gas,turbo,2.0,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139.0,ohcv,6.0,181.0,mpfi,3.43,3.27,7.8,5200.0,17.0,23.0,19699.0
106,N,1.0,231.0,nissan,gas,std,2.0,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139.0,ohcv,6.0,181.0,mpfi,3.43,3.27,9.0,5200.0,19.0,25.0,18399.0
107,P,0.0,161.0,peugot,gas,std,4.0,sedan,rwd,front,107.9,186.7,68.4,56.7,3020.0,l,4.0,120.0,mpfi,3.46,3.19,8.4,5000.0,19.0,24.0,11900.0
108,P,0.0,161.0,peugot,diesel,turbo,4.0,sedan,rwd,front,107.9,186.7,68.4,56.7,3197.0,l,4.0,152.0,idi,3.7,3.52,21.0,4150.0,28.0,33.0,13200.0
109,P,0.0,,peugot,gas,std,4.0,wagon,rwd,front,114.2,198.9,68.4,58.7,3230.0,l,4.0,120.0,mpfi,3.46,3.19,8.4,5000.0,19.0,24.0,12440.0
110,P,0.0,,peugot,diesel,turbo,4.0,wagon,rwd,front,114.2,198.9,68.4,58.7,3430.0,l,4.0,152.0,idi,3.7,3.52,21.0,4150.0,25.0,25.0,13860.0
111,P,0.0,161.0,peugot,gas,std,4.0,sedan,rwd,front,107.9,186.7,68.4,56.7,3075.0,l,4.0,120.0,mpfi,3.46,2.19,8.4,5000.0,19.0,24.0,15580.0
112,P,0.0,161.0,peugot,diesel,turbo,4.0,sedan,rwd,front,107.9,186.7,68.4,56.7,3252.0,l,4.0,152.0,idi,3.7,3.52,21.0,4150.0,28.0,33.0,16900.0
113,P,0.0,,peugot,gas,std,4.0,wagon,rwd,front,114.2,198.9,68.4,56.7,3285.0,l,4.0,120.0,mpfi,3.46,2.19,8.4,5000.0,19.0,24.0,16695.0
114,P,0.0,,peugot,diesel,turbo,4.0,wagon,rwd,front,114.2,198.9,68.4,58.7,3485.0,l,4.0,152.0,idi,3.7,3.52,21.0,4150.0,25.0,25.0,17075.0
115,P,0.0,161.0,peugot,gas,std,4.0,sedan,rwd,front,107.9,186.7,68.4,56.7,3075.0,l,4.0,120.0,mpfi,3.46,3.19,8.4,5000.0,19.0,24.0,16630.0
116,P,0.0,161.0,peugot,diesel,turbo,4.0,sedan,rwd,front,107.9,186.7,68.4,56.7,3252.0,l,4.0,152.0,idi,3.7,3.52,21.0,4150.0,28.0,33.0,17950.0
117,N,0.0,161.0,peugot,gas,turbo,4.0,sedan,rwd,front,108.0,186.7,68.3,56.0,3130.0,l,4.0,134.0,mpfi,3.61,3.21,7.0,5600.0,18.0,24.0,18150.0
118,P,1.0,119.0,plymouth,gas,std,2.0,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918.0,ohc,4.0,90.0,2bbl,2.97,3.23,9.4,5500.0,37.0,41.0,5572.0
119,P,1.0,119.0,plymouth,gas,turbo,2.0,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128.0,ohc,4.0,98.0,spdi,3.03,3.39,7.6,5500.0,24.0,30.0,7957.0
120,P,1.0,154.0,plymouth,gas,std,4.0,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967.0,ohc,4.0,90.0,2bbl,2.97,3.23,9.4,5500.0,31.0,38.0,6229.0
121,P,1.0,154.0,plymouth,gas,std,4.0,sedan,fwd,front,93.7,167.3,63.8,50.8,1989.0,ohc,4.0,90.0,2bbl,2.97,3.23,9.4,5500.0,31.0,38.0,6692.0
122,P,1.0,154.0,plymouth,gas,std,4.0,sedan,fwd,front,93.7,167.3,63.8,50.8,2191.0,ohc,4.0,98.0,2bbl,2.97,3.23,9.4,5500.0,31.0,38.0,7609.0
123,P,-1.0,74.0,plymouth,gas,std,4.0,wagon,fwd,front,103.3,174.6,64.6,59.8,2535.0,ohc,4.0,122.0,2bbl,3.35,3.46,8.5,5000.0,24.0,30.0,8921.0
124,N,3.0,,plymouth,gas,turbo,2.0,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818.0,ohc,4.0,156.0,spdi,3.59,3.86,7.0,5000.0,19.0,24.0,12764.0
125,N,3.0,186.0,porsche,gas,std,2.0,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778.0,ohc,4.0,151.0,mpfi,3.94,3.11,9.5,5500.0,19.0,27.0,22018.0
126,N,3.0,,porsche,gas,std,2.0,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756.0,ohcf,6.0,194.0,mpfi,3.74,2.9,9.5,5900.0,17.0,25.0,32528.0
127,N,3.0,,porsche,gas,std,2.0,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756.0,ohcf,6.0,194.0,mpfi,3.74,2.9,9.5,5900.0,17.0,25.0,34028.0
128,N,3.0,,porsche,gas,std,2.0,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800.0,ohcf,6.0,194.0,mpfi,3.74,2.9,9.5,5900.0,17.0,25.0,37028.0
129,N,1.0,,porsche,gas,std,2.0,hatchback,rwd,front,98.4,175.7,72.3,50.5,3366.0,dohcv,8.0,203.0,mpfi,3.94,3.11,10.0,5750.0,17.0,28.0,
130,N,0.0,,renault,gas,std,4.0,wagon,fwd,front,96.1,181.5,66.5,55.2,2579.0,ohc,4.0,132.0,mpfi,3.46,3.9,8.7,,23.0,31.0,9295.0
131,N,2.0,,renault,gas,std,2.0,hatchback,fwd,front,96.1,176.8,66.6,50.5,2460.0,ohc,4.0,132.0,mpfi,3.46,3.9,8.7,,23.0,31.0,9895.0
