,binaryClass_cat,vendor_cat,MYCT_num,MMIN_num,MMAX_num,CACH_num,CHMIN_num,CHMAX_num
37,P,cdc,50.0,1000.0,4000.0,8.0,1.0,5.0
38,P,cdc,50.0,2000.0,8000.0,8.0,1.0,5.0
39,P,cambex,50.0,1000.0,4000.0,8.0,3.0,5.0
40,P,cambex,50.0,1000.0,8000.0,8.0,3.0,5.0
41,P,cambex,50.0,2000.0,16000.0,8.0,3.0,5.0
42,P,cambex,50.0,2000.0,16000.0,8.0,3.0,6.0
43,P,cambex,50.0,2000.0,16000.0,8.0,3.0,6.0
44,P,dec,133.0,1000.0,12000.0,9.0,3.0,12.0
45,P,dec,133.0,1000.0,8000.0,9.0,3.0,12.0
46,P,dec,810.0,512.0,512.0,8.0,1.0,1.0
47,P,dec,810.0,1000.0,5000.0,0.0,1.0,1.0
48,P,dec,320.0,512.0,8000.0,4.0,1.0,5.0
49,P,dec,200.0,512.0,8000.0,8.0,1.0,8.0
50,P,dg,700.0,384.0,8000.0,0.0,1.0,1.0
51,P,dg,700.0,256.0,2000.0,0.0,1.0,1.0
52,P,dg,140.0,1000.0,16000.0,16.0,1.0,3.0
53,P,dg,200.0,1000.0,8000.0,0.0,1.0,2.0
54,P,dg,110.0,1000.0,4000.0,16.0,1.0,2.0
55,P,dg,110.0,1000.0,12000.0,16.0,1.0,2.0
56,P,dg,220.0,1000.0,8000.0,16.0,1.0,2.0
57,P,formation,800.0,256.0,8000.0,0.0,1.0,4.0
58,P,formation,800.0,256.0,8000.0,0.0,1.0,4.0
59,P,formation,800.0,256.0,8000.0,0.0,1.0,4.0
60,P,formation,800.0,256.0,8000.0,0.0,1.0,4.0
61,P,formation,800.0,256.0,8000.0,0.0,1.0,4.0
62,P,four-phase,125.0,512.0,1000.0,0.0,8.0,20.0
63,P,gould,75.0,2000.0,8000.0,64.0,1.0,38.0
64,N,gould,75.0,2000.0,16000.0,64.0,1.0,38.0
65,N,gould,75.0,2000.0,16000.0,128.0,1.0,38.0
66,P,hp,90.0,256.0,1000.0,0.0,3.0,10.0
67,P,hp,105.0,256.0,2000.0,0.0,3.0,10.0
68,P,hp,105.0,1000.0,4000.0,0.0,3.0,24.0
69,P,hp,105.0,2000.0,4000.0,8.0,3.0,19.0
70,P,hp,75.0,2000.0,8000.0,8.0,3.0,24.0
71,P,hp,75.0,3000.0,8000.0,8.0,3.0,48.0
72,P,hp,175.0,256.0,2000.0,0.0,3.0,24.0
73,P,harris,300.0,768.0,3000.0,0.0,6.0,24.0
74,P,harris,300.0,768.0,3000.0,6.0,6.0,24.0
75,P,harris,300.0,768.0,12000.0,6.0,6.0,24.0
76,P,harris,300.0,768.0,4500.0,0.0,1.0,24.0
77,P,harris,300.0,384.0,12000.0,6.0,1.0,24.0
78,P,harris,300.0,192.0,768.0,6.0,6.0,24.0
79,P,harris,180.0,768.0,12000.0,6.0,1.0,31.0
80,P,honeywell,330.0,1000.0,3000.0,0.0,2.0,4.0
81,P,honeywell,300.0,1000.0,4000.0,8.0,3.0,64.0
82,P,honeywell,300.0,1000.0,16000.0,8.0,2.0,112.0
83,P,honeywell,330.0,1000.0,2000.0,0.0,1.0,2.0
84,P,honeywell,330.0,1000.0,4000.0,0.0,3.0,6.0
85,P,honeywell,140.0,2000.0,4000.0,0.0,3.0,6.0
86,P,honeywell,140.0,2000.0,4000.0,0.0,4.0,8.0
87,P,honeywell,140.0,2000.0,4000.0,8.0,1.0,20.0
88,N,honeywell,140.0,2000.0,32000.0,32.0,1.0,20.0
89,P,honeywell,140.0,2000.0,8000.0,32.0,1.0,54.0
90,N,honeywell,140.0,2000.0,32000.0,32.0,1.0,54.0
91,N,honeywell,140.0,2000.0,32000.0,32.0,1.0,54.0
92,P,honeywell,140.0,2000.0,4000.0,8.0,1.0,20.0
93,P,ibm,57.0,4000.0,16000.0,1.0,6.0,12.0
94,N,ibm,57.0,4000.0,24000.0,64.0,12.0,16.0
95,N,ibm,26.0,16000.0,32000.0,64.0,16.0,24.0
96,N,ibm,26.0,16000.0,32000.0,64.0,8.0,24.0
97,N,ibm,26.0,8000.0,32000.0,0.0,8.0,24.0
98,N,ibm,26.0,8000.0,16000.0,0.0,8.0,16.0
99,P,ibm,480.0,96.0,512.0,0.0,1.0,1.0
100,P,ibm,203.0,1000.0,2000.0,0.0,1.0,5.0
101,P,ibm,115.0,512.0,6000.0,16.0,1.0,6.0
102,P,ibm,1100.0,512.0,1500.0,0.0,1.0,1.0
103,P,ibm,1100.0,768.0,2000.0,0.0,1.0,1.0
104,P,ibm,600.0,768.0,2000.0,0.0,1.0,1.0
105,P,ibm,400.0,2000.0,4000.0,0.0,1.0,1.0
106,P,ibm,400.0,4000.0,8000.0,0.0,1.0,1.0
107,P,ibm,900.0,1000.0,1000.0,0.0,1.0,2.0
108,P,ibm,900.0,512.0,1000.0,0.0,1.0,2.0
109,P,ibm,900.0,1000.0,4000.0,4.0,1.0,2.0
110,P,ibm,900.0,1000.0,4000.0,8.0,1.0,2.0
111,P,ibm,900.0,2000.0,4000.0,0.0,3.0,6.0
112,P,ibm,225.0,2000.0,4000.0,8.0,3.0,6.0
113,P,ibm,225.0,2000.0,4000.0,8.0,3.0,6.0
114,P,ibm,180.0,2000.0,8000.0,8.0,1.0,6.0
115,P,ibm,185.0,2000.0,16000.0,16.0,1.0,6.0
116,P,ibm,180.0,2000.0,16000.0,16.0,1.0,6.0
117,P,ibm,225.0,1000.0,4000.0,2.0,3.0,6.0
118,P,ibm,25.0,2000.0,12000.0,8.0,1.0,4.0
119,P,ibm,25.0,2000.0,12000.0,16.0,3.0,5.0
120,N,ibm,17.0,4000.0,16000.0,8.0,6.0,12.0
121,N,ibm,17.0,4000.0,16000.0,32.0,6.0,12.0
122,P,ibm,1500.0,768.0,1000.0,0.0,0.0,0.0
123,P,ibm,1500.0,768.0,2000.0,0.0,0.0,0.0
124,P,ibm,800.0,768.0,2000.0,0.0,0.0,0.0
125,P,ipl,50.0,2000.0,4000.0,0.0,3.0,6.0
126,P,ipl,50.0,2000.0,8000.0,8.0,3.0,6.0
127,P,ipl,50.0,2000.0,8000.0,8.0,1.0,6.0
128,P,ipl,50.0,2000.0,16000.0,24.0,1.0,6.0
129,P,ipl,50.0,2000.0,16000.0,24.0,1.0,6.0
130,N,ipl,50.0,8000.0,16000.0,48.0,1.0,10.0
131,P,magnuson,100.0,1000.0,8000.0,0.0,2.0,6.0
132,P,magnuson,100.0,1000.0,8000.0,24.0,2.0,6.0
133,P,magnuson,100.0,1000.0,8000.0,24.0,3.0,6.0
134,P,magnuson,50.0,2000.0,16000.0,12.0,3.0,16.0
135,P,magnuson,50.0,2000.0,16000.0,24.0,6.0,16.0
136,P,magnuson,50.0,2000.0,16000.0,24.0,6.0,16.0
137,P,microdata,150.0,512.0,4000.0,0.0,8.0,128.0
138,P,nas,115.0,2000.0,8000.0,16.0,1.0,3.0
139,P,nas,115.0,2000.0,4000.0,2.0,1.0,5.0
140,P,nas,92.0,2000.0,8000.0,32.0,1.0,6.0
141,P,nas,92.0,2000.0,8000.0,32.0,1.0,6.0
142,P,nas,92.0,2000.0,8000.0,4.0,1.0,6.0
143,P,nas,75.0,4000.0,16000.0,16.0,1.0,6.0
144,P,nas,60.0,4000.0,16000.0,32.0,1.0,6.0
145,N,nas,60.0,2000.0,16000.0,64.0,5.0,8.0
146,N,nas,60.0,4000.0,16000.0,64.0,5.0,8.0
147,N,nas,50.0,4000.0,16000.0,64.0,5.0,10.0
148,N,nas,72.0,4000.0,16000.0,64.0,8.0,16.0
149,P,nas,72.0,2000.0,8000.0,16.0,6.0,8.0
150,N,nas,40.0,8000.0,16000.0,32.0,8.0,16.0
151,N,nas,40.0,8000.0,32000.0,64.0,8.0,24.0
152,N,nas,35.0,8000.0,32000.0,64.0,8.0,24.0
153,N,nas,38.0,16000.0,32000.0,128.0,16.0,32.0
154,N,nas,48.0,4000.0,24000.0,32.0,8.0,24.0
155,N,nas,38.0,8000.0,32000.0,64.0,8.0,24.0
156,N,nas,30.0,16000.0,32000.0,256.0,16.0,24.0
157,P,ncr,112.0,1000.0,1000.0,0.0,1.0,4.0
158,P,ncr,84.0,1000.0,2000.0,0.0,1.0,6.0
159,P,ncr,56.0,1000.0,4000.0,0.0,1.0,6.0
160,P,ncr,56.0,2000.0,6000.0,0.0,1.0,8.0
161,P,ncr,56.0,2000.0,8000.0,0.0,1.0,8.0
162,P,ncr,56.0,4000.0,8000.0,0.0,1.0,8.0
163,P,ncr,56.0,4000.0,12000.0,0.0,1.0,8.0
164,P,ncr,56.0,4000.0,16000.0,0.0,1.0,8.0
165,P,ncr,38.0,4000.0,8000.0,32.0,16.0,32.0
166,P,ncr,38.0,4000.0,8000.0,32.0,16.0,32.0
167,N,ncr,38.0,8000.0,16000.0,64.0,4.0,8.0
168,N,ncr,38.0,8000.0,24000.0,160.0,4.0,8.0
169,N,ncr,38.0,4000.0,16000.0,128.0,16.0,32.0
170,P,nixdorf,200.0,1000.0,2000.0,0.0,1.0,2.0
171,P,nixdorf,200.0,1000.0,4000.0,0.0,1.0,4.0
172,P,nixdorf,200.0,2000.0,8000.0,64.0,1.0,5.0
173,P,perkin-elmer,250.0,512.0,4000.0,0.0,1.0,7.0
174,P,perkin-elmer,250.0,512.0,4000.0,0.0,4.0,7.0
175,P,perkin-elmer,250.0,1000.0,16000.0,1.0,1.0,8.0
176,P,prime,160.0,512.0,4000.0,2.0,1.0,5.0
177,P,prime,160.0,512.0,2000.0,2.0,3.0,8.0
178,P,prime,160.0,1000.0,4000.0,8.0,1.0,14.0
179,P,prime,160.0,1000.0,8000.0,16.0,1.0,14.0
180,P,prime,160.0,2000.0,8000.0,32.0,1.0,13.0
181,P,siemens,240.0,512.0,1000.0,8.0,1.0,3.0
182,P,siemens,240.0,512.0,2000.0,8.0,1.0,5.0
183,P,siemens,105.0,2000.0,4000.0,8.0,3.0,8.0
184,P,siemens,105.0,2000.0,6000.0,16.0,6.0,16.0
185,P,siemens,105.0,2000.0,8000.0,16.0,4.0,14.0
186,P,siemens,52.0,4000.0,16000.0,32.0,4.0,12.0
187,P,siemens,70.0,4000.0,12000.0,8.0,6.0,8.0
188,P,siemens,59.0,4000.0,12000.0,32.0,6.0,12.0
189,N,siemens,59.0,8000.0,16000.0,64.0,12.0,24.0
190,N,siemens,26.0,8000.0,24000.0,32.0,8.0,16.0
191,N,siemens,26.0,8000.0,32000.0,64.0,12.0,16.0
192,N,siemens,26.0,8000.0,32000.0,128.0,24.0,32.0
193,P,sperry,116.0,2000.0,8000.0,32.0,5.0,28.0
194,N,sperry,50.0,2000.0,32000.0,24.0,6.0,26.0
195,N,sperry,50.0,2000.0,32000.0,48.0,26.0,52.0
196,N,sperry,50.0,2000.0,32000.0,112.0,52.0,104.0
197,N,sperry,50.0,4000.0,32000.0,112.0,52.0,104.0
198,N,sperry,30.0,8000.0,64000.0,96.0,12.0,176.0
199,N,sperry,30.0,8000.0,64000.0,128.0,12.0,176.0
200,P,sperry,180.0,262.0,4000.0,0.0,1.0,3.0
201,P,sperry,180.0,512.0,4000.0,0.0,1.0,3.0
202,P,sperry,180.0,262.0,4000.0,0.0,1.0,3.0
203,P,sperry,180.0,512.0,4000.0,0.0,1.0,3.0
204,P,sperry,124.0,1000.0,8000.0,0.0,1.0,8.0
205,P,sperry,98.0,1000.0,8000.0,32.0,2.0,8.0
206,P,sratus,125.0,2000.0,8000.0,0.0,2.0,14.0
207,P,wang,480.0,512.0,8000.0,32.0,0.0,0.0
208,P,wang,480.0,1000.0,4000.0,0.0,0.0,0.0
