,binaryClass_cat,FICE_num,State_cat,Type_cat,Average_salary-full_professors_num,Average_salary-associate_professors_num,Average_salary-assistant_professors_num,Average_salary-all_ranks_num,Average_compensation-full_professors_num,Average_compensation-associate_professors_num,Average_compensation-assistant_professors_num,Average_compensation-all_ranks_num,Number_of_full_professors_num,Number_of_associate_professors_num,Number_of_assistant_professors_num,Number_of_instructors_num
25,P,1085.0,AR,IIB,453.0,363.0,330.0,349.0,561.0,448.0,402.0,428.0,23.0,24.0,48.0,22.0
26,P,1086.0,AR,IIB,406.0,366.0,332.0,335.0,505.0,457.0,415.0,419.0,40.0,33.0,71.0,46.0
27,P,1088.0,AR,IIB,499.0,,330.0,399.0,618.0,,402.0,488.0,14.0,5.0,21.0,2.0
28,P,1089.0,AR,IIB,439.0,381.0,337.0,374.0,550.0,479.0,427.0,471.0,44.0,71.0,52.0,13.0
29,N,1090.0,AR,IIA,520.0,433.0,342.0,398.0,646.0,541.0,431.0,498.0,103.0,87.0,141.0,63.0
30,N,1092.0,AR,IIA,521.0,416.0,339.0,395.0,632.0,507.0,416.0,482.0,93.0,89.0,82.0,76.0
31,P,1094.0,AR,IIB,309.0,280.0,274.0,285.0,428.0,383.0,376.0,391.0,14.0,9.0,15.0,2.0
32,P,1098.0,AR,IIB,447.0,375.0,341.0,375.0,561.0,480.0,435.0,477.0,55.0,42.0,33.0,25.0
33,P,1099.0,AR,IIB,485.0,399.0,362.0,421.0,664.0,534.0,453.0,562.0,24.0,26.0,14.0,1.0
34,P,1100.0,AR,IIB,372.0,338.0,304.0,341.0,478.0,414.0,375.0,426.0,23.0,22.0,10.0,3.0
35,N,1101.0,AR,IIA,536.0,416.0,372.0,415.0,651.0,506.0,450.0,504.0,128.0,117.0,72.0,63.0
36,P,1102.0,AR,IIB,422.0,355.0,289.0,342.0,529.0,445.0,375.0,435.0,36.0,14.0,28.0,19.0
37,P,1106.0,AR,IIB,,,264.0,266.0,,,327.0,331.0,4.0,4.0,12.0,4.0
38,P,1107.0,AR,IIA,461.0,389.0,321.0,362.0,575.0,484.0,402.0,453.0,27.0,31.0,34.0,23.0
39,N,1108.0,AR,I,563.0,436.0,379.0,452.0,686.0,531.0,461.0,550.0,314.0,198.0,225.0,54.0
40,P,10311.0,AR,IIB,424.0,374.0,335.0,380.0,512.0,461.0,401.0,460.0,80.0,46.0,41.0,8.0
41,P,1074.0,AZ,IIB,358.0,328.0,274.0,299.0,439.0,395.0,332.0,363.0,20.0,18.0,24.0,12.0
42,N,1081.0,AZ,I,603.0,449.0,399.0,489.0,723.0,549.0,489.0,593.0,576.0,445.0,251.0,7.0
43,N,1082.0,AZ,I,511.0,422.0,359.0,412.0,619.0,518.0,446.0,507.0,173.0,192.0,175.0,33.0
44,N,1083.0,AZ,I,648.0,462.0,411.0,537.0,771.0,561.0,498.0,645.0,647.0,377.0,272.0,2.0
45,P,1117.0,CA,IIA,430.0,375.0,318.0,368.0,573.0,494.0,428.0,488.0,43.0,62.0,32.0,12.0
46,P,1122.0,CA,IIA,455.0,369.0,303.0,370.0,582.0,462.0,371.0,464.0,32.0,57.0,31.0,6.0
47,P,1131.0,CA,I,970.0,733.0,576.0,866.0,1204.0,909.0,717.0,1075.0,173.0,40.0,44.0,0.0
48,P,1133.0,CA,IIB,477.0,392.0,335.0,398.0,600.0,501.0,433.0,507.0,32.0,21.0,33.0,6.0
49,N,1137.0,CA,IIA,605.0,493.0,387.0,544.0,760.0,637.0,506.0,690.0,393.0,120.0,105.0,5.0
50,N,1138.0,CA,IIA,606.0,491.0,384.0,552.0,762.0,629.0,503.0,699.0,258.0,69.0,49.0,7.0
51,N,1139.0,CA,IIA,600.0,474.0,401.0,542.0,751.0,610.0,521.0,685.0,491.0,171.0,112.0,6.0
52,N,1141.0,CA,IIA,605.0,472.0,392.0,548.0,759.0,606.0,593.0,705.0,178.0,52.0,37.0,1.0
53,N,1143.0,CA,IIA,607.0,496.0,394.0,571.0,763.0,635.0,514.0,721.0,507.0,102.0,60.0,1.0
54,N,1144.0,CA,IIA,610.0,492.0,408.0,559.0,766.0,630.0,531.0,707.0,411.0,116.0,79.0,4.0
55,N,1146.0,CA,IIA,604.0,482.0,395.0,558.0,758.0,631.0,518.0,707.0,413.0,86.0,73.0,2.0
56,N,1147.0,CA,IIA,603.0,476.0,382.0,553.0,757.0,612.0,500.0,699.0,459.0,109.0,67.0,14.0
57,N,1149.0,CA,IIA,593.0,468.0,387.0,543.0,746.0,603.0,507.0,688.0,213.0,38.0,50.0,0.0
58,N,1151.0,CA,IIA,602.0,479.0,403.0,547.0,756.0,615.0,524.0,693.0,576.0,223.0,100.0,10.0
59,N,1155.0,CA,IIA,598.0,486.0,404.0,528.0,750.0,623.0,526.0,669.0,431.0,222.0,158.0,8.0
60,P,1156.0,CA,IIA,602.0,459.0,380.0,553.0,755.0,592.0,497.0,699.0,170.0,34.0,29.0,0.0
61,P,1164.0,CA,IIA,578.0,470.0,420.0,491.0,763.0,627.0,573.0,656.0,38.0,37.0,36.0,0.0
62,P,1170.0,CA,IIB,716.0,516.0,411.0,601.0,892.0,661.0,510.0,751.0,36.0,16.0,12.0,2.0
63,P,1171.0,CA,IIB,771.0,579.0,454.0,638.0,961.0,739.0,588.0,805.0,34.0,14.0,20.0,0.0
64,P,1172.0,CA,IIB,652.0,439.0,381.0,547.0,824.0,572.0,482.0,695.0,31.0,10.0,13.0,0.0
65,P,1173.0,CA,IIB,730.0,525.0,417.0,566.0,909.0,658.0,530.0,708.0,60.0,52.0,40.0,7.0
66,P,1174.0,CA,IIB,611.0,458.0,372.0,511.0,776.0,588.0,495.0,658.0,28.0,10.0,15.0,1.0
67,P,1179.0,CA,IIB,524.0,421.0,374.0,448.0,630.0,503.0,443.0,535.0,25.0,16.0,15.0,3.0
68,P,1183.0,CA,IIB,484.0,394.0,275.0,368.0,542.0,443.0,311.0,413.0,10.0,22.0,18.0,1.0
69,P,1216.0,CA,IIA,482.0,392.0,326.0,401.0,602.0,478.0,396.0,494.0,41.0,28.0,41.0,0.0
70,P,1238.0,CA,IIA,593.0,461.0,407.0,492.0,737.0,571.0,507.0,612.0,28.0,16.0,23.0,2.0
71,P,1249.0,CA,IIB,624.0,469.0,388.0,490.0,806.0,593.0,482.0,621.0,49.0,42.0,33.0,15.0
72,P,1253.0,CA,IIB,,,,361.0,,,,447.0,0.0,0.0,0.0,0.0
73,P,1258.0,CA,IIB,362.0,333.0,315.0,336.0,441.0,398.0,376.0,403.0,40.0,17.0,41.0,4.0
74,P,1262.0,CA,IIB,507.0,393.0,358.0,429.0,637.0,523.0,468.0,549.0,43.0,21.0,23.0,7.0
75,P,1264.0,CA,IIA,715.0,561.0,511.0,637.0,930.0,737.0,645.0,829.0,130.0,72.0,22.0,7.0
76,P,1302.0,CA,IIA,614.0,494.0,404.0,500.0,754.0,616.0,497.0,618.0,38.0,55.0,42.0,0.0
77,N,1305.0,CA,I,952.0,658.0,519.0,824.0,1144.0,814.0,653.0,1000.0,533.0,139.0,145.0,0.0
78,N,1312.0,CA,I,764.0,513.0,433.0,650.0,939.0,631.0,533.0,799.0,834.0,229.0,209.0,0.0
79,N,1313.0,CA,I,683.0,478.0,404.0,561.0,840.0,588.0,496.0,689.0,535.0,190.0,234.0,0.0
80,N,1314.0,CA,I,708.0,488.0,423.0,574.0,870.0,599.0,520.0,705.0,319.0,161.0,138.0,0.0
81,N,1315.0,CA,I,741.0,497.0,421.0,609.0,910.0,611.0,517.0,748.0,817.0,267.0,298.0,0.0
82,N,1316.0,CA,I,670.0,461.0,390.0,514.0,824.0,567.0,479.0,632.0,183.0,80.0,140.0,0.0
83,N,1317.0,CA,I,723.0,487.0,401.0,595.0,888.0,598.0,493.0,732.0,405.0,147.0,130.0,0.0
84,N,1319.0,CA,I,624.0,449.0,380.0,520.0,767.0,552.0,467.0,639.0,154.0,83.0,74.0,0.0
85,N,1320.0,CA,I,712.0,473.0,401.0,578.0,875.0,581.0,493.0,711.0,371.0,125.0,145.0,0.0
86,N,1321.0,CA,I,677.0,464.0,391.0,537.0,832.0,570.0,481.0,660.0,186.0,93.0,92.0,0.0
87,P,1322.0,CA,IIA,566.0,468.0,406.0,488.0,716.0,592.0,495.0,610.0,49.0,19.0,39.0,0.0
88,N,1325.0,CA,IIA,617.0,486.0,405.0,514.0,811.0,644.0,538.0,680.0,129.0,59.0,80.0,19.0
89,N,1326.0,CA,IIA,763.0,555.0,487.0,578.0,938.0,704.0,624.0,729.0,85.0,117.0,90.0,0.0
90,N,1328.0,CA,I,802.0,574.0,484.0,641.0,1016.0,751.0,636.0,825.0,485.0,354.0,286.0,27.0
91,N,1329.0,CA,IIA,542.0,420.0,372.0,459.0,666.0,528.0,468.0,570.0,172.0,92.0,100.0,10.0
92,P,1341.0,CA,IIB,489.0,408.0,339.0,415.0,616.0,524.0,429.0,526.0,30.0,19.0,22.0,3.0
93,P,1342.0,CA,IIA,666.0,499.0,347.0,531.0,808.0,601.0,416.0,642.0,48.0,27.0,24.0,9.0
94,P,1343.0,CA,IIA,,373.0,365.0,381.0,,472.0,454.0,478.0,5.0,11.0,6.0,0.0
95,N,3948.0,CA,IIA,599.0,483.0,397.0,541.0,751.0,619.0,518.0,684.0,451.0,133.0,117.0,8.0
96,P,7993.0,CA,IIA,597.0,482.0,377.0,499.0,752.0,619.0,495.0,637.0,95.0,48.0,50.0,13.0
97,N,10395.0,CA,IIA,719.0,533.0,452.0,575.0,904.0,678.0,569.0,725.0,105.0,72.0,76.0,12.0
98,N,11649.0,CA,IIA,722.0,558.0,414.0,589.0,911.0,724.0,543.0,754.0,130.0,90.0,83.0,3.0
99,P,1345.0,CO,IIA,436.0,356.0,321.0,360.0,527.0,444.0,400.0,444.0,29.0,21.0,40.0,8.0
100,P,1347.0,CO,IIB,613.0,488.0,398.0,525.0,776.0,621.0,509.0,665.0,63.0,38.0,26.0,1.0
101,N,1349.0,CO,I,480.0,390.0,333.0,385.0,565.0,463.0,399.0,458.0,151.0,111.0,129.0,35.0
102,N,1350.0,CO,I,598.0,447.0,403.0,517.0,714.0,534.0,481.0,617.0,483.0,255.0,188.0,0.0
103,P,1353.0,CO,IIB,439.0,385.0,342.0,392.0,516.0,452.0,402.0,460.0,73.0,35.0,52.0,5.0
104,P,1358.0,CO,IIB,429.0,353.0,297.0,340.0,508.0,427.0,363.0,410.0,49.0,31.0,37.0,7.0
105,N,1360.0,CO,IIB,480.0,406.0,351.0,418.0,568.0,485.0,424.0,498.0,159.0,90.0,111.0,8.0
106,P,1363.0,CO,IIB,489.0,434.0,349.0,424.0,626.0,531.0,428.0,527.0,16.0,26.0,12.0,2.0
107,P,1365.0,CO,IIA,474.0,422.0,360.0,397.0,559.0,498.0,425.0,468.0,47.0,45.0,63.0,15.0
108,N,1370.0,CO,I,652.0,494.0,421.0,528.0,797.0,615.0,519.0,649.0,457.0,301.0,227.0,93.0
109,N,1371.0,CO,I,623.0,479.0,430.0,509.0,756.0,588.0,525.0,620.0,142.0,106.0,101.0,6.0
110,P,1372.0,CO,IIB,452.0,381.0,324.0,402.0,546.0,460.0,406.0,490.0,52.0,25.0,26.0,0.0
111,P,4509.0,CO,IIA,522.0,422.0,385.0,451.0,642.0,524.0,480.0,558.0,62.0,56.0,40.0,3.0
112,N,6740.0,CO,IIA,596.0,453.0,408.0,467.0,726.0,561.0,508.0,576.0,106.0,108.0,119.0,35.0
113,P,9401.0,CO,IIB,,284.0,251.0,255.0,,356.0,318.0,323.0,3.0,8.0,13.0,8.0
114,P,1374.0,CT,IIB,391.0,343.0,,340.0,444.0,400.0,,393.0,9.0,7.0,5.0,3.0
115,N,1378.0,CT,IIA,666.0,534.0,397.0,518.0,856.0,700.0,536.0,680.0,118.0,119.0,137.0,16.0
116,P,1379.0,CT,IIB,619.0,461.0,366.0,499.0,810.0,613.0,477.0,654.0,63.0,35.0,30.0,11.0
117,P,1380.0,CT,IIA,658.0,516.0,477.0,575.0,883.0,711.0,652.0,778.0,90.0,36.0,50.0,2.0
118,P,1385.0,CT,IIA,685.0,545.0,452.0,545.0,894.0,733.0,603.0,721.0,62.0,43.0,81.0,6.0
119,P,1397.0,CT,IIA,524.0,450.0,401.0,471.0,656.0,576.0,513.0,596.0,72.0,44.0,30.0,1.0
120,P,1402.0,CT,IIA,697.0,540.0,412.0,553.0,877.0,686.0,531.0,701.0,82.0,51.0,64.0,10.0
121,P,1403.0,CT,IIB,546.0,444.0,374.0,435.0,686.0,566.0,478.0,553.0,19.0,55.0,30.0,7.0
122,N,1406.0,CT,IIA,644.0,514.0,385.0,522.0,819.0,673.0,516.0,678.0,160.0,125.0,120.0,12.0
123,P,1409.0,CT,IIA,548.0,451.0,360.0,430.0,654.0,544.0,432.0,517.0,8.0,34.0,22.0,1.0
124,P,1414.0,CT,IIB,706.0,501.0,394.0,550.0,901.0,650.0,494.0,704.0,57.0,49.0,32.0,0.0
125,P,1416.0,CT,IIA,505.0,437.0,360.0,434.0,644.0,551.0,463.0,553.0,32.0,29.0,26.0,1.0
126,N,1422.0,CT,IIA,529.0,445.0,380.0,439.0,660.0,566.0,492.0,558.0,76.0,131.0,111.0,3.0
127,P,1424.0,CT,IIA,734.0,504.0,423.0,597.0,936.0,641.0,539.0,761.0,128.0,57.0,66.0,0.0
128,P,1425.0,CT,IIA,650.0,515.0,400.0,535.0,856.0,689.0,547.0,714.0,47.0,47.0,33.0,0.0
129,N,1426.0,CT,I,928.0,522.0,444.0,708.0,1127.0,643.0,548.0,863.0,404.0,118.0,191.0,6.0
130,N,1434.0,DC,I,746.0,520.0,417.0,555.0,897.0,641.0,505.0,673.0,165.0,119.0,125.0,37.0
131,N,1437.0,DC,I,611.0,449.0,385.0,482.0,718.0,533.0,459.0,570.0,123.0,141.0,104.0,6.0
132,N,1443.0,DC,IIA,623.0,480.0,399.0,482.0,814.0,638.0,534.0,637.0,86.0,67.0,70.0,35.0
133,N,1444.0,DC,I,729.0,542.0,447.0,610.0,874.0,653.0,536.0,733.0,316.0,175.0,134.0,12.0
134,N,1445.0,DC,I,857.0,552.0,427.0,618.0,1080.0,710.0,546.0,785.0,192.0,157.0,154.0,25.0
135,N,1448.0,DC,I,656.0,483.0,403.0,481.0,780.0,591.0,494.0,587.0,241.0,282.0,189.0,111.0
136,P,1452.0,DC,IIB,,360.0,288.0,330.0,,453.0,364.0,413.0,3.0,10.0,17.0,0.0
137,P,1460.0,DC,IIB,457.0,362.0,293.0,350.0,536.0,435.0,349.0,415.0,12.0,12.0,21.0,2.0
138,N,29100.0,DC,IIA,559.0,476.0,390.0,491.0,686.0,586.0,482.0,604.0,184.0,113.0,95.0,8.0
139,P,1428.0,DE,IIA,545.0,435.0,359.0,379.0,716.0,583.0,491.0,515.0,29.0,47.0,61.0,34.0
140,P,1429.0,DE,IIB,492.0,405.0,,417.0,613.0,511.0,,528.0,8.0,14.0,3.0,1.0
141,N,1431.0,DE,I,723.0,531.0,422.0,556.0,922.0,693.0,554.0,721.0,341.0,319.0,217.0,65.0
142,P,1433.0,DE,IIB,448.0,373.0,334.0,376.0,565.0,449.0,396.0,456.0,14.0,12.0,22.0,1.0
143,P,1466.0,FL,IIA,488.0,420.0,350.0,394.0,598.0,508.0,424.0,477.0,39.0,77.0,84.0,15.0
144,P,1468.0,FL,IIA,438.0,482.0,351.0,403.0,520.0,570.0,421.0,480.0,23.0,22.0,37.0,4.0
145,N,1479.0,FL,IIA,457.0,369.0,310.0,365.0,556.0,452.0,383.0,446.0,70.0,130.0,84.0,7.0
146,N,1480.0,FL,IIA,524.0,426.0,359.0,424.0,661.0,543.0,460.0,540.0,103.0,123.0,111.0,27.0
147,N,1481.0,FL,IIA,580.0,426.0,394.0,461.0,750.0,559.0,517.0,601.0,183.0,147.0,159.0,30.0
148,P,1487.0,FL,IIB,534.0,424.0,357.0,436.0,676.0,547.0,472.0,563.0,32.0,18.0,37.0,0.0
149,P,1488.0,FL,IIB,440.0,369.0,331.0,369.0,552.0,473.0,409.0,463.0,30.0,18.0,44.0,4.0
150,N,1489.0,FL,I,564.0,399.0,378.0,473.0,729.0,525.0,494.0,616.0,510.0,316.0,192.0,16.0
151,P,1515.0,FL,IIA,542.0,420.0,321.0,457.0,678.0,519.0,378.0,564.0,78.0,43.0,26.0,7.0
152,P,1531.0,FL,IIA,622.0,437.0,370.0,477.0,794.0,561.0,467.0,605.0,61.0,52.0,65.0,2.0
153,N,1535.0,FL,I,613.0,430.0,399.0,501.0,790.0,567.0,527.0,653.0,981.0,721.0,510.0,49.0
154,N,1536.0,FL,I,693.0,510.0,408.0,513.0,895.0,654.0,514.0,659.0,291.0,200.0,147.0,20.0
155,N,1537.0,FL,I,571.0,418.0,369.0,455.0,735.0,547.0,483.0,591.0,387.0,319.0,239.0,45.0
156,P,1538.0,FL,IIB,495.0,425.0,371.0,416.0,593.0,513.0,438.0,497.0,36.0,37.0,46.0,4.0
157,N,3954.0,FL,IIA,560.0,420.0,369.0,435.0,698.0,527.0,465.0,545.0,176.0,207.0,162.0,42.0
158,P,3955.0,FL,IIA,489.0,391.0,350.0,390.0,636.0,505.0,458.0,507.0,59.0,65.0,75.0,22.0
159,P,8849.0,FL,IIB,413.0,369.0,333.0,348.0,491.0,451.0,390.0,412.0,11.0,14.0,28.0,13.0
160,N,9635.0,FL,IIA,558.0,423.0,395.0,433.0,719.0,553.0,509.0,562.0,182.0,261.0,220.0,76.0
161,P,9841.0,FL,IIB,498.0,405.0,343.0,408.0,663.0,544.0,462.0,547.0,73.0,81.0,57.0,19.0
162,P,1542.0,GA,IIB,527.0,421.0,356.0,426.0,651.0,528.0,441.0,528.0,19.0,24.0,19.0,4.0
163,P,1544.0,GA,IIB,444.0,395.0,335.0,371.0,578.0,519.0,437.0,484.0,38.0,24.0,68.0,8.0
164,P,1546.0,GA,IIB,462.0,367.0,315.0,347.0,588.0,457.0,391.0,434.0,38.0,32.0,119.0,12.0
165,P,1552.0,GA,IIA,503.0,409.0,336.0,383.0,645.0,520.0,431.0,489.0,40.0,43.0,79.0,21.0
166,P,1554.0,GA,IIB,515.0,403.0,343.0,399.0,650.0,519.0,439.0,509.0,25.0,20.0,38.0,3.0
167,P,1561.0,GA,IIA,456.0,375.0,333.0,396.0,588.0,491.0,437.0,515.0,75.0,50.0,51.0,2.0
168,N,1564.0,GA,I,796.0,547.0,451.0,608.0,972.0,686.0,567.0,753.0,203.0,177.0,161.0,8.0
169,P,1566.0,GA,IIB,471.0,382.0,339.0,379.0,596.0,490.0,439.0,487.0,37.0,39.0,49.0,17.0
170,N,1569.0,GA,I,684.0,517.0,462.0,558.0,862.0,665.0,594.0,711.0,235.0,206.0,167.0,17.0
171,P,1570.0,GA,IIB,457.0,386.0,360.0,398.0,587.0,496.0,460.0,511.0,44.0,58.0,40.0,4.0
172,N,1572.0,GA,IIA,495.0,408.0,328.0,363.0,623.0,509.0,407.0,453.0,105.0,135.0,254.0,109.0
173,N,1574.0,GA,I,666.0,474.0,390.0,502.0,817.0,594.0,493.0,624.0,258.0,254.0,241.0,40.0
174,N,1577.0,GA,IIA,523.0,428.0,353.0,399.0,661.0,542.0,445.0,506.0,69.0,116.0,111.0,54.0
175,P,1580.0,GA,IIA,555.0,423.0,351.0,433.0,686.0,538.0,435.0,540.0,76.0,78.0,81.0,11.0
176,P,1586.0,GA,IIB,516.0,454.0,329.0,450.0,630.0,550.0,390.0,546.0,21.0,9.0,10.0,0.0
177,P,1591.0,GA,IIB,370.0,308.0,294.0,317.0,439.0,368.0,355.0,379.0,16.0,17.0,17.0,5.0
178,N,1598.0,GA,I,619.0,444.0,378.0,489.0,768.0,553.0,464.0,607.0,650.0,552.0,391.0,64.0
179,N,1599.0,GA,IIA,477.0,386.0,344.0,390.0,603.0,496.0,445.0,500.0,88.0,90.0,114.0,19.0
180,N,1601.0,GA,IIA,466.0,391.0,353.0,392.0,595.0,502.0,454.0,502.0,98.0,50.0,97.0,27.0
181,P,1602.0,GA,IIA,447.0,388.0,340.0,373.0,571.0,496.0,440.0,479.0,47.0,41.0,80.0,11.0
182,P,3484.0,GA,IIB,429.0,371.0,312.0,388.0,519.0,492.0,390.0,484.0,19.0,12.0,6.0,1.0
183,N,1610.0,HI,I,713.0,532.0,458.0,570.0,887.0,677.0,587.0,719.0,442.0,285.0,272.0,100.0
184,P,21078.0,HI,IIB,513.0,,396.0,449.0,654.0,,512.0,576.0,8.0,4.0,8.0,0.0
185,P,29020.0,HI,IIB,576.0,461.0,414.0,467.0,731.0,591.0,534.0,598.0,43.0,47.0,37.0,14.0
186,P,1846.0,IA,IIB,367.0,324.0,286.0,313.0,473.0,412.0,359.0,398.0,16.0,13.0,28.0,3.0
187,P,1847.0,IA,IIB,484.0,416.0,339.0,382.0,606.0,522.0,440.0,486.0,20.0,12.0,30.0,10.0
188,P,1850.0,IA,IIB,464.0,413.0,334.0,395.0,572.0,507.0,405.0,483.0,23.0,36.0,22.0,8.0
189,P,1852.0,IA,IIB,436.0,361.0,312.0,338.0,512.0,445.0,379.0,407.0,11.0,10.0,25.0,8.0
190,P,1854.0,IA,IIB,516.0,421.0,340.0,436.0,671.0,541.0,459.0,570.0,30.0,21.0,22.0,0.0
191,P,1856.0,IA,IIB,578.0,426.0,368.0,468.0,693.0,534.0,463.0,574.0,31.0,22.0,17.0,5.0
192,P,1859.0,IA,IIB,411.0,356.0,308.0,355.0,548.0,470.0,406.0,472.0,30.0,14.0,16.0,12.0
193,N,1860.0,IA,IIA,601.0,458.0,409.0,481.0,762.0,578.0,496.0,600.0,101.0,61.0,107.0,16.0
194,P,1866.0,IA,IIB,411.0,331.0,301.0,345.0,490.0,401.0,366.0,418.0,26.0,11.0,29.0,1.0
195,P,1867.0,IA,IIB,385.0,320.0,295.0,329.0,481.0,405.0,377.0,416.0,22.0,31.0,20.0,2.0
196,P,1868.0,IA,IIB,642.0,517.0,405.0,513.0,809.0,641.0,496.0,638.0,46.0,36.0,52.0,3.0
197,N,1869.0,IA,I,684.0,506.0,404.0,534.0,842.0,635.0,514.0,666.0,467.0,353.0,284.0,84.0
198,P,1873.0,IA,IIB,419.0,363.0,314.0,363.0,531.0,438.0,378.0,445.0,37.0,35.0,31.0,6.0
199,P,1874.0,IA,IIB,478.0,399.0,347.0,404.0,630.0,548.0,445.0,531.0,63.0,26.0,50.0,16.0
200,P,1879.0,IA,IIB,389.0,331.0,303.0,341.0,495.0,414.0,365.0,425.0,20.0,29.0,16.0,1.0
201,P,1880.0,IA,IIB,379.0,356.0,334.0,337.0,465.0,427.0,396.0,405.0,7.0,20.0,28.0,8.0
202,P,1881.0,IA,IIA,,,,302.0,,,,373.0,0.0,0.0,0.0,0.0
203,P,1883.0,IA,IIB,430.0,372.0,311.0,344.0,531.0,477.0,394.0,434.0,9.0,16.0,27.0,6.0
204,P,1887.0,IA,IIB,491.0,377.0,339.0,394.0,645.0,473.0,434.0,504.0,25.0,11.0,17.0,14.0
205,P,1889.0,IA,IIB,431.0,374.0,325.0,362.0,541.0,471.0,401.0,450.0,29.0,15.0,44.0,8.0
206,N,1890.0,IA,IIA,586.0,469.0,390.0,447.0,730.0,591.0,491.0,561.0,155.0,152.0,226.0,89.0
207,P,1891.0,IA,IIB,351.0,315.0,309.0,323.0,443.0,392.0,358.0,396.0,19.0,23.0,14.0,2.0
208,N,1892.0,IA,I,706.0,509.0,432.0,579.0,872.0,643.0,549.0,723.0,486.0,308.0,260.0,10.0
209,P,1893.0,IA,IIB,,,287.0,303.0,,,348.0,366.0,4.0,5.0,6.0,12.0
210,P,1896.0,IA,IIB,447.0,370.0,308.0,358.0,564.0,469.0,385.0,451.0,25.0,21.0,29.0,4.0
211,P,1899.0,IA,IIB,,314.0,289.0,292.0,,388.0,355.0,359.0,5.0,13.0,22.0,14.0
212,P,1900.0,IA,IIB,351.0,312.0,269.0,294.0,420.0,386.0,335.0,363.0,8.0,11.0,19.0,7.0
213,N,1616.0,ID,IIA,448.0,391.0,354.0,391.0,566.0,498.0,453.0,498.0,157.0,111.0,100.0,7.0
214,P,1617.0,ID,IIB,424.0,338.0,266.0,336.0,540.0,430.0,338.0,428.0,16.0,20.0,19.0,1.0
