,binaryClass_cat,buoy_cat,day_cat,latitude_num,longitude_num,zon_winds_num,mer_winds_num,humidity_num,air_temp_num
49,P,4,10,-0.02,-139.93,-3.0,-2.7,87.3,24.51
50,P,4,11,-0.02,-139.93,-4.7,-1.0,90.4,24.19
51,P,4,12,-0.02,-139.93,-5.2,0.2,87.3,24.02
52,P,4,13,-0.01,-139.94,-4.7,-1.0,88.4,24.21
53,N,5,1,-2.02,-139.96,1.7,1.2,87.3,27.36
54,N,5,2,-2.0,-139.96,-1.1,-1.9,86.9,27.28
55,N,5,3,-2.01,-139.97,-3.7,-2.7,84.8,27.43
56,N,5,4,-2.01,-139.97,-4.4,-3.0,81.9,27.75
57,N,5,5,-2.02,-139.97,-3.9,-1.4,83.6,27.91
58,N,5,6,-2.02,-139.96,-5.8,-3.4,88.9,27.75
59,P,5,7,-2.03,-139.97,-4.5,-5.2,87.7,27.08
60,P,5,8,-2.02,-139.97,-3.6,-4.5,83.1,26.6
61,P,5,9,-2.02,-139.96,-2.6,-2.3,84.4,26.41
62,P,5,10,-2.02,-139.96,-1.2,-5.1,88.5,25.93
63,P,5,11,-2.01,-139.96,-4.0,-4.3,84.4,25.54
64,P,5,12,-2.01,-139.96,-4.0,-3.1,84.8,25.69
65,P,5,13,-2.02,-139.96,-2.8,-4.5,89.3,25.61
66,P,5,14,-2.02,-139.97,,,,25.26
67,N,6,1,-5.01,-139.92,-0.6,3.5,83.8,28.02
68,N,6,2,-5.01,-139.91,0.2,-2.5,85.4,27.13
69,N,6,3,-5.01,-139.92,-3.9,-3.4,79.8,28.38
70,N,6,4,-5.01,-139.92,-4.2,-2.5,79.4,28.18
71,N,6,5,-5.01,-139.92,-3.0,0.3,82.6,27.87
72,N,6,6,-5.01,-139.92,-7.9,1.1,78.6,28.45
73,N,6,7,-5.01,-139.92,-5.5,0.5,76.1,28.53
74,N,6,8,-5.01,-139.92,-3.1,-1.7,85.8,27.16
75,N,6,9,-5.01,-139.91,-3.5,-0.8,84.2,27.48
76,N,6,10,-5.01,-139.92,-3.3,-0.7,81.8,27.91
77,N,6,11,-5.0,-139.91,-2.8,-4.9,79.8,28.02
78,N,6,12,-5.01,-139.92,-4.0,-1.5,82.2,27.59
79,N,6,13,-5.01,-139.92,-7.8,1.0,76.1,28.34
80,N,6,14,-5.01,-139.92,,,,27.44
81,N,7,1,5.15,-124.87,-4.8,2.5,90.9,27.85
82,N,7,2,5.14,-124.86,-2.2,4.0,86.6,28.33
83,N,7,3,5.14,-124.87,-1.6,0.5,88.5,27.37
84,N,7,4,5.15,-124.87,-3.0,1.8,89.3,27.53
85,N,7,5,5.14,-124.87,-4.6,3.3,83.1,27.81
86,N,7,6,5.14,-124.87,-4.9,1.6,84.6,28.01
87,N,7,7,5.14,-124.87,-4.6,2.4,88.5,27.45
88,N,7,8,5.15,-124.87,-2.2,5.1,86.2,27.25
89,N,7,9,5.14,-124.87,-1.8,3.8,83.1,27.53
90,N,7,10,5.14,-124.87,-3.8,3.4,81.1,27.29
91,N,7,11,5.14,-124.87,-4.2,2.4,80.3,27.53
92,N,7,12,5.14,-124.87,-3.4,2.1,80.3,27.37
93,N,7,13,5.14,-124.87,-3.4,3.1,81.1,27.29
94,P,8,1,1.95,-125.07,-7.1,1.1,79.5,27.14
95,P,8,2,1.96,-125.07,-3.4,1.6,79.1,26.94
96,P,8,3,1.94,-125.07,-3.5,0.8,84.9,26.62
97,P,8,4,1.95,-125.07,-5.8,1.5,84.9,25.89
98,P,8,5,1.96,-125.07,-4.9,2.2,84.1,25.29
99,P,8,6,1.95,-125.07,-5.9,0.7,81.6,25.21
100,P,8,7,1.94,-125.07,-6.0,1.4,81.2,24.85
101,P,8,8,1.95,-125.07,-4.7,2.0,82.4,24.45
102,P,8,9,1.95,-125.07,-4.7,2.0,82.8,24.41
103,P,8,10,1.96,-125.07,-4.7,1.2,81.2,24.49
104,P,8,11,1.95,-125.07,-4.6,0.7,82.8,24.49
105,P,8,12,1.94,-125.07,-4.7,1.2,80.3,24.08
106,P,8,13,1.96,-125.07,-4.5,1.1,79.9,23.84
107,P,9,1,-0.2,-124.37,-3.6,0.0,89.8,25.09
108,P,9,2,-0.21,-124.37,-0.3,-0.6,89.4,25.39
109,P,9,3,-0.22,-124.36,-1.0,-0.9,89.4,25.75
110,P,9,4,-0.21,-124.39,-4.2,1.0,85.6,25.54
111,P,9,5,-0.2,-124.39,-3.6,1.2,85.2,25.13
112,P,9,6,-0.2,-124.39,-4.3,-0.1,84.4,24.7
113,P,9,7,-0.2,-124.4,-3.8,0.0,85.6,24.03
114,P,9,8,-0.19,-124.39,-3.1,-0.7,84.4,23.94
115,P,9,9,-0.2,-124.39,-3.2,-0.3,84.4,23.87
116,P,9,10,-0.2,-124.38,-2.6,-1.2,86.5,23.59
117,P,9,11,-0.19,-124.38,-3.5,-0.6,84.8,23.28
118,P,9,12,-0.19,-124.39,-3.1,0.7,84.4,22.72
119,P,9,13,-0.19,-124.38,-3.6,0.0,84.8,22.74
120,P,10,1,-2.03,-124.89,-5.3,-1.8,87.0,27.06
121,P,10,2,-2.03,-124.89,-0.6,-2.4,89.9,26.51
122,P,10,3,-2.04,-124.88,-0.3,-3.2,91.2,26.12
123,P,10,4,-2.02,-124.89,-4.0,-1.0,89.5,26.43
124,P,10,5,-2.03,-124.89,-4.6,-1.3,86.2,26.67
125,P,10,6,-2.04,-124.9,-6.4,-2.8,82.5,26.71
126,P,10,7,-2.04,-124.9,-5.9,-2.0,81.3,26.31
127,P,10,8,-2.04,-124.9,-3.2,-2.7,85.4,25.92
128,P,10,9,-2.04,-124.89,-4.4,-1.3,84.6,25.76
129,P,10,10,-2.04,-124.89,-3.6,-2.2,87.0,25.57
130,P,10,11,-2.04,-124.89,-3.0,-3.5,87.9,25.06
131,P,10,12,-2.04,-124.89,-3.9,-1.8,83.3,25.06
132,P,10,13,-2.03,-124.89,-2.7,-3.2,87.5,24.9
133,P,11,1,-5.02,-124.94,-7.2,-0.9,87.1,28.09
134,P,11,2,-5.01,-124.94,-6.0,0.1,85.6,28.36
135,N,11,3,-5.02,-124.94,-6.7,-0.2,83.0,28.32
136,P,11,4,-5.01,-124.94,-6.0,1.4,79.6,28.17
137,N,11,5,-5.01,-124.94,-5.3,0.6,84.5,27.51
138,N,11,6,-5.01,-124.94,-7.2,-2.8,82.2,28.05
139,N,11,7,-5.02,-124.94,-5.5,-3.5,80.0,27.89
140,P,11,8,-5.02,-124.95,-4.5,-2.2,83.4,27.82
141,P,11,9,-5.02,-124.93,-2.5,-3.8,81.9,27.7
142,P,11,10,-5.02,-124.94,-4.5,-3.7,80.7,27.97
143,N,11,11,-5.02,-124.94,-2.8,-1.3,79.2,27.74
144,P,11,12,-5.02,-124.93,-5.7,-2.0,85.2,27.0
145,P,11,13,-5.01,-124.94,-7.6,1.4,75.5,27.82
146,N,12,1,-7.97,-125.01,-8.0,0.7,79.6,28.29
147,N,12,2,-7.97,-125.01,-6.1,1.0,79.6,28.25
148,N,12,3,-7.97,-125.02,-6.2,1.8,76.6,28.05
149,N,12,4,-7.97,-125.02,-5.1,1.0,71.5,27.81
150,N,12,5,-7.97,-125.02,-6.2,0.4,76.2,27.97
151,N,12,6,-7.97,-125.02,-7.9,0.9,78.3,27.85
152,N,12,7,-7.97,-125.01,-6.6,0.8,83.5,27.18
153,N,12,8,-7.95,-125.01,-6.3,1.0,75.8,28.05
154,N,12,9,-7.96,-125.01,-6.2,1.6,82.6,27.38
155,N,12,10,-7.97,-125.01,-8.5,-0.3,78.8,27.85
156,N,12,11,-7.97,-125.01,-6.1,2.4,74.9,28.01
157,N,12,12,-7.96,-125.02,-7.7,2.6,79.6,27.42
158,N,12,13,-7.97,-125.02,-7.9,2.3,71.9,27.46
159,N,13,1,8.05,-110.15,-3.9,-1.2,,28.84
160,N,13,2,8.05,-110.15,-0.4,4.2,,27.88
161,N,13,3,8.04,-110.15,4.8,2.5,,28.63
162,N,13,4,8.04,-110.16,2.3,-1.6,,27.87
163,N,13,5,8.04,-110.16,0.5,-2.4,,29.27
164,N,13,6,8.04,-110.15,0.6,-4.0,,29.26
165,N,13,7,8.04,-110.15,1.4,-5.1,,28.92
166,N,13,8,8.04,-110.15,1.2,-0.6,,28.9
167,N,13,9,8.04,-110.15,3.9,0.0,,28.77
168,N,13,10,8.05,-110.15,2.2,0.5,,28.2
169,N,13,11,8.04,-110.16,2.9,-2.5,,29.35
170,N,13,12,8.05,-110.16,1.9,1.4,,28.34
171,N,13,13,8.05,-110.15,4.3,4.2,,27.92
172,N,14,1,4.99,-109.96,-3.4,5.9,83.2,27.98
173,N,14,2,4.98,-109.96,-3.1,5.3,79.5,28.02
174,N,14,3,4.98,-109.96,1.4,5.8,81.6,27.7
175,N,14,4,4.97,-109.96,3.1,3.5,80.7,27.51
176,N,14,5,4.98,-109.96,-0.1,4.9,81.1,27.51
177,N,14,6,4.97,-109.96,-0.5,4.7,80.7,27.55
178,N,14,7,4.97,-109.96,-0.7,6.0,80.7,27.35
179,P,14,8,4.97,-109.96,-1.3,6.3,80.3,27.11
180,P,14,9,4.98,-109.96,-1.5,4.9,78.7,27.15
181,P,14,10,4.98,-109.96,-2.3,4.2,79.9,27.19
182,P,14,11,4.97,-109.96,-1.4,4.7,80.7,27.19
183,P,14,12,4.98,-109.96,-0.3,6.1,81.1,26.91
184,P,14,13,4.98,-109.96,-0.3,7.1,81.1,26.75
185,P,15,1,2.08,-110.1,-6.1,3.5,86.9,26.35
186,P,15,2,2.08,-110.1,-5.4,3.2,87.3,26.12
187,P,15,3,2.08,-110.1,-1.2,3.7,89.8,25.53
188,P,15,4,2.08,-110.1,0.4,2.6,88.2,25.45
189,P,15,5,2.08,-110.11,-1.9,2.9,87.7,24.91
190,P,15,6,2.07,-110.14,-3.6,2.7,89.0,24.91
191,P,15,7,2.08,-110.11,-4.5,3.7,88.6,24.67
192,P,15,8,2.08,-110.11,-5.2,4.0,86.5,24.75
193,P,15,9,2.08,-110.1,-4.9,2.7,83.5,25.26
194,P,15,10,2.08,-110.11,-4.1,1.5,84.8,25.18
195,P,15,11,2.08,-110.1,-3.5,2.5,86.5,25.03
196,P,15,12,2.08,-110.1,-2.8,4.1,86.0,24.17
197,P,15,13,2.08,-110.1,-2.8,3.9,87.3,23.74
198,P,16,1,-1.98,-110.01,-4.9,0.8,92.2,25.96
199,P,16,2,-1.98,-110.0,-2.2,1.5,93.0,25.77
200,P,16,3,-1.98,-110.0,-2.8,2.8,91.8,25.05
201,P,16,4,-1.98,-110.01,-0.9,0.7,91.4,25.09
202,P,16,5,-1.98,-110.01,-3.1,2.2,89.1,25.21
203,P,16,6,-1.98,-110.01,-4.4,0.3,89.1,25.45
204,P,16,7,-1.98,-110.01,-4.8,-0.1,87.5,25.45
205,P,16,8,-1.98,-110.0,-4.5,0.7,88.3,25.45
206,P,16,9,-1.98,-110.0,-3.3,-0.3,89.5,25.33
207,P,16,10,-1.98,-110.0,-3.5,-0.7,90.6,25.09
208,P,16,11,-1.98,-110.0,-2.9,-0.4,91.0,25.29
209,P,16,12,-1.98,-110.0,-2.7,0.0,88.3,24.82
210,N,16,13,-1.98,-110.0,-3.9,0.8,87.1,
211,P,17,1,-4.98,-109.98,-7.1,2.8,86.2,27.28
212,P,17,2,-4.98,-109.99,-6.0,3.5,81.7,27.44
213,P,17,3,-4.97,-109.99,-4.3,4.7,80.5,27.36
214,P,17,4,-4.98,-109.99,-1.9,1.8,79.7,26.77
215,P,17,5,-4.98,-109.99,-4.5,1.4,79.7,26.93
216,P,17,6,-4.98,-109.98,-5.2,-0.9,82.1,26.62
217,P,17,7,-4.98,-109.99,-5.0,-0.7,83.3,26.58
218,P,17,8,-4.99,-109.99,-5.3,0.0,85.0,26.66
219,P,17,9,-4.98,-109.99,-4.6,-1.0,85.0,26.66
220,P,17,10,-4.98,-109.99,-5.4,-1.0,85.0,26.54
221,P,17,11,-4.98,-109.99,-4.6,0.7,84.1,26.27
222,P,17,12,-4.98,-109.99,-3.2,-1.2,88.2,25.88
223,P,17,13,-4.98,-109.99,-5.2,1.9,84.6,26.62
224,P,18,1,-8.05,-109.94,,,80.1,27.72
225,P,18,2,-8.05,-109.92,,,78.4,27.56
226,P,18,3,-8.05,-109.93,,,77.3,27.44
227,P,18,4,-8.05,-109.93,,,79.8,27.08
228,P,18,5,-8.05,-109.93,,,83.2,26.72
229,P,18,6,-8.1,-109.94,,,85.3,26.64
230,P,18,7,-8.05,-109.94,,,87.8,26.76
231,P,18,8,-8.05,-109.93,,,84.3,27.4
232,P,18,9,-8.05,-109.93,,,87.8,26.88
233,P,18,10,-8.05,-109.93,,,80.8,27.56
234,P,18,11,-8.05,-109.93,,,79.8,27.24
235,P,18,12,-8.05,-109.93,,,80.8,27.04
236,P,18,13,-8.05,-109.93,,,79.8,27.32
237,N,19,1,8.06,-94.96,-2.3,2.4,86.4,29.14
238,N,19,2,8.06,-94.95,1.7,-0.3,83.7,29.24
239,N,19,3,8.05,-94.96,0.9,1.0,87.1,28.53
240,N,19,4,8.05,-94.95,7.0,1.3,84.4,29.18
241,N,19,5,8.05,-94.96,3.3,2.8,83.7,29.32
242,N,19,6,8.06,-94.96,2.8,1.8,84.8,29.09
243,N,19,7,8.06,-94.95,0.4,1.1,83.7,28.97
244,N,19,8,8.06,-94.98,2.0,0.8,83.7,28.66
245,N,19,9,8.06,-94.95,2.5,1.3,84.1,28.67
246,N,19,10,8.05,-94.95,2.6,0.2,84.8,28.73
247,N,19,11,8.05,-94.95,2.0,-1.2,79.8,29.32
248,N,19,12,8.05,-94.95,2.8,-2.1,85.2,28.75
249,N,19,13,8.06,-94.95,3.9,1.4,87.9,27.74
250,N,20,1,5.02,-94.95,,,88.6,27.5
251,N,20,2,5.02,-94.95,,,81.5,28.61
252,N,20,3,5.02,-94.95,,,88.2,
253,N,20,4,5.03,-94.95,,,,28.72
254,N,20,5,5.03,-94.95,,,81.1,28.91
255,N,20,6,5.02,-94.95,,,83.1,
256,N,20,7,5.02,-94.95,,,85.4,27.96
257,N,20,8,5.02,-94.95,,,27.58,
258,N,20,9,5.02,-94.96,,,83.1,28.3
259,N,20,10,5.02,-94.96,,,,28.19
260,N,20,11,5.03,-94.95,,,85.4,28.57
261,N,20,12,5.03,-94.95,,,87.8,26.96
262,N,20,13,5.03,-94.95,,,85.0,27.69
263,N,21,1,1.99,-95.0,-3.2,6.8,81.8,28.12
264,N,21,2,1.99,-95.0,-1.8,6.6,81.8,27.88
265,N,21,3,1.99,-95.0,0.1,6.7,82.6,27.73
266,N,21,4,1.99,-95.01,3.0,5.8,83.0,27.65
267,N,21,5,1.97,-95.01,0.5,4.5,81.3,27.65
268,N,21,6,1.98,-95.0,-1.4,5.6,81.8,27.77
269,N,21,7,1.98,-95.0,-3.4,6.4,80.9,27.65
270,N,21,8,2.0,-95.05,-3.3,4.0,,
271,N,21,9,2.0,-95.03,1.0,5.2,,
272,N,21,10,2.0,-95.04,0.5,5.5,,
273,P,21,11,2.0,-95.04,,,,
274,P,21,12,2.0,-95.04,-1.0,6.3,,
275,P,21,13,2.0,-95.03,-1.4,6.3,,
276,P,22,1,0.11,-94.99,-4.9,4.8,88.3,25.67
277,P,22,2,0.12,-94.99,-4.0,4.2,91.2,25.15
278,P,22,3,0.12,-94.98,-1.9,4.2,87.9,25.03
279,P,22,4,0.1,-94.98,1.2,3.5,89.0,24.83
280,P,22,5,0.1,-94.98,-2.8,3.0,89.4,24.51
281,P,22,6,0.11,-94.98,,,,24.35
282,P,22,7,0.11,-95.2,-3.4,1.9,,
283,P,22,8,0.09,-95.19,-6.5,0.2,,
284,N,22,9,0.1,-95.21,-6.3,-1.1,,
285,P,22,10,0.11,-95.2,-5.2,-0.7,,
286,P,22,11,0.11,-95.2,-5.2,-0.2,,
287,P,22,12,0.1,-95.19,-4.2,0.7,,
288,P,22,13,0.13,-95.19,-3.4,0.6,,
289,P,23,1,-1.97,-95.03,-3.4,2.2,90.8,25.83
290,P,23,2,-1.97,-95.03,-3.6,2.2,89.6,25.99
291,P,23,3,-1.97,-95.03,-1.7,0.7,88.4,25.71
292,P,23,4,-1.98,-95.03,1.0,-0.2,89.6,25.24
293,P,23,5,-1.97,-95.03,-2.9,0.2,88.8,25.0
294,N,23,6,-1.97,-95.02,-3.6,1.0,90.8,
295,P,23,7,-1.97,-95.02,-3.6,1.2,93.2,24.68
296,P,23,8,-1.96,-94.99,-3.5,0.1,92.0,24.92
297,P,23,9,-1.96,-94.99,-4.5,0.5,89.2,25.04
298,P,23,10,-1.97,-95.0,-3.8,1.0,90.0,25.16
299,P,23,11,-1.97,-95.02,-2.9,2.5,88.0,25.36
300,P,23,12,-1.98,-95.03,-3.0,2.3,90.4,25.4
301,P,23,13,-1.98,-95.03,-3.3,2.8,91.6,25.28
302,P,24,1,-5.01,-95.07,-6.6,4.9,77.3,27.63
303,P,24,2,-5.03,-95.07,-6.4,3.5,78.1,27.59
304,P,24,3,-5.02,-95.07,-4.1,2.9,78.9,27.4
305,P,24,4,-5.01,-95.07,-1.7,1.8,81.3,26.68
306,P,24,5,-5.02,-95.07,-3.5,1.4,82.1,26.64
307,P,24,6,-5.02,-95.07,-4.6,3.6,83.3,26.53
308,P,24,7,-5.02,-95.07,-6.1,2.8,79.3,27.04
309,P,24,8,-5.01,-95.06,,,,26.76
310,P,25,1,-8.02,-95.11,-7.8,3.5,75.8,27.38
311,P,25,2,-8.01,-95.1,-7.0,3.6,78.1,27.03
312,P,25,3,-8.01,-95.1,-6.1,3.9,83.4,26.01
313,P,25,4,-8.01,-95.1,-3.1,4.7,76.5,26.56
314,P,25,5,-8.01,-95.1,-4.6,2.0,78.1,26.6
315,P,25,6,-8.02,-95.1,-5.9,1.6,82.7,26.64
316,P,25,7,-8.01,-95.1,-7.7,4.6,80.0,26.79
317,P,25,8,-8.01,-95.1,-7.2,4.5,78.1,26.67
318,P,25,9,-8.02,-95.08,-6.1,2.7,73.9,26.71
319,P,25,10,-8.01,-95.1,-5.2,1.7,76.5,26.71
320,P,25,11,-8.01,-95.1,-3.9,2.1,77.3,26.67
321,P,25,12,-8.01,-95.1,-3.2,3.7,79.6,26.52
322,P,25,13,-8.01,-95.1,-3.4,3.9,78.8,26.48
323,N,26,1,8.0,-179.91,,,,27.78
324,N,26,2,7.99,-179.88,,,,28.22
325,N,26,3,8.0,-179.91,,,,28.02
326,N,26,4,8.0,-179.91,,,,27.94
327,N,26,5,8.0,-179.91,,,,27.21
328,N,26,6,8.0,-179.91,,,,27.98
329,N,26,6,8.0,-179.91,,,,27.86
330,N,26,7,8.0,-179.91,,,,28.18
331,N,26,8,8.0,-179.91,,,,28.1
332,N,26,9,7.99,-179.91,,,,27.98
333,N,26,10,8.0,-179.91,,,,27.94
334,N,26,11,8.0,-179.91,,,,27.66
335,N,26,12,7.99,-179.9,,,,27.78
336,N,26,13,8.0,-179.91,,,,28.06
337,N,26,14,8.0,-179.91,,,,28.06
338,N,27,1,2.02,179.8,-6.0,-3.2,85.4,28.09
339,P,27,2,2.03,179.8,-6.5,-0.3,90.4,27.19
340,N,27,3,2.03,179.8,-5.6,-1.9,86.6,28.06
341,P,28,1,0.07,-179.87,-4.4,-2.5,91.9,28.06
342,P,28,2,0.08,-179.87,-4.5,-0.1,91.6,28.06
343,N,28,3,0.08,-179.87,-4.7,-1.7,92.6,28.06
344,N,28,4,0.08,-179.87,-4.8,-2.1,90.6,28.37
345,N,28,5,0.08,-179.87,-4.2,0.5,89.2,28.49
346,N,28,6,0.08,-179.87,-3.7,-3.0,87.5,28.53
347,N,28,7,0.08,-179.87,-1.7,-2.8,89.6,28.14
348,N,28,8,0.08,-179.87,-2.3,-1.7,89.9,28.14
349,N,28,9,0.08,-179.87,-4.4,-1.3,88.2,28.45
350,N,28,10,0.08,-179.87,-4.5,-1.7,87.5,28.45
351,N,28,11,0.08,-179.87,-5.2,-1.4,90.6,27.71
352,N,28,12,0.08,-179.87,-3.6,-2.5,89.6,28.29
353,N,28,13,0.08,-179.87,-4.7,-2.9,89.6,28.33
354,N,28,14,0.07,-179.87,-6.7,-1.7,89.9,28.33
355,N,29,1,-1.99,-179.87,-2.8,-1.0,88.3,27.61
356,N,29,2,-1.99,-179.86,-4.2,-2.5,87.9,28.04
357,N,29,3,-1.99,-179.86,-3.1,-2.9,87.1,28.39
358,N,29,4,-1.98,-179.85,-3.0,0.9,84.6,28.59
359,N,29,5,-1.98,-179.85,-2.6,-2.2,86.2,28.35
360,N,29,6,-1.99,-179.85,-2.8,-2.2,87.9,27.26
361,N,29,7,-1.99,-179.85,-2.9,-1.6,83.7,28.59
362,N,29,8,-1.99,-179.85,-4.2,-1.1,83.7,28.74
363,N,29,9,-1.99,-179.85,-2.2,-2.3,82.9,28.66
364,N,29,10,-1.99,-179.85,-4.7,-1.7,83.3,28.55
365,N,29,11,-1.98,-179.85,-2.8,-2.0,82.1,28.86
366,N,29,12,-1.99,-179.85,-3.2,-4.1,87.1,27.8
367,N,29,13,-1.99,-179.84,-6.6,-2.9,81.6,29.09
368,N,29,14,-1.99,-179.84,-6.6,-2.9,81.6,29.09
369,N,30,1,-5.02,-179.96,,,,
370,N,30,2,-5.03,-179.96,,,,
371,N,30,3,-5.03,-179.95,,,,
372,N,30,4,-5.03,-179.97,,,,
373,N,30,5,-5.02,-179.96,,,,
374,N,30,6,-5.02,-179.96,,,,
375,N,30,7,-5.02,-179.96,,,,
376,N,30,8,-5.02,-179.96,,,,
377,N,30,9,-5.02,-179.96,-3.9,0.0,,
378,N,30,10,-5.02,-179.96,-2.0,0.8,,
379,N,30,11,-5.02,-179.96,-3.2,-0.3,,
380,N,30,12,-5.02,-179.96,-1.3,-1.3,,
381,N,30,13,-5.03,-179.96,-4.4,-3.2,,
382,N,30,14,-5.03,-179.96,-6.6,-3.0,,
383,N,31,1,-7.97,-179.86,-1.8,-1.1,,
384,N,31,2,-7.97,-179.87,-3.0,1.1,,
385,N,31,3,-7.97,-179.87,-6.5,-0.2,,
386,N,31,4,-7.97,-179.87,-5.6,2.1,,
387,N,31,5,-7.97,-179.86,-4.6,2.1,,
388,N,31,6,-7.97,-179.87,-4.3,1.5,,
389,N,31,7,-7.97,-179.87,-3.4,1.1,,
390,N,31,8,-7.97,-179.86,-3.4,0.1,,
391,N,31,9,-7.97,-179.86,-5.5,1.7,,
392,N,31,10,-7.97,-179.86,-4.7,0.3,,
393,N,31,11,-7.97,-179.87,-5.7,-0.9,,
394,N,31,12,-7.98,-179.86,-5.8,-1.5,,
395,N,31,13,-7.97,-179.87,-6.0,-1.8,,
396,N,31,14,-7.97,-179.87,-6.8,-1.9,,
397,P,32,1,8.01,-170.06,-7.4,-5.0,82.6,27.96
398,P,32,2,8.01,-170.06,-7.5,-5.6,82.0,28.0
399,P,32,3,8.01,-170.06,-7.3,-5.7,84.7,27.93
400,P,32,4,8.01,-170.06,-7.4,-4.8,84.0,27.96
401,P,32,5,8.01,-170.06,-6.1,-5.7,82.3,27.93
402,P,32,6,8.0,-170.06,-6.2,-5.0,84.4,27.85
403,P,32,7,8.01,-170.05,-7.0,-4.7,84.0,27.89
404,P,32,8,8.0,-170.05,-5.9,-4.5,80.6,27.85
405,P,32,9,8.0,-170.05,-5.5,-4.3,79.9,27.73
406,P,32,10,8.0,-170.06,-5.3,-4.6,79.2,27.54
407,N,32,11,8.01,-170.06,-5.1,-2.6,77.2,27.61
408,N,32,12,8.0,-170.06,-3.7,-2.7,84.7,27.69
409,N,32,13,8.0,-170.05,-4.6,-2.1,87.4,28.0
410,N,32,14,8.0,-170.07,-6.7,-1.4,86.4,27.81
411,N,33,1,4.98,-169.96,-7.9,-2.8,,27.83
412,N,33,2,4.97,-169.98,-7.9,-3.0,,27.97
413,N,33,3,4.97,-169.97,-8.9,-1.8,,27.47
414,N,33,4,4.98,-169.97,-7.8,-2.0,,27.21
415,N,33,5,4.98,-169.98,-7.6,-3.2,,27.72
416,N,33,6,4.97,-169.98,-7.7,-1.0,,27.61
417,N,33,7,4.97,-169.97,-8.4,-2.1,,27.81
418,N,33,8,4.97,-169.98,-6.7,-2.6,,27.43
419,P,33,9,4.97,-169.97,-6.0,-4.9,,27.85
