,hair_cat,feathers_cat,eggs_cat,milk_cat,airborne_cat,aquatic_cat,predator_cat,toothed_cat,backbone_cat,breathes_cat,venomous_cat,fins_cat,legs_num,tail_cat,domestic_cat,catsize_cat,type_cat
57,False,True,True,False,True,False,False,False,True,True,False,False,2.0,True,True,False,bird
58,False,True,True,False,False,True,True,False,True,True,False,False,2.0,True,False,True,bird
59,False,True,True,False,True,False,False,False,True,True,False,False,2.0,True,False,False,bird
60,False,False,True,False,False,True,True,True,True,False,False,True,0.0,True,False,True,fish
61,False,False,True,False,False,True,True,True,True,False,False,True,0.0,True,False,False,fish
62,False,False,True,False,False,False,True,True,True,True,True,False,0.0,True,False,False,reptile
63,True,False,True,True,False,True,True,False,True,True,False,False,4.0,True,False,True,mammal
64,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,True,mammal
65,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,True,True,mammal
66,False,False,False,True,False,True,True,True,True,True,False,True,0.0,True,False,True,mammal
67,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,True,mammal
68,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,True,True,mammal
69,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,True,mammal
70,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,True,True,mammal
71,False,True,True,False,False,False,True,False,True,True,False,False,2.0,True,False,True,bird
72,False,False,False,False,False,False,True,False,False,True,True,False,8.0,True,False,False,invertebrate
73,False,False,True,False,False,True,False,True,True,False,False,True,0.0,True,False,False,fish
74,True,False,False,True,False,True,True,True,True,True,False,True,0.0,False,False,True,mammal
75,True,False,False,True,False,True,True,True,True,True,False,True,2.0,True,False,True,mammal
76,False,False,False,False,False,True,True,True,True,False,True,False,0.0,True,False,False,reptile
77,False,False,True,False,False,True,True,False,False,False,True,False,0.0,False,False,False,invertebrate
78,False,True,True,False,True,True,True,False,True,True,False,False,2.0,True,False,False,bird
79,False,True,True,False,True,True,True,False,True,True,False,False,2.0,True,False,False,bird
80,False,False,True,False,False,False,True,True,True,True,False,False,0.0,True,False,False,reptile
81,False,False,True,False,False,False,False,False,False,True,False,False,0.0,False,False,False,invertebrate
82,False,False,True,False,False,True,False,True,True,False,False,True,0.0,True,False,False,fish
83,False,True,True,False,True,False,False,False,True,True,False,False,2.0,True,False,False,bird
84,True,False,False,True,False,False,False,True,True,True,False,False,2.0,True,False,False,mammal
85,False,False,True,False,False,True,True,False,False,False,False,False,5.0,False,False,False,invertebrate
86,False,False,True,False,False,True,True,True,True,False,True,True,0.0,True,False,True,fish
87,False,True,True,False,True,True,False,False,True,True,False,False,2.0,True,False,True,bird
88,False,False,True,False,False,False,False,False,False,True,False,False,6.0,False,False,False,insect
89,False,False,True,False,False,True,False,True,True,True,False,False,4.0,False,False,False,amphibian
90,False,False,True,False,False,False,False,False,True,True,False,False,4.0,True,False,True,reptile
91,False,False,True,False,False,False,True,True,True,True,False,False,4.0,True,False,False,reptile
92,False,False,True,False,False,True,True,True,True,False,False,True,0.0,True,False,True,fish
93,True,False,False,True,True,False,False,True,True,True,False,False,2.0,True,False,False,mammal
94,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,False,False,mammal
95,False,True,True,False,True,False,True,False,True,True,False,False,2.0,True,False,True,bird
96,True,False,False,True,False,False,False,True,True,True,False,False,2.0,True,False,True,mammal
97,True,False,True,False,True,False,False,False,False,True,True,False,6.0,False,False,False,insect
98,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,True,mammal
99,False,False,True,False,False,False,False,False,False,True,False,False,0.0,False,False,False,invertebrate
100,False,True,True,False,True,False,False,False,True,True,False,False,2.0,True,False,False,bird
