,binaryClass_cat,year_num,month_num,day_num,RPT_num,VAL_num,ROS_num,KIL_num,SHA_num,BIR_num,DUB_num,CLA_num,MUL_num,CLO_num,BEL_num
44,P,61.0,2.0,14.0,17.08,11.63,17.25,12.12,13.75,13.46,15.46,12.29,14.88,15.67,14.09
45,P,61.0,2.0,15.0,6.04,12.08,6.13,4.21,9.87,6.92,5.17,7.41,8.17,9.21,17.12
46,N,61.0,2.0,16.0,16.79,20.17,12.67,13.25,15.29,15.12,3.42,14.29,14.79,13.79,21.92
47,N,61.0,2.0,17.0,15.25,14.09,14.75,9.54,14.62,12.92,6.17,12.58,13.25,14.54,18.21
48,P,61.0,2.0,18.0,12.08,12.38,12.67,6.04,10.71,9.08,10.88,12.38,10.0,11.34,18.58
49,N,61.0,2.0,19.0,16.17,15.59,13.7,10.79,13.5,10.96,9.62,11.83,11.58,13.67,29.63
50,P,61.0,2.0,20.0,11.04,11.08,10.63,8.33,10.92,8.29,7.25,7.75,8.83,11.08,15.09
51,P,61.0,2.0,21.0,7.79,8.63,6.08,2.21,7.41,4.33,3.75,7.04,4.5,7.41,12.12
52,P,61.0,2.0,22.0,12.29,13.21,13.54,6.46,11.58,9.21,8.25,10.29,9.21,13.08,15.25
53,N,61.0,2.0,23.0,22.08,17.46,18.88,12.42,20.5,16.13,16.38,16.92,13.21,18.0,23.21
54,P,61.0,2.0,24.0,8.71,7.08,11.38,4.83,5.96,4.58,8.17,4.67,6.21,7.0,9.59
55,P,61.0,2.0,25.0,18.84,16.42,17.41,10.21,16.13,11.38,13.08,12.21,12.33,12.5,16.04
56,N,61.0,2.0,26.0,25.8,21.5,22.42,15.21,23.09,16.88,21.17,17.25,18.46,20.04,22.83
57,N,61.0,2.0,27.0,11.0,13.37,11.17,6.87,13.21,8.75,12.75,10.83,10.88,12.67,20.0
58,P,61.0,2.0,28.0,12.92,12.75,11.04,8.92,16.13,12.29,14.75,14.46,13.96,14.04,18.41
59,P,61.0,3.0,1.0,12.67,13.13,11.79,6.42,9.79,8.54,10.25,13.29,9.0,12.21,20.62
60,P,61.0,3.0,2.0,12.58,10.04,11.17,7.12,10.29,9.21,10.88,10.5,10.58,12.96,18.38
61,N,61.0,3.0,3.0,13.33,15.54,13.67,9.59,11.58,8.71,11.29,12.83,8.92,14.09,23.45
62,P,61.0,3.0,4.0,10.96,8.83,8.17,5.88,8.25,6.0,6.21,5.66,6.25,9.79,12.46
63,P,61.0,3.0,5.0,11.25,17.0,10.41,10.04,15.46,11.17,5.5,10.34,11.71,10.83,11.58
64,P,61.0,3.0,6.0,4.88,8.08,7.54,3.13,5.41,4.08,2.83,5.29,5.21,5.09,10.21
65,P,61.0,3.0,7.0,6.46,10.5,8.0,5.41,10.58,6.58,3.63,6.67,7.08,7.04,16.08
66,P,61.0,3.0,8.0,7.54,8.33,9.29,8.12,11.0,10.58,1.71,8.5,8.71,9.71,17.58
67,N,61.0,3.0,9.0,11.96,13.13,10.17,9.46,14.17,12.67,3.75,9.71,12.46,11.54,17.54
68,P,61.0,3.0,10.0,10.63,10.17,9.04,5.13,10.5,7.92,8.79,7.92,8.87,10.5,12.29
69,N,61.0,3.0,11.0,14.79,16.96,15.5,8.46,10.0,10.92,10.34,15.67,10.58,13.54,22.71
70,N,61.0,3.0,12.0,14.88,13.88,16.38,10.25,14.92,13.67,17.12,13.7,16.29,15.79,20.5
71,N,61.0,3.0,13.0,11.21,11.34,12.33,5.63,11.17,10.58,13.96,10.5,13.88,11.5,19.7
72,N,61.0,3.0,14.0,12.12,15.29,12.75,5.17,9.38,7.04,8.12,11.12,8.75,9.29,20.04
73,P,61.0,3.0,15.0,11.12,15.54,13.96,8.42,10.88,8.83,11.54,13.54,8.46,13.92,22.13
74,P,61.0,3.0,16.0,4.92,12.92,5.25,4.29,8.96,7.04,2.75,5.13,6.0,7.29,20.12
75,N,61.0,3.0,17.0,15.71,14.71,11.21,8.87,14.37,10.75,13.0,14.29,13.08,15.34,22.79
76,N,61.0,3.0,18.0,16.88,15.25,12.29,11.04,13.67,10.54,13.17,10.46,13.5,14.67,19.38
77,P,61.0,3.0,19.0,11.42,9.46,13.46,6.17,6.83,5.79,7.75,6.5,7.04,9.38,11.29
78,N,61.0,3.0,20.0,13.75,10.41,12.0,10.75,11.46,10.29,15.41,10.04,13.67,13.83,14.29
79,P,61.0,3.0,21.0,9.54,10.58,15.63,7.29,7.54,7.71,8.17,6.58,8.58,10.5,9.38
80,P,61.0,3.0,22.0,6.34,4.42,5.71,4.42,5.13,4.29,8.0,4.92,8.0,9.04,8.25
81,N,61.0,3.0,23.0,6.38,2.58,4.79,5.13,6.46,7.21,10.88,7.38,9.79,8.33,15.21
82,P,61.0,3.0,24.0,6.29,7.46,6.75,4.54,8.25,6.25,8.46,10.34,10.0,10.29,14.42
83,N,61.0,3.0,25.0,9.67,11.63,10.41,5.58,10.58,9.92,10.75,13.04,11.92,14.5,21.34
84,N,61.0,3.0,26.0,15.0,11.63,12.58,8.83,13.33,10.21,13.75,10.54,14.37,13.88,15.37
85,P,61.0,3.0,27.0,5.88,3.5,5.17,2.75,2.83,3.5,6.75,1.46,6.5,7.12,7.21
86,N,61.0,3.0,28.0,8.46,10.63,12.04,5.09,7.83,6.79,10.88,10.92,9.54,10.63,18.16
87,N,61.0,3.0,29.0,18.25,16.29,14.96,12.0,18.34,14.33,16.62,13.37,17.54,14.21,18.63
88,P,61.0,3.0,30.0,17.75,12.92,11.79,10.13,16.08,14.21,14.79,14.92,14.71,13.46,15.67
89,P,61.0,3.0,31.0,8.96,8.04,9.13,8.5,10.75,9.54,11.92,9.59,11.25,8.54,11.96
90,P,61.0,4.0,1.0,8.38,6.34,8.33,6.75,9.33,9.54,11.67,8.21,11.21,6.46,11.96
91,P,61.0,4.0,2.0,7.62,4.25,5.09,3.67,4.67,6.25,5.25,4.96,6.83,7.0,10.71
92,P,61.0,4.0,3.0,15.29,8.63,15.67,4.12,10.25,9.04,5.5,8.54,7.58,4.96,11.08
93,P,61.0,4.0,4.0,13.92,13.67,13.88,6.75,9.79,6.38,6.0,8.54,7.67,8.08,14.5
94,P,61.0,4.0,5.0,18.12,14.62,18.29,10.63,13.33,10.83,9.25,8.21,10.34,8.5,17.16
95,P,61.0,4.0,6.0,4.5,8.21,9.29,3.21,5.96,4.33,5.0,7.33,6.13,6.54,10.25
96,P,61.0,4.0,7.0,8.21,7.04,13.75,3.75,6.0,5.0,5.33,4.0,5.66,3.67,7.62
97,P,61.0,4.0,8.0,10.34,11.29,11.29,4.42,9.38,7.67,8.71,10.08,9.21,8.42,11.25
98,P,61.0,4.0,9.0,13.37,11.12,13.08,8.83,11.75,10.21,9.96,9.59,10.54,10.5,10.13
99,P,61.0,4.0,10.0,5.75,4.83,8.25,3.0,5.88,4.25,5.21,3.58,6.0,4.58,7.62
100,P,61.0,4.0,11.0,10.5,12.25,12.58,6.96,8.71,8.58,5.66,9.92,9.0,9.67,16.17
101,P,61.0,4.0,12.0,10.63,10.04,11.38,5.13,5.71,5.13,6.54,4.75,4.5,5.17,8.5
102,P,61.0,4.0,13.0,15.5,9.29,15.79,9.71,7.29,7.17,8.0,4.75,7.87,7.58,7.17
103,P,61.0,4.0,14.0,10.5,6.17,4.5,5.0,8.67,5.0,4.29,4.5,5.71,7.79,8.5
104,P,61.0,4.0,15.0,5.17,6.42,3.92,2.67,3.37,1.54,2.46,2.29,3.58,4.0,5.75
105,P,61.0,4.0,16.0,4.71,7.0,5.09,2.33,5.21,2.96,2.88,5.17,3.37,4.46,12.67
106,P,61.0,4.0,17.0,4.0,3.71,3.33,1.58,2.21,0.83,4.46,2.54,3.58,3.83,10.04
107,P,61.0,4.0,18.0,10.83,12.42,6.04,5.5,11.92,7.08,5.66,9.96,7.46,9.46,12.92
108,N,61.0,4.0,19.0,16.71,13.96,14.67,11.42,14.37,11.63,12.96,13.25,13.29,14.37,19.21
109,N,61.0,4.0,20.0,21.09,15.41,17.0,11.63,13.25,11.17,12.25,10.54,11.29,11.58,18.05
110,P,61.0,4.0,21.0,15.34,14.04,15.87,9.79,11.71,8.79,9.5,12.25,9.0,9.87,17.54
111,P,61.0,4.0,22.0,8.17,5.66,6.92,4.79,7.87,5.09,7.46,4.83,4.88,7.12,6.75
112,P,61.0,4.0,23.0,12.21,7.87,7.96,9.67,11.17,10.0,10.71,10.41,11.87,10.63,10.83
113,P,61.0,4.0,24.0,9.54,8.04,9.13,4.79,7.54,5.75,5.25,7.08,6.0,7.62,9.87
114,N,61.0,4.0,25.0,14.04,11.96,14.96,7.87,10.75,8.83,13.75,11.96,11.08,11.46,12.17
115,P,61.0,4.0,26.0,16.29,14.46,6.92,5.88,12.62,7.46,6.0,6.34,7.54,6.0,8.33
116,P,61.0,4.0,27.0,4.08,7.04,7.92,3.83,3.88,3.13,6.25,3.17,5.41,4.71,7.29
117,P,61.0,4.0,28.0,5.58,6.5,2.54,1.87,4.21,1.54,2.67,1.38,2.54,2.71,5.13
118,P,61.0,4.0,29.0,9.62,9.59,6.96,3.83,6.83,3.88,4.04,6.46,4.17,4.12,13.04
119,P,61.0,4.0,30.0,11.67,11.0,9.54,5.54,9.42,5.79,5.09,8.25,6.96,6.25,12.21
120,P,61.0,5.0,1.0,15.87,13.88,15.37,9.79,13.46,10.17,9.96,14.04,9.75,9.92,18.63
121,P,61.0,5.0,2.0,19.04,14.83,14.92,8.67,15.63,11.63,10.46,9.75,11.21,10.71,12.96
122,P,61.0,5.0,3.0,11.0,10.92,12.87,8.67,10.58,8.42,9.5,10.04,9.62,9.42,15.46
123,P,61.0,5.0,4.0,9.87,10.29,8.42,7.5,9.42,7.33,5.96,6.25,7.79,8.92,4.79
124,P,61.0,5.0,5.0,10.63,10.37,9.17,6.46,9.83,8.0,9.13,9.87,10.04,8.63,16.29
125,N,61.0,5.0,6.0,23.0,19.79,21.21,14.12,22.34,15.04,16.83,17.71,16.29,17.54,28.08
126,N,61.0,5.0,7.0,18.16,17.71,14.88,14.46,23.16,15.46,18.21,18.05,17.04,15.96,26.63
127,N,61.0,5.0,8.0,12.79,10.08,12.33,10.75,15.71,14.04,18.58,15.79,17.33,17.92,18.66
128,P,61.0,5.0,9.0,6.04,3.96,7.0,3.83,4.17,4.0,7.25,3.37,7.08,9.21,6.54
129,P,61.0,5.0,10.0,4.79,6.21,4.63,1.04,3.42,1.17,3.33,3.79,2.46,1.83,7.58
130,P,61.0,5.0,11.0,3.54,7.54,5.33,2.08,5.25,1.58,3.67,3.71,2.62,3.04,9.25
131,P,61.0,5.0,12.0,7.0,15.12,9.17,4.54,11.21,5.91,5.17,4.04,5.25,4.38,10.63
132,P,61.0,5.0,13.0,11.0,11.54,11.71,8.83,12.83,9.92,5.21,8.71,7.92,8.63,9.17
133,P,61.0,5.0,14.0,9.25,6.54,7.04,6.0,11.46,8.12,10.04,9.96,10.04,9.75,11.12
134,P,61.0,5.0,15.0,9.62,3.92,9.75,3.88,5.63,3.46,5.91,5.88,6.38,6.25,6.63
135,P,61.0,5.0,16.0,15.04,10.17,15.25,5.17,12.92,6.79,8.38,11.12,9.46,9.17,12.0
136,P,61.0,5.0,17.0,10.0,6.54,15.63,4.88,8.21,6.75,5.83,7.38,8.0,7.96,9.46
137,P,61.0,5.0,18.0,4.88,3.58,15.96,3.71,6.34,3.83,5.04,3.79,5.0,4.17,7.29
138,P,61.0,5.0,19.0,5.0,5.29,5.91,3.63,7.25,4.17,6.83,6.79,7.17,9.29,10.83
139,P,61.0,5.0,20.0,6.21,7.46,10.13,4.83,7.33,5.66,4.71,7.58,7.0,8.67,10.41
140,P,61.0,5.0,21.0,6.83,4.29,11.67,3.71,5.5,4.5,3.17,6.25,4.92,4.29,10.75
141,P,61.0,5.0,22.0,6.25,3.67,5.33,2.5,4.17,3.79,2.42,4.21,4.63,5.37,8.21
142,P,61.0,5.0,23.0,4.96,3.96,3.58,2.42,3.75,2.25,3.13,2.83,4.5,5.54,6.13
143,P,61.0,5.0,24.0,5.54,5.96,3.71,3.37,3.92,1.63,4.0,3.37,4.92,6.5,8.83
144,N,61.0,5.0,25.0,7.67,11.17,13.13,5.5,9.13,6.04,6.79,7.96,7.33,10.46,13.88
145,N,61.0,5.0,26.0,11.79,12.5,20.96,8.17,10.21,6.5,9.33,12.08,9.59,11.46,14.33
146,P,61.0,5.0,27.0,10.92,6.79,6.46,5.41,10.0,5.25,4.92,7.04,7.29,8.25,10.46
147,P,61.0,5.0,28.0,9.96,7.67,6.42,3.29,7.41,3.33,5.41,6.42,4.5,5.17,11.79
148,N,61.0,5.0,29.0,12.04,6.67,15.96,9.87,8.04,8.46,11.71,9.21,11.17,12.04,11.54
149,P,61.0,5.0,30.0,10.0,4.75,9.21,3.42,7.67,5.25,5.83,7.21,6.34,5.91,8.71
150,P,61.0,5.0,31.0,7.0,9.79,12.25,4.83,8.25,5.37,6.58,9.29,6.58,7.12,11.87
151,P,61.0,6.0,1.0,15.92,9.59,12.04,8.79,11.54,6.04,9.75,8.29,9.33,10.34,10.67
152,N,61.0,6.0,2.0,11.29,6.34,6.92,6.71,12.12,7.79,7.92,8.71,9.83,9.17,12.42
153,P,61.0,6.0,3.0,7.5,8.29,6.83,5.88,12.87,7.08,10.41,7.87,10.46,10.34,13.88
154,P,61.0,6.0,4.0,8.5,6.42,7.25,4.67,7.79,5.17,6.21,9.87,7.29,8.33,17.0
155,P,61.0,6.0,5.0,11.58,11.54,7.5,5.66,9.96,6.04,3.42,9.17,8.08,10.92,16.17
156,P,61.0,6.0,6.0,8.33,8.54,6.13,3.21,8.58,5.17,4.21,7.96,6.92,6.71,11.42
157,N,61.0,6.0,7.0,11.92,9.42,8.96,6.34,13.13,8.63,8.17,9.71,9.59,9.87,13.25
158,N,61.0,6.0,8.0,12.17,8.87,8.17,6.92,11.92,7.46,9.54,9.59,10.58,10.37,11.21
159,P,61.0,6.0,9.0,9.71,7.79,8.29,4.29,7.75,4.38,8.29,4.38,8.08,8.83,7.79
160,P,61.0,6.0,10.0,14.42,9.96,11.58,6.79,11.54,4.67,9.71,4.25,7.58,6.87,5.83
161,P,61.0,6.0,11.0,8.29,6.83,6.04,3.29,7.33,1.87,6.25,3.13,5.41,5.21,5.37
162,P,61.0,6.0,12.0,9.25,7.08,13.46,5.17,5.66,3.63,9.17,2.88,6.5,6.83,7.29
163,P,61.0,6.0,13.0,6.13,4.12,6.5,2.92,3.5,1.58,4.67,3.63,4.21,3.08,7.71
164,P,61.0,6.0,14.0,8.33,12.42,8.71,6.79,11.87,7.12,5.66,8.63,8.08,10.25,20.21
165,P,61.0,6.0,15.0,9.96,8.17,10.54,5.88,10.25,6.92,8.25,9.29,9.5,9.25,14.58
166,N,61.0,6.0,16.0,13.88,14.54,13.75,8.29,13.29,10.0,10.54,16.54,11.54,14.71,25.25
167,N,61.0,6.0,17.0,14.33,11.34,15.5,9.42,12.33,9.04,12.96,9.5,11.0,10.5,14.67
168,N,61.0,6.0,18.0,12.12,9.29,7.67,7.17,14.92,10.34,13.7,13.25,12.12,12.54,17.75
169,N,61.0,6.0,19.0,8.92,6.38,7.67,6.42,11.34,7.75,10.37,9.38,10.29,10.17,12.92
170,P,61.0,6.0,20.0,4.0,3.25,5.13,2.88,8.58,4.46,7.92,6.34,6.5,7.83,11.0
171,P,61.0,6.0,21.0,8.54,9.5,10.37,6.63,11.5,7.33,10.54,9.83,9.54,10.17,14.71
172,N,61.0,6.0,22.0,8.83,6.25,6.38,6.42,11.96,8.58,13.29,9.29,11.54,11.0,13.25
173,N,61.0,6.0,23.0,5.71,4.21,7.79,5.29,11.58,7.33,14.21,7.38,11.46,11.63,14.96
174,N,61.0,6.0,24.0,6.42,4.92,9.33,4.75,12.17,8.33,14.88,11.87,12.92,15.0,19.08
175,N,61.0,6.0,25.0,9.0,8.25,9.92,5.96,13.21,8.67,11.87,12.04,10.96,13.0,14.67
176,P,61.0,6.0,26.0,13.13,11.42,7.62,7.08,12.42,5.96,8.38,7.75,9.67,10.04,10.83
177,N,61.0,6.0,27.0,9.0,6.34,8.0,5.71,8.04,6.96,10.54,8.96,10.41,10.37,13.29
178,N,61.0,6.0,28.0,7.75,9.71,9.21,5.83,11.12,6.25,8.79,12.83,7.38,11.58,19.92
179,P,61.0,6.0,29.0,7.41,10.46,7.96,6.79,12.62,7.08,8.33,9.46,7.08,10.92,20.88
180,N,61.0,6.0,30.0,12.29,14.37,10.79,10.54,13.83,9.59,4.92,13.7,8.75,12.38,21.87
181,P,61.0,7.0,1.0,7.21,6.83,7.71,4.42,8.46,4.79,6.71,6.0,5.79,7.96,6.96
182,P,61.0,7.0,2.0,12.04,7.25,9.25,7.04,10.34,4.92,5.83,5.96,6.25,8.63,8.0
183,N,61.0,7.0,3.0,15.34,10.58,12.17,10.08,18.58,11.38,15.75,14.33,15.46,16.79,20.41
184,N,61.0,7.0,4.0,17.5,10.75,14.92,12.0,12.62,9.62,14.92,11.08,13.13,13.5,12.46
185,P,61.0,7.0,5.0,11.5,4.96,7.62,5.83,8.92,6.17,10.08,5.58,8.08,8.75,7.08
186,P,61.0,7.0,6.0,8.0,3.75,7.62,3.54,8.0,4.58,7.08,6.87,6.25,6.21,10.21
187,N,61.0,7.0,7.0,11.17,7.21,7.41,8.12,14.29,9.75,14.54,9.96,13.04,11.54,15.34
188,N,61.0,7.0,8.0,11.21,7.58,7.83,7.87,14.42,8.38,14.04,10.96,11.63,9.33,11.83
189,P,61.0,7.0,9.0,7.29,5.71,7.67,5.37,10.63,6.0,9.46,6.38,7.54,7.71,8.21
190,P,61.0,7.0,10.0,8.63,7.87,9.33,5.58,9.46,3.46,2.67,2.96,2.92,4.25,5.04
191,P,61.0,7.0,11.0,11.08,11.42,10.37,6.87,9.46,5.63,7.41,8.17,6.5,8.38,10.21
192,P,61.0,7.0,12.0,19.46,16.88,12.29,10.08,15.04,8.83,9.08,11.75,10.5,10.71,17.21
193,N,61.0,7.0,13.0,16.75,13.79,12.92,12.33,19.95,13.17,16.83,16.17,15.37,14.92,20.25
194,P,61.0,7.0,14.0,22.5,19.29,14.29,12.42,20.88,10.17,11.83,12.33,10.63,10.88,15.63
195,P,61.0,7.0,15.0,16.92,14.5,8.0,7.62,12.21,7.92,10.25,10.96,8.92,10.17,14.09
196,P,61.0,7.0,16.0,21.42,10.88,11.0,10.04,14.67,9.71,13.13,11.21,11.87,11.79,12.21
197,P,61.0,7.0,17.0,4.25,3.08,5.46,1.46,5.04,1.96,7.08,5.21,5.66,7.62,6.17
198,P,61.0,7.0,18.0,4.38,6.79,5.29,4.63,7.33,3.88,4.96,7.79,6.5,7.75,9.79
199,P,61.0,7.0,19.0,5.17,3.42,6.63,2.96,6.75,2.92,3.5,7.29,5.58,7.0,10.13
200,P,61.0,7.0,20.0,5.88,2.92,4.08,2.42,6.21,2.71,3.04,5.46,5.63,5.37,7.29
201,P,61.0,7.0,21.0,3.33,4.58,6.96,4.67,5.75,2.79,2.21,5.13,4.25,5.09,7.08
202,P,61.0,7.0,22.0,3.37,5.29,6.08,3.67,5.54,2.58,4.75,5.25,5.46,5.54,8.0
203,P,61.0,7.0,23.0,3.04,3.71,12.67,3.29,6.17,2.17,2.21,3.37,4.0,3.92,4.21
204,P,61.0,7.0,24.0,7.0,4.63,6.42,2.83,4.96,2.92,3.58,4.17,2.21,4.92,9.25
205,N,61.0,7.0,25.0,15.92,13.79,15.67,8.63,14.33,9.33,12.29,14.09,11.63,15.37,22.17
206,N,61.0,7.0,26.0,11.46,7.5,10.46,9.92,17.5,13.5,18.79,15.16,15.59,15.75,19.38
207,P,61.0,7.0,27.0,10.13,8.83,6.79,3.75,9.5,4.54,7.87,6.46,6.83,6.63,7.87
208,P,61.0,7.0,28.0,16.08,9.13,10.29,7.33,10.54,7.33,9.67,8.67,9.33,8.87,9.38
209,P,61.0,7.0,29.0,7.21,4.83,6.67,3.42,5.96,3.67,5.79,6.67,5.09,6.54,11.17
210,P,61.0,7.0,30.0,6.13,10.41,9.17,4.21,7.75,4.58,6.04,9.17,5.58,8.21,10.67
211,P,61.0,7.0,31.0,7.67,6.71,9.38,4.17,5.25,2.79,3.75,2.25,3.17,5.54,6.17
212,P,61.0,8.0,1.0,9.59,5.09,5.54,4.63,8.29,5.25,4.21,5.25,5.37,5.41,8.38
213,P,61.0,8.0,2.0,10.0,5.58,6.71,6.0,8.96,6.67,8.87,7.12,7.79,8.75,8.71
214,N,61.0,8.0,3.0,16.08,15.79,15.59,8.96,16.92,10.21,11.92,13.04,11.12,12.83,18.54
215,N,61.0,8.0,4.0,11.0,9.21,10.58,7.54,13.17,9.62,13.54,11.79,11.67,10.21,16.04
216,N,61.0,8.0,5.0,13.37,12.46,12.79,6.54,15.5,9.0,10.54,11.29,10.5,11.92,15.41
217,P,61.0,8.0,6.0,8.38,6.71,8.42,5.83,10.04,6.75,7.87,7.12,6.46,8.0,7.92
218,P,61.0,8.0,7.0,2.88,4.42,6.34,3.04,6.58,3.96,3.88,5.04,3.17,5.71,9.83
219,P,61.0,8.0,8.0,14.21,9.87,11.63,6.42,12.38,6.96,10.63,7.12,7.38,7.79,10.08
220,P,61.0,8.0,9.0,12.96,10.0,11.29,6.46,14.58,8.96,11.25,10.37,8.87,9.33,12.5
221,P,61.0,8.0,10.0,6.63,6.71,6.0,2.5,7.58,3.58,4.67,8.33,2.83,5.41,9.96
222,P,61.0,8.0,11.0,11.21,6.75,8.29,5.0,8.58,4.83,6.83,6.25,5.79,5.25,5.88
223,P,61.0,8.0,12.0,10.71,8.71,8.92,4.38,8.29,5.83,6.83,8.25,5.88,8.29,14.29
224,P,61.0,8.0,13.0,12.96,9.13,8.63,7.75,12.75,8.0,10.92,10.79,10.08,9.92,14.0
225,N,61.0,8.0,14.0,16.42,10.88,9.87,8.79,16.21,11.46,15.09,13.37,12.87,12.92,15.37
226,P,61.0,8.0,15.0,15.34,8.75,10.54,6.83,12.96,7.54,9.42,8.92,8.79,9.13,9.59
227,N,61.0,8.0,16.0,13.13,7.25,9.17,8.21,13.29,9.04,12.96,10.54,10.54,12.0,11.0
228,P,61.0,8.0,17.0,13.62,8.17,9.71,7.0,14.25,8.83,10.21,10.5,10.79,11.25,15.5
229,N,61.0,8.0,18.0,18.91,12.87,11.46,11.79,20.38,14.25,19.04,17.71,16.13,17.83,21.92
