,binaryClass_cat,Year_cat,Row_num,Group_num
331,P,1989,20.0,5.0
332,P,1989,21.0,6.0
333,P,1989,22.0,6.0
334,P,1989,23.0,6.0
335,P,1989,24.0,6.0
336,P,1989,25.0,7.0
337,P,1989,26.0,7.0
338,P,1989,27.0,7.0
339,P,1989,28.0,7.0
340,P,1989,29.0,8.0
341,P,1989,30.0,8.0
342,P,1989,31.0,8.0
343,P,1989,32.0,8.0
344,P,1989,33.0,9.0
345,P,1989,34.0,9.0
346,P,1989,35.0,9.0
347,P,1989,36.0,9.0
348,P,1989,37.0,10.0
349,P,1989,38.0,10.0
350,P,1989,39.0,10.0
351,P,1989,40.0,10.0
352,P,1989,41.0,11.0
353,P,1989,42.0,11.0
354,P,1989,43.0,11.0
355,P,1989,44.0,11.0
356,P,1989,45.0,12.0
357,P,1989,46.0,12.0
358,P,1989,47.0,12.0
359,P,1989,48.0,12.0
360,P,1989,49.0,13.0
361,P,1989,50.0,13.0
362,P,1989,51.0,13.0
363,P,1989,52.0,13.0
364,P,1990,1.0,1.0
365,P,1990,2.0,1.0
366,N,1990,3.0,1.0
367,P,1990,4.0,1.0
368,N,1990,5.0,2.0
369,N,1990,6.0,2.0
370,N,1990,7.0,2.0
371,N,1990,8.0,2.0
372,N,1990,9.0,3.0
373,N,1990,10.0,3.0
374,N,1990,11.0,3.0
375,N,1990,12.0,3.0
376,N,1990,13.0,4.0
377,N,1990,14.0,4.0
378,N,1990,15.0,4.0
379,N,1990,16.0,4.0
380,N,1990,17.0,5.0
381,N,1990,18.0,5.0
382,N,1990,19.0,5.0
383,N,1990,20.0,5.0
384,N,1990,21.0,6.0
385,N,1990,22.0,6.0
386,N,1990,23.0,6.0
387,N,1990,24.0,6.0
388,N,1990,25.0,7.0
389,N,1990,26.0,7.0
390,N,1990,27.0,7.0
391,N,1990,28.0,7.0
392,N,1990,29.0,8.0
393,N,1990,30.0,8.0
394,P,1990,31.0,8.0
395,P,1990,32.0,8.0
396,P,1990,33.0,9.0
397,P,1990,34.0,9.0
398,P,1990,35.0,9.0
399,N,1990,36.0,9.0
400,P,1990,37.0,10.0
401,N,1990,38.0,10.0
402,P,1990,39.0,10.0
403,N,1990,40.0,10.0
404,P,1990,41.0,11.0
405,N,1990,42.0,11.0
406,P,1990,43.0,11.0
407,N,1990,44.0,11.0
408,N,1990,45.0,12.0
409,P,1990,46.0,12.0
410,P,1990,47.0,12.0
411,P,1990,48.0,12.0
412,P,1990,49.0,13.0
413,P,1990,50.0,13.0
414,P,1990,51.0,13.0
415,P,1990,52.0,13.0
416,N,1991,1.0,1.0
417,N,1991,2.0,1.0
418,N,1991,3.0,1.0
419,N,1991,4.0,1.0
420,N,1991,5.0,2.0
421,N,1991,6.0,2.0
422,N,1991,7.0,2.0
423,N,1991,8.0,2.0
424,N,1991,9.0,3.0
425,N,1991,10.0,3.0
426,N,1991,11.0,3.0
427,N,1991,12.0,3.0
428,N,1991,13.0,4.0
429,N,1991,14.0,4.0
430,N,1991,15.0,4.0
431,N,1991,16.0,4.0
432,N,1991,17.0,5.0
433,N,1991,18.0,5.0
434,N,1991,19.0,5.0
435,N,1991,20.0,5.0
436,N,1991,21.0,6.0
437,N,1991,22.0,6.0
438,N,1991,23.0,6.0
439,N,1991,24.0,6.0
440,N,1991,25.0,7.0
441,N,1991,26.0,7.0
442,N,1991,27.0,7.0
443,N,1991,28.0,7.0
444,N,1991,29.0,8.0
445,N,1991,30.0,8.0
446,N,1991,31.0,8.0
447,N,1991,32.0,8.0
448,N,1991,33.0,9.0
449,N,1991,34.0,9.0
450,N,1991,35.0,9.0
451,N,1991,36.0,9.0
452,N,1991,37.0,10.0
453,N,1991,38.0,10.0
454,N,1991,39.0,10.0
455,N,1991,40.0,10.0
456,N,1991,41.0,11.0
457,N,1991,42.0,11.0
458,N,1991,43.0,11.0
459,N,1991,44.0,11.0
460,N,1991,45.0,12.0
461,N,1991,46.0,12.0
462,N,1991,47.0,12.0
463,N,1991,48.0,12.0
464,N,1991,49.0,13.0
465,N,1991,50.0,13.0
466,P,1991,51.0,13.0
467,P,1991,52.0,13.0
