,Type_school_cat,Sex_cat,DVRT_num,Educational_level_cat,Leaving_Certificate_cat,Prestige_score_num
36,secondary,male,123,Junior_cycle_incomplete-secondary_school,not_taken,43.0
37,secondary,male,127,Senior_cycle_terminal_leaver-secondary_school,taken,43.0
38,secondary,male,124,Senior_cycle_terminal_leaver-secondary_school,taken,62.0
39,vocational,male,110,Senior_cycle_incomplete-vocational_school,not_taken,27.0
40,secondary,male,94,Senior_cycle_terminal_leaver-secondary_school,taken,43.0
41,secondary,male,112,Senior_cycle_terminal_leaver-secondary_school,taken,40.0
42,secondary,male,123,Senior_cycle_terminal_leaver-secondary_school,taken,35.0
43,secondary,male,70,Junior_cycle_incomplete-secondary_school,not_taken,18.0
44,vocational,male,102,Junior_cycle_terminal_leaver-vocational_school,not_taken,43.0
45,secondary,male,126,3rd_level_complete,taken,27.0
46,secondary,male,121,Senior_cycle_terminal_leaver-secondary_school,taken,40.0
47,vocational,male,100,Junior_cycle_incomplete-vocational_school,not_taken,43.0
48,vocational,male,85,Junior_cycle_incomplete-vocational_school,not_taken,31.0
49,vocational,male,86,Junior_cycle_terminal_leaver-vocational_school,not_taken,31.0
50,vocational,male,101,Junior_cycle_incomplete-vocational_school,not_taken,28.0
51,secondary,male,91,Junior_cycle_terminal_leaver-secondary_school,not_taken,40.0
52,secondary,male,113,Senior_cycle_terminal_leaver-secondary_school,taken,43.0
53,vocational,male,103,Junior_cycle_terminal_leaver-vocational_school,not_taken,33.0
54,secondary,male,117,Senior_cycle_incomplete-secondary_school,not_taken,18.0
55,vocational,male,72,Junior_cycle_incomplete-vocational_school,not_taken,43.0
56,primary_terminal_leaver,male,70,Primary_terminal_leaver,not_taken,18.0
57,secondary,male,112,Junior_cycle_incomplete-secondary_school,not_taken,18.0
58,primary_terminal_leaver,male,65,Primary_terminal_leaver,not_taken,18.0
59,secondary,male,97,Junior_cycle_terminal_leaver-secondary_school,not_taken,35.0
60,vocational,male,100,Junior_cycle_terminal_leaver-vocational_school,not_taken,43.0
61,vocational,male,99,Junior_cycle_terminal_leaver-vocational_school,not_taken,18.0
62,vocational,male,91,Junior_cycle_incomplete-vocational_school,not_taken,28.0
63,secondary,male,107,,not_taken,43.0
64,vocational,male,94,Junior_cycle_incomplete-vocational_school,not_taken,43.0
65,secondary,male,104,Junior_cycle_terminal_leaver-secondary_school,not_taken,36.0
66,secondary,male,117,Senior_cycle_terminal_leaver-secondary_school,taken,
67,secondary,male,104,Junior_cycle_terminal_leaver-secondary_school,not_taken,43.0
68,secondary,male,115,,not_taken,66.0
69,secondary,female,123,Senior_cycle_incomplete-secondary_school,not_taken,35.0
70,secondary,female,103,Junior_cycle_terminal_leaver-secondary_school,not_taken,43.0
71,vocational,female,109,Junior_cycle_terminal_leaver-vocational_school,not_taken,43.0
72,secondary,female,99,Junior_cycle_terminal_leaver-secondary_school,not_taken,61.0
73,secondary,female,100,3rd_level_complete,taken,47.0
74,secondary,female,100,Junior_cycle_terminal_leaver-secondary_school,not_taken,62.0
75,secondary,female,107,Senior_cycle_terminal_leaver-secondary_school,taken,40.0
76,primary_terminal_leaver,female,70,Primary_terminal_leaver,not_taken,18.0
77,secondary,female,91,Junior_cycle_terminal_leaver-secondary_school,not_taken,30.0
78,secondary,female,117,Senior_cycle_terminal_leaver-secondary_school,taken,43.0
79,secondary,female,115,Senior_cycle_terminal_leaver-secondary_school,taken,57.0
80,secondary,female,93,Junior_cycle_terminal_leaver-secondary_school,not_taken,43.0
81,secondary,female,103,Senior_cycle_terminal_leaver-secondary_school,taken,30.0
82,secondary,female,99,Junior_cycle_terminal_leaver-secondary_school,not_taken,57.0
83,secondary,female,115,Junior_cycle_incomplete-secondary_school,not_taken,36.0
84,secondary,female,104,Senior_cycle_terminal_leaver-secondary_school,taken,38.0
85,secondary,female,116,Junior_cycle_terminal_leaver-secondary_school,not_taken,47.0
86,secondary,female,94,Junior_cycle_incomplete-secondary_school,not_taken,51.0
87,secondary,female,114,3rd_level_complete,taken,43.0
88,secondary,female,113,Junior_cycle_terminal_leaver-secondary_school,not_taken,18.0
89,vocational,female,106,Junior_cycle_incomplete-vocational_school,not_taken,
90,secondary,female,119,Senior_cycle_terminal_leaver-secondary_school,taken,57.0
91,secondary,female,114,Senior_cycle_terminal_leaver-secondary_school,taken,48.0
92,secondary,female,108,Senior_cycle_terminal_leaver-secondary_school,taken,27.0
93,secondary,female,97,Junior_cycle_incomplete-secondary_school,not_taken,46.0
94,primary_terminal_leaver,female,83,Primary_terminal_leaver,not_taken,28.0
95,secondary,female,103,Junior_cycle_terminal_leaver-secondary_school,not_taken,43.0
96,secondary,female,104,Junior_cycle_terminal_leaver-secondary_school,not_taken,64.0
97,secondary,female,97,Junior_cycle_terminal_leaver-secondary_school,not_taken,18.0
98,secondary,female,109,Junior_cycle_terminal_leaver-secondary_school,not_taken,69.0
99,secondary,female,90,Junior_cycle_terminal_leaver-secondary_school,not_taken,33.0
100,vocational,female,114,Junior_cycle_terminal_leaver-vocational_school,not_taken,28.0
101,secondary,female,99,Junior_cycle_terminal_leaver-secondary_school,not_taken,38.0
102,secondary,female,94,Senior_cycle_terminal_leaver-secondary_school,taken,35.0
103,secondary,female,86,Junior_cycle_terminal_leaver-secondary_school,not_taken,28.0
104,secondary,female,93,Senior_cycle_terminal_leaver-secondary_school,taken,35.0
105,vocational,female,91,Junior_cycle_terminal_leaver-vocational_school,not_taken,28.0
106,secondary,female,109,Senior_cycle_incomplete-secondary_school,not_taken,40.0
107,secondary,female,91,Junior_cycle_terminal_leaver-secondary_school,not_taken,28.0
108,vocational,female,106,Junior_cycle_terminal_leaver-vocational_school,not_taken,28.0
109,secondary,female,109,Senior_cycle_terminal_leaver-secondary_school,taken,43.0
110,secondary,female,111,Junior_cycle_terminal_leaver-secondary_school,not_taken,51.0
111,secondary,female,111,Junior_cycle_terminal_leaver-secondary_school,not_taken,
112,vocational,female,106,Junior_cycle_terminal_leaver-vocational_school,not_taken,
113,vocational,female,86,Junior_cycle_terminal_leaver-vocational_school,not_taken,40.0
114,secondary,female,107,Junior_cycle_incomplete-secondary_school,not_taken,18.0
115,primary_terminal_leaver,female,103,Primary_terminal_leaver,not_taken,28.0
116,secondary,female,100,Junior_cycle_incomplete-secondary_school,not_taken,18.0
117,secondary,female,101,Junior_cycle_terminal_leaver-secondary_school,not_taken,38.0
118,vocational,female,97,Junior_cycle_incomplete-vocational_school,not_taken,36.0
119,vocational,female,105,Junior_cycle_terminal_leaver-vocational_school,not_taken,46.0
120,vocational,female,98,Junior_cycle_incomplete-vocational_school,not_taken,37.0
121,secondary,female,111,Junior_cycle_terminal_leaver-secondary_school,not_taken,18.0
122,secondary,female,88,Junior_cycle_incomplete-secondary_school,not_taken,57.0
123,secondary,female,123,Junior_cycle_terminal_leaver-secondary_school,not_taken,28.0
124,secondary,female,98,Junior_cycle_terminal_leaver-secondary_school,not_taken,33.0
125,vocational,female,94,Junior_cycle_terminal_leaver-vocational_school,not_taken,43.0
126,secondary,female,109,Junior_cycle_terminal_leaver-secondary_school,not_taken,28.0
127,primary_terminal_leaver,female,70,Primary_terminal_leaver,not_taken,18.0
128,vocational,female,75,Junior_cycle_incomplete-vocational_school,not_taken,33.0
129,secondary,female,72,Senior_cycle_terminal_leaver-secondary_school,taken,18.0
130,vocational,female,70,Junior_cycle_incomplete-vocational_school,not_taken,18.0
131,primary_terminal_leaver,female,70,Primary_terminal_leaver,not_taken,18.0
132,primary_terminal_leaver,female,70,Primary_terminal_leaver,not_taken,18.0
133,primary_terminal_leaver,female,70,Primary_terminal_leaver,not_taken,18.0
134,primary_terminal_leaver,female,85,Primary_terminal_leaver,not_taken,18.0
135,vocational,female,108,Junior_cycle_terminal_leaver-vocational_school,not_taken,28.0
136,vocational,female,75,Junior_cycle_incomplete-vocational_school,not_taken,28.0
137,secondary,female,104,Senior_cycle_terminal_leaver-secondary_school,taken,
138,secondary,female,103,Junior_cycle_terminal_leaver-secondary_school,not_taken,38.0
139,secondary,female,122,3rd_level_complete,taken,38.0
140,secondary,female,110,Senior_cycle_terminal_leaver-secondary_school,taken,40.0
141,secondary,male,107,Senior_cycle_terminal_leaver-secondary_school,taken,40.0
142,secondary,male,104,3rd_level_complete,taken,75.0
143,secondary,male,70,Junior_cycle_terminal_leaver-secondary_school,not_taken,58.0
144,secondary,male,116,,not_taken,18.0
145,primary_terminal_leaver,male,103,Primary_terminal_leaver,not_taken,43.0
146,secondary,male,95,Senior_cycle_terminal_leaver-secondary_school,taken,43.0
147,vocational,male,113,Junior_cycle_terminal_leaver-vocational_school,not_taken,
148,vocational,male,126,Junior_cycle_incomplete-vocational_school,not_taken,61.0
149,secondary,male,118,Senior_cycle_terminal_leaver-secondary_school,taken,71.0
150,secondary,male,115,Senior_cycle_terminal_leaver-secondary_school,taken,27.0
151,vocational,male,89,Junior_cycle_incomplete-vocational_school,not_taken,43.0
152,secondary,male,113,3rd_level_complete,taken,61.0
153,secondary,male,85,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
154,secondary,male,95,Senior_cycle_terminal_leaver-secondary_school,taken,43.0
155,secondary,male,109,3rd_level_complete,taken,57.0
156,secondary,male,111,Senior_cycle_terminal_leaver-secondary_school,taken,69.0
157,secondary,male,116,Senior_cycle_terminal_leaver-secondary_school,taken,75.0
158,vocational,male,90,Senior_cycle_incomplete-vocational_school,not_taken,43.0
159,vocational,male,90,Junior_cycle_incomplete-vocational_school,not_taken,28.0
160,primary_terminal_leaver,male,82,Primary_terminal_leaver,not_taken,31.0
161,secondary,male,84,,not_taken,33.0
162,vocational,male,117,Senior_cycle_incomplete-vocational_school,not_taken,28.0
163,vocational,male,71,Senior_cycle_incomplete-vocational_school,not_taken,40.0
164,secondary,male,104,3rd_level_incomplete,taken,69.0
165,vocational,male,86,Junior_cycle_incomplete-vocational_school,not_taken,18.0
166,vocational,male,79,Junior_cycle_terminal_leaver-vocational_school,not_taken,46.0
167,vocational,male,80,Junior_cycle_terminal_leaver-vocational_school,not_taken,65.0
168,secondary,male,99,Senior_cycle_terminal_leaver-secondary_school,taken,18.0
169,vocational,male,86,Junior_cycle_incomplete-vocational_school,not_taken,61.0
170,secondary,male,116,3rd_level_complete,taken,18.0
171,secondary,male,124,Senior_cycle_terminal_leaver-secondary_school,taken,65.0
172,primary_terminal_leaver,male,98,Primary_terminal_leaver,not_taken,28.0
173,secondary,male,101,Junior_cycle_terminal_leaver-secondary_school,not_taken,35.0
174,primary_terminal_leaver,male,87,Primary_terminal_leaver,not_taken,43.0
175,secondary,male,97,3rd_level_complete,taken,40.0
176,secondary,male,120,3rd_level_complete,taken,43.0
177,secondary,male,103,Senior_cycle_terminal_leaver-secondary_school,taken,43.0
178,secondary,male,107,Senior_cycle_terminal_leaver-secondary_school,taken,40.0
179,secondary,male,105,Senior_cycle_incomplete-secondary_school,not_taken,57.0
180,vocational,male,99,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
181,vocational,male,103,Senior_cycle_terminal_leaver-secondary_school,taken,28.0
182,secondary,male,101,Junior_cycle_incomplete-secondary_school,not_taken,28.0
183,secondary,female,102,Junior_cycle_terminal_leaver-secondary_school,not_taken,18.0
184,vocational,female,105,Senior_cycle_terminal_leaver-secondary_school,taken,18.0
185,vocational,female,70,Junior_cycle_incomplete-vocational_school,not_taken,18.0
186,secondary,female,101,3rd_level_complete,taken,43.0
187,vocational,female,90,Senior_cycle_terminal_leaver-secondary_school,taken,42.0
188,secondary,female,85,Senior_cycle_terminal_leaver-secondary_school,taken,43.0
189,secondary,female,104,Senior_cycle_terminal_leaver-secondary_school,taken,18.0
190,vocational,female,87,Senior_cycle_terminal_leaver-secondary_school,taken,18.0
191,secondary,female,85,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
192,vocational,female,102,Junior_cycle_terminal_leaver-vocational_school,not_taken,42.0
193,secondary,female,94,Junior_cycle_terminal_leaver-secondary_school,not_taken,37.0
194,secondary,female,93,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
195,secondary,female,99,3rd_level_complete,taken,37.0
196,secondary,female,103,Senior_cycle_terminal_leaver-secondary_school,taken,38.0
197,secondary,female,89,Junior_cycle_terminal_leaver-secondary_school,not_taken,18.0
198,primary_terminal_leaver,female,77,Primary_terminal_leaver,not_taken,
199,vocational,female,92,Junior_cycle_terminal_leaver-vocational_school,not_taken,37.0
200,secondary,female,109,Senior_cycle_terminal_leaver-secondary_school,taken,43.0
201,secondary,female,91,Junior_cycle_terminal_leaver-secondary_school,not_taken,18.0
202,secondary,female,109,Senior_cycle_terminal_leaver-secondary_school,taken,58.0
203,secondary,female,105,Junior_cycle_incomplete-secondary_school,not_taken,57.0
204,secondary,female,105,Senior_cycle_terminal_leaver-secondary_school,taken,18.0
205,secondary,female,90,Junior_cycle_terminal_leaver-secondary_school,not_taken,69.0
206,secondary,female,99,3rd_level_complete,taken,69.0
207,secondary,female,110,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
208,secondary,female,88,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
209,secondary,female,101,Senior_cycle_terminal_leaver-secondary_school,taken,66.0
210,vocational,female,91,Junior_cycle_incomplete-vocational_school,not_taken,18.0
211,secondary,female,78,Senior_cycle_terminal_leaver-secondary_school,taken,18.0
212,secondary,female,118,3rd_level_complete,taken,65.0
213,primary_terminal_leaver,female,100,Primary_terminal_leaver,not_taken,28.0
214,vocational,female,100,Junior_cycle_terminal_leaver-vocational_school,not_taken,18.0
215,secondary,female,85,Senior_cycle_terminal_leaver-secondary_school,taken,57.0
216,secondary,female,106,3rd_level_complete,taken,61.0
217,vocational,female,70,Junior_cycle_incomplete-vocational_school,not_taken,
218,vocational,female,97,Junior_cycle_incomplete-vocational_school,not_taken,18.0
219,primary_terminal_leaver,female,86,Primary_terminal_leaver,not_taken,
220,vocational,female,92,Junior_cycle_incomplete-vocational_school,not_taken,18.0
221,primary_terminal_leaver,female,102,Primary_terminal_leaver,not_taken,38.0
222,vocational,female,86,Junior_cycle_incomplete-vocational_school,not_taken,18.0
223,secondary,female,78,Senior_cycle_terminal_leaver-secondary_school,taken,46.0
224,vocational,female,100,Junior_cycle_incomplete-vocational_school,not_taken,18.0
225,secondary,male,104,Senior_cycle_terminal_leaver-secondary_school,taken,61.0
226,secondary,male,70,Junior_cycle_terminal_leaver-secondary_school,not_taken,31.0
227,secondary,male,107,Senior_cycle_terminal_leaver-secondary_school,taken,75.0
228,secondary,male,114,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
229,vocational,male,103,Junior_cycle_incomplete-vocational_school,not_taken,31.0
230,secondary,male,115,Junior_cycle_terminal_leaver-secondary_school,not_taken,37.0
231,secondary,male,106,Senior_cycle_terminal_leaver-secondary_school,taken,57.0
232,secondary,male,114,Senior_cycle_terminal_leaver-secondary_school,taken,61.0
233,secondary,male,90,Senior_cycle_terminal_leaver-secondary_school,taken,58.0
234,secondary,male,103,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
235,secondary,male,92,Junior_cycle_incomplete-secondary_school,not_taken,58.0
236,secondary,male,113,3rd_level_complete,taken,37.0
237,secondary,male,92,Junior_cycle_terminal_leaver-secondary_school,not_taken,37.0
238,secondary,male,108,3rd_level_complete,taken,37.0
239,secondary,male,96,Junior_cycle_incomplete-secondary_school,not_taken,18.0
240,secondary,male,70,Junior_cycle_incomplete-secondary_school,not_taken,18.0
241,secondary,male,112,Senior_cycle_terminal_leaver-secondary_school,taken,75.0
242,secondary,male,106,Senior_cycle_terminal_leaver-secondary_school,taken,28.0
243,secondary,male,91,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
244,vocational,male,96,Junior_cycle_terminal_leaver-vocational_school,not_taken,18.0
245,primary_terminal_leaver,male,70,Primary_terminal_leaver,not_taken,18.0
246,secondary,male,109,Senior_cycle_terminal_leaver-secondary_school,taken,57.0
247,vocational,male,74,Junior_cycle_terminal_leaver-vocational_school,not_taken,37.0
248,secondary,male,99,Junior_cycle_incomplete-secondary_school,not_taken,43.0
249,secondary,male,107,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
250,secondary,male,90,Junior_cycle_terminal_leaver-secondary_school,not_taken,37.0
251,vocational,male,78,Junior_cycle_terminal_leaver-vocational_school,not_taken,31.0
252,primary_terminal_leaver,male,70,Primary_terminal_leaver,not_taken,37.0
253,vocational,male,88,Junior_cycle_incomplete-vocational_school,not_taken,58.0
254,vocational,male,93,Junior_cycle_terminal_leaver-vocational_school,not_taken,18.0
255,vocational,male,88,Junior_cycle_incomplete-vocational_school,not_taken,43.0
256,secondary,male,108,Senior_cycle_terminal_leaver-secondary_school,taken,58.0
257,secondary,male,101,3rd_level_complete,taken,57.0
258,vocational,male,98,Junior_cycle_incomplete-vocational_school,not_taken,28.0
259,secondary,male,103,Senior_cycle_terminal_leaver-secondary_school,taken,35.0
260,secondary,male,73,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
261,secondary,male,109,,not_taken,43.0
262,vocational,male,102,Junior_cycle_terminal_leaver-vocational_school,not_taken,37.0
263,vocational,male,93,Junior_cycle_incomplete-vocational_school,not_taken,37.0
264,vocational,male,93,Junior_cycle_incomplete-vocational_school,not_taken,18.0
265,secondary,male,101,Senior_cycle_terminal_leaver-secondary_school,taken,61.0
266,vocational,male,100,Senior_cycle_incomplete-vocational_school,not_taken,37.0
267,primary_terminal_leaver,male,70,Primary_terminal_leaver,not_taken,31.0
268,vocational,male,102,Junior_cycle_incomplete-vocational_school,not_taken,18.0
269,vocational,male,113,Junior_cycle_terminal_leaver-vocational_school,not_taken,28.0
270,secondary,male,91,Junior_cycle_terminal_leaver-secondary_school,not_taken,37.0
271,secondary,male,109,Junior_cycle_terminal_leaver-secondary_school,not_taken,37.0
272,primary_terminal_leaver,male,80,Primary_terminal_leaver,not_taken,58.0
273,vocational,male,118,Senior_cycle_terminal_leaver-secondary_school,taken,18.0
274,primary_terminal_leaver,male,70,Primary_terminal_leaver,not_taken,58.0
275,vocational,male,88,Junior_cycle_terminal_leaver-vocational_school,not_taken,37.0
276,vocational,male,72,Junior_cycle_terminal_leaver-vocational_school,not_taken,37.0
277,secondary,male,81,Senior_cycle_terminal_leaver-secondary_school,taken,58.0
278,vocational,male,70,Junior_cycle_incomplete-vocational_school,not_taken,37.0
279,vocational,male,97,Junior_cycle_incomplete-vocational_school,not_taken,18.0
280,secondary,male,87,Senior_cycle_terminal_leaver-secondary_school,taken,40.0
281,vocational,male,99,Junior_cycle_terminal_leaver-vocational_school,not_taken,18.0
282,primary_terminal_leaver,male,81,Primary_terminal_leaver,not_taken,18.0
283,vocational,male,84,Junior_cycle_terminal_leaver-vocational_school,not_taken,18.0
284,vocational,male,90,Junior_cycle_incomplete-vocational_school,not_taken,58.0
285,secondary,male,95,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
286,vocational,male,84,Junior_cycle_incomplete-vocational_school,not_taken,61.0
287,vocational,male,104,Senior_cycle_incomplete-vocational_school,not_taken,40.0
288,vocational,male,105,Junior_cycle_incomplete-vocational_school,not_taken,31.0
289,secondary,male,107,Junior_cycle_incomplete-secondary_school,not_taken,58.0
290,vocational,male,84,Junior_cycle_incomplete-vocational_school,not_taken,40.0
291,vocational,male,108,Junior_cycle_terminal_leaver-vocational_school,not_taken,
292,vocational,male,70,Senior_cycle_incomplete-vocational_school,not_taken,18.0
293,secondary,male,99,3rd_level_complete,taken,37.0
294,secondary,male,87,Senior_cycle_terminal_leaver-secondary_school,taken,18.0
295,primary_terminal_leaver,male,81,Primary_terminal_leaver,not_taken,18.0
296,secondary,male,103,Senior_cycle_terminal_leaver-secondary_school,taken,43.0
297,secondary,male,114,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
298,secondary,male,101,Senior_cycle_terminal_leaver-secondary_school,taken,35.0
299,primary_terminal_leaver,male,70,Primary_terminal_leaver,not_taken,58.0
300,vocational,male,70,Junior_cycle_terminal_leaver-vocational_school,not_taken,
301,secondary,male,109,Senior_cycle_terminal_leaver-secondary_school,taken,
302,vocational,male,78,Senior_cycle_terminal_leaver-secondary_school,taken,58.0
303,primary_terminal_leaver,male,70,Primary_terminal_leaver,not_taken,37.0
304,vocational,male,70,Junior_cycle_terminal_leaver-vocational_school,not_taken,58.0
305,secondary,male,104,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
306,primary_terminal_leaver,male,86,Primary_terminal_leaver,not_taken,18.0
307,vocational,male,99,Junior_cycle_terminal_leaver-vocational_school,not_taken,35.0
308,vocational,male,98,Junior_cycle_terminal_leaver-vocational_school,not_taken,58.0
309,vocational,male,118,Junior_cycle_terminal_leaver-vocational_school,not_taken,18.0
310,vocational,male,76,Junior_cycle_incomplete-vocational_school,not_taken,
311,secondary,male,102,Junior_cycle_incomplete-secondary_school,not_taken,18.0
312,vocational,male,106,Junior_cycle_terminal_leaver-vocational_school,not_taken,37.0
313,vocational,male,108,Junior_cycle_terminal_leaver-vocational_school,not_taken,35.0
314,vocational,male,110,Senior_cycle_incomplete-vocational_school,not_taken,37.0
315,vocational,male,110,Junior_cycle_terminal_leaver-vocational_school,not_taken,37.0
316,vocational,male,89,Senior_cycle_incomplete-vocational_school,not_taken,28.0
317,vocational,male,83,Junior_cycle_terminal_leaver-vocational_school,not_taken,18.0
318,secondary,male,96,Junior_cycle_terminal_leaver-secondary_school,not_taken,37.0
319,secondary,male,113,3rd_level_complete,taken,65.0
320,secondary,male,95,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
321,vocational,male,108,Junior_cycle_terminal_leaver-vocational_school,not_taken,38.0
322,secondary,male,96,Junior_cycle_terminal_leaver-secondary_school,not_taken,28.0
323,secondary,male,79,Senior_cycle_incomplete-secondary_school,not_taken,61.0
324,secondary,female,99,Junior_cycle_terminal_leaver-secondary_school,not_taken,37.0
325,secondary,female,107,3rd_level_complete,taken,37.0
326,vocational,female,94,Junior_cycle_incomplete-vocational_school,not_taken,37.0
327,secondary,female,88,Junior_cycle_terminal_leaver-secondary_school,not_taken,37.0
328,secondary,female,82,Junior_cycle_terminal_leaver-secondary_school,not_taken,57.0
329,secondary,female,100,Senior_cycle_terminal_leaver-secondary_school,taken,57.0
330,secondary,female,102,Senior_cycle_terminal_leaver-secondary_school,taken,40.0
331,secondary,female,111,Senior_cycle_terminal_leaver-secondary_school,taken,58.0
332,secondary,female,111,Senior_cycle_terminal_leaver-secondary_school,taken,57.0
333,primary_terminal_leaver,female,94,Primary_terminal_leaver,not_taken,58.0
334,secondary,female,94,Senior_cycle_terminal_leaver-secondary_school,taken,18.0
335,vocational,female,93,Junior_cycle_terminal_leaver-vocational_school,not_taken,18.0
336,secondary,female,90,Senior_cycle_terminal_leaver-secondary_school,taken,58.0
337,secondary,female,84,Junior_cycle_terminal_leaver-secondary_school,not_taken,18.0
338,vocational,female,100,Junior_cycle_terminal_leaver-vocational_school,not_taken,27.0
339,secondary,female,106,Senior_cycle_terminal_leaver-secondary_school,taken,51.0
340,secondary,female,114,3rd_level_incomplete,taken,57.0
341,secondary,female,101,Senior_cycle_terminal_leaver-secondary_school,taken,
342,secondary,female,115,Senior_cycle_terminal_leaver-secondary_school,taken,43.0
343,secondary,female,108,Senior_cycle_terminal_leaver-secondary_school,taken,58.0
344,secondary,female,117,3rd_level_complete,taken,51.0
345,secondary,female,110,Junior_cycle_terminal_leaver-secondary_school,not_taken,28.0
346,secondary,female,93,Senior_cycle_terminal_leaver-secondary_school,taken,43.0
347,secondary,female,114,3rd_level_complete,taken,
348,primary_terminal_leaver,female,72,Primary_terminal_leaver,not_taken,
349,secondary,female,116,Senior_cycle_terminal_leaver-secondary_school,taken,
350,secondary,female,117,3rd_level_complete,taken,37.0
351,secondary,female,102,Senior_cycle_terminal_leaver-secondary_school,taken,40.0
352,secondary,female,84,Senior_cycle_terminal_leaver-secondary_school,taken,18.0
353,secondary,female,94,Junior_cycle_incomplete-secondary_school,not_taken,28.0
354,secondary,female,81,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
355,secondary,female,101,Junior_cycle_terminal_leaver-secondary_school,not_taken,18.0
356,secondary,female,91,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
357,secondary,female,93,Senior_cycle_terminal_leaver-secondary_school,taken,38.0
358,secondary,female,116,Senior_cycle_terminal_leaver-secondary_school,taken,18.0
359,secondary,female,90,Senior_cycle_terminal_leaver-secondary_school,taken,57.0
360,secondary,female,115,Senior_cycle_terminal_leaver-secondary_school,taken,35.0
361,primary_terminal_leaver,female,89,Primary_terminal_leaver,not_taken,18.0
362,secondary,female,108,3rd_level_complete,taken,37.0
363,secondary,female,100,Senior_cycle_terminal_leaver-secondary_school,taken,18.0
364,vocational,female,86,Junior_cycle_terminal_leaver-vocational_school,not_taken,37.0
365,secondary,female,84,Junior_cycle_terminal_leaver-secondary_school,not_taken,37.0
366,vocational,female,90,Junior_cycle_terminal_leaver-vocational_school,not_taken,37.0
367,secondary,female,103,3rd_level_complete,taken,28.0
