,Peter_Travers_cat,Roger_Ebert_cat,Jeffrey_Lyons_cat,Michael_Medved_cat,Rex_Reed_cat,Gene_Shalit_cat,Joel_Siegel_cat,Gene_Siskel_cat
110,Mixed,Con,Mixed,,,,,Con
111,Mixed,Pro,,,Con,,,
112,Pro,,,,Pro,,,
113,Mixed,,Con,Con,Pro,,,
114,Pro,,,,Pro,,,
115,Pro,,Pro,,,,,Pro
116,Pro,Pro,Pro,Pro,Pro,,Pro,Pro
117,,Mixed,,,,,,Mixed
118,,Pro,,,,,,Pro
119,,,Pro,Pro,Mixed,,Pro,
120,Con,,,,,,Pro,
121,,Pro,,,,,,Pro
122,Con,Mixed,Mixed,Con,Con,,,Con
123,Mixed,,Pro,,Con,,Con,
124,Mixed,Mixed,Pro,,,,Mixed,
125,Pro,,Pro,,Con,,,
126,Con,Con,Pro,,Pro,,Pro,Mixed
127,Con,Pro,,,,,,
128,Pro,Pro,Pro,,,,,Pro
129,Con,Con,Con,,,,,Mixed
130,Mixed,Pro,Pro,Mixed,,,,Pro
131,Mixed,,Con,Mixed,,,Pro,Mixed
132,,Pro,,,,,,
133,Pro,Pro,,,Mixed,Mixed,Pro,Pro
134,Con,,Pro,,Mixed,,,
135,Pro,,Con,,,,,
136,Con,,Con,,Con,,Mixed,
137,Con,,Pro,,Pro,,,
138,Mixed,Pro,Con,Pro,Pro,,Con,Pro
139,,Mixed,Pro,Mixed,,,,Mixed
140,Mixed,Pro,Mixed,Pro,Con,,,Pro
141,Mixed,Mixed,Pro,,,,,Mixed
142,Con,,Con,Mixed,Con,,Con,Con
143,Con,Con,Pro,Con,Pro,,Mixed,Mixed
144,Mixed,Pro,Pro,Con,,Pro,Pro,Pro
145,Pro,,Pro,,,,,
146,Con,Con,Con,Con,Con,,,Con
147,Con,Mixed,Pro,Mixed,,Pro,,Con
148,,Mixed,Mixed,Pro,Mixed,,Con,Mixed
149,Pro,,Mixed,Mixed,Pro,Mixed,Pro,Mixed
150,Mixed,,Pro,Con,,,,
151,Con,,Pro,Pro,,,Con,
152,Con,Pro,Con,,,,,Pro
153,Con,Con,Con,Con,Con,Con,Pro,Con
154,Con,,Pro,Mixed,,,,
155,Con,Con,,Con,Mixed,,Con,
156,Pro,Pro,Pro,,Pro,Pro,Pro,Pro
157,Mixed,Pro,Pro,,Pro,,Mixed,Pro
158,Pro,Pro,Pro,,Pro,Mixed,Pro,Pro
159,Con,,,,,,Pro,
160,Mixed,,,,Con,,,
161,Mixed,Pro,Pro,,Pro,,,Pro
162,Con,Con,Pro,Pro,,Mixed,Con,Con
163,Con,Con,Pro,Con,,,Con,Con
164,Con,Con,,,,,,
165,Mixed,Con,,Mixed,,,,Mixed
166,Pro,Pro,Mixed,,Con,,Con,Mixed
167,Con,,,,,,,Con
168,Pro,Pro,Pro,,,,,
169,Mixed,Con,Con,,,,,Pro
170,Con,Pro,,,Con,,,Pro
171,Pro,Con,Pro,,Mixed,,,Pro
172,Pro,Pro,,Pro,,,,
173,,,,,,,,Mixed
174,Con,Con,Pro,,Con,,Con,Pro
175,Con,,Pro,Con,Mixed,Pro,,
176,Con,Con,,,,,Con,Mixed
177,Pro,Pro,Con,Con,Pro,Mixed,Pro,Pro
178,Mixed,Pro,,Mixed,,,,
179,Mixed,,Pro,Pro,,,Pro,Pro
180,,Con,Con,,,,,Con
181,,,Con,Con,,,,
182,Pro,,Pro,,Con,,Pro,
183,Pro,,Pro,,Con,,,
184,Mixed,,,Pro,,,,
185,Mixed,Mixed,Con,,Con,,,
186,Mixed,Pro,Pro,,,Pro,Mixed,Pro
187,Pro,,Pro,,,,,
188,Mixed,,Con,,,,,
189,,,Con,Mixed,,,,
190,Con,Con,,Con,,,,Con
191,Pro,,Pro,,,,,Pro
192,Pro,,Con,,,,,
193,Con,,Pro,,,,,
194,Mixed,Mixed,Mixed,Con,Con,,Pro,Pro
195,Pro,Pro,,Pro,Pro,,Pro,
196,Con,Pro,Con,Con,Con,,Con,Pro
197,,Pro,Con,,,,Pro,
198,Mixed,Pro,,,Mixed,,,
199,Con,Pro,Con,Con,,,,Pro
200,Mixed,,Con,Mixed,Con,,,
201,Pro,,Pro,,Mixed,,Pro,
202,Mixed,Pro,Pro,Mixed,,,Pro,Mixed
203,Mixed,,,Con,Con,,,Pro
204,Mixed,Pro,Pro,Con,Pro,Mixed,Mixed,Mixed
205,Mixed,Con,,,,,Pro,
206,,,,Mixed,Pro,,Pro,
207,Pro,Pro,Pro,,Pro,,,
208,Mixed,,Pro,Mixed,Pro,,,
209,Con,Pro,,Pro,Pro,,Pro,Pro
210,Con,,Con,,,,,
211,Con,Mixed,Pro,Con,,Con,,Mixed
212,Con,Pro,Pro,Mixed,Pro,Con,Con,Mixed
213,Mixed,,Pro,Con,,,Mixed,Mixed
214,,Mixed,Pro,Pro,,,,Mixed
215,Pro,Pro,,Pro,Pro,,,Con
216,Mixed,,Pro,Mixed,,,Pro,
217,Mixed,Pro,Pro,,,,,Pro
218,Pro,Pro,,,,,,
219,Con,Mixed,Con,Con,,,Mixed,
220,Pro,Pro,,,,,,Pro
221,Mixed,Pro,Pro,Con,Mixed,,Pro,Pro
222,Con,Con,Pro,,,,Con,Con
223,,Pro,,,Mixed,,,
224,Pro,,Con,Con,Con,Con,Con,
225,Mixed,,Pro,Mixed,,,,
226,Mixed,,Pro,Pro,Mixed,,Mixed,
227,Mixed,,Pro,,,,,
228,,,Con,,,,Pro,
229,Mixed,Pro,Pro,Pro,Pro,Pro,Pro,Pro
230,Con,Con,Con,,,,,Con
231,,Pro,Pro,,,,,
232,Con,Pro,Mixed,,Pro,,,
233,,Pro,,,,,,Pro
234,Pro,Pro,Pro,,,,Pro,Pro
235,,Con,,,,,,Con
236,Mixed,Pro,Pro,Con,Mixed,Mixed,Pro,Pro
237,Con,,Mixed,Con,Pro,,,
238,Mixed,Con,,,,,,
239,,Pro,Pro,Pro,Con,,Pro,Pro
240,Mixed,Pro,Pro,Pro,,,Pro,Pro
241,,Pro,,,,,Pro,Pro
242,,Pro,Pro,Pro,Pro,,Pro,
243,Pro,Pro,Pro,Pro,,,,Pro
244,Mixed,,Pro,Mixed,,Mixed,Pro,
245,Pro,Mixed,Mixed,,Con,,Mixed,Pro
246,Mixed,,Pro,,Pro,,Pro,
247,Mixed,Pro,Con,,,,Pro,Pro
248,Con,Pro,,Pro,Mixed,Pro,Mixed,Pro
249,Pro,,Con,,Con,,Mixed,
250,,Mixed,Pro,Con,Con,,,
251,Pro,,Pro,,Pro,,,
252,Con,,Pro,Mixed,Mixed,,,Mixed
253,Pro,Mixed,Pro,,Pro,Pro,Pro,Pro
254,Mixed,,Con,,,,,Mixed
255,Mixed,Pro,Pro,Con,Pro,,,Pro
256,Con,Pro,Pro,Pro,,,Mixed,Pro
257,Pro,Mixed,,,Con,,,
258,Con,Mixed,Pro,Pro,,,Pro,
259,Pro,Pro,Pro,Pro,Pro,Pro,Pro,Pro
260,Con,Con,Con,,,,,Con
261,Mixed,Pro,Pro,,Pro,,,Mixed
262,Mixed,Pro,Pro,,,,Pro,Pro
263,Mixed,Pro,Mixed,,,,Con,Pro
264,Pro,,Pro,,Pro,,,
265,,,Pro,,,,,
266,Mixed,Pro,Pro,,,Pro,Pro,Pro
267,Mixed,,,Pro,Con,,,
268,Pro,,Con,Pro,,,,
269,,Con,Con,,Con,,Con,Con
270,Mixed,Mixed,Con,,Con,,,
271,Mixed,Mixed,,,,,,Pro
272,Pro,Pro,Con,,Con,,Con,Mixed
273,Con,Mixed,Con,Con,Con,Con,,Con
274,Con,Pro,,Pro,,,,
275,Pro,,Con,Mixed,Con,,Pro,
276,Con,Mixed,Pro,Pro,,,Con,Pro
277,Con,Mixed,,,Con,,,Pro
278,Mixed,,,,Pro,,Mixed,
279,,Pro,,,Pro,,,
280,Pro,,,Pro,,,,
281,,Con,Con,,,,,Con
282,Pro,,,Pro,Pro,Mixed,,
283,Pro,,Con,,,,,
284,Mixed,Mixed,Pro,,Con,,,
285,Pro,,,Mixed,Pro,Pro,Pro,
286,,Pro,Pro,Pro,,,,Pro
287,Mixed,,Pro,Con,,Pro,Pro,
288,Mixed,Con,Pro,Mixed,Pro,,,Con
289,Mixed,Mixed,Pro,Con,,,Mixed,Mixed
290,Con,Con,,,,,,
291,Mixed,Pro,Pro,,Con,Pro,Pro,
292,Con,Mixed,Con,Pro,Mixed,Mixed,Mixed,Pro
293,Pro,,,,,,Pro,
294,Con,Mixed,Pro,,,,Mixed,Con
295,Con,,Con,Con,,,,
296,Mixed,Mixed,Con,Con,Pro,,,Mixed
297,Pro,,Pro,,Pro,,Pro,
298,Mixed,Mixed,Pro,Pro,Pro,,,Mixed
299,Mixed,,,Pro,,,Pro,
300,Pro,Con,,,,,,
301,Mixed,,,,,,,
302,Pro,,,Pro,,,Pro,
303,Pro,,Pro,,Mixed,Pro,Pro,
304,Pro,,Pro,Mixed,Pro,,,
305,Con,,Con,,Con,Mixed,Pro,
306,Pro,Mixed,,,Pro,Pro,Pro,Mixed
307,Pro,Con,Pro,Mixed,Mixed,,,
308,Mixed,Con,Con,Pro,,,,Mixed
309,Mixed,Pro,,,Con,,,
310,Mixed,Con,,Pro,Pro,,Pro,Pro
311,Pro,,Pro,,,,Pro,
312,Con,,Pro,Con,Pro,,Pro,
313,Mixed,,Mixed,,,,,
314,Mixed,,Mixed,,,,,
315,Con,Mixed,Con,Mixed,Con,Con,Mixed,Con
316,Pro,Pro,,,,,,
317,Pro,Pro,Mixed,,,,,Pro
318,Pro,,,,Pro,,,
319,Mixed,Mixed,Mixed,,Con,,Pro,Pro
320,Con,,Con,Con,Con,Pro,Pro,Pro
321,Mixed,,Pro,,,,,
322,Mixed,,,,Con,,,
323,Mixed,Pro,Pro,Mixed,Con,Con,,
324,Mixed,,Pro,Con,,,,
325,Con,,,Con,,,,
326,Pro,,Pro,,Pro,Pro,Pro,
327,Con,Pro,Mixed,Pro,,Pro,,Mixed
328,Con,Mixed,Pro,,,,,
329,Mixed,Pro,Con,Pro,,,,Pro
330,Con,Pro,Pro,Pro,,,Mixed,Pro
331,Con,,,,,,,
332,Pro,,,,,,,
333,Con,Pro,,Con,,,,
334,,Mixed,Con,Con,,,,
335,Pro,Pro,Mixed,,,Pro,,Mixed
336,Con,Mixed,Pro,,Pro,,,Pro
337,Con,Con,Con,Con,,,Con,
338,Con,,Con,,,,,
339,Mixed,,Con,,Pro,,Pro,
340,Con,Mixed,Pro,Pro,,Pro,Pro,
341,Con,Pro,Pro,,,,,Pro
342,Pro,Pro,,,Pro,,,
343,,Con,Mixed,,,,,Mixed
344,Mixed,Pro,Pro,Pro,Pro,Mixed,Pro,
345,Pro,Pro,Pro,,Pro,,Pro,Pro
346,Mixed,,Pro,,Pro,,Con,
347,,Pro,,,,,,Mixed
348,Pro,Pro,,,Pro,,,
349,Pro,Mixed,Con,,,,Con,
350,Con,Con,Pro,Pro,,Mixed,,
351,Pro,Pro,Con,Pro,Mixed,Mixed,Pro,Pro
352,,Pro,Pro,Pro,Pro,,Pro,Pro
353,Con,Mixed,Pro,Mixed,,,,Mixed
354,Mixed,Mixed,Con,Con,Con,,Con,Pro
355,Con,Mixed,,,,,,
356,Con,Mixed,Con,Con,Con,,Con,Mixed
357,Pro,Pro,Pro,,Pro,Pro,Pro,
358,Pro,,Pro,Con,,,Pro,Pro
359,Pro,,Con,,,,,
360,,,Pro,Con,,,,
361,Con,Con,,Mixed,,,,
362,Mixed,Pro,,,,,Pro,
363,Mixed,Mixed,Con,Mixed,Con,,Mixed,
364,,Con,Mixed,,,,,
365,Con,Con,Con,,Con,,Con,
366,,,Mixed,Pro,,,,
367,Con,Con,Con,Pro,Con,,Con,Pro
368,Mixed,,,,Pro,,,
369,Pro,Pro,,Mixed,Pro,,Pro,Con
370,Mixed,Pro,Pro,Con,Con,Pro,Pro,Con
371,Con,Con,Pro,,,,,Con
372,Mixed,Pro,Pro,,Con,,Con,Mixed
373,Pro,Pro,Pro,,,,Pro,
374,Pro,,,,,,,
375,,Pro,,,,,,Pro
376,Mixed,Con,Pro,,Mixed,Con,Pro,Con
377,Mixed,Pro,Pro,Mixed,Pro,,Con,
378,Mixed,Con,Pro,Con,Pro,,Con,Pro
