,binaryClass_cat,Grievances_num,Rotate_cat,Union_cat,Workforce_num,Log_workforce_num
109,P,50.0,1,1,450.0,6.10925
110,P,8.0,1,1,106.0,4.66344
111,P,5.0,0,1,76.0,4.33073
112,P,15.0,0,1,107.0,4.67283
113,P,2.0,1,1,93.0,4.5326
114,P,8.0,0,1,113.0,4.72739
115,P,19.0,1,1,691.0,6.53814
116,N,6.0,1,1,196.0,5.27811
117,N,2.0,1,1,367.0,5.90536
118,N,7.0,1,1,409.0,6.01372
119,N,7.0,1,1,429.0,6.06146
120,N,25.0,1,1,347.0,5.84932
121,N,40.0,1,1,282.0,5.64191
122,N,8.0,1,1,132.0,4.8828
123,N,6.0,0,1,320.0,5.76832
124,N,4.0,1,1,408.0,6.01127
125,N,5.0,1,1,457.0,6.12468
126,N,2.0,0,1,148.0,4.99721
127,N,10.0,0,1,342.0,5.83481
128,N,36.0,0,1,296.0,5.69036
129,N,10.0,0,1,319.0,5.76519
130,N,101.0,0,1,574.0,6.35263
131,N,1.0,1,1,461.0,6.1334
132,N,16.0,1,1,530.0,6.27288
133,N,2.0,1,1,83.0,4.41884
134,N,40.0,1,1,830.0,6.72143
135,N,43.0,1,1,424.0,6.04973
136,N,74.0,1,1,555.0,6.31897
137,N,0.0,0,0,189.0,5.24175
138,N,50.0,0,1,59.0,4.07754
139,N,77.0,1,1,599.0,6.39526
140,N,6.0,0,1,305.0,5.72031
141,N,21.0,0,1,357.0,5.87774
142,N,5.0,0,1,82.0,4.40672
143,N,53.0,1,1,388.0,5.96101
144,N,45.0,1,1,579.0,6.3613
145,N,52.0,1,1,608.0,6.41017
146,N,8.0,0,1,82.0,4.40672
147,N,67.0,1,1,624.0,6.43615
148,N,67.0,1,1,620.0,6.42972
149,N,14.0,0,1,80.0,4.38203
150,N,10.0,0,1,126.0,4.83628
151,N,11.0,0,1,60.0,4.09434
152,N,68.0,1,1,850.0,6.74524
153,N,5.0,0,1,427.0,6.05678
154,N,28.0,0,1,87.0,4.46591
155,N,2.0,0,1,78.0,4.35671
156,N,22.0,0,1,352.0,5.86363
157,N,33.0,0,1,51.0,3.93183
158,N,22.0,0,1,45.0,3.80666
159,N,23.0,0,1,524.0,6.26149
160,N,155.0,1,1,890.0,6.79122
161,N,20.0,0,1,509.0,6.23245
162,N,40.0,0,1,84.0,4.43082
