,Future_business_num,Role_cat,Status_num,Trust_num,Outcome_favorability_num,Procedural_fairness_num
37,5,Recruiter,45.37037037,28.57142857,28.57142857,38.0952381
38,6,Candidate,,,61.9047619,71.42857143
39,5,Candidate,62.96296296,52.38095238,47.61904762,52.38095238
40,6,Candidate,68.51851852,42.85714286,57.14285714,66.66666667
41,7,Recruiter,,57.14285714,42.85714286,80.95238095
42,7,Candidate,57.40740741,59.52380952,71.42857143,85.71428571
43,7,Candidate,75.92592593,40.47619048,80.95238095,85.71428571
44,6,Recruiter,69.44444444,57.14285714,66.66666667,76.19047619
45,7,Recruiter,75.92592593,38.0952381,42.85714286,71.42857143
46,7,Candidate,81.48148148,61.9047619,66.66666667,71.42857143
47,6,Recruiter,77.77777778,66.66666667,28.57142857,52.38095238
48,6,Recruiter,,,,52.38095238
49,7,Recruiter,71.2962963,42.85714286,61.9047619,85.71428571
50,6,Recruiter,62.03703704,47.61904762,61.9047619,42.85714286
51,7,Candidate,77.77777778,47.61904762,76.19047619,85.71428571
52,4,Candidate,68.51851852,7.142857143,42.85714286,42.85714286
53,4,Candidate,52.77777778,54.76190476,33.33333333,47.61904762
54,7,Recruiter,57.87037037,38.0952381,57.14285714,57.14285714
55,6,Recruiter,75.92592593,80.95238095,47.61904762,57.14285714
56,7,Candidate,62.96296296,71.42857143,57.14285714,71.42857143
57,5,Candidate,,,47.61904762,14.28571429
58,7,Candidate,52.77777778,42.85714286,57.14285714,66.66666667
59,4,Recruiter,76.85185185,59.52380952,38.0952381,47.61904762
60,5,Candidate,53.7037037,35.71428571,61.9047619,61.9047619
61,4,Candidate,60.18518519,54.76190476,47.61904762,42.85714286
62,5,Recruiter,66.66666667,61.9047619,52.38095238,52.38095238
63,6,Recruiter,66.66666667,38.0952381,57.14285714,66.66666667
64,7,Candidate,54.62962963,50.0,,80.95238095
65,6,Candidate,50.92592593,28.57142857,38.0952381,66.66666667
66,5,Recruiter,55.55555556,45.23809524,28.57142857,52.38095238
67,6,Recruiter,47.22222222,11.9047619,76.19047619,66.66666667
68,7,Recruiter,84.25925926,80.95238095,57.14285714,71.42857143
69,6,Recruiter,66.66666667,40.47619048,61.9047619,71.42857143
70,6,Candidate,73.14814815,73.80952381,47.61904762,71.42857143
71,4,Recruiter,,38.0952381,42.85714286,42.85714286
72,6,Candidate,54.62962963,61.9047619,47.61904762,66.66666667
73,3,Candidate,67.59259259,47.61904762,42.85714286,61.9047619
74,6,Candidate,70.37037037,50.0,61.9047619,42.85714286
75,7,Candidate,82.40740741,40.47619048,66.66666667,85.71428571
76,7,Recruiter,68.51851852,64.28571429,71.42857143,85.71428571
77,7,Recruiter,74.07407407,66.66666667,66.66666667,66.66666667
78,6,Candidate,75.0,73.80952381,71.42857143,52.38095238
79,6,Candidate,65.74074074,21.42857143,33.33333333,66.66666667
80,7,Candidate,72.22222222,57.14285714,57.14285714,71.42857143
81,7,Recruiter,82.40740741,45.23809524,42.85714286,85.71428571
82,6,Candidate,57.40740741,50.0,42.85714286,66.66666667
83,6,Recruiter,63.88888889,47.61904762,52.38095238,66.66666667
84,5,Candidate,68.51851852,23.80952381,47.61904762,47.61904762
85,7,Recruiter,75.0,52.38095238,42.85714286,71.42857143
86,5,Candidate,57.40740741,47.61904762,28.57142857,61.9047619
87,7,Candidate,,45.23809524,42.85714286,52.38095238
88,7,Recruiter,,,66.66666667,71.42857143
89,5,Candidate,,45.23809524,42.85714286,52.38095238
90,6,Recruiter,,,66.66666667,71.42857143
91,7,Candidate,50.0,47.61904762,42.85714286,47.61904762
