,class_cat,attr1_cat,attr2_cat,attr3_cat,attr4_cat,attr5_cat,attr6_cat
296,1,1,3,2,1,4,2
297,0,1,3,2,2,1,1
298,1,1,3,2,2,1,2
299,1,1,3,2,2,2,1
300,0,1,3,2,2,2,2
301,1,1,3,2,2,3,1
302,0,1,3,2,2,3,2
303,1,1,3,2,2,4,1
304,0,1,3,2,2,4,2
305,0,1,3,2,3,1,1
306,1,1,3,2,3,1,2
307,1,1,3,2,3,2,1
308,0,1,3,2,3,2,2
309,1,1,3,2,3,3,1
310,0,1,3,2,3,3,2
311,1,1,3,2,3,4,1
312,0,1,3,2,3,4,2
313,0,2,1,1,1,1,1
314,0,2,1,1,1,1,2
315,0,2,1,1,1,2,1
316,0,2,1,1,1,2,2
317,0,2,1,1,1,3,1
318,0,2,1,1,1,3,2
319,0,2,1,1,1,4,1
320,0,2,1,1,1,4,2
321,0,2,1,1,2,1,1
322,0,2,1,1,2,1,2
323,0,2,1,1,2,2,1
324,1,2,1,1,2,2,2
325,0,2,1,1,2,3,1
326,1,2,1,1,2,3,2
327,0,2,1,1,2,4,1
328,1,2,1,1,2,4,2
329,0,2,1,1,3,1,1
330,0,2,1,1,3,1,2
331,0,2,1,1,3,2,1
332,1,2,1,1,3,2,2
333,0,2,1,1,3,3,1
334,1,2,1,1,3,3,2
335,0,2,1,1,3,4,1
336,1,2,1,1,3,4,2
337,0,2,1,2,1,1,1
338,0,2,1,2,1,1,2
339,0,2,1,2,1,2,1
340,1,2,1,2,1,2,2
341,0,2,1,2,1,3,1
342,1,2,1,2,1,3,2
343,0,2,1,2,1,4,1
344,1,2,1,2,1,4,2
345,0,2,1,2,2,1,1
346,1,2,1,2,2,1,2
347,1,2,1,2,2,2,1
348,0,2,1,2,2,2,2
349,1,2,1,2,2,3,1
350,0,2,1,2,2,3,2
351,1,2,1,2,2,4,1
352,0,2,1,2,2,4,2
353,0,2,1,2,3,1,1
354,1,2,1,2,3,1,2
355,1,2,1,2,3,2,1
356,0,2,1,2,3,2,2
357,1,2,1,2,3,3,1
358,0,2,1,2,3,3,2
359,1,2,1,2,3,4,1
360,0,2,1,2,3,4,2
361,0,2,2,1,1,1,1
362,0,2,2,1,1,1,2
363,0,2,2,1,1,2,1
364,1,2,2,1,1,2,2
365,0,2,2,1,1,3,1
366,1,2,2,1,1,3,2
367,0,2,2,1,1,4,1
368,1,2,2,1,1,4,2
369,0,2,2,1,2,1,1
370,1,2,2,1,2,1,2
371,1,2,2,1,2,2,1
372,0,2,2,1,2,2,2
373,1,2,2,1,2,3,1
374,0,2,2,1,2,3,2
375,1,2,2,1,2,4,1
376,0,2,2,1,2,4,2
377,0,2,2,1,3,1,1
378,1,2,2,1,3,1,2
379,1,2,2,1,3,2,1
380,0,2,2,1,3,2,2
381,1,2,2,1,3,3,1
382,0,2,2,1,3,3,2
383,1,2,2,1,3,4,1
384,0,2,2,1,3,4,2
385,0,2,2,2,1,1,1
386,1,2,2,2,1,1,2
387,1,2,2,2,1,2,1
388,0,2,2,2,1,2,2
389,1,2,2,2,1,3,1
390,0,2,2,2,1,3,2
391,1,2,2,2,1,4,1
392,0,2,2,2,1,4,2
393,1,2,2,2,2,1,1
394,0,2,2,2,2,1,2
395,0,2,2,2,2,2,1
396,0,2,2,2,2,2,2
397,0,2,2,2,2,3,1
398,0,2,2,2,2,3,2
399,0,2,2,2,2,4,1
400,0,2,2,2,2,4,2
401,1,2,2,2,3,1,1
402,0,2,2,2,3,1,2
403,0,2,2,2,3,2,1
404,0,2,2,2,3,2,2
405,0,2,2,2,3,3,1
406,0,2,2,2,3,3,2
407,0,2,2,2,3,4,1
408,0,2,2,2,3,4,2
409,0,2,3,1,1,1,1
410,0,2,3,1,1,1,2
411,0,2,3,1,1,2,1
412,1,2,3,1,1,2,2
413,0,2,3,1,1,3,1
414,1,2,3,1,1,3,2
415,0,2,3,1,1,4,1
416,1,2,3,1,1,4,2
417,0,2,3,1,2,1,1
418,1,2,3,1,2,1,2
419,1,2,3,1,2,2,1
420,0,2,3,1,2,2,2
421,1,2,3,1,2,3,1
422,0,2,3,1,2,3,2
423,1,2,3,1,2,4,1
424,0,2,3,1,2,4,2
425,0,2,3,1,3,1,1
426,1,2,3,1,3,1,2
427,1,2,3,1,3,2,1
428,0,2,3,1,3,2,2
429,1,2,3,1,3,3,1
430,0,2,3,1,3,3,2
431,1,2,3,1,3,4,1
432,0,2,3,1,3,4,2
433,0,2,3,2,1,1,1
434,1,2,3,2,1,1,2
435,1,2,3,2,1,2,1
436,0,2,3,2,1,2,2
437,1,2,3,2,1,3,1
438,0,2,3,2,1,3,2
439,1,2,3,2,1,4,1
440,0,2,3,2,1,4,2
441,1,2,3,2,2,1,1
442,0,2,3,2,2,1,2
443,0,2,3,2,2,2,1
444,0,2,3,2,2,2,2
445,0,2,3,2,2,3,1
446,0,2,3,2,2,3,2
447,0,2,3,2,2,4,1
448,0,2,3,2,2,4,2
449,1,2,3,2,3,1,1
450,0,2,3,2,3,1,2
451,0,2,3,2,3,2,1
452,0,2,3,2,3,2,2
453,0,2,3,2,3,3,1
454,0,2,3,2,3,3,2
455,0,2,3,2,3,4,1
456,0,2,3,2,3,4,2
457,0,3,1,1,1,1,1
458,0,3,1,1,1,1,2
459,0,3,1,1,1,2,1
460,0,3,1,1,1,2,2
461,0,3,1,1,1,3,1
462,0,3,1,1,1,3,2
463,0,3,1,1,1,4,1
464,0,3,1,1,1,4,2
465,0,3,1,1,2,1,1
466,0,3,1,1,2,1,2
467,0,3,1,1,2,2,1
468,1,3,1,1,2,2,2
469,0,3,1,1,2,3,1
470,1,3,1,1,2,3,2
471,0,3,1,1,2,4,1
472,1,3,1,1,2,4,2
473,0,3,1,1,3,1,1
474,0,3,1,1,3,1,2
475,0,3,1,1,3,2,1
476,1,3,1,1,3,2,2
477,0,3,1,1,3,3,1
478,1,3,1,1,3,3,2
479,0,3,1,1,3,4,1
480,1,3,1,1,3,4,2
481,0,3,1,2,1,1,1
482,0,3,1,2,1,1,2
483,0,3,1,2,1,2,1
484,1,3,1,2,1,2,2
485,0,3,1,2,1,3,1
486,1,3,1,2,1,3,2
487,0,3,1,2,1,4,1
488,1,3,1,2,1,4,2
489,0,3,1,2,2,1,1
490,1,3,1,2,2,1,2
491,1,3,1,2,2,2,1
492,0,3,1,2,2,2,2
493,1,3,1,2,2,3,1
494,0,3,1,2,2,3,2
495,1,3,1,2,2,4,1
496,0,3,1,2,2,4,2
497,0,3,1,2,3,1,1
498,1,3,1,2,3,1,2
499,1,3,1,2,3,2,1
500,0,3,1,2,3,2,2
501,1,3,1,2,3,3,1
502,0,3,1,2,3,3,2
503,1,3,1,2,3,4,1
504,0,3,1,2,3,4,2
505,0,3,2,1,1,1,1
506,0,3,2,1,1,1,2
507,0,3,2,1,1,2,1
508,1,3,2,1,1,2,2
509,0,3,2,1,1,3,1
510,1,3,2,1,1,3,2
511,0,3,2,1,1,4,1
512,1,3,2,1,1,4,2
513,0,3,2,1,2,1,1
514,1,3,2,1,2,1,2
515,1,3,2,1,2,2,1
516,0,3,2,1,2,2,2
517,1,3,2,1,2,3,1
518,0,3,2,1,2,3,2
519,1,3,2,1,2,4,1
520,0,3,2,1,2,4,2
521,0,3,2,1,3,1,1
522,1,3,2,1,3,1,2
523,1,3,2,1,3,2,1
524,0,3,2,1,3,2,2
525,1,3,2,1,3,3,1
526,0,3,2,1,3,3,2
527,1,3,2,1,3,4,1
528,0,3,2,1,3,4,2
529,0,3,2,2,1,1,1
530,1,3,2,2,1,1,2
531,1,3,2,2,1,2,1
532,0,3,2,2,1,2,2
533,1,3,2,2,1,3,1
534,0,3,2,2,1,3,2
535,1,3,2,2,1,4,1
536,0,3,2,2,1,4,2
537,1,3,2,2,2,1,1
538,0,3,2,2,2,1,2
539,0,3,2,2,2,2,1
540,0,3,2,2,2,2,2
541,0,3,2,2,2,3,1
542,0,3,2,2,2,3,2
543,0,3,2,2,2,4,1
544,0,3,2,2,2,4,2
545,1,3,2,2,3,1,1
546,0,3,2,2,3,1,2
547,0,3,2,2,3,2,1
548,0,3,2,2,3,2,2
549,0,3,2,2,3,3,1
550,0,3,2,2,3,3,2
551,0,3,2,2,3,4,1
552,0,3,2,2,3,4,2
553,0,3,3,1,1,1,1
554,0,3,3,1,1,1,2
555,0,3,3,1,1,2,1
556,1,3,3,1,1,2,2
557,0,3,3,1,1,3,1
558,1,3,3,1,1,3,2
559,0,3,3,1,1,4,1
560,1,3,3,1,1,4,2
561,0,3,3,1,2,1,1
562,1,3,3,1,2,1,2
563,1,3,3,1,2,2,1
564,0,3,3,1,2,2,2
565,1,3,3,1,2,3,1
566,0,3,3,1,2,3,2
567,1,3,3,1,2,4,1
568,0,3,3,1,2,4,2
569,0,3,3,1,3,1,1
570,1,3,3,1,3,1,2
571,1,3,3,1,3,2,1
572,0,3,3,1,3,2,2
573,1,3,3,1,3,3,1
574,0,3,3,1,3,3,2
575,1,3,3,1,3,4,1
576,0,3,3,1,3,4,2
577,0,3,3,2,1,1,1
578,1,3,3,2,1,1,2
579,1,3,3,2,1,2,1
580,0,3,3,2,1,2,2
581,1,3,3,2,1,3,1
582,0,3,3,2,1,3,2
583,1,3,3,2,1,4,1
584,0,3,3,2,1,4,2
585,1,3,3,2,2,1,1
586,0,3,3,2,2,1,2
587,0,3,3,2,2,2,1
588,0,3,3,2,2,2,2
589,0,3,3,2,2,3,1
590,0,3,3,2,2,3,2
591,0,3,3,2,2,4,1
592,0,3,3,2,2,4,2
593,1,3,3,2,3,1,1
594,0,3,3,2,3,1,2
595,0,3,3,2,3,2,1
596,0,3,3,2,3,2,2
597,0,3,3,2,3,3,1
598,0,3,3,2,3,3,2
599,0,3,3,2,3,4,1
600,0,3,3,2,3,4,2
