,Month.ordered.picks.1971_cat,Lottery.pick.1970_num,Lottery.pick.1971_num,Month_cat,Month.ordered.picks.1970_cat
143,1,319,222.0,5,2
144,12,31,22.0,5,8
145,5,361,26.0,5,11
146,3,357,148.0,5,4
147,5,296,122.0,5,4
148,10,308,9.0,5,9
149,3,226,61.0,5,2
150,12,103,209.0,5,9
151,1,313,350.0,5,2
152,6,249,65.0,6,7
153,6,228,304.0,6,8
154,5,301,135.0,6,5
155,7,20,42.0,6,11
156,3,28,233.0,6,12
157,7,110,153.0,6,9
158,1,85,169.0,6,1
159,10,366,7.0,6,9
160,9,335,352.0,6,9
161,12,206,76.0,6,12
162,6,134,355.0,6,12
163,7,272,51.0,6,1
164,4,69,342.0,6,12
165,10,356,363.0,6,3
166,8,180,276.0,6,8
167,11,274,229.0,6,8
168,6,73,289.0,6,3
169,3,341,214.0,6,3
170,5,104,163.0,6,10
171,7,360,43.0,6,7
172,1,60,113.0,6,12
173,7,247,307.0,6,11
174,5,109,44.0,6,9
175,11,358,236.0,6,10
176,1,137,327.0,6,9
177,4,22,308.0,6,5
178,5,64,55.0,6,2
179,5,222,215.0,6,6
180,12,353,154.0,6,2
181,4,209,217.0,6,11
182,9,93,104.0,7,5
183,10,350,322.0,7,9
184,1,115,30.0,7,11
185,2,279,59.0,7,1
186,2,188,287.0,7,7
187,1,327,164.0,7,7
188,3,50,365.0,7,2
189,7,13,106.0,7,7
190,10,277,1.0,7,4
191,12,284,158.0,7,10
192,11,248,174.0,7,7
193,12,15,257.0,7,1
194,1,42,349.0,7,9
195,10,331,156.0,7,10
196,11,322,273.0,7,5
197,12,120,284.0,7,8
198,5,98,341.0,7,1
199,9,190,90.0,7,3
200,2,227,316.0,7,10
201,4,187,120.0,7,10
202,3,27,356.0,7,11
203,12,153,282.0,7,9
204,11,172,172.0,7,2
205,9,23,360.0,7,6
206,3,67,3.0,7,9
207,12,303,47.0,7,4
208,5,289,85.0,7,6
209,5,88,190.0,7,2
210,1,270,4.0,7,1
211,5,287,15.0,7,2
212,2,193,221.0,7,3
213,6,111,326.0,8,2
214,6,45,102.0,8,1
215,4,261,279.0,8,2
216,6,145,300.0,8,3
217,12,54,64.0,8,4
218,12,114,251.0,8,4
219,3,168,263.0,8,10
220,7,48,49.0,8,1
221,5,106,125.0,8,6
222,4,21,359.0,8,3
223,4,324,230.0,8,1
224,5,142,320.0,8,9
225,2,307,58.0,8,5
226,2,198,103.0,8,7
227,9,102,270.0,8,6
228,6,44,329.0,8,10
229,8,154,343.0,8,11
230,9,141,109.0,8,4
231,8,311,83.0,8,9
232,6,344,69.0,8,9
233,2,291,50.0,8,10
234,4,339,250.0,8,1
235,6,116,10.0,8,2
236,9,36,274.0,8,10
237,9,286,364.0,8,1
238,12,245,91.0,8,3
239,5,352,232.0,8,12
240,3,167,248.0,8,10
241,5,61,32.0,8,9
242,11,333,167.0,8,10
243,4,11,275.0,8,10
244,11,225,283.0,9,8
245,3,161,161.0,9,9
246,9,49,183.0,9,6
247,8,232,231.0,9,7
248,12,82,295.0,9,6
249,8,6,21.0,9,5
250,8,8,265.0,9,1
251,11,184,108.0,9,4
252,11,263,313.0,9,4
253,3,71,130.0,9,10
254,11,158,288.0,9,9
255,4,242,314.0,9,3
256,7,175,238.0,9,9
257,3,1,247.0,9,3
258,10,113,291.0,9,3
259,2,207,139.0,9,4
260,9,255,200.0,9,8
261,2,246,333.0,9,4
262,8,177,228.0,9,9
263,4,63,261.0,9,10
264,9,204,68.0,9,3
265,10,160,88.0,9,11
266,4,119,206.0,9,3
267,5,195,237.0,9,3
268,3,149,107.0,9,4
269,8,18,93.0,9,7
270,2,233,338.0,9,4
271,11,257,309.0,9,6
272,7,151,303.0,9,4
273,8,315,18.0,9,6
274,8,359,306.0,10,3
275,6,125,191.0,10,5
276,1,244,134.0,10,7
277,3,202,266.0,10,5
278,8,24,166.0,10,7
279,11,87,78.0,10,1
280,3,234,131.0,10,11
281,7,283,45.0,10,11
282,9,342,302.0,10,10
283,7,220,160.0,10,7
284,1,237,84.0,10,2
285,11,72,70.0,10,8
286,7,138,92.0,10,7
287,9,294,115.0,10,10
288,6,171,310.0,10,7
289,10,254,34.0,10,2
290,9,288,290.0,10,8
291,4,5,340.0,10,2
292,5,241,74.0,10,3
293,11,192,196.0,10,10
294,9,243,5.0,10,5
295,3,117,36.0,10,5
296,4,201,339.0,10,2
297,3,196,149.0,10,5
298,3,176,17.0,10,2
299,8,7,184.0,10,3
300,5,264,318.0,10,6
301,10,94,28.0,10,2
302,9,229,259.0,10,7
303,6,38,332.0,10,12
304,12,79,311.0,10,1
305,10,19,243.0,11,1
306,6,34,205.0,11,8
307,6,348,294.0,11,5
308,9,266,39.0,11,11
309,10,310,286.0,11,11
310,10,76,245.0,11,8
311,4,51,72.0,11,4
312,9,97,119.0,11,5
313,9,80,176.0,11,12
314,12,282,63.0,11,9
315,7,46,123.0,11,4
316,3,66,255.0,11,3
317,10,126,272.0,11,1
318,3,127,11.0,11,5
319,8,131,362.0,11,12
320,12,107,197.0,11,5
321,7,143,6.0,11,7
322,12,146,280.0,11,3
323,11,203,252.0,11,8
324,2,185,98.0,11,1
325,8,156,35.0,11,5
326,6,9,253.0,11,7
327,4,182,193.0,11,12
328,8,230,81.0,11,1
329,1,132,23.0,11,5
330,2,309,52.0,11,7
331,10,47,168.0,11,3
332,9,281,324.0,11,8
333,2,99,100.0,11,3
334,2,174,67.0,11,6
335,1,129,347.0,12,4
336,2,328,321.0,12,1
337,9,157,110.0,12,2
338,10,165,305.0,12,8
339,10,56,27.0,12,4
340,7,10,198.0,12,6
341,6,12,162.0,12,10
342,8,105,323.0,12,3
343,5,43,114.0,12,8
344,2,41,204.0,12,4
345,1,39,73.0,12,4
346,12,314,19.0,12,2
347,12,163,151.0,12,11
348,7,26,348.0,12,1
349,5,320,87.0,12,7
350,2,96,41.0,12,4
351,6,304,315.0,12,8
352,5,128,208.0,12,6
353,2,240,249.0,12,3
354,6,135,218.0,12,1
355,7,70,181.0,12,6
356,5,53,194.0,12,5
357,4,162,219.0,12,6
358,8,95,2.0,12,10
359,7,84,361.0,12,6
360,12,173,80.0,12,5
361,11,78,239.0,12,3
362,6,123,128.0,12,2
363,8,16,145.0,12,5
364,7,3,192.0,12,2
365,,100,126.0,12,6
