,binaryClass_cat,pm10_concentration_num,cars_per_hour_num,temperature_at_2m_num,wind_speed_num,temperature_diff_2m_25m_num,wind_direction_num,hour_of_day_num
66,P,2.30259,7.80221,2.5,5.0,0.1,135.0,7.0
67,N,3.2581,7.55276,13.4,3.9,0.3,216.8,19.0
68,N,3.66356,6.82979,-15.5,3.1,0.2,70.3,22.0
69,N,3.04452,7.49053,-1.6,2.2,-0.9,211.7,12.0
70,P,3.4012,7.59035,0.1,2.6,-0.1,73.0,11.0
71,P,3.04452,5.51745,-2.8,0.5,2.2,5.0,5.0
72,P,3.4012,8.18619,-0.9,1.3,0.6,57.0,8.0
73,P,3.55535,5.95842,-10.3,1.2,2.5,86.0,24.0
74,N,3.97029,7.55276,-4.1,0.7,-0.7,264.8,13.0
75,P,4.72739,7.77022,-3.8,4.9,-0.2,68.0,7.0
76,P,4.30407,7.99834,8.2,5.6,-0.6,210.0,15.0
77,N,2.56495,7.15305,-4.8,4.7,-0.1,74.6,23.0
78,P,3.78419,7.95997,-4.3,6.0,0.1,18.0,13.0
79,P,4.95583,6.57508,6.2,1.3,1.1,226.0,24.0
80,N,3.66356,7.88231,3.3,5.8,-0.1,46.9,19.0
81,P,5.26786,7.43603,-1.0,1.8,1.4,89.0,20.0
82,P,3.46574,4.95583,-4.0,1.7,1.0,65.0,2.0
83,N,2.07944,5.1299,7.8,1.6,1.7,184.3,4.0
84,N,3.3673,7.20638,-5.3,1.8,-0.2,80.0,13.0
85,N,3.29584,7.46107,2.2,3.1,0.1,62.3,13.0
86,N,2.19722,7.53209,14.8,4.2,-4.5,227.7,11.0
87,P,3.43399,8.13359,-4.8,1.5,0.0,196.0,17.0
88,N,3.2581,6.91771,12.8,1.0,0.3,103.5,24.0
89,N,2.83321,7.12206,-3.2,4.6,-0.1,62.2,12.0
90,N,3.63759,8.2845,0.7,0.8,-0.8,86.0,8.0
91,N,2.70805,7.56528,3.5,6.9,0.2,204.4,15.0
92,N,2.99573,7.65112,-6.8,2.2,-0.4,78.8,16.0
93,N,4.00733,7.67183,8.3,0.7,-1.3,206.2,14.0
94,N,3.43399,6.31173,-19.0,2.3,0.8,60.9,8.0
95,N,0.69315,7.0775,7.0,4.0,-0.2,54.3,10.0
96,N,3.52636,7.34148,-14.6,1.6,-0.4,228.9,14.0
97,P,2.63906,7.96346,3.6,3.2,1.2,268.0,18.0
98,P,1.94591,7.35116,3.5,1.9,0.2,215.0,20.0
99,P,3.71357,7.54115,5.2,0.9,-1.0,280.0,11.0
100,P,2.83321,6.64249,-8.3,2.6,0.2,60.0,23.0
101,N,3.43399,7.56579,0.6,3.8,-0.4,64.6,12.0
102,P,3.29584,8.1806,-0.5,0.7,-0.2,248.0,15.0
103,P,3.17805,7.60738,1.0,2.4,-0.1,192.0,13.0
104,P,4.81218,7.54327,-8.0,0.6,0.5,88.0,13.0
105,N,4.63473,8.20985,-3.0,1.5,2.7,89.6,8.0
106,P,3.04452,5.76205,5.0,3.2,0.0,58.0,6.0
107,P,3.8712,6.91274,-5.1,0.8,1.4,241.0,23.0
108,P,3.68888,8.19781,0.2,2.4,0.5,80.0,8.0
109,P,4.33073,7.6024,12.9,5.6,-0.8,46.0,13.0
110,P,4.61512,7.54327,2.6,2.6,-1.9,243.0,11.0
111,N,4.43082,7.70661,7.8,8.0,-1.2,33.7,13.0
112,N,3.4012,5.54518,-0.7,2.0,-0.3,254.0,1.0
113,P,2.48491,7.68432,7.7,1.5,-0.1,89.0,16.0
114,N,3.29584,7.90064,1.5,1.3,0.9,334.7,18.0
115,N,2.94444,7.76684,15.8,3.2,-0.2,125.5,17.0
116,P,3.3673,7.97797,4.3,5.7,-1.0,232.0,9.0
117,N,2.89037,7.89767,8.1,6.4,-0.5,199.4,7.0
118,P,4.90527,8.24065,11.6,6.0,-1.3,213.0,16.0
119,P,2.63906,7.07581,2.8,3.2,0.3,223.0,10.0
120,P,3.29584,7.7424,-4.4,4.9,-0.1,23.0,10.0
121,P,3.71357,6.97915,-5.1,3.3,1.4,81.0,23.0
122,N,4.39445,8.27741,2.0,2.5,-0.3,207.2,16.0
123,N,3.82864,8.01268,10.0,4.8,-0.5,83.2,9.0
124,P,2.56495,5.78996,1.1,4.0,-0.1,79.0,3.0
125,P,3.3322,7.45934,6.1,2.5,0.0,92.0,22.0
126,N,3.13549,6.22851,0.1,1.9,1.1,208.8,6.0
127,N,0.69315,6.45362,-2.6,4.9,0.2,38.3,23.0
128,P,4.00733,7.7178,7.9,0.4,0.5,276.0,19.0
129,N,3.2581,7.92696,4.8,9.4,0.6,204.0,14.0
130,N,3.2581,6.56244,2.6,2.8,-0.7,224.1,8.0
131,P,4.84419,8.17273,-9.6,1.1,1.3,191.0,16.0
132,N,2.63906,5.1299,-1.5,2.5,-0.1,245.1,4.0
133,N,1.38629,4.54329,3.8,5.8,0.7,201.9,3.0
134,N,3.2581,5.71043,1.8,2.7,0.9,181.9,1.0
135,P,2.30259,8.19257,-0.7,4.1,0.6,252.0,8.0
136,N,3.09104,5.00395,3.6,2.7,1.2,344.7,4.0
137,P,2.94444,7.39817,3.9,6.2,0.7,206.0,20.0
138,P,3.4012,6.63988,4.7,3.6,0.0,59.0,24.0
139,P,2.99573,6.29342,-2.5,4.9,-0.2,84.0,7.0
140,P,3.82864,7.4378,-9.9,4.5,-0.1,55.0,11.0
141,P,2.30259,7.7977,1.7,2.0,0.3,38.0,15.0
142,P,4.29046,7.33629,-12.8,3.5,0.0,79.0,19.0
143,N,4.41884,7.51589,4.3,2.1,0.6,32.3,20.0
144,P,3.3673,7.70841,2.1,3.1,0.0,79.0,10.0
145,P,2.30259,4.64439,-2.2,4.9,-0.1,77.0,2.0
146,P,3.98898,7.77402,3.3,1.8,-0.3,220.0,10.0
147,P,4.12713,5.05625,5.6,3.5,-0.1,78.0,4.0
148,P,3.68888,5.86363,-0.6,0.6,1.7,142.0,1.0
149,N,2.30259,5.52943,3.4,4.7,0.8,220.1,5.0
150,P,3.29584,7.91754,0.2,2.8,0.4,335.0,15.0
151,P,3.13549,6.74052,-6.4,2.8,-0.1,77.0,22.0
152,N,2.07944,6.53669,8.0,1.9,-0.2,54.6,8.0
153,N,5.25227,7.82844,3.6,0.8,1.5,87.7,19.0
154,N,3.78419,7.74846,-13.4,4.0,0.2,74.1,13.0
155,N,3.97029,5.71043,-2.1,1.3,1.8,87.8,1.0
156,N,2.99573,5.64897,-8.7,4.3,-0.2,74.5,1.0
157,P,2.56495,6.42972,1.6,1.3,1.0,58.0,8.0
158,N,3.21888,6.51323,-3.9,2.8,0.4,71.3,8.0
159,N,1.38629,7.93057,1.4,2.5,0.2,210.5,19.0
160,P,3.13549,7.59337,3.3,4.2,1.2,235.0,20.0
161,P,4.06044,7.19818,3.0,1.8,1.1,191.0,22.0
162,P,4.27667,8.23377,7.2,3.8,-0.2,31.0,15.0
163,N,3.49651,8.13212,-1.7,1.5,-0.1,68.0,8.0
164,N,3.21888,7.87284,0.8,5.0,0.1,76.2,19.0
165,N,4.07754,7.53102,0.1,3.5,1.2,66.3,20.0
166,P,4.20469,7.49276,4.5,6.6,-0.1,210.0,12.0
167,N,4.18965,5.65599,0.3,1.5,1.7,303.4,1.0
168,N,2.48491,7.07327,-0.9,1.6,-0.5,256.5,9.0
169,P,1.09861,6.33683,2.2,2.8,0.1,142.0,1.0
170,P,2.48491,7.21229,-0.6,2.1,0.1,60.0,21.0
171,P,2.48491,7.86978,3.2,2.6,1.3,286.0,20.0
172,P,0.69315,7.84031,4.1,2.7,0.2,175.0,19.0
173,N,4.34381,7.98344,-4.8,0.8,1.1,230.1,17.0
174,N,2.63906,7.03086,7.1,1.6,0.5,66.4,22.0
175,P,3.29584,7.90175,-4.4,3.8,0.1,15.0,9.0
176,P,4.17439,7.72223,7.1,3.9,-0.9,90.0,10.0
177,N,3.71357,8.19451,0.0,0.8,-0.3,254.2,16.0
178,P,4.02535,7.84698,11.6,4.2,-2.7,247.0,14.0
179,P,4.85203,7.58731,3.1,2.2,-3.4,227.0,11.0
180,P,4.64439,6.47235,1.5,1.2,1.3,101.0,24.0
181,N,3.63759,7.74932,15.0,7.3,-2.2,229.9,14.0
182,P,3.4012,8.12711,3.6,4.9,1.2,238.0,18.0
183,P,1.79176,5.68358,5.7,1.9,0.3,49.0,6.0
184,N,4.11087,7.58274,3.4,6.9,-0.1,194.9,11.0
185,P,3.3673,8.01434,10.1,2.4,-0.3,44.0,17.0
186,N,4.44265,7.65539,-2.4,2.6,0.7,78.3,18.0
187,P,2.77259,7.83716,0.2,4.5,0.0,80.0,7.0
188,N,3.71357,6.9921,-15.0,3.3,0.6,66.0,23.0
189,N,5.17048,8.08209,5.2,7.2,-1.3,202.7,14.0
190,P,3.09104,7.85554,4.1,3.4,0.1,79.0,7.0
191,P,2.70805,7.68064,6.3,9.4,0.2,248.0,16.0
192,N,4.11087,7.5438,8.7,4.0,-1.2,216.3,14.0
193,N,4.79579,8.30598,2.4,4.2,-0.7,65.1,8.0
194,P,2.3979,5.95324,-5.3,1.0,2.2,60.0,9.0
195,P,2.99573,6.2634,2.5,4.3,-0.1,79.0,24.0
196,P,3.13549,8.25036,9.3,5.4,-0.8,213.0,16.0
197,N,3.43399,7.61776,-5.6,3.1,-0.5,77.4,11.0
198,N,3.4012,7.44425,5.6,7.0,1.0,248.1,12.0
199,P,3.09104,7.87169,-1.7,0.5,0.0,218.0,18.0
200,N,4.45435,7.64492,-5.6,4.9,-0.1,56.7,7.0
201,N,4.18965,7.46851,-3.5,0.7,0.2,165.1,20.0
202,P,3.73767,8.18256,-11.2,3.7,0.2,78.0,16.0
203,N,4.20469,5.10595,-11.9,0.6,0.8,286.5,4.0
204,P,2.56495,5.79301,2.1,2.6,3.1,241.0,1.0
205,P,2.56495,7.14125,1.0,4.5,1.3,232.0,21.0
206,N,4.85981,7.69303,8.8,3.6,-2.5,85.4,12.0
207,P,5.25227,7.23056,-4.6,6.5,0.1,80.0,21.0
208,N,2.63906,6.0845,-5.8,2.0,-0.3,107.5,1.0
209,P,3.13549,5.72031,1.0,1.8,0.6,92.0,3.0
210,P,1.94591,6.81892,0.1,1.7,-0.1,214.0,11.0
211,N,3.4012,5.67332,-1.9,0.9,3.7,109.2,5.0
212,P,4.72739,8.26178,1.0,3.4,1.3,248.0,8.0
213,N,3.3673,5.92959,2.1,3.8,0.5,64.2,1.0
214,N,3.2581,7.53262,6.1,2.5,-0.1,182.5,21.0
215,P,3.73767,8.11761,0.2,0.8,0.9,11.0,16.0
216,P,1.79176,7.98446,1.9,5.8,0.2,9.0,9.0
217,N,4.06044,7.7463,11.8,6.0,-0.7,212.7,14.0
218,N,3.91202,8.19229,-4.4,1.5,0.5,87.9,8.0
219,P,0.69315,6.43294,1.9,2.4,0.1,133.0,24.0
220,P,1.60944,5.2832,8.6,1.8,1.5,242.0,3.0
221,N,4.46591,8.22336,9.1,9.4,-0.5,39.4,16.0
222,N,3.17805,7.68983,13.0,0.3,0.4,114.0,22.0
223,P,2.89037,6.70564,1.8,0.8,0.1,269.0,6.0
224,N,4.17439,7.58426,4.0,3.1,-1.7,103.7,12.0
225,P,3.73767,8.04943,-7.8,0.6,-0.1,177.0,17.0
226,N,4.00733,7.72886,8.7,5.5,-0.4,132.3,14.0
227,N,3.04452,7.51806,-4.9,4.1,-0.2,73.8,13.0
228,P,2.63906,7.58172,-8.8,8.1,-0.1,53.0,18.0
229,N,4.11087,8.28425,2.9,3.3,0.8,22.1,17.0
230,N,4.47734,8.01731,0.4,3.9,0.7,67.4,18.0
231,P,3.17805,7.67786,-0.7,4.3,-0.4,59.0,13.0
232,N,3.3322,7.8598,4.2,2.7,1.1,230.7,18.0
233,P,0.69315,4.79579,2.7,2.8,0.2,187.0,4.0
234,P,4.58497,7.66528,7.4,0.9,-0.2,55.0,13.0
235,P,0.69315,4.36945,0.6,4.6,0.1,350.0,3.0
236,N,3.4012,7.5251,6.0,3.5,-0.2,78.1,21.0
237,N,2.07944,7.73849,1.6,1.6,0.3,211.3,21.0
238,P,4.55388,7.62071,3.4,5.9,-0.6,45.0,13.0
239,P,3.21888,5.39363,3.3,1.7,-0.1,187.0,4.0
240,N,2.77259,5.87774,-5.4,5.1,-0.2,72.2,2.0
241,N,3.29584,5.8522,4.2,1.7,1.0,175.0,5.0
242,P,3.3322,8.02027,2.0,6.0,-0.1,152.0,18.0
243,N,4.02535,7.23706,-14.2,1.4,-0.1,238.1,18.0
244,N,4.38203,7.83281,9.4,2.9,-0.3,248.4,15.0
245,N,2.99573,4.60517,1.5,1.1,0.2,233.7,3.0
246,P,3.55535,8.11073,0.6,6.8,0.3,10.0,8.0
247,P,3.2581,7.57917,2.5,3.0,-0.2,83.0,13.0
248,N,4.47734,8.31361,-0.3,3.0,-0.8,71.8,8.0
249,N,4.06044,4.86753,1.4,0.7,1.5,79.4,4.0
250,N,3.21888,7.50879,-0.7,4.0,-0.5,65.1,11.0
251,P,4.46591,6.51323,-8.1,0.7,1.2,111.0,24.0
252,P,3.13549,6.6107,-13.1,3.5,0.0,83.0,9.0
253,N,2.30259,4.70048,6.3,6.0,0.9,219.2,2.0
254,P,3.61092,6.94986,-3.8,0.7,-0.2,258.0,23.0
255,N,3.13549,5.72685,-3.6,0.8,4.0,302.4,5.0
256,N,3.89182,8.16337,-1.1,1.5,-0.2,157.4,16.0
257,N,3.21888,7.7012,15.8,3.9,-0.4,119.5,15.0
258,N,3.17805,4.45435,-5.1,3.4,0.4,58.4,3.0
259,P,3.73767,8.28248,8.5,3.1,-0.7,238.0,8.0
260,P,2.3979,8.05833,-2.1,4.1,-0.2,82.0,8.0
261,N,3.68888,7.90027,1.5,0.5,-0.6,99.2,13.0
262,P,4.26268,7.34148,3.0,0.8,0.6,86.0,21.0
263,N,4.94164,7.90027,-12.6,2.2,0.2,77.8,19.0
264,P,3.29584,7.65917,3.0,3.1,-0.1,221.0,14.0
265,P,2.07944,5.60947,-5.2,2.9,0.1,60.0,2.0
266,P,2.19722,7.15227,3.5,0.9,0.2,265.0,22.0
267,N,2.07944,5.42495,2.8,1.3,0.0,75.8,2.0
268,P,4.54329,7.8071,6.5,4.3,-1.1,44.0,11.0
269,N,2.07944,7.94839,2.5,3.6,-0.1,54.7,16.0
270,P,4.36945,8.34069,6.3,4.2,-0.1,76.0,16.0
271,P,3.97029,7.54062,-1.4,1.7,-0.2,86.0,12.0
272,N,3.98898,5.89164,1.7,1.1,2.4,173.1,1.0
273,N,2.99573,7.52402,2.4,7.9,-0.1,43.5,21.0
274,P,3.52636,6.43294,-0.1,1.6,-0.2,75.0,22.0
275,P,2.99573,7.50219,3.1,1.7,0.3,269.0,12.0
276,N,5.39363,8.04045,12.9,8.3,-1.1,357.5,14.0
277,N,3.63759,7.31986,-13.4,3.8,0.1,75.0,11.0
278,N,2.30259,5.43372,0.7,3.9,0.1,182.9,2.0
279,N,4.92725,7.94058,2.4,1.0,0.4,110.7,7.0
280,P,2.94444,8.17808,-1.3,5.6,-0.2,46.0,17.0
281,N,2.70805,7.65728,-6.3,4.0,-0.1,51.6,19.0
282,N,2.07944,7.56164,3.5,1.8,0.0,71.2,21.0
283,N,3.4012,7.98752,0.0,4.0,-0.3,78.5,9.0
284,N,5.05625,7.63143,11.8,2.4,-1.5,232.5,14.0
285,N,4.93447,7.63192,5.8,1.9,-3.1,260.8,12.0
286,N,2.56495,7.6324,3.1,4.7,-0.1,48.0,12.0
287,N,3.04452,7.9248,1.4,2.1,0.0,221.0,17.0
288,P,1.38629,4.30407,0.8,3.1,1.6,77.0,3.0
289,P,2.77259,7.67555,6.8,9.9,-0.2,249.0,15.0
290,N,3.91202,7.1025,1.3,8.0,0.0,61.6,23.0
291,N,4.35671,7.95437,6.8,1.5,-0.6,124.9,7.0
292,P,3.4012,7.87474,-6.8,1.0,0.0,207.0,15.0
293,P,4.02535,7.85166,10.5,4.4,-0.9,69.0,15.0
294,P,3.73767,8.26049,3.8,5.2,0.0,222.0,8.0
295,N,2.94444,7.7411,-12.8,3.6,0.1,68.4,14.0
296,N,4.09434,5.24702,1.3,0.8,1.1,72.3,5.0
297,P,3.04452,5.24175,-4.2,1.4,3.6,230.0,2.0
298,P,3.17805,7.55224,-0.6,2.5,-0.1,75.0,13.0
299,P,2.56495,7.96242,-6.1,5.2,0.4,27.0,18.0
300,P,2.63906,6.85751,5.1,5.5,0.1,230.0,10.0
301,P,3.09104,8.1191,0.8,3.0,-0.1,78.0,17.0
302,P,3.4012,8.00068,-4.4,3.7,-0.1,78.0,14.0
303,N,2.19722,4.11087,-6.5,2.1,-0.1,68.2,5.0
304,N,3.7612,4.81218,-3.7,0.9,-0.1,281.3,4.0
305,N,2.77259,6.42811,0.7,2.9,1.4,229.6,24.0
306,N,3.4012,4.95583,-5.7,3.3,0.6,72.0,2.0
307,N,3.61092,6.16121,8.4,3.3,0.7,80.5,24.0
308,P,3.3673,6.55251,-0.2,2.8,0.7,71.0,23.0
309,P,0.69315,5.1299,-1.9,4.5,0.4,17.0,2.0
310,P,2.94444,5.18739,-7.3,1.9,0.5,85.0,3.0
311,P,4.17439,7.91608,0.1,2.1,2.0,77.0,18.0
312,N,2.83321,7.33954,-5.9,2.9,0.2,64.6,22.0
313,P,3.04452,7.0076,4.7,5.6,0.0,69.0,23.0
314,N,3.2581,7.87664,4.2,4.4,0.6,189.8,15.0
315,P,3.21888,7.23778,2.1,5.4,0.1,159.0,21.0
316,N,4.23411,7.64348,-0.5,2.1,-2.0,247.8,14.0
317,P,4.81218,7.08339,-3.7,1.1,0.1,192.0,22.0
318,N,4.39445,7.95718,6.5,6.2,-0.1,210.8,18.0
319,P,2.63906,6.42162,2.1,4.1,0.7,260.0,24.0
320,P,3.2581,7.29029,-3.1,1.0,-0.2,211.0,21.0
321,P,1.94591,5.42495,-12.8,0.8,1.2,55.0,6.0
322,P,2.94444,7.29029,3.8,4.3,0.5,210.0,22.0
323,N,2.56495,7.52348,3.4,6.0,0.2,191.0,14.0
324,P,3.21888,5.63479,-4.2,2.1,1.1,91.0,2.0
325,P,2.77259,7.97694,-1.7,5.2,0.0,76.0,8.0
326,P,4.61512,7.78197,5.4,3.6,-1.1,44.0,10.0
327,P,1.60944,5.743,3.4,4.9,0.7,243.0,2.0
328,N,2.07944,5.743,-0.2,5.6,0.2,16.6,2.0
329,N,3.8712,5.62762,2.1,1.5,2.0,227.8,5.0
330,N,3.17805,7.85477,-12.5,3.2,0.2,82.1,15.0
331,N,3.58352,7.56941,-4.1,4.3,-0.1,44.7,14.0
332,P,4.68213,7.08087,-9.8,0.5,0.2,131.0,21.0
333,N,2.56495,7.43603,-4.9,4.7,-0.1,79.6,21.0
334,P,2.30259,6.11368,-5.2,3.5,0.0,59.0,1.0
335,N,3.55535,7.97488,-1.6,3.5,0.5,34.5,18.0
336,P,3.46574,6.69084,6.4,1.2,0.0,188.0,6.0
337,P,2.48491,7.79523,2.0,2.8,1.6,242.0,18.0
338,P,4.21951,5.21494,-8.5,1.5,2.8,279.0,10.0
339,N,2.30259,7.65112,3.6,7.6,0.5,199.3,17.0
340,N,2.70805,6.12905,0.4,0.8,0.1,297.0,7.0
341,N,2.99573,8.08979,1.2,3.6,0.1,63.9,15.0
342,N,2.48491,5.76519,-3.5,3.2,0.0,240.2,2.0
343,N,3.13549,8.06401,3.6,2.3,-0.3,9.4,9.0
344,P,4.15888,7.39265,-14.9,1.9,0.8,65.0,20.0
345,P,1.79176,6.43294,1.0,2.5,-0.2,75.0,10.0
346,P,3.29584,7.62462,-1.7,1.6,-0.1,172.0,19.0
347,N,2.83321,5.22036,3.4,1.1,1.4,89.0,6.0
348,P,3.52636,6.35611,6.9,7.0,0.8,220.0,24.0
349,P,3.2581,4.47734,-4.8,2.5,0.4,84.0,3.0
350,P,3.98898,6.50279,4.2,3.9,0.6,78.0,24.0
351,N,1.60944,6.88959,1.5,4.0,0.1,240.4,22.0
352,N,3.49651,7.32909,-2.9,1.9,1.7,337.8,19.0
353,N,3.17805,7.3601,-8.2,4.7,-0.2,76.5,11.0
354,P,4.67283,7.77107,7.0,3.1,-0.3,73.0,10.0
355,N,3.43399,6.16121,8.1,1.9,-0.1,211.9,1.0
356,P,2.07944,7.97281,3.7,4.2,0.2,172.0,9.0
357,N,3.29584,7.90323,0.7,2.1,1.3,207.1,18.0
358,P,2.30259,8.16223,0.4,8.6,0.1,34.0,17.0
359,P,2.07944,4.83628,-10.4,1.9,1.1,75.0,7.0
360,P,0.69315,4.91998,6.5,4.5,0.4,206.0,2.0
361,N,3.13549,7.47591,9.0,4.6,-0.9,208.7,10.0
362,P,3.82864,7.52941,10.1,1.1,-3.1,255.0,11.0
363,N,3.8712,7.88796,-0.3,1.7,0.4,26.9,15.0
364,P,2.99573,4.47734,-4.4,2.6,0.8,85.0,4.0
365,P,3.2581,7.73281,1.7,1.5,1.1,345.0,19.0
366,P,3.3322,6.93245,-3.2,0.8,-0.1,260.0,22.0
367,P,3.49651,7.65634,-5.9,3.1,-0.1,77.0,16.0
368,P,1.94591,7.0193,3.7,3.6,0.1,195.0,22.0
369,P,4.57471,8.0762,9.9,2.2,0.0,92.0,16.0
370,P,3.91202,7.90175,7.4,4.3,-0.3,178.0,18.0
371,P,3.80666,6.89669,5.1,2.5,0.7,80.0,23.0
372,P,3.93183,4.30407,3.2,1.5,0.4,75.0,3.0
373,N,2.48491,5.15906,0.0,4.3,0.1,102.7,3.0
374,N,3.13549,7.82764,-5.6,6.1,-0.2,79.5,17.0
375,N,2.94444,7.02554,0.7,2.4,-0.2,232.5,23.0
376,N,3.4012,7.90175,15.1,2.9,0.2,113.9,19.0
377,P,1.94591,5.73334,-2.2,4.3,-0.1,72.0,5.0
378,N,3.17805,5.34711,-3.8,2.7,-0.2,80.5,3.0
379,N,3.21888,7.58477,4.2,6.5,0.4,214.3,11.0
380,N,2.63906,6.84055,-13.1,4.8,-0.2,52.8,11.0
381,N,3.3322,7.55381,-0.2,3.9,-0.2,79.6,12.0
382,P,2.70805,4.78749,1.5,3.2,0.1,153.0,4.0
383,N,3.78419,6.86485,0.8,1.5,-0.1,231.5,23.0
384,P,3.78419,7.81197,-6.6,2.2,1.3,87.0,7.0
385,N,1.60944,7.89469,2.1,4.0,-0.1,47.8,14.0
386,P,3.3673,7.76132,1.7,2.9,-0.1,81.0,14.0
387,N,3.04452,6.07764,-4.1,5.4,-0.1,66.5,1.0
388,N,4.45435,7.80954,18.2,3.7,-2.7,250.7,15.0
389,N,1.94591,5.4848,2.2,2.0,1.9,253.8,5.0
390,N,2.63906,5.27811,-7.8,4.6,-0.1,71.5,19.0
391,P,3.3322,7.76684,-5.4,3.0,-0.2,77.0,14.0
392,N,3.43399,5.5835,-4.5,4.1,0.3,59.4,1.0
393,P,3.89182,7.86634,8.0,6.1,0.1,197.0,19.0
394,P,2.19722,8.19644,2.7,3.8,0.2,139.0,8.0
395,P,4.59512,7.59186,-5.6,3.9,-0.2,41.0,13.0
396,P,3.49651,5.54126,4.6,0.9,0.5,108.0,5.0
