,binaryClass_cat,RollRate_num,PitchRate_num,currPitch_num,currRoll_num,diffRollRate_num
160,P,0.0056,0.0035,0.012,-0.026,0.00031
161,N,0.0044,0.0,0.017,0.012,-0.0001
162,N,-0.0056,0.0026,0.002,0.008,-0.00012
163,P,0.0034,0.0016,0.012,-0.007,0.00015
164,N,-0.0026,-0.0014,0.005,-0.011,3e-05
165,P,0.0055,0.0029,0.005,-0.002,0.00011
166,N,-0.005,0.0006,0.016,0.0,-0.0002
167,P,0.0038,0.0014,0.006,-0.007,0.0001
168,P,0.0035,-0.0002,0.0,0.01,6e-05
169,N,-0.0098,-0.0003,0.01,-0.013,-0.00011
170,N,-0.0082,0.0,0.009,-0.03,0.00021
171,P,0.0112,0.0014,0.016,-0.002,8e-05
172,P,0.0089,-0.0033,0.013,0.034,-0.00019
173,P,0.0023,-0.0015,0.009,0.046,-0.00036
174,N,-0.0075,-0.0011,0.006,0.041,-0.00051
175,P,0.0062,-0.0013,0.016,0.013,0.00012
176,N,-0.0067,-0.0015,0.011,0.018,-0.00022
177,P,0.0064,-0.0012,0.0,0.013,9e-05
178,N,-0.0089,0.0049,0.012,0.009,-0.00025
179,P,0.007,-0.0006,0.012,-0.014,0.00032
180,P,0.0101,-0.0005,0.011,0.0,0.00014
181,P,0.0105,-0.0002,0.009,0.023,-3e-05
182,P,0.0011,-0.0013,0.003,0.044,-0.00035
183,N,-0.0072,-0.0009,0.002,0.04,-0.00058
184,P,0.0034,-0.0007,0.009,-0.007,3e-05
185,N,-0.0038,0.0039,0.013,-0.006,-0.00016
186,P,0.0068,-0.0011,0.011,-0.009,0.00016
187,P,0.0066,-0.0009,0.007,0.012,-5e-05
188,N,-0.0072,-0.0025,0.007,0.006,-0.00011
189,N,-0.0037,-0.0005,0.003,-0.011,0.00021
190,P,0.0064,0.0007,0.002,-0.006,0.00022
191,N,-0.0067,-0.0002,0.008,0.004,-0.00039
192,P,0.0029,-0.0009,-0.001,-0.008,0.00028
193,P,0.007,0.004,0.006,0.003,0.00016
194,N,-0.0045,0.0025,0.019,0.018,-0.00022
195,N,-0.0031,0.0015,0.011,-0.012,0.0
196,P,0.0044,0.0003,0.009,0.015,-6e-05
197,N,-0.0076,0.0007,0.009,-0.014,-1e-05
198,P,0.0049,0.0011,0.01,-0.024,0.00021
199,N,0.0005,-0.0017,0.003,-0.009,0.00015
200,P,0.0039,0.002,0.005,-0.005,0.00018
201,P,0.0034,0.0,0.009,0.01,-4e-05
202,N,-0.0057,0.0008,0.01,0.005,-0.00015
203,N,-0.0051,0.0014,0.012,-0.013,7e-05
204,P,0.0045,-0.001,0.008,-0.013,4e-05
205,N,-0.0005,0.0028,0.015,-0.01,3e-05
206,P,0.0038,0.0013,0.017,-0.006,0.00015
207,N,0.0049,0.0016,0.019,0.004,2e-05
208,P,0.0053,-0.0011,0.016,0.013,1e-05
209,P,0.0036,-0.0028,0.009,0.027,-7e-05
210,P,-0.0011,-0.0018,0.003,0.031,-0.00023
211,N,-0.0111,0.0012,0.002,-0.017,-4e-05
212,N,-0.0096,0.002,0.004,-0.034,0.00017
213,N,-0.0048,0.0018,0.006,-0.047,0.00028
214,P,0.0093,0.0014,0.007,-0.038,0.0003
215,P,0.0055,0.0001,0.021,-0.02,0.00021
216,P,0.0088,-0.0002,0.017,0.012,-1e-05
217,N,-0.0075,0.0026,0.014,0.019,-0.00015
218,N,-0.0042,0.0017,0.018,-0.01,0.00012
219,N,0.0002,0.0008,0.02,-0.009,-7e-05
220,N,-0.0011,0.0004,0.009,-0.01,1e-05
221,N,-0.002,0.0016,0.022,-0.016,6e-05
222,N,-0.0005,0.0013,0.012,-0.01,-1e-05
223,P,0.0019,0.0007,0.013,0.011,-4e-05
224,N,-0.0037,0.0002,0.012,0.007,-0.00011
225,P,0.0055,0.0,0.009,0.014,7e-05
226,N,-0.0038,-0.0001,0.011,0.024,-0.00017
227,N,-0.006,0.0023,0.007,-0.011,5e-05
228,P,0.0055,0.002,0.019,-0.013,0.00014
229,N,-0.0037,0.0032,0.015,0.017,-9e-05
230,P,0.0054,0.0011,0.019,0.024,0.0
231,N,-0.0038,-0.0001,0.016,0.032,-0.00029
232,N,-0.0102,-0.0009,0.012,0.011,-0.00016
233,N,-0.0094,-0.0003,0.013,-0.01,0.00021
234,P,0.0076,0.002,0.004,-0.007,9e-05
235,P,0.007,0.0019,0.006,0.01,-7e-05
236,N,-0.0043,-0.0006,0.009,0.018,-0.00012
237,P,0.0004,0.0034,0.019,0.01,-5e-05
238,P,0.0041,-0.0037,-0.001,0.01,0.00017
239,P,0.0057,0.0032,-0.003,0.016,0.0001
240,P,0.003,0.0037,0.007,0.031,-0.00014
241,N,-0.0039,-0.0003,0.012,0.023,-5e-05
242,N,-0.0033,-0.0006,0.002,-0.011,1e-05
243,P,0.0045,0.0031,0.007,-0.007,8e-05
244,P,0.0028,-0.0018,0.017,0.011,1e-05
245,N,-0.0037,-0.0006,0.007,0.005,-4e-05
246,P,0.0022,0.0,0.012,0.01,1e-05
247,N,-0.0005,0.0008,0.012,-0.01,8e-05
248,P,0.0028,0.0001,0.01,-0.007,0.00012
249,N,-0.0044,0.0002,0.012,-0.011,1e-05
250,N,-0.0034,0.0014,0.013,0.008,-7e-05
251,P,0.0055,0.0011,0.008,-0.002,8e-05
252,N,-0.004,-0.0015,0.011,0.007,-9e-05
253,P,0.0065,0.0017,0.006,0.013,0.00015
254,N,-0.0089,0.0026,0.015,0.005,-9e-05
255,N,-0.0051,-0.002,0.011,-0.013,0.00024
256,P,0.0061,-0.0026,-0.002,-0.012,0.00029
257,P,0.0104,0.0009,-0.001,0.013,3e-05
258,P,0.004,0.0024,0.005,0.046,-0.00019
259,P,0.0,-0.0017,0.01,0.032,-3e-05
260,N,-0.0037,0.0025,0.014,0.028,-0.00015
261,N,-0.0035,0.0004,0.014,0.026,-0.00012
262,N,-0.0078,0.0,0.004,-0.012,-8e-05
263,N,-0.0047,0.0015,0.005,-0.031,0.00017
264,P,0.0075,0.0021,0.011,-0.025,0.00022
265,N,-0.0085,-0.0015,0.007,-0.009,-0.00019
266,P,0.0057,0.0022,0.006,-0.025,0.00023
267,P,0.0076,0.0024,0.011,-0.004,1e-05
268,N,-0.0074,0.0002,0.009,0.003,-0.00026
269,N,-0.01,0.0021,0.011,-0.015,-7e-05
270,N,-0.009,0.0018,0.013,-0.032,0.0001
271,P,0.0077,-0.0002,0.008,-0.041,0.00043
272,P,0.0119,0.0004,0.007,-0.006,-1e-05
273,P,0.0077,0.0034,0.012,0.013,-0.00029
274,P,0.0006,-0.0019,0.014,0.01,0.00021
275,N,-0.0041,0.0009,0.001,0.005,-0.00011
276,N,-0.002,0.0025,0.007,-0.013,9e-05
277,P,0.0085,-0.0008,0.006,0.016,6e-05
278,P,0.0063,0.0016,0.007,0.033,-0.00015
279,N,-0.0093,-0.0002,0.009,0.014,-9e-05
280,N,-0.0053,0.0002,0.006,-0.012,0.00022
281,P,0.0059,-0.0002,0.009,-0.011,0.00024
282,P,0.0069,0.0004,0.008,0.016,-3e-05
283,P,0.0037,0.0027,0.012,0.026,-0.00018
284,P,0.001,-0.0028,0.01,0.029,-0.00024
285,N,-0.0076,-0.0016,0.005,0.021,-0.0003
286,N,-0.0098,0.003,0.009,-0.002,-1e-05
287,N,-0.0052,0.0016,0.011,-0.029,0.00017
288,P,0.0039,0.0004,0.009,-0.032,0.00024
289,P,0.0054,0.0006,0.008,0.011,-6e-05
290,N,-0.0055,0.0,0.008,0.013,-0.00018
291,N,-0.0022,0.0006,0.007,-0.013,0.00011
292,P,0.0052,0.0012,0.008,-0.008,0.00019
293,P,0.0047,0.0016,0.012,0.012,-7e-05
294,N,-0.0039,-0.0009,0.009,0.014,-0.00018
295,P,0.0042,-0.0006,0.009,-0.008,0.00017
296,N,-0.0054,0.0013,0.012,-0.007,-0.00019
297,P,0.0085,-0.0018,0.008,-0.005,0.00018
298,P,0.0092,-0.0007,0.006,0.012,-3e-05
299,N,0.0019,0.0021,0.008,0.03,-0.00029
300,N,-0.0063,-0.0023,0.009,0.023,-0.00019
301,N,-0.0088,0.0044,0.011,0.004,-0.00017
302,P,0.0075,-0.001,0.013,-0.024,0.00041
303,P,0.01,-0.0003,0.01,0.002,-1e-05
304,P,0.0079,0.0039,0.013,0.021,-0.00025
305,N,-0.0048,-0.0009,0.014,0.025,-0.00015
306,P,0.0041,-0.0024,-0.003,0.016,0.0001
307,P,0.0017,0.0036,0.001,0.035,-0.0001
308,N,-0.0036,0.0054,0.012,0.033,-0.00025
309,P,0.0063,-0.0018,0.01,-0.012,0.00033
310,N,-0.0021,0.0001,0.008,-0.01,0.0
311,P,0.0042,0.0028,0.01,-0.007,0.00014
312,P,0.0004,-0.0011,0.013,0.009,-1e-05
313,N,-0.0071,0.0004,0.004,-0.016,-7e-05
314,N,-0.0055,0.0032,0.007,-0.032,0.00012
315,N,0.006,0.0017,0.014,-0.032,0.00022
316,P,0.0105,-0.002,0.011,-0.016,0.0002
317,N,-0.0057,0.0018,0.001,0.01,-0.0003
318,P,0.0047,-0.0009,0.004,-0.005,2e-05
319,P,0.0002,0.0021,0.01,0.01,-0.0001
320,N,-0.0048,0.0011,0.011,0.006,-0.00029
321,N,-0.0016,0.0012,0.014,-0.01,-1e-05
322,P,0.0053,-0.0007,0.011,-0.007,0.00027
323,N,0.0039,0.001,0.012,0.012,-0.00011
324,N,-0.0072,0.0027,0.007,0.005,-0.00017
325,P,0.0055,-0.0011,0.011,-0.03,0.00024
326,P,0.0012,0.0,0.008,0.011,-3e-05
327,N,-0.004,0.0003,0.007,0.005,-0.0001
328,P,0.0046,-0.0003,0.006,-0.007,0.0002
329,P,0.003,0.0002,0.004,0.011,-9e-05
330,N,-0.0048,0.0035,0.014,0.009,-0.0002
331,P,0.0056,0.0025,0.008,0.011,3e-05
332,N,-0.0042,0.0002,0.01,0.016,-8e-05
333,N,-0.003,0.0035,0.009,-0.01,-3e-05
334,P,0.0049,-0.0001,0.013,-0.007,0.00011
335,P,0.0026,0.002,0.006,-0.007,0.00011
336,N,-0.0024,0.0022,0.005,-0.012,-1e-05
337,N,-0.0036,0.0017,0.011,-0.032,0.00011
338,P,0.0078,-0.0015,0.009,-0.003,2e-05
339,P,0.0057,-0.0011,0.006,0.012,-0.00012
340,P,0.0047,0.0009,0.009,-0.023,2e-05
341,P,0.0032,0.0011,0.012,-0.007,-6e-05
342,N,-0.0048,0.0015,0.018,-0.012,-0.0001
343,P,0.0064,0.0,0.015,-0.005,6e-05
344,P,0.0063,-0.002,0.01,0.016,-4e-05
345,N,-0.007,-0.001,0.008,0.013,-8e-05
346,P,0.0035,0.001,0.006,-0.002,6e-05
347,P,0.0022,0.0012,0.01,0.011,-6e-05
348,N,-0.004,-0.0002,0.014,0.005,-8e-05
349,P,0.0029,0.0018,0.007,-0.006,7e-05
350,N,-0.0022,-0.0006,0.01,-0.013,2e-05
351,P,0.0045,0.0004,0.002,-0.005,6e-05
352,N,-0.0021,0.0004,0.008,-0.01,4e-05
353,P,0.0033,0.0022,0.014,-0.006,7e-05
354,N,-0.0041,-0.0004,0.012,-0.015,-1e-05
355,N,-0.0029,-0.0006,0.01,-0.022,9e-05
356,P,0.0066,0.0011,0.002,-0.002,4e-05
357,N,-0.007,0.0002,0.016,0.005,-7e-05
358,P,0.0069,0.0008,0.001,0.0,6e-05
359,P,0.0052,0.0004,0.002,0.019,-0.0001
360,N,-0.0103,0.002,0.012,0.003,-0.00019
361,P,0.0076,0.0002,0.011,-0.036,0.00018
362,P,0.0088,0.0004,0.011,-0.02,1e-05
363,P,0.0008,-0.0006,0.01,0.01,0.0
364,P,0.0042,-0.0009,-0.002,0.01,5e-05
365,N,-0.0069,0.0031,0.011,0.008,-0.00019
366,N,-0.0053,0.0005,0.017,-0.028,0.00012
367,P,0.0067,-0.0007,0.01,-0.023,0.00015
368,N,-0.003,-0.0004,0.006,-0.01,5e-05
369,P,0.0041,0.0014,0.01,-0.005,6e-05
370,P,0.0023,-0.0001,0.015,0.01,-8e-05
371,N,-0.005,0.0029,0.02,0.011,-0.00011
372,N,-0.0057,-0.0027,0.02,0.003,-2e-05
373,P,-0.0001,-0.0035,0.006,-0.01,0.00018
374,P,0.0058,0.0004,0.005,0.011,0.0
375,P,0.0012,0.0006,0.008,0.03,-0.00011
376,N,-0.004,0.0011,0.01,0.028,-0.00026
377,N,-0.0071,0.001,0.011,0.019,-0.00016
378,P,0.0026,0.0006,0.014,0.011,-5e-05
379,P,0.0039,0.0016,0.004,-0.007,0.00013
380,N,-0.0035,-0.001,0.008,-0.015,-1e-05
381,N,-0.0025,-0.0011,0.006,-0.02,8e-05
382,N,0.0047,0.0007,0.008,-0.005,3e-05
383,P,0.0054,0.0006,0.009,0.005,2e-05
384,N,0.005,0.0007,0.01,0.015,-4e-05
385,N,-0.0052,-0.0011,0.005,0.003,-2e-05
386,P,0.0048,0.0014,0.003,-0.005,0.00015
387,P,0.0056,0.0014,0.002,0.014,-1e-05
388,N,-0.0082,0.0012,0.011,0.002,-9e-05
389,N,-0.008,0.0003,0.011,-0.011,4e-05
390,N,-0.0043,0.0096,0.014,-0.01,0.00034
391,N,-0.0041,0.0042,0.007,-0.01,-0.00013
392,P,0.0058,0.0064,0.021,-0.008,0.00012
393,N,-0.0076,-0.0019,0.031,-0.012,-0.00015
394,N,0.0037,-0.001,0.018,-0.025,0.00035
395,P,0.0096,-0.0008,0.012,-0.013,0.00028
396,P,0.0122,0.0066,0.017,0.003,0.00012
397,P,0.0075,0.0042,0.023,0.025,-0.00054
398,N,-0.0092,-0.0021,0.021,0.023,-0.00083
399,P,0.0067,0.0022,0.017,-0.023,0.00034
400,N,0.0007,0.0017,0.02,0.009,-0.00022
401,P,0.0039,0.002,0.018,0.008,0.00014
402,N,-0.0063,0.0024,0.019,0.007,-0.00028
403,P,0.0039,0.0021,0.019,-0.01,0.00027
404,P,0.0066,0.0038,0.02,-0.002,7e-05
405,N,-0.0116,0.0009,0.02,-0.011,-0.00041
406,P,0.0118,0.004,0.009,-0.026,0.00044
407,P,0.0075,0.0036,0.014,0.013,-0.0004
408,N,-0.0095,0.0041,0.023,0.004,-0.00027
409,P,0.0103,0.0001,0.02,-0.023,0.00052
410,P,0.0133,0.0024,0.022,-0.001,0.0
411,N,-0.0079,-0.0005,0.006,0.013,-0.00031
412,N,0.0036,0.0053,0.021,-0.03,0.00035
413,P,0.0103,-0.0012,0.017,-0.016,0.00029
414,P,0.0124,-0.0006,0.013,0.003,5e-05
415,P,0.01,-0.0001,0.01,0.019,-0.00022
416,N,0.0039,0.0009,0.01,0.031,-0.00036
417,N,-0.0038,0.0018,0.01,0.006,-6e-05
418,N,-0.0146,0.0009,0.014,-0.008,-0.00022
419,N,-0.0076,0.0022,0.012,-0.036,0.00055
420,P,0.0122,0.0027,0.009,-0.028,0.00053
421,P,0.0106,0.005,0.017,0.013,-0.00039
422,N,-0.0044,0.0012,0.019,0.018,-0.00013
423,P,-0.0053,-0.0019,0.015,0.008,-1e-05
424,N,-0.0072,-0.0008,0.012,-0.001,-0.00017
425,P,0.0064,0.0013,0.003,-0.005,0.0004
426,P,0.0068,0.0042,0.01,0.019,-0.00011
427,N,-0.0044,0.0013,0.018,0.025,-0.00025
428,N,-0.0078,-0.0016,0.013,0.016,-0.00022
429,P,0.005,0.0016,0.015,-0.007,0.00022
430,N,-0.005,0.0011,0.018,-0.002,-0.00032
431,N,-0.0049,0.0013,0.017,-0.013,0.00012
432,P,0.0097,-0.0014,0.008,-0.005,0.00033
433,N,-0.0085,0.0036,0.01,-0.011,-3e-05
434,P,0.0111,-0.0022,0.011,-0.003,0.00021
435,P,0.0064,0.0008,0.009,0.019,-0.00039
436,N,-0.0051,0.0026,0.012,0.021,-0.00045
437,N,-0.0101,0.0027,0.014,0.01,-0.0003
438,N,-0.0044,-0.0008,0.015,0.007,-0.00031
439,P,0.0075,0.0045,0.006,0.008,0.00022
440,P,0.0018,0.0028,0.012,0.028,-0.00022
441,P,-0.0041,0.003,0.016,0.026,-0.00034
442,P,0.003,-0.0005,0.008,-0.005,0.00021
443,N,-0.0031,0.0024,0.012,-0.014,0.0
444,P,0.0065,0.0009,0.01,-0.008,0.00019
445,N,-0.0063,0.0023,0.012,-0.002,-0.00049
446,N,-0.012,-0.0036,0.014,-0.021,-9e-05
447,N,-0.0081,-0.0024,0.009,-0.041,0.0004
448,P,0.0076,0.0,-0.001,-0.042,0.0004
449,P,0.0065,0.0034,0.01,-0.005,9e-05
450,N,-0.012,0.0036,0.021,-0.015,-0.00033
451,P,0.0084,-0.0011,0.014,-0.038,0.00039
452,N,-0.0033,0.0019,0.005,-0.012,4e-05
453,P,0.0042,0.002,0.012,-0.007,6e-05
454,N,-0.0064,-0.0002,0.012,-0.013,-0.00012
455,P,0.0104,0.0016,0.012,-0.005,0.00023
456,N,-0.0104,-0.0001,0.007,0.004,-0.00021
457,P,0.0065,0.0017,0.011,-0.004,0.0002
458,P,0.0059,0.0016,0.011,0.01,-0.0002
459,N,-0.0093,0.0,0.006,0.003,-0.0003
460,P,0.0047,0.003,0.004,-0.02,0.00036
461,P,0.0075,0.0031,0.01,0.011,-4e-05
462,N,-0.0066,0.0016,0.009,0.004,-0.00012
463,N,-0.0059,0.0014,0.008,-0.013,7e-05
464,P,0.0058,0.0031,0.014,-0.013,0.00012
465,P,0.0035,-0.0001,0.011,0.01,0.00015
466,N,-0.0078,0.0004,0.007,0.009,-0.0005
467,N,-0.0119,0.0029,0.01,-0.013,-4e-05
468,N,-0.0075,0.003,0.012,-0.031,0.00037
469,P,0.0083,0.0018,0.014,-0.029,0.00033
470,P,0.0112,0.001,0.013,-0.011,9e-05
471,P,0.0099,0.0003,0.01,0.018,-0.00011
472,P,0.0047,0.0013,0.011,0.03,-0.00042
473,N,-0.0087,0.0029,0.015,0.027,-0.0007
474,N,-0.0141,-0.0022,0.008,0.011,-0.0003
475,P,0.0107,0.0024,0.0,-0.005,0.00036
476,N,0.0102,0.0074,0.005,0.017,-0.00057
477,N,0.0036,0.0036,0.015,0.03,-2e-05
478,N,-0.0006,-0.0016,0.008,0.039,-0.00016
479,P,-0.0006,0.0006,0.003,0.036,2e-05
480,N,-0.0098,0.0019,0.003,0.02,-0.0003
481,N,-0.0121,0.0034,0.007,0.002,-9e-05
482,N,-0.0075,0.0041,0.013,-0.029,0.00029
483,P,0.0103,0.0015,0.014,-0.026,0.00048
484,P,0.0063,0.0016,0.016,0.013,5e-05
485,N,-0.0133,-0.0014,0.007,0.002,-0.0004
486,N,-0.0094,0.0005,0.004,-0.031,0.00034
