,Species_cat,Length1_num,Length2_num,Length3_num,Height_num,Width_num,Sex_cat,class_num
63,4,17.5,19.0,21.3,39.4,13.7,1,120.0
64,4,18.4,20.0,22.4,39.7,14.7,,150.0
65,4,19.0,20.7,23.2,36.8,14.2,,140.0
66,4,19.0,20.7,23.2,40.5,14.7,0,170.0
67,4,19.8,21.5,24.1,40.4,13.1,0,145.0
68,4,21.2,23.0,25.8,40.1,14.2,,200.0
69,4,23.0,25.0,28.0,39.6,14.8,0,273.0
70,4,24.0,26.0,29.0,39.2,14.6,0,300.0
71,5,9.3,9.8,10.8,16.1,9.7,1,6.7
72,5,10.0,10.5,11.6,17.0,10.0,0,7.5
73,5,10.1,10.6,11.6,14.9,9.9,1,7.0
74,5,10.4,11.0,12.0,18.3,11.5,0,9.7
75,5,10.7,11.2,12.4,16.8,10.3,1,9.8
76,5,10.8,11.3,12.6,15.7,10.2,1,8.7
77,5,11.3,11.8,13.1,16.9,9.8,1,10.0
78,5,11.3,11.8,13.1,16.9,8.9,0,9.9
79,5,11.4,12.0,13.2,16.7,8.7,0,9.8
80,5,11.5,12.2,13.4,15.6,10.4,0,12.2
81,5,11.7,12.4,13.5,18.0,9.4,0,13.4
82,5,12.1,13.0,13.8,16.5,9.1,0,12.2
83,5,13.2,14.3,15.2,18.9,13.6,0,19.7
84,5,13.8,15.0,16.2,18.1,11.6,0,19.9
85,6,30.0,32.3,34.8,16.0,9.7,,200.0
86,6,31.7,34.0,37.8,15.1,11.0,0,300.0
87,6,32.7,35.0,38.8,15.3,11.3,,300.0
88,6,34.8,37.3,39.8,15.8,10.1,,300.0
89,6,35.5,38.0,40.5,18.0,11.3,,430.0
90,6,36.0,38.5,41.0,15.6,9.7,1,345.0
91,6,40.0,42.5,45.5,16.0,9.5,,456.0
92,6,40.0,42.5,45.5,15.0,9.8,,510.0
93,6,40.1,43.0,45.8,17.0,11.2,,540.0
94,6,42.0,45.0,48.0,14.5,10.2,,500.0
95,6,43.2,46.0,48.7,16.0,10.0,0,567.0
96,6,44.8,48.0,51.2,15.0,10.5,0,770.0
97,6,48.3,51.7,55.1,16.2,11.2,,950.0
98,6,52.0,56.0,59.7,17.9,11.7,,1250.0
99,6,56.0,60.0,64.0,15.0,9.6,,1600.0
100,6,56.0,60.0,64.0,15.0,9.6,0,1550.0
101,6,59.0,63.4,68.0,15.9,11.0,0,1650.0
102,7,7.5,8.4,8.8,24.0,16.0,,5.9
103,7,12.5,13.7,14.7,24.0,13.6,,32.0
104,7,13.8,15.0,16.0,23.9,15.2,,40.0
105,7,15.0,16.2,17.2,26.7,15.3,,51.5
106,7,15.7,17.4,18.5,24.8,15.9,,70.0
107,7,16.2,18.0,19.2,27.2,17.3,,100.0
108,7,16.8,18.7,19.4,26.8,16.1,,78.0
109,7,17.2,19.0,20.2,27.9,15.1,,80.0
110,7,17.8,19.6,20.8,24.7,14.6,,85.0
111,7,18.2,20.0,21.0,24.2,13.2,,85.0
112,7,19.0,21.0,22.5,25.3,15.8,,110.0
113,7,19.0,21.0,22.5,26.3,14.7,,115.0
114,7,19.0,21.0,22.5,25.3,16.3,1,125.0
115,7,19.3,21.3,22.8,28.0,15.5,0,130.0
116,7,20.0,22.0,23.5,26.0,14.5,0,120.0
117,7,20.0,22.0,23.5,24.0,15.0,,120.0
118,7,20.0,22.0,23.5,26.0,15.0,,130.0
119,7,20.0,22.0,23.5,25.0,15.0,,135.0
120,7,20.0,22.0,23.5,23.5,17.0,0,110.0
121,7,20.5,22.5,24.0,24.4,15.1,0,130.0
122,7,20.5,22.5,24.0,28.3,15.1,0,150.0
123,7,20.7,22.7,24.2,24.6,15.0,,145.0
124,7,21.0,23.0,24.5,21.3,14.8,,150.0
125,7,21.5,23.5,25.0,25.1,14.9,,170.0
126,7,22.0,24.0,25.5,28.6,14.6,,225.0
127,7,22.0,24.0,25.5,25.0,15.0,,145.0
128,7,22.6,24.6,26.2,25.7,15.9,,188.0
129,7,23.0,25.0,26.5,24.3,13.9,0,180.0
130,7,23.5,25.6,27.0,24.3,15.7,,197.0
131,7,25.0,26.5,28.0,25.6,14.8,,218.0
132,7,25.2,27.3,28.7,29.0,17.9,0,300.0
133,7,25.4,27.5,28.9,24.8,15.0,0,260.0
134,7,25.4,27.5,28.9,24.4,15.0,,265.0
135,7,25.4,27.5,28.9,25.2,15.8,0,250.0
136,7,25.9,28.0,29.4,26.6,14.3,,250.0
137,7,26.9,28.7,30.1,25.2,15.4,0,300.0
138,7,27.8,30.0,31.6,24.1,15.1,0,320.0
139,7,30.5,32.8,34.0,29.5,17.7,,514.0
140,7,32.0,34.5,36.5,28.1,17.5,,556.0
141,7,32.5,35.0,37.3,30.8,20.9,0,840.0
142,7,34.0,36.5,39.0,27.9,17.6,0,685.0
143,7,34.0,36.0,38.3,27.7,17.6,0,700.0
144,7,34.5,37.0,39.4,27.5,15.9,0,700.0
145,7,34.6,37.0,39.3,26.9,16.2,0,690.0
146,7,36.5,39.0,41.4,26.9,18.1,0,900.0
147,7,36.5,39.0,41.4,26.9,14.5,,650.0
148,7,36.6,39.0,41.3,30.1,17.8,,820.0
149,7,36.9,40.0,42.3,28.2,16.8,0,850.0
150,7,37.0,40.0,42.5,27.6,17.0,0,900.0
151,7,37.0,40.0,42.4,29.2,17.6,0,1015.0
152,7,37.1,40.0,42.5,26.2,15.6,0,820.0
153,7,39.0,42.0,44.6,28.7,15.4,0,1100.0
154,7,39.8,43.0,45.2,26.4,16.1,0,1000.0
155,7,40.1,43.0,45.5,27.5,16.3,0,1100.0
156,7,40.2,43.5,46.0,27.4,17.7,1,1000.0
157,7,41.1,44.0,46.6,26.8,16.3,0,1000.0
