,counts_for_sons_current_occupation_num,fathers_occupation_cat,sons_occupation_cat,family_structure_cat,race_cat,counts_for_sons_first_occupation_num
154,127.4,Craftsman-Construction,Professional-Salaried,intact,white,120.3
155,134.1,Craftsman-Construction,Manager,intact,white,26.7
156,33.7,Craftsman-Construction,Salesman-Nonretail,intact,white,18.2
157,49.9,Craftsman-Construction,Proprietor,intact,white,5.1
158,66.3,Craftsman-Construction,Clerk,intact,white,112.9
159,21.7,Craftsman-Construction,Salesman-Retail,intact,white,47.0
160,75.8,Craftsman-Construction,Craftsman-Manufacturing,intact,white,45.7
161,104.5,Craftsman-Construction,Craftsmen-Other,intact,white,62.6
162,179.4,Craftsman-Construction,Craftsman-Construction,intact,white,154.3
163,56.6,Craftsman-Construction,Service_Worker,intact,white,33.5
164,81.0,Craftsman-Construction,Operative-Nonmanufacturing,intact,white,115.6
165,109.3,Craftsman-Construction,Operative-Manufacturing,intact,white,131.8
166,8.9,Craftsman-Construction,Laborer-Manufacturing,intact,white,33.8
167,51.1,Craftsman-Construction,Laborer-Nonmanufacturing,intact,white,106.5
168,8.8,Craftsman-Construction,Farmer/Farm_Manager,intact,white,4.2
169,12.8,Craftsman-Construction,Farm_Laborer,intact,white,33.1
170,10.6,Service_Worker,Professional_Self-Employed,intact,white,3.3
171,90.6,Service_Worker,Professional-Salaried,intact,white,72.7
172,70.5,Service_Worker,Manager,intact,white,30.0
173,24.7,Service_Worker,Salesman-Nonretail,intact,white,17.7
174,20.8,Service_Worker,Proprietor,intact,white,1.7
175,64.4,Service_Worker,Clerk,intact,white,96.9
176,18.8,Service_Worker,Salesman-Retail,intact,white,28.2
177,46.9,Service_Worker,Craftsman-Manufacturing,intact,white,33.7
178,57.8,Service_Worker,Craftsmen-Other,intact,white,31.7
179,35.2,Service_Worker,Craftsman-Construction,intact,white,14.8
180,61.6,Service_Worker,Service_Worker,intact,white,44.1
181,48.2,Service_Worker,Operative-Nonmanufacturing,intact,white,55.9
182,60.2,Service_Worker,Operative-Manufacturing,intact,white,81.5
183,8.9,Service_Worker,Laborer-Manufacturing,intact,white,20.9
184,23.0,Service_Worker,Laborer-Nonmanufacturing,intact,white,36.6
185,1.3,Service_Worker,Farmer/Farm_Manager,intact,white,4.5
186,1.0,Service_Worker,Farm_Laborer,intact,white,8.6
187,5.8,Operative-Nonmanufacturing,Professional_Self-Employed,intact,white,3.8
188,143.7,Operative-Nonmanufacturing,Professional-Salaried,intact,white,117.0
189,134.2,Operative-Nonmanufacturing,Manager,intact,white,23.3
190,40.4,Operative-Nonmanufacturing,Salesman-Nonretail,intact,white,15.5
191,35.9,Operative-Nonmanufacturing,Proprietor,intact,white,5.4
192,113.4,Operative-Nonmanufacturing,Clerk,intact,white,149.3
193,27.3,Operative-Nonmanufacturing,Salesman-Retail,intact,white,58.0
194,122.7,Operative-Nonmanufacturing,Craftsman-Manufacturing,intact,white,42.9
195,146.5,Operative-Nonmanufacturing,Craftsmen-Other,intact,white,84.8
196,76.5,Operative-Nonmanufacturing,Craftsman-Construction,intact,white,41.1
197,80.1,Operative-Nonmanufacturing,Service_Worker,intact,white,51.6
198,198.0,Operative-Nonmanufacturing,Operative-Nonmanufacturing,intact,white,307.9
199,164.3,Operative-Nonmanufacturing,Operative-Manufacturing,intact,white,195.6
200,24.1,Operative-Nonmanufacturing,Laborer-Manufacturing,intact,white,54.0
201,68.8,Operative-Nonmanufacturing,Laborer-Nonmanufacturing,intact,white,117.2
202,10.3,Operative-Nonmanufacturing,Farmer/Farm_Manager,intact,white,8.7
203,10.5,Operative-Nonmanufacturing,Farm_Laborer,intact,white,44.5
204,12.9,Operative-Manufacturing,Professional_Self-Employed,intact,white,7.9
205,173.7,Operative-Manufacturing,Professional-Salaried,intact,white,127.9
206,132.2,Operative-Manufacturing,Manager,intact,white,26.6
207,37.7,Operative-Manufacturing,Salesman-Nonretail,intact,white,19.9
208,36.3,Operative-Manufacturing,Proprietor,intact,white,0.5
209,104.9,Operative-Manufacturing,Clerk,intact,white,147.2
210,27.6,Operative-Manufacturing,Salesman-Retail,intact,white,64.0
211,183.8,Operative-Manufacturing,Craftsman-Manufacturing,intact,white,87.4
212,116.1,Operative-Manufacturing,Craftsmen-Other,intact,white,74.2
213,68.7,Operative-Manufacturing,Craftsman-Construction,intact,white,25.5
214,87.3,Operative-Manufacturing,Service_Worker,intact,white,57.1
215,109.0,Operative-Manufacturing,Operative-Nonmanufacturing,intact,white,124.0
216,295.6,Operative-Manufacturing,Operative-Manufacturing,intact,white,427.4
217,38.1,Operative-Manufacturing,Laborer-Manufacturing,intact,white,88.7
218,36.9,Operative-Manufacturing,Laborer-Nonmanufacturing,intact,white,81.9
219,7.5,Operative-Manufacturing,Farmer/Farm_Manager,intact,white,6.8
220,3.7,Operative-Manufacturing,Farm_Laborer,intact,white,29.9
221,4.7,Laborer-Manufacturing,Professional_Self-Employed,intact,white,2.3
222,26.3,Laborer-Manufacturing,Professional-Salaried,intact,white,24.4
223,34.2,Laborer-Manufacturing,Manager,intact,white,3.1
224,10.4,Laborer-Manufacturing,Salesman-Nonretail,intact,white,3.0
225,10.3,Laborer-Manufacturing,Proprietor,intact,white,0.0
226,19.6,Laborer-Manufacturing,Clerk,intact,white,27.9
227,7.3,Laborer-Manufacturing,Salesman-Retail,intact,white,9.5
228,44.6,Laborer-Manufacturing,Craftsman-Manufacturing,intact,white,24.8
229,30.1,Laborer-Manufacturing,Craftsmen-Other,intact,white,19.2
230,30.1,Laborer-Manufacturing,Craftsman-Construction,intact,white,10.0
231,12.5,Laborer-Manufacturing,Service_Worker,intact,white,9.0
232,35.4,Laborer-Manufacturing,Operative-Nonmanufacturing,intact,white,40.8
233,70.1,Laborer-Manufacturing,Operative-Manufacturing,intact,white,69.9
234,20.7,Laborer-Manufacturing,Laborer-Manufacturing,intact,white,69.6
235,11.3,Laborer-Manufacturing,Laborer-Nonmanufacturing,intact,white,23.9
236,2.7,Laborer-Manufacturing,Farmer/Farm_Manager,intact,white,0.7
237,2.3,Laborer-Manufacturing,Farm_Laborer,intact,white,17.7
238,5.6,Laborer-Nonmanufacturing,Professional_Self-Employed,intact,white,3.8
239,43.2,Laborer-Nonmanufacturing,Professional-Salaried,intact,white,41.8
240,61.6,Laborer-Nonmanufacturing,Manager,intact,white,11.1
241,15.1,Laborer-Nonmanufacturing,Salesman-Nonretail,intact,white,7.1
242,18.2,Laborer-Nonmanufacturing,Proprietor,intact,white,4.0
243,35.1,Laborer-Nonmanufacturing,Clerk,intact,white,64.4
244,10.3,Laborer-Nonmanufacturing,Salesman-Retail,intact,white,20.3
245,56.1,Laborer-Nonmanufacturing,Craftsman-Manufacturing,intact,white,26.1
246,56.4,Laborer-Nonmanufacturing,Craftsmen-Other,intact,white,34.9
247,48.4,Laborer-Nonmanufacturing,Craftsman-Construction,intact,white,25.5
248,50.9,Laborer-Nonmanufacturing,Service_Worker,intact,white,25.5
249,61.2,Laborer-Nonmanufacturing,Operative-Nonmanufacturing,intact,white,71.4
250,93.8,Laborer-Nonmanufacturing,Operative-Manufacturing,intact,white,92.4
251,12.2,Laborer-Nonmanufacturing,Laborer-Manufacturing,intact,white,31.4
252,50.0,Laborer-Nonmanufacturing,Laborer-Nonmanufacturing,intact,white,89.0
253,2.5,Laborer-Nonmanufacturing,Farmer/Farm_Manager,intact,white,5.2
254,3.7,Laborer-Nonmanufacturing,Farm_Laborer,intact,white,30.6
255,22.6,Farmer/Farm_Manager,Professional_Self-Employed,intact,white,11.6
256,223.3,Farmer/Farm_Manager,Professional-Salaried,intact,white,210.8
257,271.1,Farmer/Farm_Manager,Manager,intact,white,50.1
258,69.1,Farmer/Farm_Manager,Salesman-Nonretail,intact,white,29.3
259,104.6,Farmer/Farm_Manager,Proprietor,intact,white,8.9
260,120.3,Farmer/Farm_Manager,Clerk,intact,white,157.1
261,58.2,Farmer/Farm_Manager,Salesman-Retail,intact,white,81.6
262,213.5,Farmer/Farm_Manager,Craftsman-Manufacturing,intact,white,69.7
263,251.4,Farmer/Farm_Manager,Craftsmen-Other,intact,white,118.1
264,211.3,Farmer/Farm_Manager,Craftsman-Construction,intact,white,94.2
265,146.2,Farmer/Farm_Manager,Service_Worker,intact,white,62.5
266,238.9,Farmer/Farm_Manager,Operative-Nonmanufacturing,intact,white,250.1
267,341.8,Farmer/Farm_Manager,Operative-Manufacturing,intact,white,294.7
268,58.3,Farmer/Farm_Manager,Laborer-Manufacturing,intact,white,89.1
269,121.5,Farmer/Farm_Manager,Laborer-Nonmanufacturing,intact,white,167.6
270,414.0,Farmer/Farm_Manager,Farmer/Farm_Manager,intact,white,377.7
271,103.1,Farmer/Farm_Manager,Farm_Laborer,intact,white,746.3
272,3.1,Farm_Laborer,Professional_Self-Employed,intact,white,1.5
273,30.7,Farm_Laborer,Professional-Salaried,intact,white,23.6
274,35.9,Farm_Laborer,Manager,intact,white,7.3
275,11.7,Farm_Laborer,Salesman-Nonretail,intact,white,3.2
276,16.8,Farm_Laborer,Proprietor,intact,white,1.5
277,33.2,Farm_Laborer,Clerk,intact,white,27.3
278,13.4,Farm_Laborer,Salesman-Retail,intact,white,16.5
279,65.6,Farm_Laborer,Craftsman-Manufacturing,intact,white,17.4
280,58.3,Farm_Laborer,Craftsmen-Other,intact,white,28.2
281,42.8,Farm_Laborer,Craftsman-Construction,intact,white,14.6
282,34.9,Farm_Laborer,Service_Worker,intact,white,20.5
283,74.7,Farm_Laborer,Operative-Nonmanufacturing,intact,white,64.4
284,104.9,Farm_Laborer,Operative-Manufacturing,intact,white,81.5
285,23.7,Farm_Laborer,Laborer-Manufacturing,intact,white,19.1
286,40.1,Farm_Laborer,Laborer-Nonmanufacturing,intact,white,40.8
287,32.6,Farm_Laborer,Farmer/Farm_Manager,intact,white,11.2
288,41.5,Farm_Laborer,Farm_Laborer,intact,white,239.3
289,0.0,Professional_Self-Employed,Professional_Self-Employed,nonintact,white,0.9
290,3.8,Professional_Self-Employed,Professional-Salaried,nonintact,white,5.0
291,2.8,Professional_Self-Employed,Manager,nonintact,white,1.1
292,1.7,Professional_Self-Employed,Salesman-Nonretail,nonintact,white,2.1
293,1.1,Professional_Self-Employed,Proprietor,nonintact,white,0.0
294,0.9,Professional_Self-Employed,Clerk,nonintact,white,2.1
295,1.6,Professional_Self-Employed,Salesman-Retail,nonintact,white,1.5
296,2.5,Professional_Self-Employed,Craftsman-Manufacturing,nonintact,white,0.0
297,0.8,Professional_Self-Employed,Craftsmen-Other,nonintact,white,0.0
298,1.4,Professional_Self-Employed,Craftsman-Construction,nonintact,white,0.9
299,2.7,Professional_Self-Employed,Service_Worker,nonintact,white,0.8
300,2.6,Professional_Self-Employed,Operative-Nonmanufacturing,nonintact,white,2.3
301,0.0,Professional_Self-Employed,Operative-Manufacturing,nonintact,white,1.9
302,0.0,Professional_Self-Employed,Laborer-Manufacturing,nonintact,white,1.6
303,0.0,Professional_Self-Employed,Laborer-Nonmanufacturing,nonintact,white,0.9
304,0.0,Professional_Self-Employed,Farmer/Farm_Manager,nonintact,white,0.7
305,0.0,Professional_Self-Employed,Farm_Laborer,nonintact,white,0.0
306,3.3,Professional-Salaried,Professional_Self-Employed,nonintact,white,0.0
307,26.4,Professional-Salaried,Professional-Salaried,nonintact,white,33.9
308,18.0,Professional-Salaried,Manager,nonintact,white,5.6
309,7.4,Professional-Salaried,Salesman-Nonretail,nonintact,white,4.0
310,3.1,Professional-Salaried,Proprietor,nonintact,white,0.8
311,11.9,Professional-Salaried,Clerk,nonintact,white,11.6
312,1.7,Professional-Salaried,Salesman-Retail,nonintact,white,5.1
313,6.3,Professional-Salaried,Craftsman-Manufacturing,nonintact,white,5.4
314,8.2,Professional-Salaried,Craftsmen-Other,nonintact,white,4.3
315,4.0,Professional-Salaried,Craftsman-Construction,nonintact,white,1.5
316,4.5,Professional-Salaried,Service_Worker,nonintact,white,8.6
317,8.3,Professional-Salaried,Operative-Nonmanufacturing,nonintact,white,8.5
318,13.0,Professional-Salaried,Operative-Manufacturing,nonintact,white,9.5
319,1.6,Professional-Salaried,Laborer-Manufacturing,nonintact,white,2.4
320,2.5,Professional-Salaried,Laborer-Nonmanufacturing,nonintact,white,4.6
321,0.6,Professional-Salaried,Farmer/Farm_Manager,nonintact,white,0.8
322,0.0,Professional-Salaried,Farm_Laborer,nonintact,white,4.2
323,1.3,Manager,Professional_Self-Employed,nonintact,white,1.3
324,16.9,Manager,Professional-Salaried,nonintact,white,14.0
325,16.0,Manager,Manager,nonintact,white,1.5
326,6.4,Manager,Salesman-Nonretail,nonintact,white,6.8
327,6.0,Manager,Proprietor,nonintact,white,0.6
328,8.0,Manager,Clerk,nonintact,white,10.3
329,1.5,Manager,Salesman-Retail,nonintact,white,6.3
330,3.3,Manager,Craftsman-Manufacturing,nonintact,white,2.3
331,3.1,Manager,Craftsmen-Other,nonintact,white,4.4
332,3.3,Manager,Craftsman-Construction,nonintact,white,1.6
333,3.1,Manager,Service_Worker,nonintact,white,3.2
334,4.0,Manager,Operative-Nonmanufacturing,nonintact,white,7.6
335,4.3,Manager,Operative-Manufacturing,nonintact,white,3.4
336,0.0,Manager,Laborer-Manufacturing,nonintact,white,2.5
337,1.5,Manager,Laborer-Nonmanufacturing,nonintact,white,5.7
338,0.7,Manager,Farmer/Farm_Manager,nonintact,white,0.0
339,0.8,Manager,Farm_Laborer,nonintact,white,1.6
340,0.8,Salesman-Nonretail,Professional_Self-Employed,nonintact,white,0.0
341,2.4,Salesman-Nonretail,Professional-Salaried,nonintact,white,4.8
342,8.0,Salesman-Nonretail,Manager,nonintact,white,3.7
343,3.3,Salesman-Nonretail,Salesman-Nonretail,nonintact,white,3.4
344,2.3,Salesman-Nonretail,Proprietor,nonintact,white,0.0
345,1.6,Salesman-Nonretail,Clerk,nonintact,white,3.2
346,0.0,Salesman-Nonretail,Salesman-Retail,nonintact,white,0.7
347,1.7,Salesman-Nonretail,Craftsman-Manufacturing,nonintact,white,0.8
348,1.5,Salesman-Nonretail,Craftsmen-Other,nonintact,white,0.6
349,1.3,Salesman-Nonretail,Craftsman-Construction,nonintact,white,0.4
350,1.6,Salesman-Nonretail,Service_Worker,nonintact,white,1.7
351,1.7,Salesman-Nonretail,Operative-Nonmanufacturing,nonintact,white,3.7
352,2.2,Salesman-Nonretail,Operative-Manufacturing,nonintact,white,2.4
353,0.0,Salesman-Nonretail,Laborer-Manufacturing,nonintact,white,0.0
354,2.2,Salesman-Nonretail,Laborer-Nonmanufacturing,nonintact,white,1.5
355,0.8,Salesman-Nonretail,Farmer/Farm_Manager,nonintact,white,0.0
356,1.6,Salesman-Nonretail,Farm_Laborer,nonintact,white,0.0
357,1.5,Proprietor,Professional_Self-Employed,nonintact,white,1.5
358,13.3,Proprietor,Professional-Salaried,nonintact,white,13.3
359,16.8,Proprietor,Manager,nonintact,white,6.5
360,6.3,Proprietor,Salesman-Nonretail,nonintact,white,4.0
361,8.3,Proprietor,Proprietor,nonintact,white,3.0
362,5.9,Proprietor,Clerk,nonintact,white,10.4
363,3.2,Proprietor,Salesman-Retail,nonintact,white,5.0
364,5.9,Proprietor,Craftsman-Manufacturing,nonintact,white,1.2
365,6.4,Proprietor,Craftsmen-Other,nonintact,white,6.5
366,6.0,Proprietor,Craftsman-Construction,nonintact,white,3.7
367,6.2,Proprietor,Service_Worker,nonintact,white,4.9
368,7.0,Proprietor,Operative-Nonmanufacturing,nonintact,white,7.6
369,8.3,Proprietor,Operative-Manufacturing,nonintact,white,18.1
370,0.9,Proprietor,Laborer-Manufacturing,nonintact,white,3.0
371,1.5,Proprietor,Laborer-Nonmanufacturing,nonintact,white,7.3
372,1.7,Proprietor,Farmer/Farm_Manager,nonintact,white,0.4
373,0.6,Proprietor,Farm_Laborer,nonintact,white,2.6
374,2.1,Clerk,Professional_Self-Employed,nonintact,white,1.4
375,36.8,Clerk,Professional-Salaried,nonintact,white,40.5
376,34.8,Clerk,Manager,nonintact,white,7.5
377,8.7,Clerk,Salesman-Nonretail,nonintact,white,4.2
378,4.1,Clerk,Proprietor,nonintact,white,0.0
379,26.0,Clerk,Clerk,nonintact,white,26.5
380,7.9,Clerk,Salesman-Retail,nonintact,white,14.4
381,16.0,Clerk,Craftsman-Manufacturing,nonintact,white,4.8
382,15.9,Clerk,Craftsmen-Other,nonintact,white,7.0
383,11.8,Clerk,Craftsman-Construction,nonintact,white,9.2
384,10.8,Clerk,Service_Worker,nonintact,white,12.6
385,11.2,Clerk,Operative-Nonmanufacturing,nonintact,white,16.3
386,16.1,Clerk,Operative-Manufacturing,nonintact,white,23.8
387,0.7,Clerk,Laborer-Manufacturing,nonintact,white,5.6
388,6.1,Clerk,Laborer-Nonmanufacturing,nonintact,white,11.0
389,0.8,Clerk,Farmer/Farm_Manager,nonintact,white,0.8
390,0.7,Clerk,Farm_Laborer,nonintact,white,1.4
391,0.0,Salesman-Retail,Professional_Self-Employed,nonintact,white,0.0
392,12.9,Salesman-Retail,Professional-Salaried,nonintact,white,16.2
393,11.8,Salesman-Retail,Manager,nonintact,white,3.3
394,3.3,Salesman-Retail,Salesman-Nonretail,nonintact,white,2.5
395,3.2,Salesman-Retail,Proprietor,nonintact,white,0.0
396,8.8,Salesman-Retail,Clerk,nonintact,white,11.4
397,5.7,Salesman-Retail,Salesman-Retail,nonintact,white,5.9
