,binaryClass_cat,no2_concentration_num,cars_per_hour_num,temperature_at_2m_num,wind_speed_num,temperature_diff_2m_25m_num,wind_direction_num,hour_of_day_num
137,N,2.64617,5.44674,1.6,2.9,-0.1,220.9,5.0
138,N,3.84588,7.66763,0.6,5.8,0.0,42.1,14.0
139,N,4.62399,7.59337,-7.5,3.2,-0.2,59.7,11.0
140,N,3.68888,6.52649,-0.3,6.1,-0.2,68.9,6.0
141,N,3.79098,8.31899,1.6,2.7,-0.3,209.9,16.0
142,N,3.96081,7.32712,9.3,4.3,-0.2,214.1,21.0
143,N,4.51196,7.25276,1.1,1.4,1.2,78.9,21.0
144,P,3.82647,7.9848,-8.8,2.1,-0.2,48.0,15.0
145,N,4.58802,6.64509,-6.8,1.1,0.1,145.8,24.0
146,N,3.02529,7.05531,11.2,3.3,2.3,302.8,23.0
147,P,3.66356,7.80344,4.9,2.9,0.4,189.0,15.0
148,N,3.48431,7.61283,20.3,4.2,-3.9,278.9,10.0
149,P,2.55723,7.67555,6.8,9.9,-0.2,249.0,15.0
150,N,4.83787,8.19589,-4.2,0.8,0.4,247.2,16.0
151,N,4.30271,8.13124,4.1,6.5,0.0,58.1,9.0
152,P,3.25424,6.92756,1.8,4.2,0.3,207.0,23.0
153,N,3.85862,7.52348,3.4,6.0,0.2,191.0,14.0
154,P,4.21656,7.0076,-3.4,1.5,1.7,76.0,23.0
155,N,4.08261,8.19616,-4.1,0.4,0.4,270.5,17.0
156,N,2.5337,4.81218,-6.4,4.7,0.4,75.9,7.0
157,P,3.61092,7.61431,0.9,3.9,0.1,107.0,19.0
158,P,3.45947,7.94058,4.3,5.6,-0.9,64.0,12.0
159,P,3.23475,7.4378,2.1,1.6,1.0,205.0,20.0
160,P,3.84802,8.01334,1.2,2.3,0.1,245.0,17.0
161,P,3.23868,4.54329,6.5,3.7,0.0,80.0,4.0
162,N,4.23555,7.97488,-1.6,3.5,0.5,34.5,18.0
163,N,2.87356,7.23634,1.2,4.3,0.0,64.3,21.0
164,P,4.41764,8.25192,0.0,3.5,-0.2,77.0,8.0
165,P,4.14155,7.57147,8.4,1.8,-0.9,108.0,13.0
166,N,3.14845,6.74993,-2.8,2.0,-0.9,231.8,10.0
167,N,2.4248,4.56435,-3.9,1.4,-0.1,76.8,4.0
168,P,4.02535,6.95559,-7.5,1.3,2.3,236.0,20.0
169,N,4.21656,7.5974,0.3,0.8,1.7,113.3,22.0
170,N,3.46574,5.88888,9.0,1.0,0.2,151.6,2.0
171,P,2.83321,5.64191,4.6,2.5,0.7,229.0,2.0
172,N,2.44235,6.4151,3.6,4.0,0.0,68.2,24.0
173,P,4.16667,7.85941,1.3,2.2,0.2,227.0,7.0
174,P,4.22244,5.86363,-0.6,0.6,1.7,142.0,1.0
175,P,4.60717,7.82285,3.4,2.3,0.5,8.0,15.0
176,P,1.62924,5.50533,1.5,4.3,0.2,156.0,4.0
177,P,4.3,8.19864,2.4,3.4,0.4,186.0,16.0
178,P,2.73437,6.12249,4.5,2.9,0.6,196.0,1.0
179,N,4.89933,7.98071,-11.6,3.1,0.3,78.8,9.0
180,P,4.07414,7.9179,2.7,2.5,0.0,212.0,9.0
181,N,4.02356,7.71423,-2.1,3.2,-0.1,39.9,7.0
182,N,4.25135,7.95893,-1.7,3.7,0.0,40.8,15.0
183,P,3.65325,7.61628,5.1,2.9,1.1,192.0,20.0
184,P,4.26549,5.17615,-2.7,2.2,1.5,219.0,3.0
185,N,4.47506,7.29029,10.8,2.3,0.5,85.5,22.0
186,N,3.16969,7.82084,18.1,3.7,-2.1,244.0,16.0
187,P,2.80336,6.87316,5.6,7.0,0.6,191.0,21.0
188,P,3.69387,7.96207,7.3,2.8,0.7,317.0,16.0
189,P,3.88568,6.92166,6.4,0.5,-2.1,71.0,9.0
190,P,4.35414,7.6834,3.6,2.9,-0.3,74.0,10.0
191,P,4.4128,7.21008,-1.8,1.8,1.1,2.0,21.0
192,N,3.08649,4.84419,7.7,3.5,0.1,81.8,4.0
193,N,4.37827,8.19589,-3.2,2.0,3.0,211.7,17.0
194,N,3.87536,6.86485,0.8,1.5,-0.1,231.5,23.0
195,N,4.05352,7.79194,8.0,4.1,-0.2,207.6,13.0
196,N,4.19117,5.77144,-0.4,0.4,1.9,240.4,2.0
197,N,3.10459,8.21906,11.6,5.5,-2.5,231.4,8.0
198,P,4.19117,7.71244,-9.9,2.7,0.7,78.0,21.0
199,N,4.25561,7.86019,-4.9,2.6,-0.1,243.1,9.0
200,P,3.18221,6.8977,-1.4,4.8,-0.1,72.0,23.0
201,P,2.72785,7.18992,7.0,4.1,0.4,159.0,22.0
202,P,4.28496,7.79975,-0.8,0.8,1.1,80.0,18.0
203,P,3.09558,5.54126,-1.4,2.2,1.7,212.0,1.0
204,P,4.39198,7.94201,-4.2,1.3,-0.2,240.0,15.0
205,N,3.24649,5.20401,6.7,1.5,0.0,80.5,2.0
206,N,4.27528,7.42536,1.1,1.5,2.2,273.1,20.0
207,N,2.78501,6.64379,-5.7,1.9,-0.3,74.2,23.0
208,N,3.79549,7.83003,6.4,4.3,-0.1,30.4,13.0
209,N,4.15261,5.17615,-1.7,0.4,1.1,183.1,5.0
210,N,4.07244,6.53669,-0.8,2.0,0.8,70.6,24.0
211,N,4.36055,7.64588,5.0,1.5,-1.1,243.2,14.0
212,N,3.07269,7.61825,8.4,2.8,-1.1,133.1,13.0
213,P,2.79728,4.62497,-9.6,2.9,0.8,73.0,6.0
214,N,3.59731,7.46851,-3.5,0.7,0.2,165.1,20.0
215,P,4.55703,7.74803,-4.1,2.0,-0.1,85.0,15.0
216,N,4.70863,7.52726,-6.4,3.3,0.0,60.5,13.0
217,N,4.3108,7.88758,-5.0,4.7,-0.1,47.2,9.0
218,P,3.59182,6.80351,-9.3,3.6,0.3,73.0,8.0
219,N,4.14472,7.80098,8.5,4.5,-0.2,203.2,19.0
220,P,3.02042,7.96346,3.6,3.2,1.2,268.0,18.0
221,P,3.17388,6.91473,4.8,4.6,0.2,199.0,23.0
222,P,4.30676,7.80262,-4.6,5.7,-0.2,81.0,18.0
223,N,3.81551,7.51152,0.4,3.0,-0.8,89.8,11.0
224,P,2.83908,7.47022,10.8,2.6,-3.5,262.0,12.0
225,P,3.83945,5.273,-13.8,3.8,0.2,79.0,5.0
226,P,3.85651,8.14989,5.4,3.0,0.1,234.0,15.0
227,N,4.2485,6.61607,0.1,0.4,2.0,122.3,22.0
228,P,2.96527,6.47851,4.3,3.2,1.1,218.0,24.0
229,P,4.53045,7.5974,2.6,1.3,0.2,233.0,12.0
230,N,3.21487,7.17319,-6.0,5.6,-0.2,65.5,22.0
231,N,3.12676,4.91998,6.0,3.9,-0.1,72.0,2.0
232,N,3.50255,7.23129,8.0,3.8,1.7,207.9,22.0
233,N,4.51196,7.56631,-5.5,3.5,-0.1,65.1,12.0
234,N,3.3673,7.65728,2.5,2.5,-0.2,60.8,10.0
235,N,4.42963,6.65028,-3.7,0.5,1.2,325.6,24.0
236,N,4.03954,8.08887,15.1,1.9,-5.1,240.7,9.0
237,N,4.1463,5.93754,-7.8,0.9,1.0,111.7,6.0
238,N,1.97408,5.43372,7.0,4.7,0.0,27.5,2.0
239,N,3.76584,7.77317,2.2,3.7,-0.7,211.7,13.0
240,N,4.01638,6.39359,-5.8,1.2,1.3,73.7,24.0
241,P,3.09104,7.85516,6.5,5.2,-0.2,69.0,19.0
242,N,4.07073,7.33433,-14.7,0.8,0.0,212.0,17.0
243,P,3.94158,7.64826,4.8,4.4,-0.6,229.0,13.0
244,P,3.43076,7.662,3.4,2.9,0.6,23.0,18.0
245,N,3.627,7.72533,-2.3,4.1,-0.1,61.9,19.0
246,P,3.87743,7.46107,-2.8,1.4,-0.1,243.0,20.0
247,P,3.05871,6.2106,5.9,3.3,1.8,248.0,24.0
248,P,3.91202,7.61481,6.9,2.7,0.1,178.0,19.0
249,P,3.96651,5.43808,-0.9,1.6,4.3,96.0,6.0
250,N,4.28496,7.43248,-10.3,4.1,-0.2,61.6,12.0
251,N,4.17746,5.20949,-12.9,1.1,1.6,219.5,3.0
252,N,4.26549,6.75809,-4.7,1.6,0.7,262.9,9.0
253,N,4.01096,6.58203,2.2,1.8,0.1,64.2,6.0
254,P,3.15274,5.82305,4.6,4.3,0.3,203.0,1.0
255,P,4.1957,8.12415,5.2,2.8,0.3,209.0,8.0
256,P,3.5293,4.7362,2.9,2.4,0.6,80.0,3.0
257,N,4.38701,7.89283,-3.8,3.0,0.0,75.3,15.0
258,P,2.93386,7.99564,12.2,5.4,-1.4,234.0,17.0
259,P,3.26576,4.92725,4.4,2.2,0.2,82.0,2.0
260,P,2.83321,5.15329,3.1,1.5,0.0,179.0,3.0
261,N,4.13357,7.78239,4.8,6.5,-1.1,41.1,10.0
262,P,3.80444,7.70841,2.1,3.1,0.0,79.0,10.0
263,N,4.1239,8.23854,-1.7,5.4,-0.1,58.2,17.0
264,N,4.75359,7.82844,3.6,0.8,1.5,87.7,19.0
265,N,4.40305,7.68386,0.6,4.7,-1.2,58.2,10.0
266,P,2.71469,7.70075,11.5,7.3,-2.1,216.0,14.0
267,P,2.8792,5.2575,4.0,8.3,0.3,218.0,5.0
268,P,3.3499,7.97728,4.9,2.8,0.3,194.0,17.0
269,P,4.12713,5.42935,-7.7,2.5,0.9,352.0,2.0
270,P,4.49647,7.27586,-7.2,1.3,1.0,85.0,21.0
271,P,3.84802,7.5761,-5.5,5.0,-0.1,82.0,17.0
272,N,3.42426,7.82164,16.1,3.1,-1.5,259.3,17.0
273,N,4.07244,8.17611,-2.0,3.0,1.3,222.5,17.0
274,P,4.33336,8.14148,-2.8,4.0,-0.3,79.0,8.0
275,P,4.26127,7.53636,-2.2,1.7,-0.7,250.0,13.0
276,P,5.23644,8.16934,-1.5,1.9,3.2,83.0,8.0
277,P,4.07414,8.08672,-13.6,3.1,0.0,77.0,8.0
278,P,4.20469,7.06647,0.2,3.0,1.0,90.0,21.0
279,N,3.54385,7.71065,15.8,3.7,-0.3,136.4,16.0
280,P,3.81331,5.61313,-4.4,2.9,0.3,74.0,1.0
281,N,3.17388,8.05261,8.0,6.8,-1.2,280.1,16.0
282,N,4.22244,7.46566,6.4,9.6,0.6,264.3,13.0
283,P,3.87743,7.78738,7.5,8.1,-0.5,220.0,15.0
284,P,4.00186,7.96555,1.1,3.9,0.0,78.0,9.0
285,N,3.2308,5.99645,8.6,2.6,0.0,82.0,5.0
286,N,4.09268,8.27053,-5.1,1.4,-0.7,248.3,16.0
287,N,3.13549,4.90527,-8.9,3.9,0.4,78.1,4.0
288,N,4.20767,5.97635,-9.7,0.8,0.0,67.7,1.0
289,N,4.237,7.64826,-4.1,2.9,-0.4,85.3,14.0
290,N,3.31419,7.02554,-1.6,2.9,0.0,222.2,22.0
291,N,4.18662,7.62071,-0.8,4.7,-0.1,61.4,12.0
292,P,3.81331,5.69373,2.0,1.2,0.4,76.0,1.0
293,P,4.14472,7.74414,-1.3,4.2,-0.2,59.0,15.0
294,N,2.87356,6.40688,-4.1,2.1,-0.1,146.8,24.0
295,P,5.02651,7.8808,-6.9,2.2,1.0,158.0,7.0
296,P,1.70475,5.11199,-4.4,4.2,-0.1,55.0,4.0
297,N,2.8792,7.17855,4.9,5.0,-0.6,76.2,9.0
298,P,3.72086,5.09987,5.8,3.0,0.0,78.0,3.0
299,N,3.36038,4.45435,-2.8,5.3,0.4,67.0,3.0
300,N,3.8111,7.6516,7.2,1.5,-0.4,248.0,16.0
301,P,3.91602,5.75257,-7.4,0.9,2.1,293.0,11.0
302,N,3.72569,6.54965,-9.2,4.2,-0.2,78.8,6.0
303,P,5.13049,7.26543,-1.7,1.3,1.4,114.0,21.0
304,N,4.90602,8.19699,-10.6,3.4,0.3,81.1,17.0
305,N,3.72569,5.07517,-4.8,0.6,0.1,103.7,2.0
306,P,3.35341,8.03948,4.9,5.1,-0.7,338.0,9.0
307,N,4.31348,8.1371,6.4,2.2,-2.6,246.6,9.0
308,N,2.41591,6.85435,1.2,5.0,0.0,65.9,23.0
309,N,4.50424,7.51915,3.0,3.4,0.6,44.1,20.0
310,N,2.36085,4.5326,-6.5,2.7,0.0,77.5,6.0
311,P,3.48431,4.85981,-6.3,3.1,0.6,73.0,2.0
312,N,4.08429,7.55538,-4.2,5.3,0.0,59.0,15.0
313,N,5.37389,6.31355,-13.5,0.9,3.0,82.5,24.0
314,N,4.16044,6.31536,-10.4,2.5,-0.2,62.3,6.0
315,P,3.88156,7.52618,-5.5,3.0,1.6,75.0,21.0
316,P,4.08092,7.74803,6.1,6.0,0.1,180.0,15.0
317,P,3.23868,6.93049,2.6,2.3,0.6,193.0,23.0
318,N,4.17131,4.76217,1.7,0.3,1.3,112.5,3.0
319,P,5.58237,7.70481,-0.2,0.6,1.4,220.0,12.0
320,N,2.4248,5.68698,11.0,1.2,-4.1,286.6,7.0
321,N,4.3108,7.63916,-10.2,4.2,-0.2,58.6,15.0
322,P,4.32678,7.67508,3.2,1.7,1.1,249.0,14.0
323,P,2.5096,5.3033,-0.6,2.8,0.0,76.0,5.0
324,P,4.38203,7.15696,3.3,1.7,0.5,90.0,22.0
325,N,3.71601,7.98582,-2.3,4.2,-0.1,77.0,18.0
326,P,4.2032,7.97384,7.4,1.7,-0.2,165.0,9.0
327,N,4.31749,7.74544,2.2,6.7,0.3,56.6,10.0
328,P,3.30689,5.50939,-1.4,5.4,0.5,88.0,2.0
329,P,4.01818,5.70044,2.7,1.2,1.7,185.0,1.0
330,N,3.27714,5.6204,6.2,3.5,0.0,70.9,5.0
331,N,3.27336,7.02909,4.5,2.8,0.2,75.5,21.0
332,N,3.92197,7.93057,-8.2,2.6,0.4,50.4,18.0
333,P,4.06044,7.59488,4.9,2.9,-0.1,77.0,11.0
334,N,2.99573,7.23346,-2.2,6.1,-0.2,62.9,21.0
335,N,4.07923,7.60639,5.5,5.4,-0.6,54.9,11.0
336,P,4.17285,7.85671,6.3,3.5,-0.1,77.0,7.0
337,P,4.09101,7.59085,7.5,6.1,-0.5,238.0,14.0
338,P,2.77882,4.86753,2.1,3.0,0.6,217.0,2.0
339,N,4.2485,8.20303,3.5,3.3,-0.2,51.9,16.0
340,N,2.59525,5.90808,-8.1,3.8,-0.1,48.5,1.0
341,N,3.13549,5.40268,1.3,0.9,0.7,68.4,5.0
342,P,3.06805,6.55393,3.7,2.8,1.1,241.0,23.0
343,P,4.10594,8.00001,4.3,4.6,-0.2,215.0,17.0
344,N,3.2068,7.42476,-3.2,4.9,-0.4,78.9,12.0
345,N,4.10099,7.44366,-4.5,5.1,-0.2,47.9,13.0
346,N,3.69883,7.58426,10.5,2.1,0.5,214.5,20.0
347,P,3.28466,7.7878,0.0,2.7,-0.1,82.0,18.0
348,P,3.7495,7.99934,4.8,2.6,0.3,194.0,16.0
349,P,3.81551,7.08841,0.7,1.1,0.5,295.0,22.0
350,N,3.97218,7.12125,5.7,1.5,1.0,65.4,23.0
351,P,4.92435,8.05769,2.3,1.3,0.5,152.0,9.0
352,N,2.89037,7.76853,21.1,4.5,-3.6,285.1,11.0
353,P,3.79549,7.04141,-0.7,2.7,1.2,73.0,22.0
354,N,2.5416,5.96871,11.1,2.0,0.2,153.2,3.0
355,N,2.4248,6.81892,7.2,3.8,0.0,58.5,9.0
356,P,4.32546,8.18228,4.1,2.1,0.3,177.0,8.0
357,N,3.32504,7.21671,-0.8,3.5,0.3,56.1,23.0
358,N,3.97406,7.78489,0.7,2.1,0.6,219.9,7.0
359,N,5.32933,4.67283,-14.3,0.5,2.3,257.4,4.0
360,P,1.74047,4.31749,1.7,2.3,0.0,75.0,3.0
361,P,4.50092,8.16138,-2.2,1.7,1.1,69.0,8.0
362,P,4.3412,8.22604,-5.6,2.5,0.0,87.0,17.0
363,P,3.79098,7.80221,2.5,5.0,0.1,135.0,7.0
364,N,3.83945,7.17089,-5.3,2.6,0.1,69.4,22.0
365,N,4.50314,7.88833,3.8,1.1,2.2,34.9,19.0
366,N,4.36691,7.65776,3.0,1.9,2.0,265.0,19.0
367,N,3.7013,7.40428,-1.9,3.4,-0.1,43.1,21.0
368,P,4.75875,7.6857,1.8,1.8,-1.1,269.0,10.0
369,N,4.56954,8.08364,-7.0,1.4,-0.1,242.3,15.0
370,N,1.22378,6.16331,-3.7,3.9,0.3,30.9,1.0
371,N,6.39509,7.57302,-4.6,0.8,1.3,87.2,14.0
372,N,4.24133,7.02376,-13.6,2.9,0.1,82.1,22.0
373,P,4.57883,7.97281,6.3,4.2,-0.6,81.0,9.0
374,P,3.93769,5.81413,-9.1,2.1,0.6,79.0,3.0
375,N,3.92986,6.608,7.2,0.6,1.3,191.4,24.0
376,N,3.33577,7.35628,4.4,2.4,0.3,76.6,20.0
377,N,2.95491,7.30586,15.4,1.6,-2.2,279.2,14.0
378,P,3.55535,5.11199,0.7,1.1,1.6,48.0,4.0
379,P,2.69463,5.56834,4.8,1.6,0.6,220.0,2.0
380,N,4.32678,6.56386,-1.2,2.1,1.9,192.9,6.0
381,P,4.88129,7.84189,0.4,2.9,1.9,279.0,18.0
382,N,4.56539,7.67555,-3.1,1.3,0.3,82.1,14.0
383,N,4.20916,8.31066,11.3,3.4,0.0,200.3,8.0
384,N,3.21888,5.52545,-5.8,5.0,-0.2,70.0,7.0
385,N,2.65324,5.54908,5.5,2.0,-0.1,75.1,2.0
386,N,4.34251,8.06401,3.6,2.3,-0.3,9.4,9.0
387,N,3.64545,5.09987,6.7,4.3,0.6,183.8,2.0
388,P,1.54756,5.49306,7.1,5.4,1.5,255.0,6.0
389,N,4.18205,7.7411,-5.7,2.7,-0.5,85.4,10.0
390,N,4.14946,8.3464,20.8,2.4,-2.4,230.0,16.0
391,N,3.80444,7.91206,1.2,3.3,0.7,219.0,19.0
392,N,4.07923,7.60937,-0.1,3.9,-0.2,74.3,10.0
393,N,3.14845,6.76734,-6.8,3.3,0.0,76.3,24.0
394,N,4.24276,7.61727,-4.2,3.7,-0.1,217.8,10.0
395,P,2.61007,5.80212,2.2,1.0,1.3,299.0,6.0
396,N,3.19458,4.55388,2.5,3.9,0.1,195.5,3.0
