,binaryClass_cat,Actions_taken_num,Liberal_num,Unconstitutional_num,Precedent_alteration_num,Unanimous_num,Year_of_decision_num,Lower_court_disagreement_num
66,N,0.0,1.0,0.0,0.0,0.0,1954.0,0.0
67,N,0.0,0.0,0.0,0.0,0.0,1954.0,1.0
68,N,0.0,1.0,0.0,0.0,0.0,1954.0,1.0
69,N,0.0,1.0,0.0,0.0,0.0,1954.0,0.0
70,N,0.0,0.0,0.0,0.0,0.0,1954.0,1.0
71,N,0.0,1.0,0.0,0.0,1.0,1954.0,1.0
72,N,0.0,1.0,0.0,0.0,0.0,1954.0,0.0
73,N,0.0,0.0,0.0,0.0,0.0,1954.0,0.0
74,N,0.0,0.0,0.0,0.0,0.0,1954.0,0.0
75,N,0.0,1.0,0.0,0.0,1.0,1954.0,0.0
76,N,0.0,1.0,0.0,0.0,1.0,1954.0,0.0
77,N,0.0,0.0,0.0,0.0,0.0,1954.0,1.0
78,N,0.0,0.0,0.0,0.0,0.0,1954.0,0.0
79,N,0.0,0.0,0.0,0.0,0.0,1954.0,0.0
80,N,0.0,1.0,1.0,1.0,1.0,1954.0,0.0
81,N,0.0,0.0,0.0,0.0,0.0,1954.0,0.0
82,N,0.0,1.0,1.0,1.0,1.0,1954.0,0.0
83,N,6.0,0.0,0.0,0.0,0.0,1954.0,0.0
84,N,0.0,1.0,0.0,0.0,1.0,1954.0,1.0
85,N,0.0,0.0,0.0,0.0,1.0,1954.0,1.0
86,N,0.0,1.0,0.0,0.0,1.0,1954.0,0.0
87,N,0.0,0.0,0.0,0.0,0.0,1954.0,1.0
88,N,0.0,1.0,0.0,0.0,1.0,1954.0,0.0
89,N,0.0,1.0,0.0,0.0,1.0,1954.0,0.0
90,N,0.0,0.0,0.0,0.0,0.0,1954.0,0.0
91,N,0.0,1.0,0.0,0.0,1.0,1954.0,0.0
92,N,0.0,1.0,0.0,0.0,1.0,1954.0,0.0
93,N,0.0,1.0,0.0,0.0,0.0,1954.0,1.0
94,N,0.0,0.0,0.0,0.0,1.0,1954.0,0.0
95,N,0.0,1.0,0.0,0.0,1.0,1955.0,0.0
96,N,0.0,1.0,0.0,0.0,1.0,1955.0,0.0
97,N,0.0,1.0,0.0,0.0,0.0,1955.0,0.0
98,N,0.0,1.0,0.0,0.0,1.0,1955.0,0.0
99,N,0.0,0.0,0.0,0.0,0.0,1955.0,0.0
100,N,0.0,0.0,0.0,0.0,0.0,1955.0,1.0
101,N,1.0,1.0,0.0,0.0,0.0,1955.0,0.0
102,N,0.0,1.0,0.0,0.0,0.0,1955.0,1.0
103,N,0.0,1.0,0.0,0.0,0.0,1955.0,0.0
104,N,0.0,1.0,0.0,0.0,0.0,1955.0,0.0
105,N,0.0,1.0,0.0,0.0,0.0,1955.0,1.0
106,N,0.0,0.0,0.0,0.0,1.0,1955.0,0.0
107,N,0.0,1.0,0.0,0.0,1.0,1955.0,0.0
108,N,0.0,0.0,0.0,0.0,0.0,1955.0,0.0
109,N,0.0,0.0,0.0,0.0,0.0,1955.0,1.0
110,N,0.0,0.0,0.0,0.0,0.0,1955.0,0.0
111,N,0.0,1.0,0.0,0.0,1.0,1955.0,0.0
112,N,0.0,1.0,0.0,0.0,0.0,1955.0,0.0
113,N,0.0,1.0,0.0,0.0,0.0,1955.0,0.0
114,N,0.0,1.0,0.0,0.0,0.0,1955.0,1.0
115,N,0.0,1.0,0.0,0.0,0.0,1955.0,0.0
116,N,0.0,1.0,0.0,0.0,0.0,1955.0,1.0
117,N,2.0,0.0,0.0,0.0,0.0,1955.0,0.0
118,N,0.0,0.0,0.0,0.0,0.0,1955.0,0.0
119,N,0.0,1.0,0.0,0.0,0.0,1955.0,0.0
120,N,0.0,1.0,0.0,0.0,1.0,1955.0,0.0
121,N,0.0,0.0,0.0,0.0,1.0,1955.0,0.0
122,N,0.0,0.0,0.0,0.0,0.0,1955.0,0.0
123,N,0.0,1.0,0.0,0.0,0.0,1955.0,0.0
124,N,0.0,1.0,0.0,0.0,1.0,1955.0,0.0
125,N,0.0,0.0,0.0,0.0,0.0,1955.0,0.0
126,N,0.0,1.0,0.0,0.0,1.0,1955.0,0.0
127,N,0.0,1.0,0.0,0.0,1.0,1955.0,0.0
128,N,0.0,1.0,0.0,0.0,0.0,1955.0,0.0
129,N,0.0,0.0,0.0,0.0,0.0,1955.0,0.0
130,N,0.0,1.0,0.0,0.0,1.0,1955.0,0.0
131,N,0.0,0.0,0.0,0.0,1.0,1955.0,0.0
132,N,0.0,1.0,0.0,0.0,1.0,1955.0,0.0
133,N,0.0,1.0,0.0,0.0,0.0,1955.0,0.0
134,N,0.0,1.0,0.0,0.0,0.0,1955.0,0.0
135,N,0.0,1.0,0.0,0.0,0.0,1955.0,1.0
136,N,0.0,1.0,0.0,0.0,1.0,1955.0,0.0
137,N,0.0,1.0,0.0,0.0,1.0,1955.0,0.0
138,N,0.0,0.0,0.0,0.0,0.0,1955.0,1.0
139,N,0.0,1.0,0.0,0.0,0.0,1955.0,0.0
140,N,0.0,1.0,0.0,0.0,1.0,1955.0,0.0
141,N,0.0,0.0,0.0,0.0,1.0,1955.0,0.0
142,N,0.0,1.0,0.0,0.0,1.0,1955.0,0.0
143,N,0.0,1.0,0.0,0.0,1.0,1955.0,0.0
144,N,0.0,0.0,0.0,0.0,0.0,1955.0,0.0
145,N,0.0,1.0,0.0,0.0,0.0,1955.0,0.0
146,N,0.0,1.0,0.0,0.0,1.0,1955.0,0.0
147,N,0.0,1.0,0.0,0.0,0.0,1955.0,0.0
148,N,0.0,1.0,0.0,0.0,1.0,1955.0,0.0
149,N,0.0,0.0,0.0,0.0,1.0,1955.0,0.0
150,N,0.0,1.0,0.0,0.0,0.0,1955.0,0.0
151,N,0.0,1.0,0.0,0.0,0.0,1955.0,0.0
152,N,0.0,1.0,0.0,0.0,0.0,1955.0,0.0
153,N,0.0,1.0,0.0,0.0,0.0,1955.0,0.0
154,N,0.0,1.0,0.0,0.0,1.0,1955.0,0.0
155,N,0.0,1.0,0.0,0.0,1.0,1955.0,0.0
156,N,0.0,0.0,0.0,0.0,1.0,1955.0,0.0
157,N,0.0,1.0,0.0,0.0,0.0,1955.0,0.0
158,N,0.0,1.0,0.0,0.0,0.0,1956.0,0.0
159,N,0.0,1.0,0.0,0.0,1.0,1956.0,0.0
160,N,0.0,1.0,0.0,0.0,1.0,1956.0,0.0
161,N,0.0,1.0,0.0,0.0,0.0,1956.0,0.0
162,N,0.0,1.0,0.0,0.0,1.0,1956.0,0.0
163,N,0.0,1.0,0.0,0.0,1.0,1956.0,0.0
164,N,0.0,1.0,0.0,0.0,0.0,1956.0,0.0
165,N,0.0,1.0,0.0,0.0,0.0,1956.0,0.0
166,N,0.0,0.0,0.0,0.0,1.0,1956.0,0.0
167,N,0.0,1.0,0.0,0.0,1.0,1956.0,0.0
168,N,0.0,1.0,0.0,0.0,0.0,1956.0,1.0
169,N,0.0,1.0,0.0,0.0,0.0,1956.0,0.0
170,N,0.0,1.0,0.0,0.0,0.0,1956.0,1.0
171,N,0.0,1.0,1.0,0.0,0.0,1956.0,1.0
172,N,0.0,1.0,0.0,0.0,1.0,1956.0,0.0
173,N,0.0,1.0,0.0,0.0,0.0,1956.0,0.0
174,N,0.0,1.0,0.0,0.0,0.0,1956.0,1.0
175,N,0.0,0.0,0.0,0.0,0.0,1956.0,0.0
176,N,0.0,1.0,0.0,0.0,0.0,1956.0,0.0
177,N,0.0,0.0,0.0,0.0,1.0,1956.0,0.0
178,N,0.0,1.0,0.0,0.0,1.0,1956.0,0.0
179,N,0.0,0.0,0.0,0.0,0.0,1956.0,1.0
180,N,0.0,1.0,0.0,0.0,0.0,1956.0,1.0
181,N,0.0,0.0,0.0,0.0,0.0,1956.0,0.0
182,N,0.0,1.0,0.0,0.0,1.0,1956.0,1.0
183,N,0.0,1.0,0.0,0.0,0.0,1956.0,0.0
184,N,0.0,0.0,0.0,0.0,0.0,1956.0,0.0
185,N,0.0,0.0,0.0,0.0,1.0,1956.0,0.0
186,N,0.0,1.0,0.0,0.0,1.0,1956.0,0.0
187,N,0.0,1.0,0.0,0.0,0.0,1956.0,0.0
188,N,0.0,0.0,0.0,0.0,0.0,1956.0,0.0
189,N,0.0,0.0,0.0,0.0,0.0,1956.0,0.0
190,N,0.0,1.0,0.0,0.0,0.0,1956.0,0.0
191,N,0.0,1.0,0.0,0.0,1.0,1956.0,1.0
192,N,0.0,0.0,0.0,0.0,0.0,1956.0,0.0
193,N,0.0,1.0,0.0,0.0,0.0,1956.0,0.0
194,N,0.0,0.0,0.0,0.0,0.0,1956.0,0.0
195,N,0.0,0.0,0.0,0.0,0.0,1956.0,0.0
196,N,0.0,0.0,0.0,0.0,1.0,1956.0,0.0
197,N,0.0,0.0,0.0,0.0,0.0,1956.0,0.0
198,N,0.0,1.0,0.0,0.0,0.0,1956.0,0.0
199,N,0.0,0.0,0.0,0.0,0.0,1956.0,1.0
200,N,0.0,1.0,0.0,0.0,0.0,1956.0,0.0
201,N,0.0,0.0,0.0,0.0,0.0,1956.0,0.0
202,N,0.0,1.0,1.0,0.0,0.0,1956.0,1.0
203,N,0.0,1.0,0.0,0.0,1.0,1956.0,0.0
204,N,0.0,1.0,0.0,0.0,1.0,1956.0,0.0
205,N,0.0,1.0,0.0,0.0,0.0,1956.0,0.0
206,N,0.0,0.0,0.0,0.0,1.0,1956.0,0.0
207,N,0.0,0.0,0.0,0.0,0.0,1956.0,0.0
208,N,0.0,1.0,0.0,0.0,1.0,1956.0,0.0
209,N,0.0,0.0,0.0,0.0,0.0,1956.0,0.0
210,N,0.0,1.0,0.0,0.0,0.0,1956.0,0.0
211,N,0.0,1.0,0.0,0.0,1.0,1956.0,0.0
212,N,0.0,1.0,0.0,0.0,0.0,1956.0,1.0
213,N,0.0,1.0,0.0,0.0,1.0,1956.0,0.0
214,N,0.0,1.0,0.0,0.0,0.0,1956.0,0.0
215,N,0.0,1.0,0.0,0.0,1.0,1956.0,0.0
216,N,0.0,0.0,0.0,0.0,1.0,1956.0,1.0
217,N,0.0,0.0,0.0,0.0,0.0,1956.0,0.0
218,N,0.0,0.0,0.0,0.0,0.0,1956.0,1.0
219,N,0.0,0.0,0.0,0.0,0.0,1956.0,0.0
220,N,0.0,0.0,0.0,0.0,1.0,1956.0,1.0
221,N,0.0,1.0,0.0,0.0,1.0,1956.0,1.0
222,N,0.0,1.0,0.0,0.0,1.0,1956.0,0.0
223,N,0.0,0.0,0.0,0.0,1.0,1956.0,0.0
224,N,0.0,0.0,0.0,0.0,0.0,1956.0,1.0
225,N,0.0,0.0,0.0,0.0,0.0,1956.0,1.0
226,N,0.0,0.0,0.0,0.0,0.0,1956.0,1.0
227,N,0.0,1.0,0.0,0.0,1.0,1956.0,0.0
228,N,0.0,0.0,0.0,0.0,0.0,1956.0,0.0
229,N,0.0,1.0,0.0,0.0,1.0,1956.0,0.0
230,N,0.0,1.0,0.0,0.0,0.0,1956.0,0.0
231,N,0.0,1.0,0.0,0.0,1.0,1956.0,0.0
232,N,0.0,1.0,0.0,0.0,0.0,1956.0,1.0
233,N,0.0,1.0,0.0,0.0,1.0,1956.0,1.0
234,N,0.0,1.0,0.0,0.0,1.0,1956.0,0.0
235,N,0.0,1.0,0.0,0.0,1.0,1956.0,0.0
236,N,0.0,1.0,0.0,0.0,0.0,1956.0,0.0
237,N,0.0,1.0,0.0,0.0,1.0,1956.0,0.0
238,N,0.0,1.0,1.0,0.0,0.0,1956.0,0.0
239,N,0.0,0.0,0.0,0.0,0.0,1956.0,0.0
240,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
241,N,0.0,0.0,0.0,0.0,1.0,1957.0,0.0
242,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
243,N,0.0,1.0,0.0,0.0,1.0,1957.0,0.0
244,N,0.0,1.0,0.0,0.0,1.0,1957.0,0.0
245,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
246,N,0.0,1.0,0.0,0.0,1.0,1957.0,0.0
247,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
248,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
249,N,0.0,1.0,0.0,0.0,1.0,1957.0,0.0
250,N,0.0,1.0,0.0,0.0,1.0,1957.0,0.0
251,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
252,N,0.0,1.0,1.0,0.0,0.0,1957.0,0.0
253,N,0.0,1.0,0.0,0.0,1.0,1957.0,0.0
254,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
255,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
256,N,0.0,1.0,0.0,0.0,0.0,1957.0,1.0
257,N,0.0,0.0,0.0,0.0,0.0,1957.0,1.0
258,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
259,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
260,N,0.0,1.0,0.0,0.0,1.0,1957.0,1.0
261,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
262,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
263,N,0.0,0.0,0.0,0.0,1.0,1957.0,0.0
264,N,0.0,1.0,1.0,1.0,0.0,1957.0,0.0
265,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
266,N,0.0,1.0,0.0,0.0,1.0,1957.0,0.0
267,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
268,N,0.0,1.0,0.0,0.0,1.0,1957.0,1.0
269,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
270,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
271,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
272,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
273,N,0.0,1.0,0.0,1.0,0.0,1957.0,0.0
274,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
275,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
276,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
277,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
278,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
279,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
280,N,0.0,0.0,0.0,0.0,1.0,1957.0,0.0
281,N,0.0,1.0,0.0,0.0,1.0,1957.0,0.0
282,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
283,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
284,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
285,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
286,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
287,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
288,N,0.0,1.0,1.0,1.0,0.0,1957.0,0.0
289,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
290,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
291,N,0.0,1.0,0.0,0.0,1.0,1957.0,0.0
292,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
293,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
294,N,0.0,1.0,0.0,0.0,1.0,1957.0,1.0
295,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
296,N,0.0,1.0,0.0,0.0,1.0,1957.0,0.0
297,N,0.0,1.0,1.0,0.0,1.0,1957.0,0.0
298,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
299,N,0.0,1.0,0.0,0.0,0.0,1957.0,1.0
300,N,0.0,1.0,0.0,0.0,0.0,1957.0,1.0
301,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
302,N,0.0,1.0,0.0,0.0,1.0,1957.0,1.0
303,N,0.0,1.0,0.0,0.0,1.0,1957.0,1.0
304,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
305,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
306,N,0.0,1.0,0.0,0.0,0.0,1957.0,1.0
307,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
308,N,0.0,1.0,0.0,0.0,1.0,1957.0,0.0
309,N,0.0,1.0,0.0,0.0,1.0,1957.0,0.0
310,N,0.0,1.0,0.0,0.0,1.0,1957.0,0.0
311,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
312,N,0.0,1.0,0.0,0.0,1.0,1957.0,0.0
313,N,0.0,1.0,0.0,0.0,1.0,1957.0,0.0
314,N,0.0,1.0,0.0,0.0,1.0,1957.0,0.0
315,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
316,N,0.0,1.0,0.0,0.0,1.0,1957.0,0.0
317,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
318,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
319,N,0.0,1.0,0.0,0.0,1.0,1957.0,1.0
320,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
321,N,0.0,1.0,0.0,0.0,1.0,1957.0,0.0
322,N,0.0,0.0,0.0,0.0,1.0,1957.0,0.0
323,N,0.0,1.0,0.0,0.0,0.0,1957.0,1.0
324,N,0.0,0.0,0.0,0.0,0.0,1957.0,1.0
325,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
326,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
327,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
328,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
329,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
330,N,0.0,1.0,0.0,0.0,1.0,1957.0,0.0
331,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
332,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
333,N,0.0,1.0,0.0,0.0,0.0,1957.0,1.0
334,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
335,N,0.0,0.0,0.0,0.0,1.0,1957.0,0.0
336,N,0.0,1.0,0.0,0.0,1.0,1957.0,0.0
337,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
338,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
339,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
340,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
341,N,0.0,0.0,0.0,0.0,1.0,1957.0,0.0
342,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
343,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
344,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
345,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
346,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
347,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
348,N,0.0,0.0,0.0,0.0,0.0,1957.0,0.0
349,N,0.0,1.0,0.0,0.0,1.0,1957.0,0.0
350,N,0.0,1.0,0.0,0.0,0.0,1957.0,0.0
351,N,0.0,1.0,0.0,0.0,0.0,1957.0,1.0
352,N,0.0,1.0,1.0,0.0,0.0,1958.0,0.0
353,N,0.0,0.0,0.0,0.0,0.0,1958.0,0.0
354,N,0.0,1.0,0.0,0.0,1.0,1958.0,1.0
355,N,0.0,0.0,0.0,0.0,1.0,1958.0,0.0
356,N,0.0,0.0,0.0,0.0,0.0,1958.0,0.0
357,N,0.0,1.0,0.0,0.0,1.0,1958.0,0.0
358,N,0.0,1.0,0.0,0.0,0.0,1958.0,0.0
359,N,0.0,1.0,1.0,0.0,0.0,1958.0,1.0
360,N,0.0,1.0,0.0,0.0,0.0,1958.0,0.0
361,N,0.0,0.0,0.0,0.0,0.0,1958.0,0.0
362,N,0.0,1.0,0.0,0.0,1.0,1958.0,1.0
363,N,0.0,0.0,0.0,0.0,0.0,1958.0,0.0
364,N,0.0,1.0,0.0,0.0,0.0,1958.0,1.0
365,N,0.0,1.0,0.0,0.0,0.0,1958.0,0.0
366,N,0.0,1.0,0.0,0.0,0.0,1958.0,0.0
367,N,0.0,0.0,0.0,0.0,0.0,1958.0,0.0
368,N,0.0,1.0,0.0,0.0,0.0,1958.0,0.0
369,N,0.0,1.0,0.0,0.0,0.0,1958.0,0.0
370,N,0.0,1.0,0.0,0.0,0.0,1958.0,0.0
371,N,0.0,1.0,0.0,0.0,0.0,1958.0,0.0
372,N,0.0,0.0,0.0,0.0,0.0,1958.0,1.0
373,N,0.0,1.0,0.0,0.0,0.0,1958.0,0.0
374,N,0.0,0.0,0.0,0.0,0.0,1958.0,0.0
375,N,0.0,1.0,0.0,0.0,1.0,1958.0,0.0
376,N,0.0,1.0,0.0,0.0,0.0,1958.0,0.0
377,N,0.0,1.0,0.0,0.0,1.0,1958.0,0.0
378,N,0.0,1.0,0.0,0.0,1.0,1958.0,1.0
379,N,0.0,1.0,0.0,0.0,1.0,1958.0,1.0
380,N,0.0,0.0,0.0,0.0,0.0,1958.0,0.0
381,N,0.0,1.0,0.0,0.0,0.0,1958.0,0.0
382,N,0.0,0.0,0.0,0.0,0.0,1958.0,0.0
383,N,0.0,0.0,0.0,0.0,1.0,1958.0,0.0
384,N,0.0,0.0,0.0,0.0,1.0,1958.0,0.0
385,N,0.0,0.0,0.0,0.0,0.0,1958.0,0.0
386,N,0.0,0.0,0.0,0.0,0.0,1958.0,0.0
387,N,0.0,1.0,0.0,0.0,1.0,1958.0,0.0
388,N,0.0,0.0,0.0,0.0,0.0,1958.0,0.0
389,N,0.0,0.0,0.0,0.0,1.0,1958.0,0.0
390,N,0.0,1.0,0.0,0.0,1.0,1958.0,0.0
391,N,0.0,1.0,0.0,0.0,1.0,1958.0,0.0
392,N,0.0,0.0,0.0,0.0,0.0,1958.0,0.0
393,N,0.0,0.0,0.0,0.0,0.0,1958.0,0.0
394,N,0.0,0.0,0.0,0.0,0.0,1958.0,0.0
395,N,0.0,0.0,0.0,0.0,0.0,1958.0,0.0
396,N,0.0,1.0,0.0,0.0,0.0,1958.0,0.0
397,N,0.0,1.0,0.0,0.0,0.0,1958.0,0.0
398,N,0.0,0.0,0.0,0.0,0.0,1958.0,0.0
399,N,0.0,1.0,0.0,0.0,0.0,1958.0,1.0
400,N,0.0,0.0,0.0,0.0,0.0,1958.0,0.0
401,N,0.0,1.0,0.0,0.0,0.0,1958.0,0.0
402,N,0.0,0.0,0.0,0.0,1.0,1958.0,0.0
403,N,0.0,1.0,0.0,0.0,0.0,1958.0,0.0
404,N,0.0,0.0,0.0,0.0,0.0,1958.0,0.0
405,N,0.0,1.0,0.0,0.0,0.0,1958.0,0.0
406,N,0.0,0.0,0.0,0.0,1.0,1958.0,0.0
407,N,0.0,1.0,0.0,0.0,0.0,1958.0,0.0
408,N,0.0,1.0,0.0,0.0,0.0,1958.0,1.0
409,N,0.0,1.0,0.0,0.0,0.0,1958.0,1.0
410,N,0.0,1.0,0.0,0.0,0.0,1958.0,0.0
411,N,0.0,1.0,0.0,0.0,0.0,1958.0,0.0
412,N,0.0,1.0,0.0,0.0,0.0,1958.0,0.0
413,N,0.0,1.0,0.0,0.0,0.0,1958.0,1.0
414,N,0.0,0.0,0.0,0.0,0.0,1958.0,0.0
415,N,0.0,0.0,0.0,0.0,0.0,1958.0,0.0
416,N,0.0,0.0,0.0,0.0,0.0,1958.0,0.0
417,N,0.0,0.0,0.0,0.0,0.0,1958.0,0.0
418,N,0.0,0.0,0.0,0.0,0.0,1958.0,1.0
