,binaryClass_cat,LABEL_num,P85_num,P75_num,RMT85_num,CS82_num,SS82_num,S82_num,ME84_num,REV84_num,REG_num
29,P,30.0,33.0,32.0,240.0,10.0,24.0,51.0,1837.0,3281.0,2.0
30,P,31.0,21.0,19.0,163.0,7.0,23.0,49.0,1176.0,7082.0,2.0
31,P,32.0,10.0,10.0,63.0,4.0,18.0,35.0,454.0,952.0,2.0
32,P,33.0,65.0,62.0,488.0,14.0,33.0,61.0,3254.0,6389.0,2.0
33,P,34.0,13.0,14.0,111.0,4.0,19.0,31.0,759.0,1830.0,2.0
34,P,35.0,17.0,18.0,128.0,6.0,22.0,45.0,871.0,1833.0,2.0
35,P,36.0,32.0,33.0,230.0,9.0,30.0,51.0,1788.0,2914.0,2.0
36,P,37.0,89.0,92.0,720.0,15.0,46.0,79.0,5495.0,6772.0,2.0
37,P,38.0,25.0,22.0,179.0,11.0,22.0,49.0,1286.0,2628.0,2.0
38,P,39.0,6.0,6.0,37.0,8.0,17.0,41.0,257.0,655.0,2.0
39,P,40.0,4.0,4.0,24.0,5.0,11.0,35.0,177.0,637.0,2.0
40,P,41.0,10.0,11.0,65.0,9.0,19.0,49.0,470.0,1387.0,2.0
41,P,42.0,6.0,6.0,37.0,5.0,23.0,41.0,255.0,742.0,2.0
42,P,43.0,13.0,13.0,89.0,6.0,24.0,45.0,591.0,1307.0,2.0
43,P,44.0,24.0,25.0,187.0,8.0,33.0,55.0,1313.0,2165.0,2.0
44,P,45.0,9.0,9.0,60.0,10.0,21.0,49.0,415.0,1136.0,2.0
45,P,46.0,116.0,108.0,939.0,21.0,36.0,79.0,6313.0,10879.0,2.0
46,P,47.0,118.0,119.0,1008.0,22.0,45.0,85.0,7619.0,12112.0,2.0
47,P,48.0,12.0,10.0,81.0,11.0,17.0,45.0,555.0,1370.0,2.0
48,P,49.0,41.0,42.0,310.0,10.0,31.0,57.0,2402.0,3863.0,2.0
49,P,50.0,8.0,8.0,58.0,7.0,16.0,35.0,369.0,831.0,2.0
50,P,51.0,26.0,25.0,169.0,10.0,26.0,51.0,1311.0,2409.0,2.0
51,P,52.0,7.0,6.0,38.0,6.0,11.0,35.0,280.0,767.0,3.0
52,P,53.0,9.0,8.0,68.0,9.0,13.0,41.0,387.0,790.0,3.0
53,P,54.0,28.0,27.0,190.0,10.0,20.0,49.0,1327.0,2546.0,3.0
54,P,55.0,12.0,11.0,78.0,7.0,14.0,41.0,536.0,1254.0,3.0
55,P,56.0,107.0,108.0,807.0,19.0,38.0,81.0,6107.0,9343.0,3.0
56,P,57.0,31.0,33.0,220.0,10.0,27.0,57.0,1597.0,2653.0,3.0
57,P,58.0,30.0,30.0,226.0,10.0,18.0,49.0,1713.0,2834.0,3.0
58,P,59.0,12.0,12.0,69.0,9.0,14.0,45.0,493.0,1134.0,3.0
59,P,60.0,28.0,29.0,179.0,9.0,18.0,49.0,1349.0,2903.0,3.0
60,P,61.0,18.0,18.0,129.0,8.0,17.0,49.0,970.0,1652.0,3.0
61,P,62.0,18.0,19.0,119.0,9.0,19.0,41.0,963.0,1470.0,3.0
62,P,63.0,11.0,12.0,73.0,6.0,18.0,41.0,450.0,1220.0,3.0
63,P,64.0,9.0,9.0,59.0,6.0,24.0,41.0,458.0,790.0,3.0
64,P,65.0,14.0,15.0,92.0,11.0,17.0,49.0,659.0,1626.0,3.0
65,P,66.0,20.0,19.0,127.0,9.0,20.0,49.0,956.0,1983.0,3.0
66,P,67.0,16.0,15.0,104.0,10.0,21.0,49.0,762.0,1768.0,3.0
67,P,68.0,11.0,12.0,75.0,8.0,22.0,49.0,506.0,1169.0,3.0
68,P,69.0,66.0,62.0,505.0,15.0,23.0,61.0,3789.0,6850.0,3.0
69,P,70.0,27.0,26.0,183.0,9.0,18.0,49.0,1366.0,3053.0,3.0
70,P,71.0,8.0,8.0,49.0,6.0,21.0,41.0,361.0,807.0,3.0
71,P,72.0,8.0,8.0,41.0,7.0,15.0,41.0,349.0,765.0,3.0
72,P,73.0,13.0,11.0,76.0,12.0,19.0,49.0,520.0,1457.0,3.0
73,P,74.0,17.0,18.0,113.0,8.0,20.0,49.0,784.0,1733.0,3.0
74,P,75.0,13.0,13.0,90.0,8.0,24.0,49.0,538.0,2042.0,3.0
75,P,76.0,11.0,12.0,79.0,5.0,21.0,41.0,522.0,1060.0,3.0
76,P,77.0,54.0,52.0,408.0,16.0,29.0,61.0,3095.0,5302.0,3.0
77,P,78.0,21.0,22.0,140.0,7.0,24.0,49.0,1110.0,2010.0,3.0
78,P,79.0,28.0,28.0,200.0,10.0,31.0,59.0,1499.0,5717.0,3.0
79,P,80.0,40.0,42.0,284.0,12.0,38.0,75.0,2087.0,3773.0,3.0
80,P,81.0,16.0,16.0,103.0,10.0,19.0,49.0,736.0,1696.0,3.0
81,P,82.0,11.0,11.0,58.0,10.0,12.0,49.0,442.0,1743.0,3.0
82,P,83.0,56.0,54.0,654.0,13.0,30.0,71.0,5434.0,6050.0,3.0
83,P,84.0,15.0,18.0,118.0,6.0,28.0,49.0,813.0,1309.0,4.0
84,P,85.0,60.0,60.0,431.0,15.0,39.0,75.0,3285.0,4954.0,4.0
85,P,86.0,30.0,30.0,192.0,8.0,27.0,49.0,1575.0,2553.0,4.0
86,P,87.0,32.0,32.0,233.0,9.0,27.0,51.0,1593.0,4006.0,4.0
87,P,88.0,16.0,16.0,102.0,11.0,24.0,49.0,753.0,1515.0,4.0
88,P,89.0,15.0,15.0,97.0,6.0,24.0,41.0,735.0,1321.0,4.0
89,P,90.0,9.0,9.0,56.0,13.0,14.0,45.0,380.0,894.0,4.0
90,P,91.0,12.0,13.0,69.0,9.0,15.0,41.0,487.0,1343.0,4.0
91,P,92.0,12.0,11.0,73.0,5.0,28.0,41.0,492.0,1222.0,4.0
92,P,93.0,14.0,14.0,86.0,6.0,17.0,41.0,574.0,1306.0,4.0
93,P,94.0,7.0,7.0,53.0,9.0,16.0,35.0,339.0,779.0,4.0
94,P,95.0,16.0,16.0,105.0,13.0,22.0,49.0,852.0,1508.0,4.0
95,P,96.0,13.0,11.0,81.0,9.0,21.0,41.0,598.0,1026.0,4.0
96,P,97.0,12.0,11.0,77.0,16.0,10.0,49.0,481.0,2027.0,4.0
97,P,98.0,70.0,67.0,472.0,17.0,35.0,71.0,3613.0,6317.0,4.0
98,P,99.0,20.0,20.0,129.0,11.0,19.0,49.0,868.0,2216.0,4.0
99,P,100.0,31.0,28.0,194.0,17.0,16.0,49.0,1343.0,3073.0,4.0
100,P,101.0,49.0,48.0,299.0,15.0,25.0,61.0,2212.0,4055.0,4.0
101,P,102.0,13.0,12.0,81.0,7.0,18.0,41.0,528.0,1277.0,4.0
102,P,103.0,17.0,15.0,122.0,14.0,17.0,41.0,894.0,1670.0,4.0
103,P,104.0,14.0,14.0,113.0,10.0,24.0,41.0,729.0,1276.0,4.0
104,P,105.0,25.0,21.0,186.0,24.0,14.0,49.0,1142.0,3252.0,4.0
105,P,106.0,14.0,14.0,91.0,8.0,25.0,41.0,664.0,1380.0,4.0
106,P,107.0,21.0,19.0,145.0,12.0,25.0,49.0,1100.0,4117.0,4.0
107,P,108.0,17.0,15.0,133.0,16.0,17.0,45.0,882.0,1610.0,4.0
108,P,109.0,16.0,13.0,114.0,10.0,22.0,45.0,753.0,1413.0,4.0
109,P,110.0,13.0,11.0,78.0,8.0,15.0,41.0,521.0,1232.0,4.0
110,P,111.0,15.0,14.0,78.0,10.0,17.0,49.0,543.0,1622.0,4.0
111,P,112.0,13.0,12.0,72.0,8.0,12.0,41.0,532.0,1276.0,4.0
112,P,113.0,11.0,10.0,70.0,11.0,13.0,41.0,502.0,1201.0,4.0
113,P,114.0,229.0,247.0,3471.0,20.0,32.0,61.0,24694.0,17949.0,4.0
114,P,115.0,81.0,75.0,641.0,19.0,23.0,65.0,4807.0,6382.0,4.0
115,P,116.0,35.0,38.0,275.0,13.0,30.0,51.0,2112.0,3096.0,4.0
116,P,117.0,105.0,102.0,815.0,20.0,31.0,65.0,6323.0,9371.0,4.0
117,P,118.0,22.0,21.0,149.0,15.0,17.0,41.0,1031.0,2872.0,4.0
118,P,119.0,26.0,26.0,185.0,10.0,23.0,49.0,1495.0,2540.0,4.0
119,P,120.0,24.0,24.0,172.0,13.0,23.0,49.0,1299.0,2355.0,4.0
120,P,121.0,34.0,35.0,240.0,12.0,30.0,51.0,2089.0,3475.0,4.0
121,P,122.0,11.0,11.0,67.0,6.0,20.0,49.0,469.0,1726.0,5.0
122,P,123.0,77.0,74.0,526.0,17.0,32.0,71.0,4245.0,7533.0,5.0
123,P,124.0,21.0,19.0,122.0,10.0,15.0,49.0,917.0,2784.0,5.0
124,P,125.0,36.0,33.0,229.0,10.0,19.0,51.0,1560.0,4014.0,5.0
125,P,126.0,46.0,43.0,298.0,10.0,19.0,51.0,2439.0,10691.0,5.0
126,P,127.0,48.0,37.0,317.0,17.0,15.0,51.0,2115.0,6087.0,5.0
127,P,128.0,25.0,20.0,179.0,11.0,16.0,41.0,1089.0,2412.0,5.0
128,P,129.0,29.0,27.0,233.0,12.0,16.0,41.0,1377.0,2489.0,5.0
129,P,130.0,10.0,9.0,66.0,14.0,12.0,41.0,485.0,880.0,5.0
130,P,131.0,17.0,14.0,129.0,10.0,16.0,41.0,940.0,3690.0,5.0
131,P,132.0,12.0,10.0,87.0,10.0,10.0,41.0,543.0,1828.0,5.0
132,P,133.0,13.0,10.0,82.0,9.0,15.0,41.0,576.0,2092.0,5.0
133,P,134.0,9.0,9.0,63.0,7.0,19.0,41.0,385.0,1438.0,5.0
134,P,135.0,11.0,10.0,65.0,6.0,17.0,41.0,418.0,1135.0,5.0
135,P,136.0,12.0,11.0,72.0,8.0,12.0,41.0,524.0,1736.0,5.0
136,P,137.0,424.0,446.0,6720.0,21.0,35.0,81.0,47074.0,38945.0,5.0
137,P,138.0,49.0,47.0,381.0,14.0,25.0,61.0,2655.0,4660.0,5.0
138,P,139.0,31.0,28.0,240.0,12.0,19.0,49.0,1677.0,3307.0,5.0
139,P,140.0,15.0,15.0,118.0,7.0,23.0,41.0,781.0,3397.0,5.0
140,P,141.0,46.0,47.0,396.0,12.0,30.0,61.0,2610.0,4623.0,5.0
141,P,142.0,10.0,9.0,66.0,5.0,16.0,39.0,463.0,1190.0,5.0
142,N,143.0,5.0,5.0,35.0,6.0,12.0,41.0,253.0,538.0,5.0
143,N,144.0,7.0,7.0,43.0,6.0,13.0,35.0,344.0,725.0,5.0
144,N,145.0,23.0,22.0,166.0,9.0,26.0,49.0,1122.0,2025.0,5.0
145,N,146.0,31.0,28.0,216.0,12.0,14.0,41.0,1470.0,3065.0,5.0
146,N,147.0,9.0,8.0,53.0,10.0,11.0,41.0,393.0,895.0,5.0
147,N,148.0,12.0,12.0,82.0,9.0,19.0,45.0,539.0,1162.0,5.0
148,N,149.0,12.0,12.0,90.0,6.0,19.0,45.0,534.0,1243.0,5.0
149,N,150.0,11.0,10.0,62.0,8.0,14.0,41.0,414.0,1119.0,5.0
150,N,151.0,12.0,11.0,77.0,6.0,21.0,41.0,570.0,1178.0,5.0
151,N,152.0,32.0,30.0,207.0,10.0,23.0,51.0,1537.0,2955.0,5.0
152,N,153.0,11.0,10.0,68.0,10.0,14.0,41.0,474.0,1224.0,5.0
153,N,154.0,9.0,9.0,52.0,9.0,13.0,41.0,382.0,784.0,5.0
154,N,155.0,36.0,34.0,277.0,10.0,23.0,51.0,1918.0,3376.0,5.0
155,N,156.0,49.0,50.0,396.0,11.0,34.0,61.0,2881.0,4798.0,5.0
156,N,157.0,31.0,28.0,220.0,10.0,18.0,49.0,1579.0,2742.0,5.0
157,N,158.0,100.0,106.0,751.0,20.0,38.0,79.0,5742.0,7710.0,5.0
158,N,159.0,22.0,21.0,146.0,12.0,15.0,49.0,1053.0,2066.0,5.0
159,N,160.0,13.0,13.0,95.0,7.0,20.0,41.0,731.0,1101.0,5.0
160,N,161.0,6.0,5.0,37.0,8.0,9.0,39.0,256.0,658.0,5.0
161,N,162.0,6.0,6.0,35.0,11.0,10.0,41.0,280.0,521.0,5.0
162,N,163.0,7.0,5.0,39.0,9.0,13.0,35.0,329.0,637.0,5.0
163,N,164.0,9.0,6.0,46.0,8.0,12.0,35.0,387.0,813.0,5.0
164,N,165.0,8.0,8.0,59.0,6.0,18.0,35.0,401.0,762.0,5.0
165,N,166.0,6.0,7.0,44.0,8.0,19.0,41.0,311.0,731.0,5.0
166,N,167.0,17.0,17.0,105.0,12.0,12.0,49.0,782.0,1887.0,5.0
167,N,168.0,13.0,12.0,87.0,8.0,17.0,41.0,567.0,1324.0,5.0
168,N,169.0,11.0,11.0,66.0,6.0,18.0,41.0,597.0,1007.0,5.0
169,N,170.0,10.0,10.0,62.0,8.0,16.0,41.0,473.0,971.0,5.0
170,N,171.0,24.0,25.0,175.0,10.0,21.0,49.0,1386.0,2269.0,5.0
171,N,172.0,35.0,35.0,252.0,10.0,20.0,51.0,1890.0,3335.0,5.0
172,N,173.0,18.0,17.0,128.0,11.0,19.0,49.0,1058.0,1592.0,5.0
173,N,174.0,46.0,45.0,330.0,12.0,27.0,59.0,2656.0,4041.0,5.0
174,N,175.0,9.0,8.0,57.0,8.0,14.0,33.0,389.0,818.0,5.0
175,N,176.0,13.0,13.0,83.0,5.0,19.0,41.0,623.0,1192.0,5.0
176,N,177.0,32.0,33.0,208.0,11.0,19.0,51.0,1559.0,2681.0,5.0
177,N,178.0,11.0,9.0,74.0,8.0,17.0,39.0,533.0,977.0,6.0
178,N,179.0,9.0,10.0,63.0,6.0,22.0,41.0,411.0,869.0,6.0
179,N,180.0,15.0,16.0,109.0,7.0,25.0,49.0,803.0,2266.0,6.0
180,N,181.0,5.0,5.0,37.0,5.0,21.0,35.0,235.0,513.0,6.0
181,N,182.0,13.0,11.0,105.0,6.0,18.0,31.0,702.0,1366.0,6.0
182,N,183.0,5.0,6.0,38.0,3.0,27.0,39.0,245.0,433.0,6.0
183,N,184.0,12.0,11.0,82.0,6.0,25.0,41.0,646.0,935.0,6.0
184,N,185.0,10.0,11.0,76.0,5.0,27.0,45.0,501.0,1392.0,6.0
185,N,186.0,10.0,10.0,63.0,8.0,13.0,41.0,419.0,1011.0,6.0
186,N,187.0,13.0,14.0,86.0,7.0,15.0,41.0,552.0,1444.0,6.0
187,N,188.0,74.0,73.0,603.0,17.0,28.0,61.0,4270.0,6635.0,6.0
188,N,189.0,26.0,28.0,209.0,9.0,26.0,49.0,1398.0,2291.0,6.0
189,N,190.0,14.0,16.0,100.0,8.0,25.0,41.0,753.0,1509.0,6.0
190,N,191.0,17.0,19.0,121.0,4.0,32.0,49.0,885.0,1868.0,6.0
191,N,192.0,27.0,27.0,191.0,9.0,23.0,49.0,1441.0,2557.0,6.0
192,N,193.0,18.0,20.0,130.0,9.0,22.0,49.0,839.0,1719.0,6.0
193,N,194.0,8.0,9.0,63.0,3.0,23.0,41.0,411.0,950.0,2.0
194,N,195.0,17.0,17.0,128.0,6.0,25.0,45.0,1048.0,1606.0,2.0
195,N,196.0,12.0,12.0,90.0,3.0,26.0,41.0,607.0,1347.0,2.0
196,N,197.0,10.0,11.0,79.0,4.0,22.0,39.0,486.0,1102.0,2.0
197,N,198.0,7.0,7.0,50.0,1.0,18.0,35.0,325.0,688.0,2.0
198,N,199.0,118.0,118.0,1025.0,15.0,32.0,65.0,7700.0,11126.0,2.0
199,N,200.0,18.0,17.0,121.0,5.0,21.0,41.0,938.0,1645.0,2.0
200,N,201.0,12.0,11.0,87.0,7.0,23.0,45.0,552.0,1408.0,2.0
201,N,202.0,35.0,38.0,309.0,10.0,29.0,51.0,2173.0,3635.0,2.0
202,N,203.0,10.0,9.0,75.0,4.0,20.0,35.0,600.0,1064.0,2.0
203,N,204.0,25.0,25.0,189.0,7.0,25.0,49.0,1437.0,2898.0,2.0
204,N,205.0,5.0,5.0,36.0,4.0,24.0,39.0,255.0,692.0,2.0
205,N,206.0,11.0,11.0,82.0,4.0,28.0,39.0,612.0,913.0,2.0
206,N,207.0,13.0,13.0,84.0,4.0,18.0,41.0,564.0,1334.0,2.0
207,N,208.0,8.0,8.0,60.0,6.0,19.0,39.0,390.0,723.0,2.0
208,N,209.0,17.0,19.0,132.0,7.0,31.0,49.0,989.0,1197.0,2.0
209,N,210.0,7.0,7.0,46.0,4.0,22.0,35.0,296.0,605.0,2.0
210,N,211.0,118.0,118.0,965.0,15.0,35.0,65.0,6856.0,10702.0,2.0
211,N,212.0,21.0,20.0,155.0,8.0,21.0,49.0,1150.0,1988.0,2.0
212,N,213.0,14.0,16.0,132.0,6.0,24.0,41.0,769.0,1460.0,2.0
213,N,214.0,27.0,28.0,219.0,6.0,28.0,49.0,1544.0,2441.0,2.0
214,N,215.0,14.0,15.0,112.0,7.0,22.0,41.0,761.0,1238.0,2.0
215,N,216.0,8.0,9.0,53.0,6.0,24.0,49.0,311.0,844.0,6.0
216,N,217.0,12.0,12.0,90.0,6.0,24.0,49.0,543.0,2098.0,6.0
217,N,218.0,10.0,9.0,66.0,6.0,19.0,41.0,452.0,1113.0,6.0
218,N,219.0,14.0,13.0,100.0,8.0,18.0,49.0,700.0,1841.0,6.0
219,N,220.0,11.0,11.0,77.0,9.0,18.0,49.0,461.0,1416.0,6.0
220,N,221.0,7.0,7.0,52.0,7.0,15.0,31.0,356.0,826.0,6.0
221,N,222.0,8.0,9.0,60.0,5.0,23.0,49.0,422.0,2100.0,6.0
222,N,233.0,13.0,13.0,100.0,5.0,32.0,49.0,665.0,1500.0,6.0
223,N,224.0,20.0,18.0,153.0,4.0,19.0,49.0,1039.0,2223.0,6.0
224,N,225.0,51.0,47.0,418.0,14.0,26.0,61.0,2771.0,5137.0,6.0
225,N,226.0,46.0,46.0,392.0,9.0,36.0,61.0,2711.0,4852.0,6.0
226,N,227.0,11.0,10.0,76.0,7.0,18.0,41.0,503.0,1220.0,6.0
227,N,228.0,17.0,17.0,130.0,6.0,20.0,41.0,922.0,1630.0,6.0
228,N,229.0,25.0,27.0,197.0,5.0,28.0,49.0,1239.0,2461.0,6.0
229,N,230.0,30.0,33.0,262.0,6.0,32.0,51.0,1741.0,2395.0,6.0
230,N,231.0,7.0,6.0,49.0,3.0,23.0,41.0,321.0,694.0,6.0
231,N,232.0,12.0,15.0,105.0,4.0,27.0,41.0,672.0,1008.0,6.0
232,N,233.0,14.0,13.0,87.0,3.0,17.0,41.0,661.0,1447.0,6.0
233,N,234.0,12.0,12.0,70.0,3.0,18.0,41.0,579.0,1150.0,6.0
234,N,235.0,21.0,22.0,147.0,5.0,22.0,49.0,1242.0,2459.0,6.0
235,N,236.0,88.0,85.0,720.0,14.0,44.0,75.0,4758.0,8760.0,6.0
236,N,237.0,41.0,43.0,342.0,8.0,32.0,51.0,2182.0,4146.0,6.0
237,N,238.0,31.0,32.0,233.0,5.0,32.0,51.0,1579.0,3298.0,6.0
238,N,239.0,28.0,28.0,203.0,6.0,25.0,49.0,1524.0,2903.0,6.0
239,N,240.0,38.0,37.0,249.0,5.0,24.0,51.0,2073.0,3882.0,6.0
240,N,241.0,13.0,14.0,92.0,3.0,23.0,41.0,659.0,1989.0,7.0
241,N,242.0,18.0,18.0,134.0,3.0,29.0,49.0,945.0,2616.0,7.0
242,N,243.0,28.0,27.0,231.0,8.0,22.0,49.0,1560.0,2414.0,7.0
243,N,244.0,94.0,93.0,782.0,12.0,46.0,81.0,5779.0,9828.0,7.0
244,N,245.0,26.0,28.0,184.0,5.0,35.0,61.0,1455.0,2067.0,7.0
245,N,246.0,26.0,26.0,182.0,6.0,37.0,61.0,1494.0,6928.0,7.0
246,N,247.0,60.0,60.0,432.0,6.0,33.0,61.0,3070.0,6502.0,7.0
247,N,248.0,7.0,8.0,49.0,3.0,27.0,45.0,427.0,3832.0,7.0
248,N,249.0,9.0,10.0,63.0,5.0,30.0,49.0,502.0,970.0,7.0
249,N,250.0,14.0,13.0,94.0,5.0,23.0,49.0,813.0,2486.0,7.0
250,N,251.0,17.0,18.0,124.0,4.0,29.0,49.0,1061.0,2881.0,7.0
251,N,252.0,10.0,9.0,69.0,7.0,23.0,49.0,593.0,2399.0,7.0
252,N,253.0,9.0,9.0,53.0,7.0,21.0,45.0,484.0,1491.0,7.0
253,N,254.0,13.0,13.0,91.0,5.0,28.0,49.0,736.0,3647.0,7.0
254,N,255.0,56.0,53.0,451.0,12.0,38.0,75.0,3430.0,4677.0,7.0
255,N,256.0,8.0,8.0,53.0,3.0,14.0,31.0,428.0,727.0,8.0
256,N,257.0,3.0,4.0,21.0,5.0,11.0,31.0,173.0,347.0,8.0
257,N,258.0,7.0,7.0,42.0,5.0,14.0,35.0,323.0,903.0,8.0
258,N,259.0,8.0,7.0,50.0,3.0,15.0,41.0,408.0,706.0,8.0
259,N,260.0,5.0,6.0,40.0,3.0,15.0,31.0,287.0,1063.0,8.0
260,N,261.0,4.0,4.0,32.0,2.0,19.0,31.0,236.0,704.0,8.0
261,N,262.0,8.0,8.0,58.0,6.0,20.0,41.0,431.0,2246.0,8.0
262,N,263.0,4.0,4.0,26.0,2.0,14.0,31.0,202.0,623.0,8.0
263,N,264.0,4.0,4.0,28.0,2.0,19.0,31.0,199.0,422.0,8.0
264,N,265.0,8.0,8.0,61.0,4.0,17.0,35.0,477.0,1321.0,8.0
265,N,266.0,9.0,9.0,60.0,2.0,20.0,35.0,518.0,1313.0,8.0
266,N,267.0,4.0,5.0,35.0,2.0,19.0,31.0,252.0,687.0,8.0
267,N,268.0,84.0,74.0,764.0,10.0,30.0,65.0,5292.0,10827.0,8.0
268,N,269.0,14.0,15.0,105.0,4.0,24.0,45.0,942.0,1911.0,8.0
269,N,270.0,74.0,72.0,592.0,7.0,36.0,65.0,4777.0,7624.0,8.0
270,N,271.0,8.0,8.0,55.0,3.0,25.0,41.0,462.0,690.0,8.0
271,N,272.0,4.0,4.0,28.0,1.0,15.0,31.0,214.0,888.0,8.0
272,N,273.0,7.0,8.0,46.0,4.0,21.0,35.0,414.0,9052.0,8.0
273,N,274.0,5.0,6.0,34.0,1.0,20.0,31.0,280.0,359.0,8.0
274,N,275.0,19.0,18.0,123.0,4.0,27.0,41.0,1175.0,1544.0,8.0
275,N,276.0,6.0,7.0,41.0,3.0,18.0,39.0,302.0,430.0,8.0
276,N,277.0,9.0,10.0,54.0,4.0,19.0,41.0,528.0,551.0,8.0
277,N,278.0,24.0,26.0,207.0,5.0,20.0,41.0,1582.0,3703.0,8.0
278,N,279.0,10.0,9.0,64.0,2.0,24.0,39.0,480.0,689.0,8.0
279,N,280.0,67.0,64.0,562.0,9.0,34.0,61.0,3948.0,6583.0,8.0
280,N,281.0,39.0,35.0,295.0,5.0,32.0,51.0,2227.0,4033.0,8.0
281,N,282.0,29.0,27.0,226.0,7.0,28.0,49.0,1682.0,2898.0,8.0
282,N,283.0,10.0,9.0,63.0,5.0,19.0,41.0,604.0,594.0,8.0
283,N,284.0,27.0,31.0,233.0,5.0,27.0,45.0,1788.0,2366.0,8.0
