,binaryClass_cat,Occasion_cat,Judges_cat,Interval_cat,Sittings_cat,Position_cat,Squares_cat,Rows_cat,Columns_cat,Halfplot_cat,Trellis_cat,Method_cat
84,N,1,2,3,2,1,1,1,1,1,2,1
85,P,1,2,3,2,2,1,1,1,1,2,1
86,N,1,2,3,2,3,1,1,1,2,2,2
87,N,1,2,3,2,4,1,1,1,2,2,2
88,N,1,2,3,3,1,1,1,3,1,1,1
89,N,1,2,3,3,2,1,1,3,2,1,2
90,N,1,2,3,3,3,1,1,3,2,1,2
91,N,1,2,3,3,4,1,1,3,1,1,1
92,N,1,2,3,4,1,1,1,4,1,3,1
93,N,1,2,3,4,2,1,1,4,1,3,1
94,N,1,2,3,4,3,1,1,4,2,3,2
95,N,1,2,3,4,4,1,1,4,2,3,2
96,P,1,3,1,1,1,1,1,1,2,2,2
97,P,1,3,1,1,2,1,1,1,1,2,1
98,N,1,3,1,1,3,1,1,1,1,2,1
99,N,1,3,1,1,4,1,1,1,2,2,2
100,P,1,3,1,2,1,1,1,3,2,1,2
101,P,1,3,1,2,2,1,1,3,2,1,2
102,P,1,3,1,2,3,1,1,3,1,1,1
103,N,1,3,1,2,4,1,1,3,1,1,1
104,N,1,3,1,3,1,1,1,4,2,3,2
105,N,1,3,1,3,2,1,1,4,2,3,2
106,P,1,3,1,3,3,1,1,4,1,3,1
107,N,1,3,1,3,4,1,1,4,1,3,1
108,N,1,3,1,4,1,1,1,2,2,4,2
109,N,1,3,1,4,2,1,1,2,1,4,1
110,P,1,3,1,4,3,1,1,2,2,4,2
111,P,1,3,1,4,4,1,1,2,1,4,1
112,N,1,3,2,1,1,1,2,2,1,2,1
113,P,1,3,2,1,2,1,2,2,2,2,2
114,N,1,3,2,1,3,1,2,2,1,2,1
115,N,1,3,2,1,4,1,2,2,2,2,2
116,N,1,3,2,2,1,1,2,1,2,4,2
117,N,1,3,2,2,2,1,2,1,2,4,2
118,N,1,3,2,2,3,1,2,1,1,4,1
119,N,1,3,2,2,4,1,2,1,1,4,1
120,N,1,3,2,3,1,1,2,3,2,3,2
121,N,1,3,2,3,2,1,2,3,1,3,1
122,N,1,3,2,3,3,1,2,3,2,3,2
123,N,1,3,2,3,4,1,2,3,1,3,1
124,N,1,3,2,4,1,1,2,4,2,1,2
125,P,1,3,2,4,2,1,2,4,1,1,1
126,N,1,3,2,4,3,1,2,4,2,1,2
127,N,1,3,2,4,4,1,2,4,1,1,1
128,N,1,3,3,1,1,1,3,2,2,1,2
129,N,1,3,3,1,2,1,3,2,2,1,2
130,P,1,3,3,1,3,1,3,2,1,1,1
131,P,1,3,3,1,4,1,3,2,1,1,1
132,N,1,3,3,2,1,1,3,1,2,3,2
133,N,1,3,3,2,2,1,3,1,1,3,1
134,P,1,3,3,2,3,1,3,1,2,3,2
135,N,1,3,3,2,4,1,3,1,1,3,1
136,P,1,3,3,3,1,1,3,3,2,2,2
137,N,1,3,3,3,2,1,3,3,1,2,1
138,N,1,3,3,3,3,1,3,3,1,2,1
139,N,1,3,3,3,4,1,3,3,2,2,2
140,N,1,3,3,4,1,1,3,4,2,4,2
141,N,1,3,3,4,2,1,3,4,1,4,1
142,N,1,3,3,4,3,1,3,4,2,4,2
143,N,1,3,3,4,4,1,3,4,1,4,1
144,P,1,4,1,1,1,1,3,1,2,3,2
145,P,1,4,1,1,2,1,3,1,2,3,2
146,P,1,4,1,1,3,1,3,1,1,3,1
147,P,1,4,1,1,4,1,3,1,1,3,1
148,P,1,4,1,2,1,1,3,3,1,2,1
149,P,1,4,1,2,2,1,3,3,1,2,1
150,P,1,4,1,2,3,1,3,3,2,2,2
151,P,1,4,1,2,4,1,3,3,2,2,2
152,P,1,4,1,3,1,1,3,4,2,4,2
153,P,1,4,1,3,2,1,3,4,1,4,1
154,P,1,4,1,3,3,1,3,4,1,4,1
155,P,1,4,1,3,4,1,3,4,2,4,2
156,P,1,4,1,4,1,1,3,2,2,1,2
157,P,1,4,1,4,2,1,3,2,2,1,2
158,P,1,4,1,4,3,1,3,2,1,1,1
159,P,1,4,1,4,4,1,3,2,1,1,1
160,P,1,4,2,1,1,1,1,2,1,4,1
161,P,1,4,2,1,2,1,1,2,2,4,2
162,P,1,4,2,1,3,1,1,2,1,4,1
163,N,1,4,2,1,4,1,1,2,2,4,2
164,P,1,4,2,2,1,1,1,1,1,2,1
165,P,1,4,2,2,2,1,1,1,2,2,2
166,P,1,4,2,2,3,1,1,1,2,2,2
167,P,1,4,2,2,4,1,1,1,1,2,1
168,P,1,4,2,3,1,1,1,3,2,1,2
169,P,1,4,2,3,2,1,1,3,1,1,1
170,P,1,4,2,3,3,1,1,3,2,1,2
171,P,1,4,2,3,4,1,1,3,1,1,1
172,P,1,4,2,4,1,1,1,4,1,3,1
173,N,1,4,2,4,2,1,1,4,2,3,2
174,P,1,4,2,4,3,1,1,4,2,3,2
175,P,1,4,2,4,4,1,1,4,1,3,1
176,P,1,4,3,1,1,1,2,2,2,2,2
177,P,1,4,3,1,2,1,2,2,1,2,1
178,P,1,4,3,1,3,1,2,2,1,2,1
179,P,1,4,3,1,4,1,2,2,2,2,2
180,N,1,4,3,2,1,1,2,1,1,4,1
181,P,1,4,3,2,2,1,2,1,1,4,1
182,P,1,4,3,2,3,1,2,1,2,4,2
183,P,1,4,3,2,4,1,2,1,2,4,2
184,N,1,4,3,3,1,1,2,3,1,3,1
185,P,1,4,3,3,2,1,2,3,2,3,2
186,N,1,4,3,3,3,1,2,3,1,3,1
187,N,1,4,3,3,4,1,2,3,2,3,2
188,N,1,4,3,4,1,1,2,4,2,1,2
189,N,1,4,3,4,2,1,2,4,1,1,1
190,P,1,4,3,4,3,1,2,4,2,1,2
191,N,1,4,3,4,4,1,2,4,1,1,1
192,N,1,5,1,1,1,1,2,3,1,3,1
193,N,1,5,1,1,2,1,2,3,2,3,2
194,N,1,5,1,1,3,1,2,3,1,3,1
195,N,1,5,1,1,4,1,2,3,2,3,2
196,N,1,5,1,2,1,1,2,1,2,4,2
197,N,1,5,1,2,2,1,2,1,1,4,1
198,N,1,5,1,2,3,1,2,1,1,4,1
199,N,1,5,1,2,4,1,2,1,2,4,2
200,P,1,5,1,3,1,1,2,2,2,2,2
201,N,1,5,1,3,2,1,2,2,1,2,1
202,N,1,5,1,3,3,1,2,2,2,2,2
203,P,1,5,1,3,4,1,2,2,1,2,1
204,N,1,5,1,4,1,1,2,4,2,1,2
205,P,1,5,1,4,2,1,2,4,1,1,1
206,N,1,5,1,4,3,1,2,4,2,1,2
207,N,1,5,1,4,4,1,2,4,1,1,1
208,P,1,5,2,1,1,1,3,3,2,2,2
209,P,1,5,2,1,2,1,3,3,1,2,1
210,P,1,5,2,1,3,1,3,3,1,2,1
211,P,1,5,2,1,4,1,3,3,2,2,2
212,P,1,5,2,2,1,1,3,4,1,4,1
213,P,1,5,2,2,2,1,3,4,2,4,2
214,P,1,5,2,2,3,1,3,4,2,4,2
215,P,1,5,2,2,4,1,3,4,1,4,1
216,P,1,5,2,3,1,1,3,2,2,1,2
217,P,1,5,2,3,2,1,3,2,1,1,1
218,P,1,5,2,3,3,1,3,2,1,1,1
219,N,1,5,2,3,4,1,3,2,2,1,2
220,P,1,5,2,4,1,1,3,1,2,3,2
221,P,1,5,2,4,2,1,3,1,2,3,2
222,P,1,5,2,4,3,1,3,1,1,3,1
223,P,1,5,2,4,4,1,3,1,1,3,1
224,P,1,5,3,1,1,1,1,1,1,2,1
225,P,1,5,3,1,2,1,1,1,1,2,1
226,P,1,5,3,1,3,1,1,1,2,2,2
227,P,1,5,3,1,4,1,1,1,2,2,2
228,N,1,5,3,2,1,1,1,2,2,4,2
229,P,1,5,3,2,2,1,1,2,2,4,2
230,P,1,5,3,2,3,1,1,2,1,4,1
231,N,1,5,3,2,4,1,1,2,1,4,1
232,P,1,5,3,3,1,1,1,4,2,3,2
233,P,1,5,3,3,2,1,1,4,1,3,1
234,P,1,5,3,3,3,1,1,4,2,3,2
235,P,1,5,3,3,4,1,1,4,1,3,1
236,P,1,5,3,4,1,1,1,3,1,1,1
237,N,1,5,3,4,2,1,1,3,2,1,2
238,N,1,5,3,4,3,1,1,3,2,1,2
239,N,1,5,3,4,4,1,1,3,1,1,1
240,P,1,6,1,1,1,1,1,3,2,1,2
241,P,1,6,1,1,2,1,1,3,1,1,1
242,P,1,6,1,1,3,1,1,3,2,1,2
243,N,1,6,1,1,4,1,1,3,1,1,1
244,P,1,6,1,2,1,1,1,1,1,2,1
245,P,1,6,1,2,2,1,1,1,2,2,2
246,P,1,6,1,2,3,1,1,1,1,2,1
247,P,1,6,1,2,4,1,1,1,2,2,2
248,P,1,6,1,3,1,1,1,2,1,4,1
249,P,1,6,1,3,2,1,1,2,1,4,1
250,P,1,6,1,3,3,1,1,2,2,4,2
251,P,1,6,1,3,4,1,1,2,2,4,2
252,P,1,6,1,4,1,1,1,4,1,3,1
253,P,1,6,1,4,2,1,1,4,2,3,2
254,P,1,6,1,4,3,1,1,4,1,3,1
255,P,1,6,1,4,4,1,1,4,2,3,2
256,P,1,6,2,1,1,1,2,3,2,3,2
257,P,1,6,2,1,2,1,2,3,1,3,1
258,N,1,6,2,1,3,1,2,3,2,3,2
259,N,1,6,2,1,4,1,2,3,1,3,1
260,P,1,6,2,2,1,1,2,4,2,1,2
261,P,1,6,2,2,2,1,2,4,2,1,2
262,N,1,6,2,2,3,1,2,4,1,1,1
263,P,1,6,2,2,4,1,2,4,1,1,1
264,P,1,6,2,3,1,1,2,2,2,2,2
265,N,1,6,2,3,2,1,2,2,1,2,1
266,P,1,6,2,3,3,1,2,2,1,2,1
267,N,1,6,2,3,4,1,2,2,2,2,2
268,P,1,6,2,4,1,1,2,1,1,4,1
269,P,1,6,2,4,2,1,2,1,1,4,1
270,N,1,6,2,4,3,1,2,1,2,4,2
271,N,1,6,2,4,4,1,2,1,2,4,2
272,P,1,6,3,1,1,1,3,1,2,3,2
273,P,1,6,3,1,2,1,3,1,1,3,1
274,P,1,6,3,1,3,1,3,1,1,3,1
275,P,1,6,3,1,4,1,3,1,2,3,2
276,P,1,6,3,2,1,1,3,2,2,1,2
277,P,1,6,3,2,2,1,3,2,2,1,2
278,P,1,6,3,2,3,1,3,2,1,1,1
279,P,1,6,3,2,4,1,3,2,1,1,1
280,P,1,6,3,3,1,1,3,4,2,4,2
281,P,1,6,3,3,2,1,3,4,1,4,1
282,P,1,6,3,3,3,1,3,4,1,4,1
283,P,1,6,3,3,4,1,3,4,2,4,2
284,P,1,6,3,4,1,1,3,3,2,2,2
285,P,1,6,3,4,2,1,3,3,1,2,1
286,P,1,6,3,4,3,1,3,3,2,2,2
287,P,1,6,3,4,4,1,3,3,1,2,1
288,P,2,1,1,1,1,2,3,4,2,2,2
289,P,2,1,1,1,2,2,3,4,2,2,2
290,P,2,1,1,1,3,2,3,4,1,2,1
291,P,2,1,1,1,4,2,3,4,1,2,1
292,P,2,1,1,2,1,2,3,1,2,1,2
293,N,2,1,1,2,2,2,3,1,2,1,2
294,P,2,1,1,2,3,2,3,1,1,1,1
295,P,2,1,1,2,4,2,3,1,1,1,1
296,P,2,1,1,3,1,2,3,2,1,4,1
297,P,2,1,1,3,2,2,3,2,2,4,2
298,N,2,1,1,3,3,2,3,2,1,4,1
299,P,2,1,1,3,4,2,3,2,2,4,2
300,N,2,1,1,4,1,2,3,3,1,3,1
301,P,2,1,1,4,2,2,3,3,2,3,2
302,P,2,1,1,4,3,2,3,3,2,3,2
303,P,2,1,1,4,4,2,3,3,1,3,1
304,N,2,1,2,1,1,2,2,4,1,3,1
305,P,2,1,2,1,2,2,2,4,2,3,2
306,N,2,1,2,1,3,2,2,4,1,3,1
307,N,2,1,2,1,4,2,2,4,2,3,2
308,N,2,1,2,2,1,2,2,1,1,2,1
309,N,2,1,2,2,2,2,2,1,2,2,2
310,P,2,1,2,2,3,2,2,1,2,2,2
311,N,2,1,2,2,4,2,2,1,1,2,1
312,N,2,1,2,3,1,2,2,3,2,4,2
313,P,2,1,2,3,2,2,2,3,2,4,2
314,N,2,1,2,3,3,2,2,3,1,4,1
315,N,2,1,2,3,4,2,2,3,1,4,1
316,N,2,1,2,4,1,2,2,2,2,1,2
317,P,2,1,2,4,2,2,2,2,1,1,1
318,N,2,1,2,4,3,2,2,2,2,1,2
319,N,2,1,2,4,4,2,2,2,1,1,1
320,P,2,1,3,1,1,2,1,3,2,2,2
321,N,2,1,3,1,2,2,1,3,1,2,1
322,N,2,1,3,1,3,2,1,3,1,2,1
323,P,2,1,3,1,4,2,1,3,2,2,2
324,N,2,1,3,2,1,2,1,2,1,3,1
325,P,2,1,3,2,2,2,1,2,2,3,2
326,P,2,1,3,2,3,2,1,2,2,3,2
327,P,2,1,3,2,4,2,1,2,1,3,1
328,P,2,1,3,3,1,2,1,1,2,4,2
329,P,2,1,3,3,2,2,1,1,1,4,1
330,P,2,1,3,3,3,2,1,1,1,4,1
331,N,2,1,3,3,4,2,1,1,2,4,2
332,N,2,1,3,4,1,2,1,4,2,1,2
333,P,2,1,3,4,2,2,1,4,1,1,1
334,N,2,1,3,4,3,2,1,4,2,1,2
335,P,2,1,3,4,4,2,1,4,1,1,1
336,P,2,2,1,1,1,2,1,3,1,2,1
337,P,2,2,1,1,2,2,1,3,2,2,2
338,P,2,2,1,1,3,2,1,3,1,2,1
339,N,2,2,1,1,4,2,1,3,2,2,2
340,P,2,2,1,2,1,2,1,2,2,3,2
341,P,2,2,1,2,2,2,1,2,1,3,1
342,N,2,2,1,2,3,2,1,2,1,3,1
343,N,2,2,1,2,4,2,1,2,2,3,2
344,P,2,2,1,3,1,2,1,1,2,4,2
345,P,2,2,1,3,2,2,1,1,1,4,1
346,N,2,2,1,3,3,2,1,1,1,4,1
347,N,2,2,1,3,4,2,1,1,2,4,2
348,P,2,2,1,4,1,2,1,4,1,1,1
349,P,2,2,1,4,2,2,1,4,2,1,2
350,P,2,2,1,4,3,2,1,4,1,1,1
351,P,2,2,1,4,4,2,1,4,2,1,2
352,P,2,2,2,1,1,2,3,1,1,1,1
353,P,2,2,2,1,2,2,3,1,2,1,2
354,P,2,2,2,1,3,2,3,1,1,1,1
355,P,2,2,2,1,4,2,3,1,2,1,2
356,P,2,2,2,2,1,2,3,4,2,2,2
357,P,2,2,2,2,2,2,3,4,2,2,2
358,P,2,2,2,2,3,2,3,4,1,2,1
359,P,2,2,2,2,4,2,3,4,1,2,1
360,P,2,2,2,3,1,2,3,2,2,4,2
361,P,2,2,2,3,2,2,3,2,1,4,1
362,N,2,2,2,3,3,2,3,2,2,4,2
363,P,2,2,2,3,4,2,3,2,1,4,1
364,P,2,2,2,4,1,2,3,3,1,3,1
365,P,2,2,2,4,2,2,3,3,2,3,2
366,N,2,2,2,4,3,2,3,3,1,3,1
367,P,2,2,2,4,4,2,3,3,2,3,2
368,P,2,2,3,1,1,2,2,1,2,2,2
369,P,2,2,3,1,2,2,2,1,1,2,1
370,N,2,2,3,1,3,2,2,1,2,2,2
371,P,2,2,3,1,4,2,2,1,1,2,1
372,N,2,2,3,2,1,2,2,4,1,3,1
373,N,2,2,3,2,2,2,2,4,2,3,2
374,P,2,2,3,2,3,2,2,4,1,3,1
375,P,2,2,3,2,4,2,2,4,2,3,2
376,P,2,2,3,3,1,2,2,3,2,4,2
377,P,2,2,3,3,2,2,2,3,1,4,1
378,P,2,2,3,3,3,2,2,3,1,4,1
379,N,2,2,3,3,4,2,2,3,2,4,2
380,P,2,2,3,4,1,2,2,2,1,1,1
381,N,2,2,3,4,2,2,2,2,2,1,2
382,P,2,2,3,4,3,2,2,2,2,1,2
383,P,2,2,3,4,4,2,2,2,1,1,1
384,P,2,3,1,1,1,2,2,3,2,4,2
385,N,2,3,1,1,2,2,2,3,2,4,2
386,P,2,3,1,1,3,2,2,3,1,4,1
387,P,2,3,1,1,4,2,2,3,1,4,1
388,P,2,3,1,2,1,2,2,2,2,1,2
389,P,2,3,1,2,2,2,2,2,1,1,1
390,P,2,3,1,2,3,2,2,2,1,1,1
391,P,2,3,1,2,4,2,2,2,2,1,2
392,P,2,3,1,3,1,2,2,1,2,2,2
393,P,2,3,1,3,2,2,2,1,1,2,1
394,N,2,3,1,3,3,2,2,1,1,2,1
395,P,2,3,1,3,4,2,2,1,2,2,2
396,N,2,3,1,4,1,2,2,4,2,3,2
397,P,2,3,1,4,2,2,2,4,1,3,1
398,N,2,3,1,4,3,2,2,4,2,3,2
399,P,2,3,1,4,4,2,2,4,1,3,1
400,N,2,3,2,1,1,2,1,1,2,4,2
401,P,2,3,2,1,2,2,1,1,2,4,2
402,N,2,3,2,1,3,2,1,1,1,4,1
403,P,2,3,2,1,4,2,1,1,1,4,1
404,P,2,3,2,2,1,2,1,4,1,1,1
405,N,2,3,2,2,2,2,1,4,2,1,2
406,P,2,3,2,2,3,2,1,4,2,1,2
407,P,2,3,2,2,4,2,1,4,1,1,1
408,P,2,3,2,3,1,2,1,2,1,3,1
409,P,2,3,2,3,2,2,1,2,2,3,2
410,P,2,3,2,3,3,2,1,2,2,3,2
411,P,2,3,2,3,4,2,1,2,1,3,1
412,P,2,3,2,4,1,2,1,3,1,2,1
413,P,2,3,2,4,2,2,1,3,2,2,2
414,P,2,3,2,4,3,2,1,3,2,2,2
415,N,2,3,2,4,4,2,1,3,1,2,1
416,P,2,3,3,1,1,2,3,1,1,1,1
417,P,2,3,3,1,2,2,3,1,2,1,2
418,P,2,3,3,1,3,2,3,1,2,1,2
419,P,2,3,3,1,4,2,3,1,1,1,1
420,N,2,3,3,2,1,2,3,4,1,2,1
421,P,2,3,3,2,2,2,3,4,2,2,2
422,P,2,3,3,2,3,2,3,4,2,2,2
423,P,2,3,3,2,4,2,3,4,1,2,1
424,N,2,3,3,3,1,2,3,3,1,3,1
425,P,2,3,3,3,2,2,3,3,2,3,2
426,P,2,3,3,3,3,2,3,3,1,3,1
427,P,2,3,3,3,4,2,3,3,2,3,2
428,P,2,3,3,4,1,2,3,2,1,4,1
429,P,2,3,3,4,2,2,3,2,2,4,2
430,P,2,3,3,4,3,2,3,2,2,4,2
431,P,2,3,3,4,4,2,3,2,1,4,1
432,N,2,4,1,1,1,2,3,3,2,3,2
433,N,2,4,1,1,2,2,3,3,1,3,1
434,P,2,4,1,1,3,2,3,3,1,3,1
435,P,2,4,1,1,4,2,3,3,2,3,2
436,P,2,4,1,2,1,2,3,2,1,4,1
437,N,2,4,1,2,2,2,3,2,2,4,2
438,N,2,4,1,2,3,2,3,2,2,4,2
439,N,2,4,1,2,4,2,3,2,1,4,1
440,N,2,4,1,3,1,2,3,1,1,1,1
441,P,2,4,1,3,2,2,3,1,2,1,2
442,P,2,4,1,3,3,2,3,1,2,1,2
443,P,2,4,1,3,4,2,3,1,1,1,1
444,N,2,4,1,4,1,2,3,4,1,2,1
445,P,2,4,1,4,2,2,3,4,2,2,2
446,N,2,4,1,4,3,2,3,4,1,2,1
447,P,2,4,1,4,4,2,3,4,2,2,2
448,P,2,4,2,1,1,2,2,1,1,2,1
449,N,2,4,2,1,2,2,2,1,1,2,1
450,N,2,4,2,1,3,2,2,1,2,2,2
451,N,2,4,2,1,4,2,2,1,2,2,2
452,N,2,4,2,2,1,2,2,4,2,3,2
453,N,2,4,2,2,2,2,2,4,1,3,1
454,N,2,4,2,2,3,2,2,4,1,3,1
455,N,2,4,2,2,4,2,2,4,2,3,2
456,N,2,4,2,3,1,2,2,2,2,1,2
457,N,2,4,2,3,2,2,2,2,1,1,1
458,N,2,4,2,3,3,2,2,2,2,1,2
459,N,2,4,2,3,4,2,2,2,1,1,1
460,N,2,4,2,4,1,2,2,3,2,4,2
461,P,2,4,2,4,2,2,2,3,2,4,2
462,N,2,4,2,4,3,2,2,3,1,4,1
463,N,2,4,2,4,4,2,2,3,1,4,1
464,P,2,4,3,1,1,2,1,1,2,4,2
465,P,2,4,3,1,2,2,1,1,1,4,1
466,P,2,4,3,1,3,2,1,1,2,4,2
467,P,2,4,3,1,4,2,1,1,1,4,1
468,N,2,4,3,2,1,2,1,4,2,1,2
469,P,2,4,3,2,2,2,1,4,1,1,1
470,P,2,4,3,2,3,2,1,4,2,1,2
471,P,2,4,3,2,4,2,1,4,1,1,1
472,P,2,4,3,3,1,2,1,3,2,2,2
473,P,2,4,3,3,2,2,1,3,1,2,1
474,N,2,4,3,3,3,2,1,3,1,2,1
475,P,2,4,3,3,4,2,1,3,2,2,2
476,P,2,4,3,4,1,2,1,2,2,3,2
477,P,2,4,3,4,2,2,1,2,1,3,1
478,P,2,4,3,4,3,2,1,2,1,3,1
479,P,2,4,3,4,4,2,1,2,2,3,2
480,P,2,5,1,1,1,2,1,4,1,1,1
481,N,2,5,1,1,2,2,1,4,2,1,2
482,P,2,5,1,1,3,2,1,4,1,1,1
483,N,2,5,1,1,4,2,1,4,2,1,2
484,P,2,5,1,2,1,2,1,1,2,4,2
485,N,2,5,1,2,2,2,1,1,1,4,1
486,P,2,5,1,2,3,2,1,1,2,4,2
487,N,2,5,1,2,4,2,1,1,1,4,1
488,P,2,5,1,3,1,2,1,2,1,3,1
489,N,2,5,1,3,2,2,1,2,2,3,2
490,N,2,5,1,3,3,2,1,2,1,3,1
491,N,2,5,1,3,4,2,1,2,2,3,2
492,P,2,5,1,4,1,2,1,3,2,2,2
493,P,2,5,1,4,2,2,1,3,1,2,1
494,N,2,5,1,4,3,2,1,3,1,2,1
495,P,2,5,1,4,4,2,1,3,2,2,2
496,N,2,5,2,1,1,2,3,4,2,2,2
497,P,2,5,2,1,2,2,3,4,2,2,2
498,N,2,5,2,1,3,2,3,4,1,2,1
499,N,2,5,2,1,4,2,3,4,1,2,1
500,P,2,5,2,2,1,2,3,1,2,1,2
501,N,2,5,2,2,2,2,3,1,1,1,1
502,N,2,5,2,2,3,2,3,1,2,1,2
503,P,2,5,2,2,4,2,3,1,1,1,1
504,P,2,5,2,3,1,2,3,3,2,3,2
505,P,2,5,2,3,2,2,3,3,1,3,1
506,N,2,5,2,3,3,2,3,3,2,3,2
507,N,2,5,2,3,4,2,3,3,1,3,1
508,P,2,5,2,4,1,2,3,2,2,4,2
509,P,2,5,2,4,2,2,3,2,1,4,1
510,N,2,5,2,4,3,2,3,2,2,4,2
511,N,2,5,2,4,4,2,3,2,1,4,1
512,N,2,5,3,1,1,2,2,3,1,4,1
513,N,2,5,3,1,2,2,2,3,2,4,2
514,P,2,5,3,1,3,2,2,3,1,4,1
515,N,2,5,3,1,4,2,2,3,2,4,2
516,P,2,5,3,2,1,2,2,2,2,1,2
517,N,2,5,3,2,2,2,2,2,2,1,2
518,P,2,5,3,2,3,2,2,2,1,1,1
519,P,2,5,3,2,4,2,2,2,1,1,1
520,P,2,5,3,3,1,2,2,1,2,2,2
521,N,2,5,3,3,2,2,2,1,1,2,1
522,P,2,5,3,3,3,2,2,1,1,2,1
523,P,2,5,3,3,4,2,2,1,2,2,2
524,N,2,5,3,4,1,2,2,4,1,3,1
525,P,2,5,3,4,2,2,2,4,1,3,1
526,P,2,5,3,4,3,2,2,4,2,3,2
527,N,2,5,3,4,4,2,2,4,2,3,2
528,N,2,6,1,1,1,2,2,4,2,3,2
529,P,2,6,1,1,2,2,2,4,1,3,1
530,P,2,6,1,1,3,2,2,4,2,3,2
