,a1_num,a2_num,a3_num,a4_num,a5_num,a6_num,a7_num,a8_num,a9_num,a10_num,class_num
173,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,2.23
174,-1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.81
175,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,7.57
176,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,-3.02
177,1.0,-1.0,-1.0,0.0,1.0,0.0,1.0,1.0,-1.0,1.0,0.38
178,1.0,-1.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,-2.35
179,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,-3.96
180,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,-2.63
181,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.73
182,-1.0,1.0,-1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,5.33
183,-1.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,-0.77
184,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,-5.33
185,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.67
186,1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,-4.4
187,1.0,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.77
188,1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,-7.45
189,-1.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,0.0,1.29
190,1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,-7.87
191,1.0,1.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.25
192,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,5.74
193,1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-8.04
194,1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.95
195,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0,-0.32
196,1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,-1.0,-1.19
197,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,-3.22
198,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,1.0,2.89
199,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,4.67
