,binaryClass_cat,MYCT_num,MMIN_num,MMAX_num,CACH_num,CHMIN_num,CHMAX_num
86,P,140.0,2000.0,4000.0,0.0,4.0,8.0
87,P,140.0,2000.0,4000.0,8.0,1.0,20.0
88,N,140.0,2000.0,32000.0,32.0,1.0,20.0
89,P,140.0,2000.0,8000.0,32.0,1.0,54.0
90,N,140.0,2000.0,32000.0,32.0,1.0,54.0
91,N,140.0,2000.0,32000.0,32.0,1.0,54.0
92,P,140.0,2000.0,4000.0,8.0,1.0,20.0
93,N,57.0,4000.0,16000.0,1.0,6.0,12.0
94,N,57.0,4000.0,24000.0,64.0,12.0,16.0
95,N,26.0,16000.0,32000.0,64.0,16.0,24.0
96,N,26.0,16000.0,32000.0,64.0,8.0,24.0
97,N,26.0,8000.0,32000.0,0.0,8.0,24.0
98,N,26.0,8000.0,16000.0,0.0,8.0,16.0
99,P,480.0,96.0,512.0,0.0,1.0,1.0
100,P,203.0,1000.0,2000.0,0.0,1.0,5.0
101,P,115.0,512.0,6000.0,16.0,1.0,6.0
102,P,1100.0,512.0,1500.0,0.0,1.0,1.0
103,P,1100.0,768.0,2000.0,0.0,1.0,1.0
104,P,600.0,768.0,2000.0,0.0,1.0,1.0
105,P,400.0,2000.0,4000.0,0.0,1.0,1.0
106,P,400.0,4000.0,8000.0,0.0,1.0,1.0
107,P,900.0,1000.0,1000.0,0.0,1.0,2.0
108,P,900.0,512.0,1000.0,0.0,1.0,2.0
109,P,900.0,1000.0,4000.0,4.0,1.0,2.0
110,P,900.0,1000.0,4000.0,8.0,1.0,2.0
111,P,900.0,2000.0,4000.0,0.0,3.0,6.0
112,P,225.0,2000.0,4000.0,8.0,3.0,6.0
113,P,225.0,2000.0,4000.0,8.0,3.0,6.0
114,P,180.0,2000.0,8000.0,8.0,1.0,6.0
115,P,185.0,2000.0,16000.0,16.0,1.0,6.0
116,P,180.0,2000.0,16000.0,16.0,1.0,6.0
117,P,225.0,1000.0,4000.0,2.0,3.0,6.0
118,P,25.0,2000.0,12000.0,8.0,1.0,4.0
119,P,25.0,2000.0,12000.0,16.0,3.0,5.0
120,P,17.0,4000.0,16000.0,8.0,6.0,12.0
121,N,17.0,4000.0,16000.0,32.0,6.0,12.0
122,P,1500.0,768.0,1000.0,0.0,0.0,0.0
123,P,1500.0,768.0,2000.0,0.0,0.0,0.0
124,P,800.0,768.0,2000.0,0.0,0.0,0.0
125,P,50.0,2000.0,4000.0,0.0,3.0,6.0
126,P,50.0,2000.0,8000.0,8.0,3.0,6.0
127,P,50.0,2000.0,8000.0,8.0,1.0,6.0
128,P,50.0,2000.0,16000.0,24.0,1.0,6.0
129,P,50.0,2000.0,16000.0,24.0,1.0,6.0
130,N,50.0,8000.0,16000.0,48.0,1.0,10.0
131,P,100.0,1000.0,8000.0,0.0,2.0,6.0
132,P,100.0,1000.0,8000.0,24.0,2.0,6.0
133,P,100.0,1000.0,8000.0,24.0,3.0,6.0
134,P,50.0,2000.0,16000.0,12.0,3.0,16.0
135,P,50.0,2000.0,16000.0,24.0,6.0,16.0
136,P,50.0,2000.0,16000.0,24.0,6.0,16.0
137,P,150.0,512.0,4000.0,0.0,8.0,128.0
138,P,115.0,2000.0,8000.0,16.0,1.0,3.0
139,P,115.0,2000.0,4000.0,2.0,1.0,5.0
140,P,92.0,2000.0,8000.0,32.0,1.0,6.0
141,P,92.0,2000.0,8000.0,32.0,1.0,6.0
142,P,92.0,2000.0,8000.0,4.0,1.0,6.0
143,P,75.0,4000.0,16000.0,16.0,1.0,6.0
144,P,60.0,4000.0,16000.0,32.0,1.0,6.0
145,P,60.0,2000.0,16000.0,64.0,5.0,8.0
146,P,60.0,4000.0,16000.0,64.0,5.0,8.0
147,N,50.0,4000.0,16000.0,64.0,5.0,10.0
148,N,72.0,4000.0,16000.0,64.0,8.0,16.0
149,P,72.0,2000.0,8000.0,16.0,6.0,8.0
150,N,40.0,8000.0,16000.0,32.0,8.0,16.0
151,N,40.0,8000.0,32000.0,64.0,8.0,24.0
152,N,35.0,8000.0,32000.0,64.0,8.0,24.0
153,N,38.0,16000.0,32000.0,128.0,16.0,32.0
154,N,48.0,4000.0,24000.0,32.0,8.0,24.0
155,N,38.0,8000.0,32000.0,64.0,8.0,24.0
156,N,30.0,16000.0,32000.0,256.0,16.0,24.0
157,P,112.0,1000.0,1000.0,0.0,1.0,4.0
158,P,84.0,1000.0,2000.0,0.0,1.0,6.0
159,P,56.0,1000.0,4000.0,0.0,1.0,6.0
160,P,56.0,2000.0,6000.0,0.0,1.0,8.0
161,P,56.0,2000.0,8000.0,0.0,1.0,8.0
162,P,56.0,4000.0,8000.0,0.0,1.0,8.0
163,P,56.0,4000.0,12000.0,0.0,1.0,8.0
164,P,56.0,4000.0,16000.0,0.0,1.0,8.0
165,P,38.0,4000.0,8000.0,32.0,16.0,32.0
166,N,38.0,4000.0,8000.0,32.0,16.0,32.0
167,P,38.0,8000.0,16000.0,64.0,4.0,8.0
168,N,38.0,8000.0,24000.0,160.0,4.0,8.0
169,N,38.0,4000.0,16000.0,128.0,16.0,32.0
170,P,200.0,1000.0,2000.0,0.0,1.0,2.0
171,P,200.0,1000.0,4000.0,0.0,1.0,4.0
172,P,200.0,2000.0,8000.0,64.0,1.0,5.0
173,P,250.0,512.0,4000.0,0.0,1.0,7.0
174,P,250.0,512.0,4000.0,0.0,4.0,7.0
175,P,250.0,1000.0,16000.0,1.0,1.0,8.0
176,P,160.0,512.0,4000.0,2.0,1.0,5.0
177,P,160.0,512.0,2000.0,2.0,3.0,8.0
178,P,160.0,1000.0,4000.0,8.0,1.0,14.0
179,P,160.0,1000.0,8000.0,16.0,1.0,14.0
180,N,160.0,2000.0,8000.0,32.0,1.0,13.0
181,P,240.0,512.0,1000.0,8.0,1.0,3.0
182,P,240.0,512.0,2000.0,8.0,1.0,5.0
183,P,105.0,2000.0,4000.0,8.0,3.0,8.0
184,P,105.0,2000.0,6000.0,16.0,6.0,16.0
185,P,105.0,2000.0,8000.0,16.0,4.0,14.0
186,N,52.0,4000.0,16000.0,32.0,4.0,12.0
187,P,70.0,4000.0,12000.0,8.0,6.0,8.0
188,N,59.0,4000.0,12000.0,32.0,6.0,12.0
189,N,59.0,8000.0,16000.0,64.0,12.0,24.0
190,N,26.0,8000.0,24000.0,32.0,8.0,16.0
191,N,26.0,8000.0,32000.0,64.0,12.0,16.0
192,N,26.0,8000.0,32000.0,128.0,24.0,32.0
193,P,116.0,2000.0,8000.0,32.0,5.0,28.0
194,N,50.0,2000.0,32000.0,24.0,6.0,26.0
195,N,50.0,2000.0,32000.0,48.0,26.0,52.0
196,N,50.0,2000.0,32000.0,112.0,52.0,104.0
197,N,50.0,4000.0,32000.0,112.0,52.0,104.0
198,N,30.0,8000.0,64000.0,96.0,12.0,176.0
199,N,30.0,8000.0,64000.0,128.0,12.0,176.0
200,P,180.0,262.0,4000.0,0.0,1.0,3.0
201,P,180.0,512.0,4000.0,0.0,1.0,3.0
202,P,180.0,262.0,4000.0,0.0,1.0,3.0
203,P,180.0,512.0,4000.0,0.0,1.0,3.0
204,P,124.0,1000.0,8000.0,0.0,1.0,8.0
205,P,98.0,1000.0,8000.0,32.0,2.0,8.0
206,P,125.0,2000.0,8000.0,0.0,2.0,14.0
207,P,480.0,512.0,8000.0,32.0,0.0,0.0
208,P,480.0,1000.0,4000.0,0.0,0.0,0.0
