,MARR_cat,EDUCATION_num,SOUTH_cat,SEX_cat,EXPERIENCE_num,UNION_cat,WAGE_num,AGE_num,RACE_cat,OCCUPATION_cat,SECTOR_cat
64,Unmarried,12,no,male,6,member,4.0,24,Other,Other,Manufacturing
65,Married,10,no,male,27,not_member,9.0,43,White,Other,Construction
66,Married,12,yes,male,19,member,13.0,37,Other,Other,Manufacturing
67,Married,12,no,male,19,member,12.22,37,White,Other,Construction
68,Married,12,no,female,38,not_member,6.28,56,White,Other,Manufacturing
69,Married,10,yes,male,41,member,6.75,57,Other,Other,Manufacturing
70,Unmarried,11,yes,male,3,not_member,3.35,20,Other,Other,Manufacturing
71,Married,14,no,male,20,member,16.0,40,White,Other,Other
72,Married,10,no,male,15,not_member,5.25,31,White,Other,Other
73,Married,8,yes,male,8,not_member,3.5,22,Hispanic,Other,Manufacturing
74,Married,8,yes,female,39,not_member,4.22,53,White,Other,Manufacturing
75,Married,6,no,female,43,member,3.0,55,Hispanic,Other,Manufacturing
76,Married,11,yes,female,25,member,4.0,42,White,Other,Manufacturing
77,Married,12,no,male,11,member,10.0,29,White,Other,Other
78,Married,12,no,male,12,not_member,5.0,30,Other,Other,Other
79,Married,12,yes,male,35,member,16.0,53,White,Other,Manufacturing
80,Unmarried,14,no,male,14,not_member,13.98,34,White,Other,Other
81,Married,12,no,male,16,member,13.26,34,White,Other,Other
82,Unmarried,10,no,female,44,member,6.1,60,White,Other,Manufacturing
83,Unmarried,16,yes,female,13,not_member,3.75,35,White,Other,Other
84,Unmarried,13,no,male,8,member,9.0,27,Other,Other,Manufacturing
85,Unmarried,12,no,male,13,not_member,9.45,31,White,Other,Manufacturing
86,Married,11,no,male,18,member,5.5,35,White,Other,Other
87,Married,12,no,female,18,not_member,8.93,36,White,Other,Other
88,Unmarried,12,yes,female,6,not_member,6.25,24,White,Other,Other
89,Married,11,yes,male,37,member,9.75,54,White,Other,Manufacturing
90,Married,12,yes,male,2,not_member,6.73,20,White,Other,Manufacturing
91,Married,12,no,male,23,not_member,7.78,41,White,Other,Manufacturing
92,Unmarried,12,no,male,1,not_member,2.85,19,White,Other,Other
93,Married,12,yes,female,10,not_member,3.35,28,Other,Other,Manufacturing
94,Married,12,no,male,23,not_member,19.98,41,White,Other,Manufacturing
95,Married,12,no,male,8,member,8.5,26,Other,Other,Other
96,Married,15,no,female,9,not_member,9.75,30,White,Other,Manufacturing
97,Married,12,no,male,33,member,15.0,51,White,Other,Construction
98,Married,12,no,female,19,not_member,8.0,37,White,Other,Manufacturing
99,Married,13,no,male,14,not_member,11.25,33,White,Other,Other
100,Married,11,no,male,13,member,14.0,30,White,Other,Other
101,Married,10,no,male,12,not_member,10.0,28,White,Other,Construction
102,Unmarried,12,no,male,8,not_member,6.5,26,White,Other,Other
103,Married,12,no,male,23,not_member,9.83,41,White,Other,Manufacturing
104,Unmarried,14,no,female,13,not_member,18.5,33,White,Other,Manufacturing
105,Married,12,yes,male,9,not_member,12.5,27,White,Other,Other
106,Married,14,no,male,21,member,26.0,41,White,Other,Other
107,Married,5,yes,male,44,not_member,14.0,55,White,Other,Construction
108,Married,12,no,male,4,member,10.5,22,White,Other,Other
109,Married,8,no,male,42,not_member,11.0,56,White,Other,Manufacturing
110,Married,13,no,male,10,member,12.47,29,White,Other,Other
111,Unmarried,12,no,male,11,not_member,12.5,29,White,Other,Construction
112,Married,12,no,male,40,member,15.0,58,White,Other,Construction
113,Unmarried,12,no,male,8,not_member,6.0,26,White,Other,Construction
114,Married,11,yes,male,29,not_member,9.5,46,White,Other,Construction
115,Unmarried,16,no,male,3,member,5.0,25,White,Other,Other
116,Unmarried,11,no,male,11,not_member,3.75,28,White,Other,Construction
117,Married,12,no,male,12,member,12.57,30,White,Other,Other
118,Married,8,no,female,22,not_member,6.88,36,Hispanic,Other,Other
119,Married,12,no,male,12,not_member,5.5,30,White,Other,Other
120,Married,12,no,male,7,member,7.0,25,White,Other,Other
121,Unmarried,12,no,female,15,not_member,4.5,33,White,Other,Manufacturing
122,Married,12,no,male,28,not_member,6.5,46,White,Other,Other
123,Married,12,yes,male,20,member,12.0,38,White,Other,Manufacturing
124,Unmarried,12,yes,male,6,not_member,5.0,24,White,Other,Construction
125,Unmarried,12,yes,male,5,not_member,6.5,23,White,Other,Manufacturing
126,Married,9,yes,female,30,not_member,6.8,45,White,Other,Manufacturing
127,Married,13,no,male,18,not_member,8.75,37,White,Other,Other
128,Married,12,yes,female,6,not_member,3.75,24,Other,Other,Manufacturing
129,Unmarried,12,yes,male,16,not_member,4.5,34,Hispanic,Other,Other
130,Unmarried,12,yes,male,1,member,6.0,19,Hispanic,Other,Other
131,Unmarried,12,no,male,3,not_member,5.5,21,White,Other,Manufacturing
132,Married,12,no,male,8,not_member,13.0,26,White,Other,Other
133,Unmarried,14,no,male,2,not_member,5.65,22,White,Other,Manufacturing
134,Unmarried,9,no,male,16,not_member,4.8,31,Other,Other,Manufacturing
135,Married,10,yes,male,9,not_member,7.0,25,White,Other,Construction
136,Unmarried,12,no,male,2,not_member,5.25,20,White,Other,Other
137,Married,7,yes,male,43,not_member,3.35,56,White,Other,Manufacturing
138,Married,9,no,male,38,not_member,8.5,53,White,Other,Manufacturing
139,Married,12,no,male,9,not_member,6.0,27,White,Other,Other
140,Married,12,yes,male,12,not_member,6.75,30,White,Other,Other
141,Married,12,no,male,18,not_member,8.89,36,White,Other,Manufacturing
142,Unmarried,11,no,male,15,member,14.21,32,White,Other,Manufacturing
143,Married,11,yes,male,28,member,10.78,45,Other,Other,Construction
144,Married,10,yes,male,27,member,8.9,43,White,Other,Construction
145,Married,12,yes,male,38,not_member,7.5,56,White,Other,Other
146,Unmarried,12,no,female,3,not_member,4.5,21,White,Other,Manufacturing
147,Married,12,no,male,41,member,11.25,59,White,Other,Other
148,Married,12,yes,male,16,member,13.45,34,White,Other,Other
149,Married,13,yes,male,7,not_member,6.0,26,White,Other,Manufacturing
150,Unmarried,6,yes,female,33,not_member,4.62,45,Other,Other,Manufacturing
151,Married,14,no,male,25,not_member,10.58,45,White,Other,Manufacturing
152,Married,12,yes,male,5,not_member,5.0,23,White,Other,Other
153,Unmarried,14,yes,male,17,not_member,8.2,37,Other,Other,Other
154,Unmarried,12,yes,male,1,not_member,6.25,19,White,Other,Other
155,Married,12,no,male,13,not_member,8.5,31,White,Other,Manufacturing
156,Married,16,no,male,18,not_member,24.98,40,White,Management,Other
157,Married,14,yes,male,21,not_member,16.65,41,White,Management,Other
158,Unmarried,14,no,male,2,not_member,6.25,22,White,Management,Other
159,Unmarried,12,yes,female,4,not_member,4.55,22,Hispanic,Management,Other
160,Married,12,yes,female,30,not_member,11.25,48,Hispanic,Management,Other
161,Unmarried,13,no,male,32,not_member,21.25,51,White,Management,Other
162,Married,17,no,female,13,not_member,12.65,36,White,Management,Other
163,Unmarried,12,no,male,17,not_member,7.5,35,White,Management,Other
164,Married,14,no,female,26,not_member,10.25,46,White,Management,Other
165,Unmarried,16,no,male,9,not_member,3.35,31,White,Management,Other
166,Unmarried,16,no,male,8,not_member,13.45,30,Other,Management,Other
167,Married,15,no,male,1,member,4.84,22,White,Management,Other
168,Married,17,yes,male,32,not_member,26.29,55,White,Management,Other
169,Married,12,no,female,24,not_member,6.58,42,White,Management,Other
170,Unmarried,14,no,female,1,not_member,44.5,21,White,Management,Other
171,Married,12,no,male,42,not_member,15.0,60,White,Management,Manufacturing
172,Unmarried,16,no,female,3,not_member,11.25,25,Other,Management,Manufacturing
173,Married,12,no,female,32,not_member,7.0,50,White,Management,Other
174,Unmarried,14,no,male,22,not_member,10.0,42,Other,Management,Other
175,Married,16,no,male,18,not_member,14.53,40,White,Management,Other
176,Married,18,no,female,19,not_member,20.0,43,White,Management,Other
177,Married,15,no,male,12,not_member,22.5,33,White,Management,Other
178,Married,12,no,female,42,not_member,3.64,60,White,Management,Other
179,Married,12,yes,male,34,not_member,10.62,52,White,Management,Other
180,Married,18,no,male,29,not_member,24.98,53,White,Management,Other
181,Unmarried,16,yes,male,8,not_member,6.0,30,White,Management,Other
182,Unmarried,18,no,male,13,not_member,19.0,37,White,Management,Manufacturing
183,Unmarried,16,no,male,10,not_member,13.2,32,White,Management,Other
184,Married,16,no,male,22,not_member,22.5,44,White,Management,Other
185,Married,16,yes,male,10,not_member,15.0,32,White,Management,Other
186,Married,17,no,female,15,not_member,6.88,38,White,Management,Other
187,Married,12,no,male,26,not_member,11.84,44,White,Management,Other
188,Unmarried,14,no,male,16,not_member,16.14,36,White,Management,Other
189,Married,18,no,female,14,not_member,13.95,38,White,Management,Other
190,Married,12,no,female,38,not_member,13.16,56,White,Management,Other
191,Married,12,yes,male,14,not_member,5.3,32,Other,Management,Other
192,Married,12,no,female,7,not_member,4.5,25,White,Management,Other
193,Unmarried,18,yes,female,13,not_member,10.0,37,White,Management,Other
194,Married,10,no,male,20,not_member,10.0,36,White,Management,Other
195,Married,16,no,male,7,member,10.0,29,Hispanic,Management,Other
196,Married,16,no,female,26,not_member,9.37,48,White,Management,Other
197,Married,16,no,male,14,not_member,5.8,36,White,Management,Other
198,Unmarried,13,no,male,36,not_member,17.86,55,White,Management,Other
199,Married,12,no,male,24,not_member,1.0,42,White,Management,Other
200,Married,14,yes,male,41,not_member,8.8,61,White,Management,Other
201,Married,16,no,male,7,not_member,9.0,29,Other,Management,Other
202,Unmarried,17,yes,male,14,not_member,18.16,37,White,Management,Other
203,Unmarried,12,yes,female,1,not_member,7.81,19,White,Management,Other
204,Married,16,no,female,6,not_member,10.62,28,White,Management,Manufacturing
205,Married,12,no,female,3,not_member,4.5,21,White,Management,Other
206,Married,15,no,male,31,not_member,17.25,52,White,Management,Other
207,Married,13,no,female,14,not_member,10.5,33,White,Management,Manufacturing
208,Married,14,no,female,13,not_member,9.22,33,White,Management,Other
209,Married,16,no,male,26,member,15.0,48,Other,Management,Manufacturing
210,Married,18,no,male,14,not_member,22.5,38,White,Management,Other
211,Married,13,no,female,33,not_member,4.55,52,White,Sales,Other
212,Married,12,no,male,16,not_member,9.0,34,White,Sales,Other
213,Married,18,no,male,10,not_member,13.33,34,White,Sales,Other
214,Unmarried,14,no,male,22,not_member,15.0,42,White,Sales,Other
215,Unmarried,14,no,male,2,not_member,7.5,22,White,Sales,Other
216,Married,12,yes,female,29,not_member,4.25,47,White,Sales,Other
217,Married,12,no,male,43,not_member,12.5,61,White,Sales,Manufacturing
218,Married,12,no,female,5,not_member,5.13,23,White,Sales,Other
219,Married,16,yes,female,14,not_member,3.35,36,Other,Sales,Other
220,Married,12,yes,male,28,not_member,11.11,46,White,Sales,Other
221,Married,11,yes,female,25,not_member,3.84,42,Other,Sales,Other
222,Married,12,no,female,45,not_member,6.4,63,White,Sales,Other
223,Unmarried,14,yes,male,5,not_member,5.56,25,White,Sales,Other
224,Married,12,yes,male,20,not_member,10.0,38,White,Sales,Manufacturing
225,Married,16,no,female,6,not_member,5.65,28,White,Sales,Other
226,Married,16,no,male,16,not_member,11.5,38,White,Sales,Other
227,Married,11,no,female,33,not_member,3.5,50,White,Sales,Other
228,Married,13,yes,female,2,not_member,3.35,21,White,Sales,Other
229,Unmarried,12,yes,female,10,not_member,4.75,28,White,Sales,Other
230,Married,14,yes,male,44,not_member,19.98,64,White,Sales,Other
231,Married,14,yes,female,6,not_member,3.5,26,White,Sales,Other
232,Unmarried,12,no,female,15,not_member,4.0,33,White,Sales,Other
233,Married,12,no,male,5,not_member,7.0,23,White,Sales,Other
234,Married,13,no,female,4,not_member,6.25,23,White,Sales,Manufacturing
235,Married,14,no,male,14,not_member,4.5,34,White,Sales,Other
236,Married,14,no,female,32,not_member,14.29,52,White,Sales,Other
237,Married,12,no,female,14,not_member,5.0,32,White,Sales,Other
238,Married,14,no,male,21,not_member,13.75,41,White,Sales,Other
239,Married,12,no,male,43,member,13.71,61,White,Sales,Other
240,Married,12,yes,female,27,not_member,7.5,45,Other,Sales,Other
241,Unmarried,12,no,female,4,not_member,3.8,22,White,Sales,Other
242,Unmarried,14,no,male,0,not_member,5.0,20,Hispanic,Sales,Other
243,Married,12,yes,male,32,not_member,9.42,50,White,Sales,Other
244,Married,12,no,male,20,not_member,5.5,38,White,Sales,Other
245,Unmarried,15,yes,male,4,not_member,3.75,25,White,Sales,Other
246,Married,12,no,male,34,not_member,3.5,52,White,Sales,Other
247,Unmarried,13,no,male,5,not_member,5.8,24,White,Sales,Other
248,Married,17,no,male,13,not_member,12.0,36,White,Sales,Manufacturing
249,Married,14,no,female,17,not_member,5.0,37,Hispanic,Clerical,Other
250,Married,13,yes,female,10,not_member,8.75,29,White,Clerical,Other
251,Married,16,no,female,7,not_member,10.0,29,White,Clerical,Other
252,Unmarried,12,no,female,25,not_member,8.5,43,White,Clerical,Other
253,Married,12,no,female,18,not_member,8.63,36,Other,Clerical,Other
254,Married,16,no,female,27,not_member,9.0,49,White,Clerical,Manufacturing
255,Unmarried,16,no,female,2,not_member,5.5,24,White,Clerical,Other
256,Married,13,no,male,13,not_member,11.11,32,White,Clerical,Other
257,Unmarried,14,no,female,24,not_member,10.0,44,White,Clerical,Other
258,Married,18,yes,female,13,not_member,5.2,37,Hispanic,Clerical,Other
259,Unmarried,14,no,female,15,member,8.0,35,White,Clerical,Other
260,Unmarried,12,yes,female,12,not_member,3.56,30,Hispanic,Clerical,Other
261,Married,12,no,female,24,not_member,5.2,42,White,Clerical,Other
262,Married,12,no,female,43,not_member,11.67,61,White,Clerical,Construction
263,Married,12,no,female,13,not_member,11.32,31,White,Clerical,Manufacturing
264,Married,12,yes,female,16,not_member,7.5,34,White,Clerical,Other
265,Married,11,no,female,24,not_member,5.5,41,White,Clerical,Other
266,Married,16,yes,female,4,not_member,5.0,26,White,Clerical,Other
267,Married,12,no,female,24,not_member,7.75,42,White,Clerical,Other
268,Married,12,no,female,45,not_member,5.25,63,White,Clerical,Other
269,Married,12,no,male,20,member,9.0,38,White,Clerical,Other
270,Married,12,no,female,38,not_member,9.65,56,White,Clerical,Other
271,Married,18,yes,male,10,not_member,5.21,34,White,Clerical,Other
272,Married,11,no,female,16,not_member,7.0,33,Other,Clerical,Other
273,Married,12,yes,female,32,not_member,12.16,50,Other,Clerical,Other
274,Unmarried,16,yes,female,2,not_member,5.25,24,White,Clerical,Other
275,Unmarried,13,yes,female,28,not_member,10.32,47,White,Clerical,Other
276,Unmarried,16,no,male,3,not_member,3.35,25,Other,Clerical,Other
277,Unmarried,13,no,female,8,member,7.7,27,White,Clerical,Other
278,Married,12,no,female,44,not_member,9.17,62,White,Clerical,Manufacturing
279,Married,12,yes,male,12,not_member,8.43,30,White,Clerical,Other
280,Married,12,yes,male,8,not_member,4.0,26,Other,Clerical,Other
281,Married,12,no,female,4,not_member,4.13,22,White,Clerical,Other
282,Married,12,yes,female,28,not_member,3.0,46,White,Clerical,Other
283,Unmarried,13,yes,female,0,not_member,4.25,19,White,Clerical,Other
284,Unmarried,14,yes,male,1,not_member,7.53,21,White,Clerical,Other
285,Married,14,no,female,12,not_member,10.53,32,White,Clerical,Manufacturing
286,Married,12,no,female,39,not_member,5.0,57,White,Clerical,Other
287,Married,12,no,female,24,not_member,15.03,42,White,Clerical,Other
288,Married,17,no,female,32,not_member,11.25,55,Other,Clerical,Other
289,Unmarried,16,no,male,4,not_member,6.25,26,Other,Clerical,Other
290,Unmarried,12,no,female,25,not_member,3.5,43,Other,Clerical,Other
291,Unmarried,12,no,male,8,not_member,6.85,26,Other,Clerical,Other
292,Married,13,no,female,16,not_member,12.5,35,White,Clerical,Other
293,Unmarried,12,yes,male,5,not_member,12.0,23,White,Clerical,Other
294,Unmarried,13,no,male,31,not_member,6.0,50,White,Clerical,Other
295,Unmarried,12,no,female,25,not_member,9.5,43,White,Clerical,Other
296,Married,12,no,female,15,not_member,4.1,33,White,Clerical,Other
297,Married,14,yes,female,15,not_member,10.43,35,White,Clerical,Other
298,Unmarried,12,no,female,0,not_member,5.0,18,White,Clerical,Other
299,Married,12,no,male,19,not_member,7.69,37,White,Clerical,Other
300,Unmarried,12,no,female,21,not_member,5.5,39,Other,Clerical,Other
301,Unmarried,12,no,female,6,not_member,6.4,24,White,Clerical,Other
302,Married,12,no,female,14,member,12.5,32,White,Clerical,Other
303,Married,13,no,female,30,not_member,6.25,49,White,Clerical,Other
304,Unmarried,12,no,female,8,not_member,8.0,26,White,Clerical,Other
305,Unmarried,9,no,male,33,member,9.6,48,White,Clerical,Other
306,Unmarried,13,no,male,16,not_member,9.1,35,Hispanic,Clerical,Other
307,Unmarried,12,yes,female,20,not_member,7.5,38,White,Clerical,Other
308,Married,13,yes,female,6,not_member,5.0,25,White,Clerical,Other
309,Married,12,no,female,10,member,7.0,28,White,Clerical,Other
310,Unmarried,13,yes,female,1,not_member,3.55,20,White,Clerical,Other
311,Unmarried,12,yes,male,2,not_member,8.5,20,Other,Clerical,Other
312,Unmarried,13,yes,female,0,not_member,4.5,19,White,Clerical,Other
313,Married,16,no,male,17,not_member,7.88,39,Other,Clerical,Other
314,Unmarried,12,no,female,8,not_member,5.25,26,White,Clerical,Other
315,Unmarried,12,yes,male,4,not_member,5.0,22,White,Clerical,Other
316,Unmarried,12,no,female,15,not_member,9.33,33,White,Clerical,Other
317,Married,12,no,female,29,not_member,10.5,47,White,Clerical,Other
318,Married,12,yes,female,23,not_member,7.5,41,Other,Clerical,Other
319,Married,12,yes,female,39,not_member,9.5,57,White,Clerical,Other
320,Married,12,yes,female,14,not_member,9.6,32,White,Clerical,Other
321,Unmarried,17,yes,female,6,not_member,5.87,29,Other,Clerical,Other
322,Married,14,yes,male,12,member,11.02,32,White,Clerical,Other
323,Unmarried,12,yes,female,26,not_member,5.0,44,White,Clerical,Other
324,Married,14,no,female,32,not_member,5.62,52,White,Clerical,Other
325,Married,15,no,female,6,not_member,12.5,27,White,Clerical,Other
326,Married,12,no,female,40,not_member,10.81,58,White,Clerical,Other
327,Married,12,no,female,18,not_member,5.4,36,White,Clerical,Manufacturing
328,Unmarried,11,no,female,12,not_member,7.0,29,White,Clerical,Other
329,Married,12,yes,female,36,not_member,4.59,54,White,Clerical,Construction
330,Married,12,no,female,19,not_member,6.0,37,White,Clerical,Other
331,Unmarried,16,no,female,42,not_member,11.71,64,White,Clerical,Manufacturing
332,Married,13,no,female,2,not_member,5.62,21,Hispanic,Clerical,Other
333,Married,12,no,female,33,not_member,5.5,51,White,Clerical,Other
334,Married,12,yes,female,14,not_member,4.85,32,White,Clerical,Other
335,Unmarried,12,no,male,22,not_member,6.75,40,White,Clerical,Other
336,Married,12,no,female,20,not_member,4.25,38,White,Clerical,Other
337,Married,12,no,female,15,not_member,5.75,33,White,Clerical,Other
338,Married,12,no,male,35,not_member,3.5,53,White,Clerical,Other
339,Married,12,no,female,7,not_member,3.35,25,White,Clerical,Other
340,Unmarried,12,no,female,45,not_member,10.62,63,White,Clerical,Manufacturing
341,Unmarried,12,no,female,9,not_member,8.0,27,White,Clerical,Other
342,Married,12,yes,female,2,not_member,4.75,20,White,Clerical,Other
343,Unmarried,17,yes,male,3,not_member,8.5,26,White,Clerical,Other
344,Married,14,no,female,19,member,8.85,39,Other,Clerical,Other
345,Married,12,yes,female,14,not_member,8.0,32,White,Clerical,Other
346,Married,4,no,male,54,not_member,6.0,64,White,Service,Other
347,Married,14,no,male,17,not_member,7.14,37,White,Service,Other
348,Married,8,no,female,29,not_member,3.4,43,Other,Service,Other
349,Unmarried,15,yes,female,26,not_member,6.0,47,White,Service,Other
350,Unmarried,2,no,male,16,not_member,3.75,24,Hispanic,Service,Other
351,Unmarried,8,no,female,29,not_member,8.89,43,Other,Service,Other
352,Married,11,no,female,20,not_member,4.35,37,White,Service,Other
353,Married,10,yes,female,38,not_member,13.1,54,Other,Service,Other
354,Married,8,yes,female,37,not_member,4.35,51,Other,Service,Other
355,Unmarried,9,no,male,48,not_member,3.5,63,White,Service,Other
356,Unmarried,12,no,female,16,not_member,3.8,34,White,Service,Other
357,Married,8,no,female,38,not_member,5.26,52,White,Service,Other
358,Unmarried,14,no,male,0,not_member,3.35,20,Other,Service,Other
359,Unmarried,12,no,male,14,member,16.26,32,Other,Service,Other
360,Married,12,no,female,2,not_member,4.25,20,White,Service,Other
361,Married,16,no,male,21,not_member,4.5,43,White,Service,Other
362,Married,13,no,female,15,not_member,8.0,34,White,Service,Other
363,Unmarried,16,no,female,20,not_member,4.0,42,White,Service,Other
364,Married,14,no,female,12,not_member,7.96,32,White,Service,Other
365,Unmarried,12,yes,male,7,not_member,4.0,25,Hispanic,Service,Other
366,Married,11,no,male,4,not_member,4.15,21,White,Service,Other
367,Married,13,yes,male,9,not_member,5.95,28,White,Service,Other
368,Married,12,yes,female,43,not_member,3.6,61,Hispanic,Service,Other
369,Unmarried,10,yes,male,19,not_member,8.75,35,White,Service,Other
370,Unmarried,8,no,female,49,not_member,3.4,63,White,Service,Other
371,Married,12,no,female,38,not_member,4.28,56,White,Service,Other
372,Married,12,no,female,13,not_member,5.35,31,White,Service,Other
373,Married,12,no,female,14,not_member,5.0,32,White,Service,Other
374,Unmarried,12,no,male,20,not_member,7.65,38,White,Service,Other
375,Unmarried,12,no,female,7,not_member,6.94,25,White,Service,Other
376,Married,12,no,female,9,member,7.5,27,White,Service,Manufacturing
377,Unmarried,12,no,female,6,not_member,3.6,24,White,Service,Other
378,Married,12,yes,female,5,not_member,1.75,23,White,Service,Other
379,Unmarried,13,yes,female,1,not_member,3.45,20,Other,Service,Other
380,Married,14,no,male,22,member,9.63,42,White,Service,Other
381,Married,12,no,female,24,not_member,8.49,42,White,Service,Other
382,Unmarried,12,no,female,15,member,8.99,33,White,Service,Other
383,Married,11,yes,female,8,not_member,3.65,25,White,Service,Other
384,Married,11,yes,female,17,not_member,3.5,34,White,Service,Other
385,Unmarried,12,yes,male,2,not_member,3.43,20,Other,Service,Other
386,Married,12,yes,male,20,not_member,5.5,38,White,Service,Other
387,Married,12,no,male,26,member,6.93,44,White,Service,Other
388,Married,10,yes,female,37,not_member,3.51,53,Other,Service,Other
389,Unmarried,12,no,female,41,not_member,3.75,59,White,Service,Other
390,Married,12,no,female,27,not_member,4.17,45,White,Service,Other
391,Married,12,no,female,5,member,9.57,23,White,Service,Other
392,Married,14,no,male,16,not_member,14.67,36,Other,Service,Other
393,Married,14,no,female,19,not_member,12.5,39,White,Service,Other
394,Married,12,no,male,10,not_member,5.5,28,White,Service,Other
395,Unmarried,13,yes,male,1,member,5.15,20,White,Service,Other
396,Married,12,no,female,43,member,8.0,61,Other,Service,Other
397,Unmarried,13,no,male,3,not_member,5.83,22,Other,Service,Other
398,Unmarried,12,no,female,0,not_member,3.35,18,White,Service,Other
399,Married,12,yes,female,26,not_member,7.0,44,White,Service,Other
400,Married,10,no,female,25,member,10.0,41,White,Service,Other
401,Married,12,no,female,15,not_member,8.0,33,White,Service,Other
402,Unmarried,14,yes,female,10,not_member,6.88,30,White,Service,Other
403,Unmarried,11,no,female,45,member,5.55,62,White,Service,Other
404,Unmarried,11,no,male,3,not_member,7.5,20,Other,Service,Other
405,Married,8,no,male,47,member,8.93,61,Hispanic,Service,Other
406,Married,16,no,female,6,not_member,9.0,28,Other,Service,Other
407,Unmarried,10,yes,female,33,not_member,3.5,49,White,Service,Other
