,binaryClass_cat,col_1_num,col_2_num
267,P,1988.0,8.0
268,P,1988.0,9.0
269,P,1988.0,10.0
270,P,1988.0,11.0
271,P,1988.0,12.0
272,P,1988.0,13.0
273,P,1988.0,14.0
274,P,1988.0,15.0
275,P,1988.0,16.0
276,P,1988.0,17.0
277,P,1988.0,18.0
278,P,1988.0,19.0
279,P,1988.0,20.0
280,P,1988.0,21.0
281,P,1988.0,22.0
282,P,1988.0,23.0
283,P,1988.0,24.0
284,P,1988.0,25.0
285,P,1988.0,26.0
286,P,1988.0,27.0
287,P,1988.0,28.0
288,P,1988.0,29.0
289,P,1988.0,30.0
290,P,1988.0,31.0
291,P,1988.0,32.0
292,P,1988.0,33.0
293,P,1988.0,34.0
294,N,1988.0,35.0
295,N,1988.0,36.0
296,N,1988.0,37.0
297,P,1988.0,38.0
298,N,1988.0,39.0
299,N,1988.0,40.0
300,N,1988.0,41.0
301,P,1988.0,42.0
302,P,1988.0,43.0
303,P,1988.0,44.0
304,N,1988.0,45.0
305,P,1988.0,46.0
306,P,1988.0,47.0
307,P,1988.0,48.0
308,P,1988.0,49.0
309,P,1988.0,50.0
310,P,1988.0,51.0
311,P,1988.0,52.0
312,P,1989.0,1.0
313,P,1989.0,2.0
314,P,1989.0,3.0
315,P,1989.0,4.0
316,P,1989.0,5.0
317,P,1989.0,6.0
318,P,1989.0,7.0
319,P,1989.0,8.0
320,P,1989.0,9.0
321,P,1989.0,10.0
322,P,1989.0,11.0
323,P,1989.0,12.0
324,P,1989.0,13.0
325,P,1989.0,14.0
326,P,1989.0,15.0
327,P,1989.0,16.0
328,P,1989.0,17.0
329,P,1989.0,18.0
330,P,1989.0,19.0
331,P,1989.0,20.0
332,P,1989.0,21.0
333,P,1989.0,22.0
334,P,1989.0,23.0
335,P,1989.0,24.0
336,P,1989.0,25.0
337,P,1989.0,26.0
338,P,1989.0,27.0
339,P,1989.0,28.0
340,P,1989.0,29.0
341,P,1989.0,30.0
342,P,1989.0,31.0
343,P,1989.0,32.0
344,P,1989.0,33.0
345,P,1989.0,34.0
346,P,1989.0,35.0
347,P,1989.0,36.0
348,P,1989.0,37.0
349,P,1989.0,38.0
350,P,1989.0,39.0
351,P,1989.0,40.0
352,P,1989.0,41.0
353,P,1989.0,42.0
354,P,1989.0,43.0
355,P,1989.0,44.0
356,P,1989.0,45.0
357,P,1989.0,46.0
358,P,1989.0,47.0
359,P,1989.0,48.0
360,P,1989.0,49.0
361,P,1989.0,50.0
362,P,1989.0,51.0
363,P,1989.0,52.0
364,P,1990.0,1.0
365,P,1990.0,2.0
366,N,1990.0,3.0
367,P,1990.0,4.0
368,N,1990.0,5.0
369,N,1990.0,6.0
370,N,1990.0,7.0
371,N,1990.0,8.0
372,N,1990.0,9.0
373,N,1990.0,10.0
374,N,1990.0,11.0
375,N,1990.0,12.0
376,N,1990.0,13.0
377,N,1990.0,14.0
378,N,1990.0,15.0
379,N,1990.0,16.0
380,N,1990.0,17.0
381,N,1990.0,18.0
382,N,1990.0,19.0
383,N,1990.0,20.0
384,N,1990.0,21.0
385,N,1990.0,22.0
386,N,1990.0,23.0
387,N,1990.0,24.0
388,N,1990.0,25.0
389,N,1990.0,26.0
390,N,1990.0,27.0
391,N,1990.0,28.0
392,N,1990.0,29.0
393,N,1990.0,30.0
394,P,1990.0,31.0
395,P,1990.0,32.0
396,P,1990.0,33.0
397,P,1990.0,34.0
398,P,1990.0,35.0
399,N,1990.0,36.0
400,P,1990.0,37.0
401,N,1990.0,38.0
402,P,1990.0,39.0
403,N,1990.0,40.0
404,P,1990.0,41.0
405,N,1990.0,42.0
406,P,1990.0,43.0
407,N,1990.0,44.0
408,N,1990.0,45.0
409,P,1990.0,46.0
410,P,1990.0,47.0
411,P,1990.0,48.0
412,P,1990.0,49.0
413,P,1990.0,50.0
414,P,1990.0,51.0
415,P,1990.0,52.0
416,N,1991.0,1.0
417,N,1991.0,2.0
418,N,1991.0,3.0
419,N,1991.0,4.0
420,N,1991.0,5.0
421,N,1991.0,6.0
422,N,1991.0,7.0
423,N,1991.0,8.0
424,N,1991.0,9.0
425,N,1991.0,10.0
426,N,1991.0,11.0
427,N,1991.0,12.0
428,N,1991.0,13.0
429,N,1991.0,14.0
430,N,1991.0,15.0
431,N,1991.0,16.0
432,N,1991.0,17.0
433,N,1991.0,18.0
434,N,1991.0,19.0
435,N,1991.0,20.0
436,N,1991.0,21.0
437,N,1991.0,22.0
438,N,1991.0,23.0
439,N,1991.0,24.0
440,N,1991.0,25.0
441,N,1991.0,26.0
442,N,1991.0,27.0
443,N,1991.0,28.0
444,N,1991.0,29.0
445,N,1991.0,30.0
446,N,1991.0,31.0
447,N,1991.0,32.0
448,N,1991.0,33.0
449,N,1991.0,34.0
450,N,1991.0,35.0
451,N,1991.0,36.0
452,N,1991.0,37.0
453,N,1991.0,38.0
454,N,1991.0,39.0
455,N,1991.0,40.0
456,N,1991.0,41.0
457,N,1991.0,42.0
458,N,1991.0,43.0
459,N,1991.0,44.0
460,N,1991.0,45.0
461,N,1991.0,46.0
462,N,1991.0,47.0
463,N,1991.0,48.0
464,N,1991.0,49.0
465,N,1991.0,50.0
466,P,1991.0,51.0
467,P,1991.0,52.0
