,binaryClass_cat,Age_num,Civil_num,Can/US_num
84,N,44.02006,33.461639,17.710293
85,N,17.31954,11.170693,9.145336
86,N,47.55285,13.278143,11.438725
87,N,48.7886,21.843443,16.711769
88,N,50.94245,25.293528,4.832701
89,N,54.17788,-1.010836,13.357556
90,P,34.99632,17.475055,9.317477
91,N,53.995,12.819852,10.31
92,N,45.39257,28.392242,6.84285
93,N,41.65472,18.586462,12.707037
94,N,62.09379,11.98274,4.138981
95,N,30.31772,25.870682,6.959338
96,N,59.38179,23.05772,7.387254
97,N,27.40328,16.589789,4.807525
98,N,30.87474,7.389364,5.995377
99,N,33.45568,30.544974,8.199891
100,P,36.30911,10.627038,17.321439
101,N,49.80042,25.141294,11.046152
102,N,34.78109,28.42654,12.868815
103,N,41.47764,12.629618,4.582109
104,N,37.46378,21.426062,4.630819
105,N,35.45272,23.22239,11.823672
106,N,48.73234,19.152012,8.960538
107,N,51.56882,24.708822,4.580001
108,P,32.15726,26.485083,16.069536
109,P,40.15542,26.979126,0.358543
110,P,50.2621,28.434777,8.169322
111,N,42.07542,26.565359,22.386001
112,P,35.29961,25.244599,13.496626
113,N,59.67104,31.082516,14.182728
114,N,65.06014,20.531434,12.660972
115,N,32.68086,19.349057,11.986278
116,P,37.55882,22.658064,1.646716
117,P,30.45163,26.237333,12.791385
118,P,42.68879,11.464186,8.496722
119,N,38.5579,17.801005,13.622323
120,N,43.8542,16.036266,14.982478
121,N,50.82181,11.432358,8.346016
122,N,29.76762,7.852152,9.889413
123,N,50.07595,26.583226,20.843885
124,P,32.92387,22.44093,4.988265
125,N,64.06096,18.329469,12.903774
126,P,43.59016,14.96389,5.975627
127,N,32.5079,15.467685,11.183677
128,P,47.67324,19.652519,12.821923
129,N,31.30751,10.183966,9.578887
130,P,50.21119,30.970052,15.259984
131,P,41.96971,18.49364,10.759781
132,N,43.716,20.700359,13.318253
133,P,46.94613,16.833399,3.928225
134,N,56.7594,5.147698,16.110079
135,P,67.34487,17.077899,16.470756
136,P,31.95463,22.566072,11.863907
137,N,65.03271,22.587606,11.948601
138,P,53.13879,14.313088,13.993091
139,N,60.60854,18.384228,14.176825
140,N,39.12786,8.778894,9.23102
141,P,41.185329,35.984939,6.588823
142,N,32.885695,21.959379,3.146461
143,N,37.96557,17.130676,8.07152
144,N,34.49311,20.994615,8.465529
145,N,39.84407,21.264212,3.767289
146,N,51.906701,19.52854,6.566516
147,N,46.18509,23.298841,3.572362
148,N,31.576225,18.921663,3.22041
149,N,37.442262,7.96131,13.737032
150,N,40.447801,23.759452,11.5739
151,P,61.79211,17.873151,13.387459
152,N,32.064016,20.824752,8.502409
153,P,29.042278,19.354772,7.215939
154,P,35.407355,19.033953,6.541805
155,N,27.585465,16.69872,8.524365
156,N,32.433226,18.508968,4.657013
157,P,42.331942,15.759037,17.688718
158,N,35.416843,28.361106,3.773712
159,P,33.290613,20.231756,11.1627
160,P,42.959105,14.102997,13.285926
161,N,35.977219,12.777074,7.092305
162,N,40.120344,24.442206,9.501802
163,N,4.131889,6.40502,7.521407
164,N,41.499035,5.970095,10.770617
165,N,63.490633,16.783914,6.792729
166,P,56.170298,17.986676,15.134057
167,N,30.055284,27.107416,3.837058
168,N,53.397096,16.538715,7.051733
169,P,52.824172,12.041059,15.38267
170,N,34.531009,3.690353,2.940997
171,N,57.817455,19.322807,17.096173
172,N,58.693538,16.110332,4.921218
173,P,40.709688,18.605908,10.397561
174,P,22.69994,16.03649,5.809087
175,P,34.743114,32.100487,7.847688
176,P,37.213113,26.74344,14.2263
177,N,21.616019,17.82142,5.738056
178,P,39.707399,25.466297,7.074679
179,N,68.372127,6.340157,14.149149
180,P,60.663457,15.637621,4.30964
181,N,43.434582,17.148283,5.733139
182,N,50.105339,22.49615,7.739248
183,P,53.987186,31.314282,9.758278
184,N,35.707678,12.820443,6.496943
185,P,40.427217,25.662145,8.116369
186,P,41.332177,12.330619,9.982604
187,P,54.483711,17.445562,4.756357
188,N,22.266738,17.880568,5.528599
189,N,42.143168,21.682475,2.998114
190,P,51.601622,24.113002,7.9854
191,P,21.020907,14.618206,10.695856
192,N,28.678523,14.690853,19.226273
193,P,31.99181,19.250842,17.95209
194,P,55.272335,22.870961,10.230446
195,P,67.414833,14.683638,13.045073
196,P,51.209882,14.076289,5.260494
197,N,51.416336,27.476069,16.935491
198,N,36.384225,24.215937,3.010109
199,P,24.165523,6.479408,5.500489
200,P,25.243165,22.162632,8.137608
201,N,42.779402,25.312568,10.181995
202,N,45.839844,18.066638,2.909251
203,N,52.781639,12.403838,10.903831
204,P,45.460867,16.707282,13.240279
205,N,33.530826,9.550647,15.314081
206,N,33.09696,17.954737,12.803905
207,N,63.10084,10.474163,8.389332
208,P,59.303737,25.258884,12.590891
209,N,60.699025,26.718278,9.562104
210,N,50.949546,2.519744,10.39135
211,N,9.071568,10.715894,6.527925
212,P,63.754882,32.161269,2.852049
213,P,42.115772,16.413486,6.384388
214,N,53.243679,23.211033,1.168979
215,P,67.402009,18.339233,8.375809
216,N,63.297062,13.234343,9.89261
217,P,39.75041,33.114517,15.39258
218,N,43.34534,24.808736,13.509968
219,N,16.333833,17.126176,10.218113
220,N,40.627589,13.549044,14.020912
221,N,38.920293,20.475894,4.685779
222,N,52.500228,19.256359,4.255152
223,P,25.054636,19.037756,5.963825
224,P,28.095221,16.441541,13.133534
225,N,60.499642,23.444793,13.492113
226,P,44.572879,25.519508,7.660573
227,N,41.53169,19.0315,12.506888
228,N,38.859059,19.608731,5.29201
229,P,46.940614,13.55344,6.489085
230,N,54.442997,21.75833,12.610345
231,P,37.69452,26.299609,8.803627
232,P,56.777906,25.178485,6.622851
233,N,65.421347,22.570882,7.059284
234,P,49.091281,21.744278,11.976184
235,N,60.95953,10.193225,9.449069
236,N,64.56386,19.415032,14.623019
237,N,48.48886,18.550332,8.6009
238,P,56.86927,16.110662,12.261604
239,P,83.24577,21.96945,12.891811
240,N,39.81998,22.553813,10.325512
241,N,69.81628,14.423797,15.409117
242,P,38.2551,12.298291,8.410674
243,N,54.68819,20.340807,10.070238
244,N,67.94553,28.199692,13.508901
245,N,51.97142,25.619798,15.761697
246,N,35.4099,23.464172,3.99601
247,N,57.00483,25.938645,8.970456
248,N,57.79988,20.007709,9.662013
249,N,59.68097,9.628403,10.66207
250,P,38.29458,19.109503,13.136773
251,N,34.34852,13.853521,8.913867
252,P,57.92692,33.844637,13.235717
253,N,48.68646,20.794044,4.054643
254,P,26.50946,3.571208,9.23725
255,N,39.13156,4.747543,10.085788
256,P,55.5588,0.053284,11.496192
257,N,23.57445,14.824741,6.970828
258,P,74.05699,17.976963,12.986899
259,P,56.26217,18.435274,10.505827
260,N,41.09258,16.033802,8.424237
261,P,39.71279,12.945352,8.124688
262,N,57.80929,2.656619,12.615675
263,P,72.47462,19.10152,14.720264
264,P,56.71353,20.493826,9.583188
265,N,60.26954,25.383223,5.071846
266,N,30.54751,16.750048,14.016548
267,N,50.80702,26.518069,12.238707
268,N,36.30028,29.005662,8.042427
269,P,19.98992,13.640305,8.327803
270,P,55.30474,4.484798,-0.091832
271,N,57.19498,16.306016,10.12283
272,P,68.99758,15.053343,11.418593
273,P,66.19878,21.4283,5.248786
274,N,37.63269,22.224759,19.343873
275,N,51.66674,25.146385,8.604598
276,P,65.57105,14.26755,12.741195
277,N,37.44747,19.037933,8.99377
278,N,31.30254,25.594483,5.896575
279,N,25.60262,13.336417,14.822976
280,P,30.06625,18.706801,2.406753
281,N,48.08709,33.048293,11.974006
282,N,58.28719,17.353654,14.707724
283,P,15.89852,24.353015,10.440896
284,P,14.64695,19.814062,13.678317
285,N,24.93489,28.439258,9.24502
286,N,54.13577,21.356186,12.194712
287,N,41.30038,22.074968,6.004309
288,N,33.74432,24.232151,8.578381
289,P,36.2456,22.924853,15.725277
290,P,68.67294,22.876741,11.696261
291,N,44.8844,14.917873,9.554489
292,N,49.75192,18.14952,3.873123
293,P,75.14318,16.096472,-0.164451
294,P,61.68779,25.445306,12.973112
295,N,43.07418,13.762535,16.501686
296,P,68.52398,9.347688,8.155404
297,P,34.36556,10.527031,4.135279
298,N,56.13024,27.221416,15.040039
299,N,16.86525,17.593501,13.805299
300,N,34.08707,10.719397,15.622916
301,P,28.37989,17.611137,6.532097
302,P,42.11924,12.990954,12.898063
303,N,43.24167,25.106435,14.3351
304,N,65.75271,9.635161,12.580376
305,N,27.08314,18.81928,7.210111
306,N,39.00391,25.113156,7.527101
307,N,11.12905,10.711837,15.279165
308,N,35.86855,13.06269,12.392949
309,P,14.45898,15.544526,7.149371
310,P,32.20735,12.317372,15.944034
311,N,21.86037,25.275787,10.202878
312,N,62.46868,30.654664,7.75773
313,P,28.73563,21.506283,18.987976
314,P,57.94793,23.483752,14.6205
315,N,49.08492,18.341805,9.146634
316,P,51.38423,24.154684,7.217355
317,P,65.3194,22.779173,24.000638
318,P,21.42397,10.375911,4.805093
319,N,40.56745,25.876966,4.978598
320,P,22.30729,25.311743,7.357661
321,N,46.17756,28.757758,14.406738
322,N,32.61348,28.147397,11.229384
323,P,35.69324,15.28848,8.571042
324,N,25.64675,24.894583,16.51951
325,P,33.45842,16.072455,7.516607
326,N,17.94774,22.869404,12.244132
327,N,24.97695,17.059244,7.025698
328,P,26.06295,19.228087,12.471708
329,P,37.074209,12.054225,10.577299
330,N,50.145644,20.432791,14.827398
331,N,45.894465,23.306921,11.422464
332,N,29.092289,17.965693,7.316784
333,N,32.736695,11.131794,0.438644
334,P,19.121241,14.403468,4.059703
335,P,29.546485,6.010363,12.374825
336,N,7.8561,16.510934,7.017168
337,P,47.864377,18.161775,8.802694
338,N,37.665284,7.841696,11.496786
339,N,52.64526,14.60064,15.070447
340,N,39.317637,24.600455,9.404122
341,P,35.184352,16.916899,12.404065
342,P,44.772712,13.435436,14.743628
343,P,38.626086,28.922467,17.574533
344,P,81.825211,15.010754,11.017352
345,P,32.284513,4.932399,6.701424
346,P,23.701009,19.853431,10.052924
347,P,25.120912,20.899101,13.749544
348,N,36.122073,14.723779,10.170897
349,N,47.262737,23.34056,9.440706
350,N,39.442779,21.185578,11.275533
351,N,31.085489,25.274501,7.36396
352,P,35.864499,9.05206,0.687538
353,P,2.728725,27.831873,8.778906
354,N,52.280063,29.275477,7.530894
355,P,50.91198,22.914807,10.752986
356,N,19.043665,25.013887,12.276116
357,N,31.325803,17.69621,18.544535
358,P,40.289338,13.231282,10.226687
359,N,24.395059,8.759273,10.411271
360,N,35.390493,23.964461,3.478025
361,P,16.95552,12.609496,7.301951
362,N,41.919907,23.011223,6.648338
363,N,22.206304,14.320234,2.484769
364,N,10.890699,25.223885,6.642197
365,P,14.515613,14.18368,8.589298
366,N,44.387437,22.232506,9.864685
367,P,36.373961,12.774156,9.787532
368,P,39.287838,11.027934,1.970662
369,N,49.159873,31.850545,10.947998
370,N,56.713665,15.550749,5.478812
371,P,21.843252,-6.310782,10.327117
372,N,25.007608,10.04122,6.053322
373,N,19.512312,31.070449,9.126699
374,N,35.649817,16.500583,10.16063
375,N,29.34352,29.213644,11.53049
376,N,28.654585,10.995939,9.743129
377,N,26.481258,22.897043,6.199302
378,P,17.574513,21.008896,4.776879
379,N,14.745761,15.379122,5.930757
380,N,30.476245,14.713553,0.98632
381,N,15.599984,24.0994,15.036671
382,P,20.846575,16.604952,10.506847
383,N,31.28186,15.324347,9.34153
384,N,26.094295,17.441468,10.018976
385,N,55.26004,32.649243,4.348041
386,P,32.292235,14.943276,9.510996
387,P,42.816032,17.077227,11.136443
388,P,14.50847,26.475944,10.462785
389,N,83.65651,10.92131,3.942202
390,N,17.240728,15.747884,14.37141
391,N,43.353164,18.704397,7.578681
392,P,46.723013,17.614582,1.854982
393,N,65.894273,14.525974,4.817583
394,P,8.658318,20.484135,7.099211
395,N,52.892889,20.346021,4.730326
396,N,42.528522,22.356867,-1.030129
397,N,25.651633,7.98823,3.363861
398,P,8.516448,19.960273,6.338111
399,N,41.136959,14.19106,7.222701
400,N,57.248955,20.741128,7.626993
401,P,45.09167,19.306688,6.704795
402,N,21.091764,6.094573,13.310732
403,P,12.779801,19.871117,3.727814
404,N,22.866252,15.409502,5.45167
405,N,28.875205,27.861005,10.058162
406,N,31.573343,20.84441,9.160551
407,N,26.744515,16.530181,10.601393
408,P,33.596947,19.40001,5.86099
409,P,19.824794,14.989779,1.998316
410,P,13.922255,11.573012,7.236698
411,N,49.599058,30.848871,7.171741
412,N,21.641193,16.841632,6.975814
413,N,31.666606,19.424372,12.673726
414,P,23.23718,19.707776,14.170457
415,P,28.438284,17.439622,14.55412
416,P,27.488401,17.407419,16.010398
417,P,24.258916,16.963809,5.502446
418,P,24.092453,25.693573,11.779523
419,P,49.525327,23.98326,20.847621
420,N,33.214926,11.758655,14.591311
421,P,39.379131,15.788858,8.268803
422,P,40.727881,25.362405,12.730635
423,P,23.021461,16.777963,15.060052
424,N,47.016278,21.158621,4.287765
425,P,19.342861,18.568214,15.096929
426,P,18.458848,9.417552,11.885685
427,P,36.311979,11.111835,11.381045
428,N,23.640941,11.143291,15.996179
429,P,22.305292,21.371642,15.718804
430,P,48.920872,22.938706,15.394387
431,N,39.705451,12.468742,17.423251
432,N,42.43172,13.36649,7.785513
433,N,15.52633,14.375689,20.392424
434,N,51.622836,35.19825,14.029221
435,P,20.375384,26.142596,23.238544
436,P,28.622994,12.186573,15.106834
437,P,37.492256,20.786155,12.341873
438,N,47.420208,16.580938,16.866407
439,P,37.933118,11.732772,16.187323
440,P,30.835453,3.997847,12.607528
441,N,26.039689,25.486007,13.318762
442,N,6.150618,15.690504,14.992562
443,P,43.963611,14.762327,9.213148
444,P,62.353122,22.016514,10.544954
445,N,33.459499,24.467959,14.173309
446,P,42.370395,23.681678,16.754979
447,P,68.909032,22.652232,9.004232
448,P,11.542388,25.570083,5.644856
449,P,60.275006,18.840036,13.822594
450,P,61.855958,20.035632,6.533289
451,P,80.385534,19.047136,15.552517
452,P,24.898383,21.681257,16.055227
453,P,46.874079,19.42939,14.132668
454,P,48.285992,14.414918,21.196079
455,N,47.494484,10.370517,11.316772
456,P,36.941206,23.767503,10.313056
457,P,50.404016,23.823986,6.56925
458,P,73.020095,18.346506,23.161809
459,P,44.914015,23.55019,9.473841
460,P,33.857562,24.95567,10.955933
461,N,58.845713,22.612939,16.586728
462,N,18.567595,27.570416,19.328903
463,N,35.893591,25.553345,13.72169
464,N,19.288932,20.755401,11.754244
465,P,32.685064,24.855597,7.130173
466,P,32.345104,24.291573,8.863324
467,P,42.789621,18.917384,9.790548
468,N,25.943034,15.98592,10.142998
469,N,31.024869,28.005089,14.014655
470,P,10.028141,18.901784,11.352723
471,N,21.091225,19.909531,15.432518
472,N,44.557966,16.291195,14.650198
473,N,43.84261,11.502199,10.884415
474,P,51.844771,6.863473,16.751298
475,N,48.366901,15.374295,15.063854
476,N,15.049433,18.131293,7.797814
477,N,24.085279,14.09657,12.696297
478,P,23.090289,22.448253,8.267808
479,N,50.487527,23.416544,4.250139
480,N,32.675075,19.111074,8.790329
481,P,30.760601,9.208963,14.516677
482,P,43.244659,13.547581,14.550241
483,P,27.037359,32.516286,6.69269
484,N,45.327094,13.800316,5.861833
485,P,48.972799,18.138785,12.910705
486,P,22.234546,20.209026,12.548671
487,P,37.157754,22.515713,10.255256
488,P,41.137353,22.459443,7.251903
489,N,51.251756,22.048265,10.085052
490,N,30.465874,18.110451,12.950023
491,N,31.724535,31.332183,17.033089
492,N,27.326588,29.761252,7.22158
493,N,47.802589,14.928939,7.485578
494,N,4.232027,18.990921,12.439811
495,P,50.271136,15.622745,7.657565
496,P,75.659054,28.074918,7.954888
497,P,21.207396,24.099948,10.215657
498,P,42.456853,15.595166,5.001775
499,N,46.940524,14.983617,14.905301
500,P,38.48781,21.964773,8.559099
501,N,36.771493,9.78364,7.385785
502,P,44.819971,20.285358,13.808692
503,P,84.243237,20.981075,7.295888
504,N,50.230148,23.119168,6.83064
505,P,49.653252,25.345574,14.185483
506,N,57.116688,20.73771,13.235407
507,P,58.065121,12.158621,11.069389
508,P,49.200961,26.286302,7.67043
509,N,45.541705,19.810188,13.902333
510,P,30.053865,13.08573,10.951062
511,P,25.360557,13.476606,6.466796
512,N,27.548348,29.735906,9.503326
513,N,25.112108,23.670437,8.649818
514,P,41.663875,20.904836,6.976389
515,N,34.023181,23.67366,3.710643
516,N,15.660952,15.619763,6.338838
517,N,20.448063,12.181204,5.149451
518,P,54.369324,21.553042,4.223069
519,P,28.554162,14.175905,3.523558
520,P,48.535152,27.884874,5.146436
521,N,68.861372,16.577061,7.839388
522,N,47.48777,4.1356,9.081993
523,P,49.954065,28.159756,15.317628
524,N,43.341587,19.036537,6.316183
525,P,8.411624,25.80496,2.614963
526,N,20.417313,13.297668,4.027882
527,P,59.324862,22.443649,1.467017
528,N,16.21884,24.561861,6.745086
529,P,22.777832,21.870897,11.290018
530,P,46.782455,22.493447,8.326857
531,N,47.677704,41.6022,10.494469
532,P,48.91399,31.118785,3.632215
533,P,82.953025,17.087756,5.084417
534,P,61.567497,16.527811,7.643033
535,N,57.366921,13.839614,10.888123
536,P,51.911664,10.98572,8.952905
537,P,37.557332,19.11438,10.642286
538,P,34.731941,2.620354,10.111776
539,N,47.063332,10.01015,4.540029
540,P,74.981233,4.512034,8.828473
541,P,50.607556,6.228905,11.28851
542,P,38.905081,9.32239,10.656545
543,N,44.545583,10.680492,5.530664
544,P,54.734513,13.265416,11.362421
545,P,50.521634,22.632326,14.639977
546,P,48.514243,10.786476,3.181664
547,P,62.730942,11.889536,13.482875
548,P,37.892442,22.506772,10.834014
549,P,66.449739,18.72768,14.257089
550,P,45.047585,0.621451,8.748127
551,N,26.432693,22.797173,8.53636
552,P,49.921688,26.831773,7.25435
553,P,51.971074,15.422224,5.149886
554,P,60.82342,31.04175,12.461234
555,P,58.954314,14.893227,8.817119
556,P,66.519132,11.635049,12.760756
557,P,58.551748,13.022992,9.939348
558,P,65.410562,26.881923,13.499266
559,P,91.13646,15.675411,6.031185
560,P,69.058361,12.923078,10.223974
561,P,49.042237,16.267194,11.307368
562,P,53.072225,13.346856,9.3023
563,P,41.138165,28.789054,9.989571
564,P,79.34633,15.493766,5.074395
565,P,25.86599,-1.555093,11.326917
566,P,25.38034,19.337178,14.348892
567,P,36.14356,18.529175,15.465513
568,P,42.43408,3.233751,11.413255
569,P,57.80743,17.74969,11.140486
570,N,62.93511,22.5007,5.200355
571,P,61.37259,9.339513,14.440528
572,N,49.69365,7.3979,8.911496
573,N,41.16758,7.488097,14.151117
574,P,45.57692,4.86794,6.147995
575,N,38.83788,5.442263,7.916169
576,P,23.89723,22.764811,12.567505
577,N,32.44387,8.769778,13.368097
578,P,54.3141,12.226792,17.086009
579,P,44.34859,19.024142,5.171502
580,N,36.87059,20.854527,15.821547
581,P,30.78147,10.376627,6.324088
582,P,27.35231,15.880129,12.986442
583,N,39.13431,17.225627,6.089499
584,N,28.63646,15.718615,5.704972
585,P,85.66653,23.20022,11.022394
586,N,27.3336,25.510401,12.862829
587,P,53.43369,14.19984,8.297727
588,N,36.67307,19.16158,12.007135
589,P,45.92818,14.951228,6.480555
590,P,43.75181,4.406978,8.920946
591,N,44.35728,-0.956454,13.588449
592,P,19.90804,28.722039,10.948449
593,P,49.70822,14.227206,7.634749
594,P,39.52449,27.029031,7.332154
595,N,26.27021,16.187868,16.542399
596,P,37.7465,23.582994,12.414285
597,P,50.98633,13.82891,11.560821
598,P,37.24704,5.278714,8.340107
599,P,53.72084,8.373658,10.491305
600,P,82.77131,5.785835,9.45625
601,P,43.44799,21.260148,4.659697
602,P,30.17576,17.934014,15.733399
603,N,54.57297,24.796188,20.114337
604,P,26.64676,18.001026,8.014368
605,P,32.93525,9.474044,25.352918
606,P,73.10286,11.089129,11.527502
607,P,29.82625,23.296671,7.352198
608,N,29.81741,11.426356,10.045975
609,P,54.49044,16.924976,3.734064
610,P,47.53062,20.115165,11.155802
611,P,39.51439,13.549299,8.600378
612,N,20.09715,22.783862,8.829486
613,P,48.0002,16.392383,11.607943
614,P,69.42518,19.008625,12.286866
615,N,55.84726,21.993324,7.724892
616,P,57.13613,7.447045,14.054408
617,N,48.07898,23.906508,8.554709
618,N,48.87152,6.861429,16.388222
619,P,57.95672,15.830879,11.310714
620,P,41.97288,11.093788,13.477306
621,P,55.51393,18.458223,11.173754
622,P,58.03373,26.735506,12.060261
623,P,87.47924,8.375435,11.156028
624,P,51.94749,17.477152,10.184444
625,P,44.38916,23.116018,13.196064
626,P,47.34662,7.382489,9.506801
627,P,33.06593,26.629495,9.319548
628,P,53.92173,20.770727,10.779404
629,P,37.07451,14.022675,16.687551
630,N,35.35041,19.321451,14.982743
631,P,70.49616,21.589464,7.916275
632,P,18.44201,7.834916,13.760145
633,P,91.35162,19.277259,11.070396
634,N,49.57121,17.477176,6.905379
635,N,54.70112,11.320964,10.90525
636,P,25.11715,5.075719,14.589684
637,P,40.29684,6.536568,3.506491
638,N,36.5917,10.426618,6.723756
639,N,34.53406,20.875785,7.656336
640,P,38.85154,15.212082,13.313383
641,N,68.3427,20.312446,4.701038
642,P,52.67254,9.705896,6.713958
643,P,68.41394,7.577482,9.435316
644,P,55.65354,4.90256,10.013284
645,P,66.64566,10.890645,21.364918
646,P,65.02683,20.079152,3.571368
647,P,27.84804,27.588519,2.123278
648,P,67.87623,16.715994,7.574372
649,P,34.41451,13.500359,1.3708
650,P,49.06836,18.667105,3.731789
651,P,56.68457,12.473911,6.396239
652,N,18.14603,19.271489,9.710752
653,P,30.32929,10.816728,14.786787
654,P,50.13244,11.591178,11.843544
655,N,50.95879,20.933389,11.091949
656,P,51.96257,27.154441,9.139407
657,N,74.7744,18.42031,5.098074
658,N,66.6151,12.10903,3.489334
659,P,36.87297,19.35076,9.475317
660,P,45.33538,15.61008,5.495109
661,P,60.8825,24.58455,10.815434
